dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.942321,6.679528,0.000433,0.017303,0.346063,6.921255,0.786434
0.050000,0.942485,6.679693,0.000665,0.004658,-0.252912,-11.979494,0.785682
0.050000,0.943943,6.681150,0.002726,0.041213,0.731107,19.680370,0.784429
0.050000,0.946474,6.683671,0.006299,0.071449,0.604721,-2.527706,0.782673
0.050000,0.949735,6.686907,0.010893,0.091892,0.408856,-3.917300,0.780411
0.050000,0.953732,6.690854,0.016511,0.112351,0.409182,0.006525,0.777639
0.050000,0.958473,6.695507,0.023153,0.132841,0.409811,0.012575,0.774354
0.050000,0.963965,6.700858,0.030820,0.153350,0.410169,0.007147,0.770551
0.050000,0.970216,6.706900,0.039515,0.173891,0.410833,0.013280,0.766226
0.050000,0.977239,6.713626,0.049239,0.194475,0.411670,0.016742,0.761372
0.050000,0.985044,6.721024,0.059993,0.215089,0.412278,0.012172,0.755984
0.050000,0.993644,6.729085,0.071780,0.235748,0.413185,0.018135,0.750054
0.050000,1.003054,6.737796,0.084603,0.256448,0.414000,0.016308,0.743577
0.050000,1.013288,6.747142,0.098463,0.277194,0.414916,0.018311,0.736544
0.050000,1.024364,6.757108,0.113362,0.297985,0.415825,0.018190,0.728949
0.050000,1.036297,6.767678,0.129303,0.318821,0.416712,0.017726,0.720784
0.050000,1.049106,6.778831,0.146288,0.339705,0.417674,0.019253,0.712042
0.050000,1.062812,6.790549,0.164320,0.360630,0.418512,0.016746,0.702715
0.050000,1.077432,6.802808,0.183399,0.381594,0.419271,0.015183,0.692797
0.050000,1.092989,6.815583,0.203529,0.402601,0.420147,0.017522,0.682282
0.050000,1.109503,6.828848,0.224711,0.423640,0.420785,0.012771,0.671165
0.050000,1.126995,6.842574,0.246946,0.444697,0.421136,0.007011,0.659442
0.050000,1.145489,6.856729,0.270235,0.465774,0.421533,0.007932,0.647111
0.050000,1.165005,6.871279,0.294578,0.486856,0.421654,0.002422,0.634169
0.050000,1.185565,6.886188,0.319974,0.507930,0.421467,-0.003743,0.620620
0.050000,1.207190,6.901416,0.346423,0.528985,0.421108,-0.007178,0.606465
0.050000,1.229901,6.916923,0.373923,0.549998,0.420254,-0.017081,0.591712
0.050000,1.253716,6.932664,0.402471,0.570957,0.419183,-0.021413,0.576369
0.050000,1.278655,6.948593,0.432063,0.591834,0.417535,-0.032960,0.560449
0.050000,1.304733,6.964661,0.462693,0.612611,0.415547,-0.039761,0.543969
0.050000,1.331964,6.980817,0.494356,0.633259,0.412958,-0.051772,0.526950
0.050000,1.360361,6.997007,0.527044,0.653753,0.409887,-0.061436,0.509416
0.050000,1.389932,7.013177,0.560747,0.674064,0.406223,-0.073266,0.491396
0.050000,1.420683,7.029271,0.595455,0.694162,0.401959,-0.085275,0.472925
0.050000,1.452618,7.045231,0.631156,0.714019,0.397137,-0.096459,0.454043
0.050000,1.485735,7.061001,0.667836,0.733602,0.391652,-0.109685,0.434792
0.050000,1.520030,7.076522,0.705481,0.752885,0.385668,-0.119689,0.415223
0.050000,1.555496,7.091738,0.744072,0.771837,0.379035,-0.132662,0.395387
0.050000,1.592120,7.106593,0.783594,0.790436,0.371990,-0.140897,0.375342
0.050000,1.629886,7.121034,0.824027,0.808657,0.364406,-0.151684,0.355149
0.050000,1.668775,7.135009,0.865351,0.826480,0.356473,-0.158661,0.334872
0.050000,1.708765,7.148469,0.907546,0.843893,0.348243,-0.164597,0.314577
0.050000,1.749830,7.161371,0.950590,0.860881,0.339761,-0.169639,0.294333
0.050000,1.791942,7.173673,0.994462,0.877439,0.331176,-0.171690,0.274209
0.050000,1.835070,7.185340,1.039140,0.893567,0.322552,-0.172485,0.254275
0.050000,1.879182,7.196341,1.084603,0.909266,0.313984,-0.171367,0.234600
0.050000,1.924246,7.206648,1.130831,0.924544,0.305565,-0.168374,0.215251
0.050000,1.970226,7.216243,1.177801,0.939413,0.297373,-0.163842,0.196295
0.050000,2.017089,7.225109,1.225496,0.953886,0.289464,-0.158185,0.177795
0.050000,2.064801,7.233237,1.273895,0.967982,0.281917,-0.150926,0.159813
0.050000,2.113328,7.240623,1.322981,0.981719,0.274747,-0.143398,0.142406
0.050000,2.162638,7.247267,1.372737,0.995119,0.267990,-0.135141,0.125629
0.050000,2.212701,7.253177,1.423147,1.008201,0.261649,-0.126823,0.109532
0.050000,2.263486,7.258363,1.474196,1.020989,0.255743,-0.118115,0.094164
0.050000,2.314966,7.262842,1.525871,1.033499,0.250205,-0.110777,0.079570
0.050000,2.367116,7.266635,1.578159,1.045752,0.245053,-0.103030,0.065790
0.050000,2.419912,7.269766,1.631047,1.057761,0.240198,-0.097110,0.052864
0.050000,2.473330,7.272266,1.684524,1.069543,0.235636,-0.091226,0.040828
0.050000,2.527352,7.274167,1.738579,1.081105,0.231242,-0.087882,0.029719
0.050000,2.581958,7.275508,1.793202,1.092457,0.227028,-0.084281,0.019570
0.050000,2.637132,7.276331,1.848382,1.103599,0.222855,-0.083465,0.010415
0.050000,2.692858,7.276679,1.904109,1.114533,0.218661,-0.083884,0.002287
0.050000,2.749120,7.276604,1.960371,1.125252,0.214396,-0.085294,6.278406
0.050000,2.805906,7.276157,2.017159,1.135749,0.209939,-0.089150,6.272438
0.050000,2.863202,7.275397,2.074459,1.146010,0.205216,-0.094447,6.267606
0.050000,2.920994,7.274385,2.132260,1.156017,0.200138,-0.101557,6.263951
0.050000,2.979269,7.273187,2.190547,1.165748,0.194628,-0.110214,6.261517
0.050000,3.035106,7.271942,2.246399,1.117024,-0.974492,-23.382400,6.260986
0.050000,3.093162,7.270768,2.304466,1.161358,0.886677,37.223391,6.264842
0.050000,3.152236,7.269787,2.363548,1.181635,0.405550,-9.622552,6.268218
0.050000,3.212332,7.268976,2.423651,1.202047,0.408239,0.053788,6.271093
0.050000,3.273459,7.268312,2.484780,1.222596,0.410979,0.054803,6.273444
0.050000,3.335620,7.267765,2.546945,1.243285,0.413772,0.055856,6.275249
0.050000,3.398825,7.267306,2.610150,1.264116,0.416632,0.057211,6.276486
0.050000,3.463078,7.266900,2.674405,1.285094,0.419565,0.058644,6.277129
0.050000,3.528388,7.266508,2.739716,1.306223,0.422577,0.060238,6.277156
0.050000,3.594762,7.266091,2.806092,1.327507,0.425677,0.062015,6.276540
0.050000,3.662208,7.265603,2.873539,1.348951,0.428873,0.063915,6.275256
0.050000,3.730733,7.264996,2.942067,1.370559,0.432169,0.065917,6.273278
0.050000,3.800346,7.264217,3.011684,1.392338,0.435569,0.068002,6.270579
0.050000,3.871053,7.263207,3.082399,1.414291,0.439077,0.070151,6.267129
0.050000,3.942862,7.261907,3.154220,1.436426,0.442687,0.072209,6.262900
0.050000,4.015781,7.260248,3.227157,1.458746,0.446399,0.074238,6.257861
0.050000,4.089814,7.258160,3.301220,1.481256,0.450203,0.076092,6.251983
0.050000,4.164148,7.255596,3.375598,1.487563,0.126140,-6.481278,6.245311
0.050000,4.237886,7.252534,3.449399,1.476017,-0.230915,-7.141088,6.237934
0.050000,4.310941,7.248936,3.522543,1.462887,-0.262598,-0.633664,6.229885
0.050000,4.383301,7.244764,3.595023,1.449597,-0.265797,-0.063972,6.221187
0.050000,4.454949,7.239985,3.666830,1.436145,-0.269055,-0.065176,6.211869
0.050000,4.525869,7.234570,3.737957,1.422525,-0.272385,-0.066584,6.201957
0.050000,4.596043,7.228491,3.808394,1.408735,-0.275804,-0.068384,6.191477
0.050000,4.665452,7.221725,3.878132,1.394769,-0.279322,-0.070367,6.180460
0.050000,4.734078,7.214254,3.947163,1.380622,-0.282949,-0.072537,6.168933
0.050000,4.801899,7.206062,4.015477,1.366287,-0.286688,-0.074769,6.156927
0.050000,4.868896,7.197137,4.083065,1.351760,-0.290541,-0.077073,6.144474
0.050000,4.935045,7.187471,4.149917,1.337035,-0.294512,-0.079412,6.131604
0.050000,5.000325,7.177059,4.216022,1.322105,-0.298586,-0.081486,6.118352
