dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.161751,6.460552,0.000433,0.017303,0.346063,6.921255,0.786434
0.050000,1.161751,6.460552,0.001730,0.034606,0.346063,0.000000,0.785682
0.050000,1.162934,6.461734,0.003893,0.051909,0.346063,0.000000,0.784429
0.050000,1.165079,6.463871,0.006921,0.069213,0.346063,0.000000,0.782673
0.050000,1.167842,6.466614,0.010814,0.086516,0.346063,0.000000,0.780411
0.050000,1.171228,6.469957,0.015573,0.103819,0.346063,-0.000000,0.777639
0.050000,1.175242,6.473896,0.021196,0.121122,0.346063,0.000000,0.774354
0.050000,1.179889,6.478424,0.027685,0.138425,0.346063,-0.000000,0.770551
0.050000,1.185177,6.483535,0.035039,0.155728,0.346063,0.000000,0.766226
0.050000,1.191113,6.489220,0.043258,0.173031,0.346063,0.000000,0.761372
0.050000,1.197705,6.495469,0.052342,0.190335,0.346063,0.000000,0.755984
0.050000,1.204965,6.502273,0.062291,0.207638,0.346063,-0.000000,0.750054
0.050000,1.212901,6.509619,0.073106,0.224941,0.346063,0.000000,0.743577
0.050000,1.221525,6.517495,0.084785,0.242244,0.346063,-0.000000,0.736544
0.050000,1.230850,6.525887,0.097330,0.259547,0.346063,0.000000,0.728949
0.050000,1.240889,6.534778,0.110740,0.276850,0.346063,-0.000000,0.720784
0.050000,1.251654,6.544152,0.125015,0.294153,0.346063,0.000000,0.712042
0.050000,1.263162,6.553991,0.140155,0.311456,0.346063,0.000000,0.702715
0.050000,1.275426,6.564275,0.156161,0.328760,0.346063,0.000000,0.692797
0.050000,1.288464,6.574981,0.173031,0.346063,0.346063,0.000000,0.682282
0.050000,1.302291,6.586088,0.190767,0.363366,0.346063,0.000000,0.671165
0.050000,1.316925,6.597570,0.209368,0.380669,0.346063,0.000000,0.659442
0.050000,1.332383,6.609402,0.228834,0.397972,0.346063,-0.000000,0.647111
0.050000,1.348682,6.621554,0.249165,0.415275,0.346063,0.000000,0.634169
0.050000,1.365842,6.633997,0.270362,0.432578,0.346063,0.000000,0.620620
0.050000,1.383879,6.646699,0.292423,0.449882,0.346063,0.000000,0.606465
0.050000,1.402813,6.659627,0.315350,0.467185,0.346063,-0.000000,0.591712
0.050000,1.422661,6.672746,0.339142,0.484488,0.346063,0.000000,0.576369
0.050000,1.443441,6.686018,0.363798,0.501791,0.346063,-0.000000,0.560449
0.050000,1.465169,6.699406,0.389321,0.519094,0.346063,0.000000,0.543969
0.050000,1.487863,6.712870,0.415708,0.536397,0.346063,-0.000000,0.526950
0.050000,1.511537,6.726368,0.442960,0.553700,0.346063,0.000000,0.509416
0.050000,1.536207,6.739858,0.471078,0.571004,0.346063,0.000000,0.491396
0.050000,1.561886,6.753296,0.500061,0.588307,0.346063,0.000000,0.472925
0.050000,1.588584,6.766640,0.529909,0.605610,0.346063,0.000000,0.454043
0.050000,1.616314,6.779844,0.560622,0.622913,0.346063,0.000000,0.434792
0.050000,1.645082,6.792864,0.592200,0.640216,0.346063,0.000000,0.415223
0.050000,1.674897,6.805655,0.624643,0.657519,0.346063,0.000000,0.395387
0.050000,1.705763,6.818174,0.657952,0.674822,0.346063,-0.000000,0.375342
0.050000,1.737682,6.830379,0.692126,0.692126,0.346063,0.000000,0.355149
0.050000,1.770656,6.842228,0.727164,0.709429,0.346063,-0.000000,0.334872
0.050000,1.804683,6.853682,0.763068,0.726732,0.346063,0.000000,0.314577
0.050000,1.839762,6.864702,0.799838,0.744035,0.346063,-0.000000,0.294333
0.050000,1.875885,6.875255,0.837472,0.761338,0.346063,0.000000,0.274209
0.050000,1.913049,6.885308,0.875971,0.778641,0.346063,-0.000000,0.254275
0.050000,1.951243,6.894832,0.915336,0.795944,0.346063,0.000000,0.234600
0.050000,1.990459,6.903802,0.955566,0.813248,0.346063,0.000000,0.215251
0.050000,2.030687,6.912196,0.996661,0.830551,0.346063,-0.000000,0.196295
0.050000,2.071916,6.919996,1.038621,0.847854,0.346063,0.000000,0.177795
0.050000,2.114132,6.927187,1.081446,0.865157,0.346063,0.000000,0.159813
0.050000,2.157325,6.933761,1.125137,0.882460,0.346063,-0.000000,0.142406
0.050000,2.201481,6.939710,1.169692,0.899763,0.346063,0.000000,0.125629
0.050000,2.246588,6.945035,1.215113,0.917066,0.346063,-0.000000,0.109532
0.050000,2.292634,6.949737,1.261399,0.934369,0.346063,0.000000,0.094164
0.050000,2.339607,6.953823,1.308550,0.951673,0.346063,0.000000,0.079570
0.050000,2.387496,6.957305,1.356566,0.968976,0.346063,-0.000000,0.065790
0.050000,2.436292,6.960199,1.405447,0.986279,0.346063,-0.000000,0.052864
0.050000,2.485983,6.962524,1.455194,1.003582,0.346063,0.000000,0.040828
0.050000,2.536564,6.964304,1.505806,1.020885,0.346063,0.000000,0.029719
0.050000,2.588025,6.965568,1.557282,1.038188,0.346063,0.000000,0.019570
0.050000,2.640361,6.966347,1.609624,1.055491,0.346063,-0.000000,0.010415
0.050000,2.693567,6.966680,1.662832,1.072795,0.346063,0.000000,0.002287
0.050000,2.747639,6.966607,1.716904,1.090098,0.346063,0.000000,6.278406
0.050000,2.802574,6.966175,1.771841,1.107401,0.346063,-0.000000,6.272438
0.050000,2.858372,6.965435,1.827644,1.124704,0.346063,0.000000,6.267606
0.050000,2.915031,6.964443,1.884312,1.142007,0.346063,0.000000,6.263951
0.050000,2.972552,6.963260,1.941845,1.159310,0.346063,-0.000000,6.261517
0.050000,3.028225,6.962019,2.000243,1.176613,0.346063,0.000000,6.260986
0.050000,3.087476,6.960820,2.059506,1.193917,0.346063,-0.000000,6.264842
0.050000,3.147596,6.959821,2.119634,1.211220,0.346063,0.000000,6.268218
0.050000,3.208584,6.958999,2.180628,1.228523,0.346063,0.000000,6.271093
0.050000,3.270439,6.958327,2.242487,1.245826,0.346063,-0.000000,6.273444
0.050000,3.333160,6.957775,2.305211,1.263129,0.346063,0.000000,6.275249
0.050000,3.396748,6.957313,2.368800,1.280432,0.346063,0.000000,6.276486
0.050000,3.461201,6.956905,2.433254,1.297735,0.346063,-0.000000,6.277129
0.050000,3.526519,6.956514,2.498573,1.315039,0.346063,0.000000,6.277156
0.050000,3.592702,6.956098,2.564758,1.332342,0.346063,-0.000000,6.276540
0.050000,3.659750,6.955613,2.631807,1.349645,0.346063,0.000000,6.275256
0.050000,3.727662,6.955011,2.699722,1.366948,0.346063,0.000000,6.273278
0.050000,3.796438,6.954241,2.768502,1.384251,0.346063,0.000000,6.270579
