dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.409525,6.213352,0.000219,0.008743,0.174866,3.497330,0.786557
0.050000,1.409431,6.213258,0.000351,0.002657,-0.121730,-5.931930,0.786178
0.050000,1.409274,6.213101,0.000573,0.004429,0.035442,3.143433,0.785545
0.050000,1.409958,6.213784,0.001539,0.019324,0.297908,5.249334,0.784659
0.050000,1.411068,6.214892,0.003107,0.031362,0.240744,-1.143281,0.783518
0.050000,1.412426,6.216243,0.005023,0.038319,0.139148,-2.031935,0.782123
0.050000,1.414033,6.217837,0.007287,0.045268,0.138982,-0.003321,0.780471
0.050000,1.415890,6.219672,0.009897,0.052212,0.138890,-0.001840,0.778562
0.050000,1.417998,6.221746,0.012854,0.059142,0.138586,-0.006075,0.776394
0.050000,1.420357,6.224058,0.016158,0.066068,0.138523,-0.001262,0.773966
0.050000,1.422970,6.226605,0.019806,0.072976,0.138168,-0.007096,0.771277
0.050000,1.425838,6.229385,0.023800,0.079877,0.138007,-0.003224,0.768323
0.050000,1.428962,6.232394,0.028138,0.086759,0.137653,-0.007076,0.765104
0.050000,1.432344,6.235631,0.032820,0.093629,0.137392,-0.005210,0.761618
0.050000,1.435987,6.239091,0.037844,0.100482,0.137059,-0.006665,0.757861
0.050000,1.439892,6.242772,0.043210,0.107320,0.136764,-0.005906,0.753832
0.050000,1.444061,6.246669,0.048917,0.114140,0.136393,-0.007420,0.749529
0.050000,1.448497,6.250779,0.054964,0.120943,0.136060,-0.006655,0.744948
0.050000,1.453202,6.255097,0.061350,0.127726,0.135668,-0.007852,0.740088
0.050000,1.458179,6.259619,0.068075,0.134495,0.135371,-0.005926,0.734945
0.050000,1.463431,6.264340,0.075137,0.141241,0.134933,-0.008767,0.729517
0.050000,1.468961,6.269255,0.082536,0.147973,0.134632,-0.006025,0.723801
0.050000,1.474771,6.274360,0.090270,0.154679,0.134116,-0.010320,0.717795
0.050000,1.480866,6.279648,0.098338,0.161375,0.133932,-0.003677,0.711496
0.050000,1.487248,6.285113,0.106741,0.168048,0.133460,-0.009446,0.704901
0.050000,1.493921,6.290750,0.115476,0.174706,0.133146,-0.006261,0.698009
0.050000,1.500888,6.296553,0.124544,0.181350,0.132896,-0.005005,0.690816
0.050000,1.508155,6.302514,0.133942,0.187976,0.132505,-0.007826,0.683321
0.050000,1.515724,6.308628,0.143672,0.194591,0.132305,-0.003999,0.675522
0.050000,1.523599,6.314886,0.153732,0.201196,0.132109,-0.003927,0.667417
0.050000,1.531787,6.321283,0.164121,0.207791,0.131900,-0.004178,0.659006
0.050000,1.540290,6.327809,0.174840,0.214381,0.131792,-0.002153,0.650287
0.050000,1.549113,6.334459,0.185889,0.220967,0.131728,-0.001280,0.641260
0.050000,1.558262,6.341222,0.197266,0.227556,0.131778,0.000999,0.631925
0.050000,1.567742,6.348092,0.208974,0.234149,0.131848,0.001405,0.622283
0.050000,1.577558,6.355060,0.221011,0.240748,0.131986,0.002744,0.612334
0.050000,1.587715,6.362117,0.233379,0.247364,0.132321,0.006701,0.602082
0.050000,1.598220,6.369254,0.246079,0.253997,0.132668,0.006942,0.591529
0.050000,1.609077,6.376463,0.259112,0.260657,0.133188,0.010397,0.580677
0.050000,1.620294,6.383734,0.272479,0.267345,0.133759,0.011428,0.569532
0.050000,1.631877,6.391057,0.286183,0.274071,0.134533,0.015482,0.558099
0.050000,1.643832,6.398424,0.300225,0.280841,0.135399,0.017318,0.546384
0.050000,1.656165,6.405823,0.314608,0.287663,0.136428,0.020579,0.534394
0.050000,1.668885,6.413246,0.329335,0.294546,0.137658,0.024609,0.522139
0.050000,1.681998,6.420683,0.344410,0.301493,0.138956,0.025949,0.509627
0.050000,1.695511,6.428122,0.359836,0.308519,0.140505,0.030993,0.496870
0.050000,1.709433,6.435555,0.375617,0.315628,0.142185,0.033582,0.483879
0.050000,1.723771,6.442969,0.391759,0.322829,0.144015,0.036602,0.470668
0.050000,1.738532,6.450356,0.408266,0.330133,0.146094,0.041585,0.457252
0.050000,1.753726,6.457703,0.425143,0.337546,0.148264,0.043409,0.443645
0.050000,1.769361,6.465002,0.442397,0.345079,0.150652,0.047746,0.429866
0.050000,1.785444,6.472240,0.460034,0.352738,0.153185,0.050662,0.415932
0.050000,1.801985,6.479407,0.478060,0.360532,0.155878,0.053872,0.401862
0.050000,1.818991,6.486492,0.496484,0.368468,0.158720,0.056832,0.387677
0.050000,1.836472,6.493485,0.515311,0.376553,0.161699,0.059584,0.373397
0.050000,1.854436,6.500374,0.534551,0.384794,0.164817,0.062364,0.359046
0.050000,1.872892,6.507149,0.554211,0.393195,0.168016,0.063983,0.344646
0.050000,1.891847,6.513799,0.574299,0.401762,0.171335,0.066380,0.330221
0.050000,1.911311,6.520313,0.594824,0.410497,0.174718,0.067641,0.315795
0.050000,1.931290,6.526682,0.615794,0.419405,0.178154,0.068721,0.301392
0.050000,1.951794,6.532894,0.637218,0.428487,0.181643,0.069787,0.287038
0.050000,1.972830,6.538940,0.659106,0.437744,0.185136,0.069865,0.272757
0.050000,1.994405,6.544809,0.681464,0.447176,0.188638,0.070028,0.258575
0.050000,2.016525,6.550493,0.704304,0.456782,0.192118,0.069607,0.244515
0.050000,2.039198,6.555982,0.727632,0.466560,0.195562,0.068876,0.230604
0.050000,2.062430,6.561268,0.751457,0.476507,0.198949,0.067740,0.216864
0.050000,2.086226,6.566341,0.775788,0.486621,0.202272,0.066455,0.203321
0.050000,2.110592,6.571194,0.800633,0.496896,0.205507,0.064717,0.189996
0.050000,2.135533,6.575821,0.825999,0.507329,0.208643,0.062708,0.176912
0.050000,2.161054,6.580213,0.851895,0.517913,0.211688,0.060907,0.164091
0.050000,2.187158,6.584367,0.878327,0.528643,0.214609,0.058409,0.151555
0.050000,2.213849,6.588275,0.905303,0.539514,0.217412,0.056060,0.139322
0.050000,2.241130,6.591934,0.932829,0.550519,0.220101,0.053790,0.127412
0.050000,2.269006,6.595340,0.960911,0.561652,0.222665,0.051287,0.115843
0.050000,2.297477,6.598490,0.989557,0.572908,0.225106,0.048810,0.104634
0.050000,2.326548,6.601382,1.018771,0.584279,0.227428,0.046436,0.093800
0.050000,2.356219,6.604016,1.048559,0.595762,0.229652,0.044481,0.083357
0.050000,2.386494,6.606391,1.078926,0.607349,0.231750,0.041969,0.073320
0.050000,2.417373,6.608508,1.109878,0.619038,0.233772,0.040427,0.063704
0.050000,2.448859,6.610370,1.141419,0.630823,0.235699,0.038552,0.054523
