dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.007859,4.401474,0.000435,0.017417,0.348331,6.966625,0.000669
0.050000,0.007859,4.401474,0.001742,0.034833,0.348331,0.000000,0.000474
0.050000,0.007859,4.401474,0.003919,0.052250,0.348331,0.000000,0.000148
0.050000,0.009917,4.401474,0.006967,0.069666,0.348331,-0.000000,6.282878
0.050000,0.013835,4.401471,0.010885,0.087083,0.348331,0.000000,6.282295
0.050000,0.018625,4.401465,0.015675,0.104499,0.348331,0.000000,6.281585
0.050000,0.024285,4.401454,0.021335,0.121916,0.348331,-0.000000,6.280750
0.050000,0.030817,4.401435,0.027866,0.139332,0.348331,0.000000,6.279791
0.050000,0.038219,4.401406,0.035269,0.156749,0.348331,0.000000,6.278712
0.050000,0.046491,4.401364,0.043541,0.174166,0.348331,-0.000000,6.277513
0.050000,0.055635,4.401306,0.052685,0.191582,0.348331,0.000000,6.276199
0.050000,0.065649,4.401229,0.062700,0.208999,0.348331,-0.000000,6.274772
0.050000,0.076534,4.401129,0.073585,0.226415,0.348331,0.000000,6.273236
0.050000,0.088289,4.401002,0.085341,0.243832,0.348331,-0.000000,6.271594
0.050000,0.100916,4.400845,0.097968,0.261248,0.348331,0.000000,6.269850
0.050000,0.114412,4.400652,0.111466,0.278665,0.348331,-0.000000,6.268009
0.050000,0.128779,4.400420,0.125835,0.296082,0.348331,0.000000,6.266075
0.050000,0.144016,4.400144,0.141074,0.313498,0.348331,0.000000,6.264052
0.050000,0.160123,4.399819,0.157184,0.330915,0.348331,0.000000,6.261946
0.050000,0.177100,4.399440,0.174166,0.348331,0.348331,-0.000000,6.259763
0.050000,0.194946,4.399001,0.192018,0.365748,0.348331,0.000000,6.257507
0.050000,0.213662,4.398499,0.210740,0.383164,0.348331,-0.000000,6.255184
0.050000,0.233248,4.397927,0.230334,0.400581,0.348331,-0.000000,6.252801
0.050000,0.253702,4.397280,0.250798,0.417997,0.348331,0.000000,6.250364
0.050000,0.275025,4.396553,0.272134,0.435414,0.348331,0.000000,6.247879
0.050000,0.297216,4.395741,0.294340,0.452831,0.348331,-0.000000,6.245354
0.050000,0.320275,4.394839,0.317417,0.470247,0.348331,0.000000,6.242796
0.050000,0.344202,4.393841,0.341365,0.487664,0.348331,-0.000000,6.240211
0.050000,0.368996,4.392742,0.366183,0.505080,0.348331,0.000000,6.237607
0.050000,0.394658,4.391538,0.391873,0.522497,0.348331,0.000000,6.234993
0.050000,0.421185,4.390224,0.418433,0.539913,0.348331,-0.000000,6.232376
0.050000,0.448579,4.388794,0.445864,0.557330,0.348331,0.000000,6.229764
0.050000,0.476839,4.387246,0.474166,0.574747,0.348331,0.000000,6.227166
0.050000,0.505964,4.385575,0.503339,0.592163,0.348331,-0.000000,6.224590
0.050000,0.535953,4.383777,0.533382,0.609580,0.348331,0.000000,6.222046
0.050000,0.566808,4.381850,0.564297,0.626996,0.348331,-0.000000,6.219542
0.050000,0.598526,4.379789,0.596082,0.644413,0.348331,0.000000,6.217087
0.050000,0.631108,4.377592,0.628738,0.661829,0.348331,-0.000000,6.214692
0.050000,0.664554,4.375259,0.662265,0.679246,0.348331,0.000000,6.212366
0.050000,0.698862,4.372786,0.696662,0.696662,0.348331,-0.000000,6.210118
0.050000,0.734034,4.370173,0.731931,0.714079,0.348331,0.000000,6.207959
0.050000,0.770068,4.367419,0.768070,0.731496,0.348331,0.000000,6.205899
0.050000,0.806965,4.364525,0.805081,0.748912,0.348331,-0.000000,6.203949
0.050000,0.844724,4.361491,0.842962,0.766329,0.348331,0.000000,6.202119
0.050000,0.883346,4.358320,0.881713,0.783745,0.348331,-0.000000,6.200420
0.050000,0.922831,4.355013,0.921336,0.801162,0.348331,0.000000,6.198864
0.050000,0.963178,4.351574,0.961830,0.818578,0.348331,0.000000,6.197462
0.050000,1.004388,4.348006,1.003194,0.835995,0.348331,-0.000000,6.196225
0.050000,1.046462,4.344315,1.045429,0.853412,0.348331,0.000000,6.195166
0.050000,1.089399,4.340506,1.088535,0.870828,0.348331,0.000000,6.194297
0.050000,1.133201,4.336587,1.132512,0.888245,0.348331,-0.000000,6.193630
0.050000,1.177868,4.332565,1.177360,0.905661,0.348331,0.000000,6.193178
0.050000,1.223401,4.328449,1.223078,0.923078,0.348331,-0.000000,6.192955
0.050000,1.269800,4.324251,1.269667,0.940494,0.348331,0.000000,6.192974
0.050000,1.317068,4.319981,1.317128,0.957911,0.348331,0.000000,6.193249
0.050000,1.365205,4.315652,1.365458,0.975327,0.348331,-0.000000,6.193795
0.050000,1.414212,4.311279,1.414660,0.992744,0.348331,0.000000,6.194625
0.050000,1.464091,4.306877,1.464733,1.010161,0.348331,-0.000000,6.195756
0.050000,1.514843,4.302464,1.515676,1.027577,0.348331,0.000000,6.197203
0.050000,1.566469,4.298059,1.567491,1.044994,0.348331,0.000000,6.198983
0.050000,1.618972,4.293683,1.620176,1.062410,0.348331,-0.000000,6.201111
0.050000,1.672353,4.289357,1.673732,1.079827,0.348331,0.000000,6.203607
0.050000,1.726614,4.285107,1.728158,1.097243,0.348331,0.000000,6.206487
0.050000,1.781756,4.280959,1.783456,1.114660,0.348331,0.000000,6.209771
0.050000,1.837780,4.276941,1.839624,1.132077,0.348331,0.000000,6.213477
0.050000,1.894689,4.273085,1.896664,1.149493,0.348331,-0.000000,6.217626
0.050000,1.952483,4.269422,1.954574,1.166910,0.348331,0.000000,6.222239
0.050000,2.011163,4.265989,2.013355,1.184326,0.348331,0.000000,6.227336
0.050000,2.070731,4.262824,2.073006,1.201743,0.348331,0.000000,6.232941
0.050000,2.131186,4.259968,2.133529,1.219159,0.348331,-0.000000,6.239075
0.050000,2.192528,4.257463,2.194922,1.236576,0.348331,0.000000,6.245763
0.050000,2.254757,4.255357,2.257186,1.253992,0.348331,0.000000,6.253029
0.050000,2.317870,4.253699,2.320322,1.271409,0.348331,0.000000,6.260897
0.050000,2.381865,4.252542,2.384327,1.288826,0.348331,0.000000,6.269393
0.050000,2.446739,4.251941,2.449204,1.306242,0.348331,-0.000000,6.278543
0.050000,2.511943,4.251953,2.514409,1.301963,-0.085582,-8.678264,0.005104
0.050000,2.576603,4.252610,2.579072,1.284547,-0.348331,-5.254986,0.015318
0.050000,2.640381,4.253923,2.642864,1.267130,-0.348331,-0.000000,0.025932
0.050000,2.703270,4.255898,2.705785,1.249713,-0.348331,0.000000,0.036926
0.050000,2.765264,4.258538,2.767835,1.232297,-0.348331,-0.000000,0.048281
0.050000,2.826354,4.261845,2.829015,1.214880,-0.348331,0.000000,0.059974
0.050000,2.886531,4.265819,2.889323,1.197464,-0.348331,0.000000,0.071983
0.050000,2.945787,4.270456,2.948761,1.180047,-0.348331,-0.000000,0.084287
0.050000,3.004114,4.275751,3.007328,1.162631,-0.348331,0.000000,0.096862
0.050000,3.061502,4.281697,3.065024,1.145214,-0.348331,-0.000000,0.109683
0.050000,3.117944,4.288283,3.121849,1.127797,-0.348331,0.000000,0.122727
0.050000,3.173431,4.295499,3.177804,1.110381,-0.348331,0.000000,0.135967
0.050000,3.227955,4.303330,3.232887,1.092964,-0.348331,-0.000000,0.149379
0.050000,3.281508,4.311759,3.287100,1.075548,-0.348331,0.000000,0.162937
0.050000,3.334083,4.320770,3.340442,1.058131,-0.348331,0.000000,0.176614
0.050000,3.385673,4.330344,3.392913,1.040715,-0.348331,0.000000,0.190386
0.050000,3.436272,4.340457,3.444514,1.023298,-0.348331,-0.000000,0.204226
0.050000,3.485874,4.351089,3.495243,1.005882,-0.348331,0.000000,0.218107
0.050000,3.534475,4.362215,3.545102,0.988465,-0.348331,-0.000000,0.232006
0.050000,3.582071,4.373808,3.594090,0.971048,-0.348331,0.000000,0.245897
0.050000,3.628658,4.385843,3.642207,0.953632,-0.348331,-0.000000,0.259756
0.050000,3.674234,4.398292,3.689453,0.936215,-0.348331,0.000000,0.273559
0.050000,3.718798,4.411126,3.735828,0.918799,-0.348331,0.000000,0.287283
0.050000,3.762349,4.424316,3.781333,0.901382,-0.348331,-0.000000,0.300907
0.050000,3.804886,4.437832,3.825966,0.883966,-0.348331,0.000000,0.314409
0.050000,3.846412,4.451643,3.869729,0.866549,-0.348331,0.000000,0.327771
0.050000,3.886929,4.465719,3.912621,0.849132,-0.348331,-0.000000,0.340973
0.050000,3.926438,4.480028,3.954643,0.831716,-0.348331,0.000000,0.353999
0.050000,3.964944,4.494540,3.995793,0.814299,-0.348331,-0.000000,0.366831
0.050000,4.002452,4.509223,4.036072,0.796883,-0.348331,0.000000,0.379456
0.050000,4.038966,4.524047,4.075481,0.779466,-0.348331,0.000000,0.391859
0.050000,4.074493,4.538982,4.114019,0.762050,-0.348331,-0.000000,0.404029
0.050000,4.109038,4.553996,4.151686,0.744633,-0.348331,0.000000,0.415953
0.050000,4.142609,4.569060,4.188482,0.727217,-0.348331,0.000000,0.427623
0.050000,4.175214,4.584144,4.224408,0.709800,-0.348331,0.000000,0.439028
0.050000,4.206860,4.599221,4.259462,0.692383,-0.348331,-0.000000,0.450163
0.050000,4.237557,4.614261,4.293646,0.674967,-0.348331,0.000000,0.461019
