dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,2.984730,1.993587,0.000437,0.017483,0.349650,6.993007,0.004546
0.050000,2.984714,1.993587,0.000453,0.000320,-0.343254,-13.858084,0.004597
0.050000,2.984687,1.993586,0.000480,0.000533,0.004270,6.950476,0.004683
0.050000,2.984650,1.993586,0.000517,0.000747,0.004278,0.000169,0.004804
0.050000,2.984602,1.993586,0.000565,0.000962,0.004290,0.000237,0.004959
0.050000,2.988166,1.993604,0.004129,0.071279,1.406352,28.041227,0.005149
0.050000,2.993777,1.993634,0.009741,0.112237,0.819157,-11.743888,0.005374
0.050000,3.000253,1.993669,0.016217,0.129512,0.345492,-9.473305,0.005634
0.050000,3.007590,1.993712,0.023554,0.146746,0.344678,-0.016270,0.005930
0.050000,3.015793,1.993762,0.031757,0.164055,0.346182,0.030069,0.006261
0.050000,3.024857,1.993820,0.040821,0.181286,0.344624,-0.031164,0.006629
0.050000,3.034783,1.993888,0.050747,0.198531,0.344901,0.005540,0.007033
0.050000,3.045572,1.993966,0.061537,0.215785,0.345074,0.003462,0.007475
0.050000,3.057224,1.994056,0.073189,0.233042,0.345141,0.001347,0.007954
0.050000,3.069738,1.994159,0.085704,0.250297,0.345101,-0.000806,0.008471
0.050000,3.083115,1.994276,0.099081,0.267544,0.344951,-0.002998,0.009027
0.050000,3.097353,1.994409,0.113320,0.284779,0.344689,-0.005232,0.009622
0.050000,3.112452,1.994559,0.128420,0.301995,0.344314,-0.007508,0.010257
0.050000,3.128412,1.994728,0.144381,0.319224,0.344589,0.005509,0.010933
0.050000,3.145235,1.994918,0.161205,0.336482,0.345163,0.011470,0.011651
0.050000,3.162917,1.995131,0.178887,0.353649,0.343345,-0.036353,0.012411
0.050000,3.181461,1.995368,0.197433,0.370920,0.345416,0.041422,0.013214
0.050000,3.200864,1.995633,0.216838,0.388098,0.343558,-0.037176,0.014062
0.050000,3.221126,1.995927,0.237102,0.405275,0.343538,-0.000401,0.014955
0.050000,3.242249,1.996253,0.258227,0.422507,0.344643,0.022100,0.015895
0.050000,3.264230,1.996613,0.280212,0.439693,0.343708,-0.018695,0.016882
0.050000,3.287070,1.997010,0.303055,0.456863,0.343405,-0.006054,0.017919
0.050000,3.310767,1.997448,0.326756,0.474026,0.343269,-0.002724,0.019005
0.050000,3.335321,1.997928,0.351315,0.491176,0.342998,-0.005419,0.020144
0.050000,3.360734,1.998456,0.376733,0.508355,0.343573,0.011498,0.021336
0.050000,3.387003,1.999032,0.403008,0.525504,0.342982,-0.011820,0.022583
0.050000,3.414125,1.999663,0.430138,0.542597,0.341860,-0.022443,0.023887
0.050000,3.442104,2.000350,0.458125,0.559747,0.343008,0.022968,0.025250
0.050000,3.470935,2.001099,0.486967,0.576824,0.341540,-0.029359,0.026673
0.050000,3.500622,2.001913,0.516664,0.593955,0.342619,0.021571,0.028159
0.050000,3.531159,2.002797,0.547214,0.611001,0.340921,-0.033955,0.029710
0.050000,3.562547,2.003755,0.578617,0.628055,0.341079,0.003159,0.031329
0.050000,3.594787,2.004792,0.610873,0.645122,0.341344,0.005296,0.033017
0.050000,3.627876,2.005914,0.643981,0.662155,0.340662,-0.013640,0.034779
0.050000,3.661812,2.007126,0.677939,0.679167,0.340228,-0.008666,0.036616
0.050000,3.696597,2.008434,0.712748,0.696182,0.340297,0.001377,0.038533
0.050000,3.732226,2.009843,0.748406,0.713144,0.339255,-0.020853,0.040532
0.050000,3.768698,2.011360,0.784909,0.730059,0.338291,-0.019275,0.042616
0.050000,3.806013,2.012992,0.822260,0.747025,0.339311,0.020408,0.044791
0.050000,3.844167,2.014745,0.860454,0.763884,0.337181,-0.042609,0.047060
0.050000,3.883162,2.016628,0.899494,0.780804,0.338404,0.024463,0.049427
0.050000,3.922992,2.018647,0.939375,0.797616,0.336250,-0.043068,0.051898
0.050000,3.963655,2.020812,0.980096,0.814420,0.336076,-0.003481,0.054477
0.050000,4.005150,2.023130,1.021656,0.831203,0.335650,-0.008534,0.057170
0.050000,4.047475,2.025612,1.064054,0.847950,0.334949,-0.014016,0.059983
0.050000,4.090626,2.028267,1.107286,0.864648,0.333951,-0.019959,0.062923
0.050000,4.134598,2.031105,1.151350,0.881279,0.332631,-0.026397,0.065996
0.050000,4.179391,2.034137,1.196245,0.897902,0.332453,-0.003566,0.069211
0.050000,4.224999,2.037376,1.241968,0.914456,0.331087,-0.027312,0.072576
0.050000,4.271419,2.040832,1.288516,0.930966,0.330197,-0.017813,0.076099
0.050000,4.318644,2.044520,1.335885,0.947381,0.328303,-0.037882,0.079790
0.050000,4.366671,2.048454,1.384073,0.963757,0.327508,-0.015887,0.083660
0.050000,4.415495,2.052647,1.433077,0.980071,0.326280,-0.024569,0.087721
0.050000,4.465109,2.057117,1.482892,0.996299,0.324569,-0.034211,0.091986
0.050000,4.515505,2.061879,1.533512,1.012415,0.322324,-0.044908,0.096468
0.050000,4.566676,2.066952,1.584934,1.028442,0.320535,-0.035783,0.101184
0.050000,4.618616,2.072355,1.637154,1.044396,0.319088,-0.028928,0.106149
0.050000,4.671314,2.078108,1.690165,1.060214,0.316359,-0.054586,0.111384
0.050000,4.724758,2.084234,1.743959,1.075887,0.313464,-0.057897,0.116908
0.050000,4.778938,2.090757,1.798531,1.091430,0.310856,-0.052161,0.122745
0.050000,4.833841,2.097701,1.853871,1.106799,0.307381,-0.069501,0.128922
0.050000,4.889452,2.105094,1.909971,1.122008,0.304173,-0.064161,0.135465
0.050000,4.945755,2.112966,1.966822,1.137019,0.300211,-0.079234,0.142409
0.050000,5.002732,2.121348,2.024412,1.151804,0.295702,-0.090176,0.149790
0.050000,5.060360,2.130275,2.082728,1.166312,0.290164,-0.110771,0.157648
0.050000,5.118616,2.139784,2.141755,1.180533,0.284427,-0.114742,0.166030
0.050000,5.177472,2.149915,2.201476,1.194438,0.278086,-0.126827,0.174990
0.050000,5.236898,2.160713,2.261875,1.207980,0.270852,-0.144677,0.184587
0.050000,5.296857,2.172225,2.322930,1.221082,0.262033,-0.176363,0.194892
0.050000,5.357306,2.184502,2.384613,1.233663,0.251632,-0.208020,0.205984
0.050000,5.418198,2.197602,2.446897,1.245693,0.240588,-0.220887,0.217955
0.050000,5.479475,2.211586,2.509750,1.257055,0.227244,-0.266891,0.230915
0.050000,5.541072,2.226520,2.573132,1.267631,0.211530,-0.314281,0.244988
0.050000,5.602909,2.242478,2.636995,1.277261,0.192599,-0.378611,0.260325
0.050000,5.664897,2.259540,2.701288,1.285861,0.172001,-0.411965,0.277101
0.050000,5.726923,2.277791,2.765943,1.293096,0.144682,-0.546368,0.295525
0.050000,5.788853,2.297323,2.830881,1.298762,0.113328,-0.627085,0.315848
0.050000,5.850536,2.318239,2.896012,1.302633,0.077412,-0.718324,0.338376
0.050000,5.911774,2.340641,2.961219,1.304136,0.030076,-0.946712,0.363473
0.050000,5.972339,2.364639,3.026366,1.302930,-0.024119,-1.083908,0.391589
0.050000,6.031946,2.390340,3.091278,1.298248,-0.093643,-1.390481,0.423271
0.050000,6.090256,2.417849,3.155751,1.289453,-0.175910,-1.645331,0.459194
0.050000,6.146848,2.447254,3.219527,1.275516,-0.278738,-2.056575,0.500184
0.050000,6.201221,2.478608,3.282292,1.255312,-0.404074,-2.506716,0.547244
0.050000,6.252778,2.511920,3.343674,1.227641,-0.553426,-2.987043,0.601581
0.050000,6.300833,2.547114,3.403238,1.191282,-0.727169,-3.474848,0.664593
0.050000,6.344639,2.584012,3.460513,1.145496,-0.915718,-3.770973,0.737801
0.050000,6.383454,2.622320,3.515049,1.090718,-1.095570,-3.597042,0.822654
0.050000,6.416665,2.661673,3.566543,1.029876,-1.216837,-2.425337,0.920126
0.050000,6.443936,2.701774,3.615038,0.969901,-1.199512,0.346492,1.030076
0.050000,6.465297,2.742641,3.661151,0.922270,-0.952610,4.938035,1.150519
0.050000,6.481046,2.784832,3.706186,0.900694,-0.431523,10.421743,1.277254
0.050000,6.491450,2.829400,3.751952,0.915319,0.292494,14.480341,1.404446
0.050000,6.496474,2.877480,3.800293,0.966826,1.030152,14.753162,1.526155
0.050000,6.495794,2.929776,3.852595,1.046025,1.583969,11.076347,1.637918
0.050000,6.489051,2.986341,3.909560,1.139300,1.865498,5.630573,1.737467
0.050000,6.476076,3.046700,3.971297,1.234749,1.908996,0.869959,1.824456
0.050000,6.456967,3.110129,4.037542,1.324904,1.803093,-2.118062,1.899739
0.050000,6.432030,3.175876,4.107860,1.406350,1.628916,-3.483544,1.964709
0.050000,6.401691,3.243289,4.181785,1.478508,1.443171,-3.714902,2.020878
0.050000,6.366421,3.311842,4.258879,1.541876,1.267346,-3.516495,2.069647
0.050000,6.326677,3.381138,4.338764,1.597694,1.116370,-3.019509,2.112234
0.050000,6.282884,3.450891,4.421124,1.647216,0.990442,-2.518573,2.149662
0.050000,6.235421,3.520894,4.505701,1.691533,0.886332,-2.082196,2.182770
0.050000,6.184622,3.591001,4.592278,1.731532,0.799991,-1.726815,2.212242
0.050000,6.130774,3.661115,4.680683,1.768113,0.731617,-1.367492,2.238637
0.050000,6.074127,3.731170,4.770775,1.801836,0.674458,-1.143179,2.262413
0.050000,6.014894,3.801126,4.862440,1.833293,0.629129,-0.906577,2.283944
0.050000,5.953264,3.870954,4.955575,1.862714,0.588420,-0.814177,2.303537
0.050000,5.889392,3.940646,5.050109,1.890669,0.559104,-0.586327,2.321450
0.050000,5.823420,4.010196,5.145971,1.917237,0.531361,-0.554844,2.337895
0.050000,5.755466,4.079607,5.243108,1.942748,0.510221,-0.422804,2.353053
0.050000,5.685638,4.148881,5.341469,1.967210,0.489239,-0.419655,2.367075
0.050000,5.614027,4.218032,5.441018,1.990986,0.475518,-0.274401,2.380089
0.050000,5.540714,4.287068,5.541719,2.014022,0.460733,-0.295709,2.392205
0.050000,5.465772,4.356001,5.643543,2.036486,0.449268,-0.229302,2.403518
0.050000,5.389261,4.424847,5.746469,2.058515,0.440590,-0.173549,2.414110
0.050000,5.311245,4.493612,5.850464,2.079900,0.427687,-0.258067,2.424050
0.050000,5.231767,4.562314,5.955520,2.101117,0.424356,-0.066618,2.433401
0.050000,5.150876,4.630966,6.061616,2.121927,0.416196,-0.163196,2.442218
0.050000,5.068613,4.699578,6.168737,2.142410,0.409654,-0.130850,2.450546
0.050000,4.985015,4.768163,6.276869,2.162635,0.404507,-0.102936,2.458429
0.050000,4.900114,4.836733,6.386002,2.182664,0.400564,-0.078864,2.465903
0.050000,4.813938,4.905302,6.496129,2.202546,0.397658,-0.058119,2.473003
0.050000,4.726522,4.973874,6.607232,2.222049,0.390047,-0.152216,2.479755
0.050000,4.637882,5.042469,6.719314,2.241640,0.391831,0.035680,2.486189
0.050000,4.548049,5.111088,6.832356,2.260844,0.384067,-0.155289,2.492327
0.050000,4.457039,5.179745,6.946359,2.280056,0.384253,0.003732,2.498191
0.050000,4.364871,5.248450,7.061316,2.299140,0.381670,-0.051669,2.503799
0.050000,4.271566,5.317210,7.177220,2.318095,0.379107,-0.051250,2.509171
0.050000,4.163676,5.399123,7.312682,2.709234,7.822777,148.873401,2.440848
0.050000,4.050518,5.507809,7.469582,3.137995,8.575216,15.048774,2.319311
0.050000,3.956659,5.617651,7.614062,2.889604,-4.967823,-270.860783,2.240840
0.050000,3.874120,5.728179,7.752009,2.758936,-2.613360,47.089254,2.186332
0.050000,3.798878,5.839424,7.886310,2.686022,-1.458281,23.101579,2.146435
0.050000,3.728668,5.951443,8.018513,2.644068,-0.839082,12.383987,2.116132
0.050000,3.662093,6.064274,8.149521,2.620157,-0.478203,7.217586,2.092512
0.050000,3.598222,6.177925,8.279890,2.607379,-0.255560,4.452854,2.073778
0.050000,3.536614,6.291989,8.409528,2.592763,-0.292320,-0.735201,2.058814
0.050000,3.476971,6.406046,8.538238,2.574198,-0.371312,-1.579849,2.046844
0.050000,3.418894,6.520070,8.666201,2.559258,-0.298793,1.450396,2.037287
0.050000,3.362068,6.634029,8.793542,2.546828,-0.248601,1.003824,2.029734
0.050000,3.306239,6.747889,8.920353,2.536219,-0.212180,0.728431,2.023894
0.050000,3.251191,6.861610,9.046696,2.526861,-0.187163,0.500342,2.019562
0.050000,3.196741,6.975148,9.172616,2.518390,-0.169414,0.354981,2.016596
0.050000,3.142725,7.088456,9.298141,2.510502,-0.157775,0.232785,2.014903
0.050000,3.088994,7.201481,9.423288,2.502932,-0.151398,0.127523,2.014431
0.050000,3.035408,7.314161,9.548060,2.495445,-0.149728,0.033409,2.015167
0.050000,2.981835,7.426424,9.672451,2.487819,-0.152517,-0.055789,2.017132
0.050000,2.928143,7.538187,9.796442,2.479824,-0.159900,-0.147658,2.020386
0.050000,2.874200,7.649350,9.920002,2.471199,-0.172517,-0.252340,2.025032
0.050000,2.819868,7.759789,10.043083,2.461612,-0.191732,-0.384296,2.031226
0.050000,2.765005,7.869351,10.165613,2.450613,-0.219987,-0.565101,2.039188
0.050000,2.709455,7.977844,10.287500,2.437740,-0.257445,-0.749154,2.049231
0.050000,2.653051,8.085011,10.408604,2.422079,-0.313226,-1.115623,2.061796
0.050000,2.595612,8.190515,10.528731,2.402534,-0.390911,-1.553697,2.077514
0.050000,2.537122,8.293582,10.647238,2.370133,-0.648008,-5.141954,2.097242
0.050000,2.477611,8.393228,10.763301,2.321277,-0.977119,-6.582213,2.122222
0.050000,2.416975,8.488510,10.876241,2.258796,-1.249623,-5.450086,2.154451
0.050000,2.355203,8.578067,10.985036,2.175897,-1.657975,-8.167023,2.197226
0.050000,2.292637,8.659701,11.087888,2.057034,-2.377257,-14.385650,2.256330
0.050000,2.230653,8.729682,11.181373,1.869702,-3.746652,-27.387893,2.342786
0.050000,2.173784,8.781545,11.258339,1.539324,-6.607556,-57.218088,2.479606
0.050000,2.136074,8.805937,11.303251,0.898238,-12.821713,-124.283138,2.716904
0.050000,2.145676,8.805693,11.312857,0.192114,-14.122484,-26.015422,3.127094
0.050000,2.177383,8.812236,11.345231,0.647488,9.107486,464.599409,3.609244
0.050000,2.165589,8.801505,11.361176,0.318894,-6.571886,-313.587438,3.931860
0.050000,2.129031,8.755699,11.419782,1.172128,17.064681,472.731324,4.113753
0.050000,2.088058,8.686997,11.499774,1.599846,8.554354,-170.206539,4.223952
0.050000,2.048729,8.605388,11.590366,1.811821,4.239493,-86.297222,4.297199
0.050000,2.012370,8.516306,11.686582,1.924330,2.250198,-39.785891,4.349515
0.050000,1.979026,8.422711,11.785939,1.987146,1.256303,-19.877898,4.388914
0.050000,1.948426,8.326330,11.887061,2.022443,0.705949,-11.007083,4.419779
0.050000,1.920240,8.228205,11.989154,2.041848,0.388107,-6.356840,4.444707
0.050000,1.894164,8.129014,12.091716,2.051234,0.187716,-4.007824,4.465325
0.050000,1.869942,8.029226,12.194402,2.053721,0.049733,-2.759652,4.482707
0.050000,1.847348,7.929158,12.296988,2.051720,-0.040023,-1.795116,4.497594
0.050000,1.826199,7.829047,12.399309,2.046420,-0.105985,-1.319250,4.510510
0.050000,1.806336,7.729057,12.501253,2.038884,-0.150737,-0.895036,4.521843
0.050000,1.787628,7.629331,12.602718,2.029308,-0.191514,-0.815539,4.531879
0.050000,1.769962,7.529965,12.703642,2.018469,-0.216776,-0.505253,4.540840
0.050000,1.753240,7.431037,12.803974,2.006638,-0.236613,-0.396734,4.548898
0.050000,1.737377,7.332609,12.903671,1.993954,-0.253682,-0.341373,4.556191
0.050000,1.722300,7.234734,13.002701,1.980584,-0.267400,-0.274358,4.562826
0.050000,1.707948,7.137461,13.101027,1.966538,-0.280918,-0.270358,4.568894
0.050000,1.694263,7.040819,13.198633,1.952107,-0.288633,-0.154317,4.574468
0.050000,1.681194,6.944834,13.295503,1.937413,-0.293885,-0.105030,4.579607
0.050000,1.668699,6.849541,13.391612,1.922181,-0.304624,-0.214780,4.584364
0.050000,1.656738,6.754952,13.486955,1.906853,-0.306571,-0.038931,4.588781
0.050000,1.645274,6.661089,13.581516,1.891212,-0.312814,-0.124860,4.592895
0.050000,1.634276,6.567961,13.675290,1.875486,-0.314524,-0.034217,4.596738
0.050000,1.623715,6.475589,13.768265,1.859491,-0.319895,-0.107410,4.600335
0.050000,1.613565,6.383981,13.860433,1.843365,-0.322520,-0.052497,4.603712
0.050000,1.603801,6.293143,13.951794,1.827226,-0.322788,-0.005358,4.606887
0.050000,1.594402,6.203093,14.042333,1.810775,-0.329024,-0.124720,4.609880
0.050000,1.585348,6.113832,14.132052,1.794380,-0.327891,0.022648,4.612705
0.050000,1.576622,6.025375,14.220939,1.777743,-0.332746,-0.097094,4.615378
0.050000,1.568204,5.937715,14.309001,1.761249,-0.329876,0.057390,4.617909
0.050000,1.560080,5.850866,14.396230,1.744575,-0.333472,-0.071904,4.620311
0.050000,1.552235,5.764833,14.482620,1.727790,-0.335704,-0.044641,4.622593
0.050000,1.544657,5.679622,14.568167,1.710954,-0.336716,-0.020245,4.624765
