dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,2.986139,1.683590,0.000437,0.017483,0.349650,6.993007,0.004546
0.050000,2.986139,1.683590,0.001748,0.034965,0.349650,0.000000,0.004597
0.050000,2.986139,1.683590,0.003934,0.052448,0.349650,-0.000000,0.004683
0.050000,2.986139,1.683590,0.006993,0.069930,0.349650,0.000000,0.004804
0.050000,2.986139,1.683590,0.010927,0.087413,0.349650,0.000000,0.004959
0.050000,2.989762,1.683608,0.015734,0.104895,0.349650,-0.000000,0.005149
0.050000,2.995443,1.683638,0.021416,0.122378,0.349650,0.000000,0.005374
0.050000,3.001999,1.683674,0.027972,0.139860,0.349650,0.000000,0.005634
0.050000,3.009428,1.683717,0.035402,0.157343,0.349650,-0.000000,0.005930
0.050000,3.017733,1.683768,0.043706,0.174825,0.349650,0.000000,0.006261
0.050000,3.026912,1.683827,0.052885,0.192308,0.349650,-0.000000,0.006629
0.050000,3.036963,1.683896,0.062937,0.209790,0.349650,0.000000,0.007033
0.050000,3.047889,1.683975,0.073864,0.227273,0.349650,0.000000,0.007475
0.050000,3.059689,1.684066,0.085664,0.244755,0.349650,-0.000000,0.007954
0.050000,3.072364,1.684170,0.098339,0.262238,0.349650,0.000000,0.008471
0.050000,3.085913,1.684289,0.111888,0.279720,0.349650,0.000000,0.009027
0.050000,3.100336,1.684423,0.126311,0.297203,0.349650,-0.000000,0.009622
0.050000,3.115632,1.684575,0.141608,0.314685,0.349650,0.000000,0.010257
0.050000,3.131802,1.684746,0.157780,0.332168,0.349650,0.000000,0.010933
0.050000,3.148847,1.684939,0.174825,0.349650,0.349650,0.000000,0.011651
0.050000,3.166764,1.685154,0.192745,0.367133,0.349650,-0.000000,0.012411
0.050000,3.185557,1.685395,0.211538,0.384615,0.349650,0.000000,0.013214
0.050000,3.205223,1.685663,0.231206,0.402098,0.349650,-0.000000,0.014062
0.050000,3.225762,1.685961,0.251748,0.419580,0.349650,0.000000,0.014955
0.050000,3.247176,1.686292,0.273164,0.437063,0.349650,-0.000000,0.015895
0.050000,3.269464,1.686657,0.295455,0.454545,0.349650,0.000000,0.016882
0.050000,3.292624,1.687060,0.318619,0.472028,0.349650,-0.000000,0.017919
0.050000,3.316659,1.687504,0.342657,0.489510,0.349650,0.000000,0.019005
0.050000,3.341566,1.687991,0.367570,0.506993,0.349650,-0.000000,0.020144
0.050000,3.367347,1.688526,0.393357,0.524476,0.349650,0.000000,0.021336
0.050000,3.394003,1.689112,0.420017,0.541958,0.349650,-0.000000,0.022583
0.050000,3.421529,1.689751,0.447552,0.559441,0.349650,0.000000,0.023887
0.050000,3.449931,1.690449,0.475962,0.576923,0.349650,-0.000000,0.025250
0.050000,3.479203,1.691209,0.505245,0.594406,0.349650,-0.000000,0.026673
0.050000,3.509350,1.692036,0.535402,0.611888,0.349650,0.000000,0.028159
0.050000,3.540368,1.692933,0.566434,0.629371,0.349650,0.000000,0.029710
0.050000,3.572258,1.693907,0.598339,0.646853,0.349650,0.000000,0.031329
0.050000,3.605020,1.694961,0.631119,0.664336,0.349650,0.000000,0.033017
0.050000,3.638655,1.696102,0.664773,0.681818,0.349650,-0.000000,0.034779
0.050000,3.673161,1.697334,0.699301,0.699301,0.349650,0.000000,0.036616
0.050000,3.708539,1.698664,0.734703,0.716783,0.349650,-0.000000,0.038533
0.050000,3.744788,1.700097,0.770979,0.734266,0.349650,0.000000,0.040532
0.050000,3.781905,1.701641,0.808129,0.751748,0.349650,-0.000000,0.042616
0.050000,3.819894,1.703303,0.846154,0.769231,0.349650,0.000000,0.044791
0.050000,3.858750,1.705088,0.885052,0.786713,0.349650,-0.000000,0.047060
0.050000,3.898478,1.707006,0.924825,0.804196,0.349650,0.000000,0.049427
0.050000,3.939073,1.709064,0.965472,0.821678,0.349650,0.000000,0.051898
0.050000,3.980534,1.711271,1.006993,0.839161,0.349650,0.000000,0.054477
0.050000,4.022863,1.713637,1.049388,0.856643,0.349650,0.000000,0.057170
