dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,2.987548,1.373593,0.000437,0.017483,0.349650,6.993007,0.004546
0.050000,2.987564,1.373593,0.000453,0.000320,-0.343254,-13.858084,0.004597
0.050000,2.987591,1.373593,0.000480,0.000533,0.004270,6.950476,0.004683
0.050000,2.987628,1.373593,0.000517,0.000747,0.004278,0.000169,0.004804
0.050000,2.987676,1.373594,0.000565,0.000962,0.004290,0.000237,0.004959
0.050000,2.991358,1.373612,0.004247,0.073635,1.453456,28.983318,0.005149
0.050000,2.997109,1.373643,0.009998,0.115026,0.827819,-12.512741,0.005374
0.050000,3.003746,1.373679,0.016635,0.132737,0.354239,-9.471600,0.005634
0.050000,3.011266,1.373723,0.024156,0.150411,0.353477,-0.015252,0.005930
0.050000,3.019674,1.373774,0.032564,0.168166,0.355099,0.032447,0.006261
0.050000,3.028967,1.373834,0.041856,0.185846,0.353593,-0.030111,0.006629
0.050000,3.039144,1.373903,0.052033,0.203545,0.353980,0.007723,0.007033
0.050000,3.050206,1.373984,0.063096,0.221258,0.354270,0.005813,0.007475
0.050000,3.062155,1.374076,0.075045,0.238982,0.354464,0.003871,0.007954
0.050000,3.074990,1.374181,0.087881,0.256710,0.354558,0.001896,0.008471
0.050000,3.088711,1.374301,0.101603,0.274437,0.354553,-0.000112,0.009027
0.050000,3.103319,1.374437,0.116211,0.292159,0.354445,-0.002155,0.009622
0.050000,3.118811,1.374591,0.131704,0.309871,0.354233,-0.004233,0.010257
0.050000,3.135191,1.374765,0.148085,0.327606,0.354703,0.009393,0.010933
0.050000,3.152459,1.374960,0.165354,0.345381,0.355493,0.015800,0.011651
0.050000,3.170611,1.375178,0.183507,0.363073,0.353843,-0.032996,0.012411
0.050000,3.189654,1.375422,0.202551,0.380883,0.356201,0.047157,0.013214
0.050000,3.209582,1.375694,0.222482,0.398610,0.354540,-0.033214,0.014062
0.050000,3.230398,1.375996,0.243299,0.416349,0.354784,0.004880,0.014955
0.050000,3.252103,1.376331,0.265007,0.434160,0.356203,0.028366,0.015895
