dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.604503,4.439429,0.000432,0.017262,0.345232,6.904641,6.282752
0.050000,1.604440,4.439429,0.000495,0.001267,-0.319900,-13.302632,6.282956
0.050000,1.605039,4.439429,0.001094,0.011975,0.214166,10.681312,0.000111
0.050000,1.607912,4.439430,0.003967,0.057468,0.909855,13.913786,0.000586
0.050000,1.611607,4.439433,0.007662,0.073895,0.328545,-11.626211,0.001196
0.050000,1.616123,4.439440,0.012178,0.090328,0.328652,0.002142,0.001940
0.050000,1.621462,4.439453,0.017517,0.106768,0.328807,0.003092,0.002816
0.050000,1.627622,4.439473,0.023677,0.123216,0.328965,0.003170,0.003824
0.050000,1.634606,4.439504,0.030661,0.139674,0.329159,0.003872,0.004961
0.050000,1.642413,4.439548,0.038468,0.156144,0.329395,0.004734,0.006226
0.050000,1.651044,4.439607,0.047099,0.172625,0.329627,0.004641,0.007616
0.050000,1.660500,4.439687,0.056556,0.189121,0.329908,0.005620,0.009130
0.050000,1.670781,4.439789,0.066837,0.205631,0.330207,0.005965,0.010766
0.050000,1.681888,4.439918,0.077945,0.222158,0.330549,0.006850,0.012519
0.050000,1.693822,4.440079,0.089880,0.238703,0.330895,0.006919,0.014389
0.050000,1.706584,4.440275,0.102643,0.255267,0.331283,0.007764,0.016371
0.050000,1.720174,4.440512,0.116236,0.271852,0.331700,0.008344,0.018462
0.050000,1.734595,4.440794,0.130659,0.288459,0.332138,0.008759,0.020658
0.050000,1.749846,4.441127,0.145914,0.305090,0.332617,0.009574,0.022956
0.050000,1.765928,4.441515,0.162001,0.321746,0.333116,0.009986,0.025353
0.050000,1.782844,4.441965,0.178922,0.338428,0.333638,0.010438,0.027842
0.050000,1.800593,4.442483,0.196679,0.355138,0.334207,0.011367,0.030420
0.050000,1.819177,4.443073,0.215273,0.371878,0.334789,0.011648,0.033083
0.050000,1.838598,4.443742,0.234705,0.388648,0.335412,0.012468,0.035825
0.050000,1.858857,4.444497,0.254978,0.405451,0.336056,0.012862,0.038641
0.050000,1.879954,4.445343,0.276092,0.422288,0.336739,0.013670,0.041525
0.050000,1.901892,4.446287,0.298050,0.439160,0.337444,0.014101,0.044472
0.050000,1.924671,4.447335,0.320854,0.456069,0.338185,0.014810,0.047476
0.050000,1.948294,4.448494,0.344505,0.473017,0.338949,0.015294,0.050531
0.050000,1.972761,4.449770,0.369005,0.490004,0.339749,0.015997,0.053630
0.050000,1.998074,4.451168,0.394357,0.507033,0.340576,0.016544,0.056766
0.050000,2.024234,4.452697,0.420562,0.524105,0.341434,0.017145,0.059933
0.050000,2.051244,4.454361,0.447623,0.541221,0.342320,0.017728,0.063123
0.050000,2.079105,4.456167,0.475542,0.558383,0.343237,0.018336,0.066330
0.050000,2.107818,4.458121,0.504322,0.575592,0.344181,0.018873,0.069545
0.050000,2.137386,4.460228,0.533964,0.592849,0.345154,0.019465,0.072761
0.050000,2.167809,4.462495,0.564472,0.610157,0.346156,0.020041,0.075969
0.050000,2.199091,4.464927,0.595848,0.627516,0.347186,0.020597,0.079161
0.050000,2.231232,4.467528,0.628094,0.644929,0.348243,0.021144,0.082330
0.050000,2.264235,4.470304,0.661214,0.662395,0.349328,0.021703,0.085465
0.050000,2.298102,4.473258,0.695210,0.679917,0.350440,0.022236,0.088558
0.050000,2.332836,4.476396,0.730085,0.697496,0.351579,0.022778,0.091600
0.050000,2.368438,4.479720,0.765841,0.715133,0.352743,0.023288,0.094581
0.050000,2.404910,4.483234,0.802483,0.732830,0.353935,0.023840,0.097492
0.050000,2.442256,4.486941,0.840012,0.750587,0.355152,0.024339,0.100324
0.050000,2.480478,4.490842,0.878432,0.768407,0.356395,0.024868,0.103065
0.050000,2.519578,4.494938,0.917747,0.786290,0.357662,0.025336,0.105706
0.050000,2.559560,4.499232,0.957959,0.804238,0.358958,0.025908,0.108236
0.050000,2.600427,4.503723,0.999071,0.822252,0.360277,0.026380,0.110645
0.050000,2.642181,4.508411,1.041088,0.840333,0.361621,0.026883,0.112922
0.050000,2.684827,4.513294,1.084012,0.858483,0.362992,0.027420,0.115055
0.050000,2.728367,4.518370,1.127847,0.876702,0.364387,0.027894,0.117034
0.050000,2.772806,4.523636,1.172597,0.894992,0.365809,0.028440,0.118848
0.050000,2.818147,4.529089,1.218265,0.913355,0.367258,0.028988,0.120483
0.050000,2.864394,4.534723,1.264854,0.931792,0.368731,0.029471,0.121929
0.050000,2.911553,4.540533,1.312370,0.950304,0.370234,0.030058,0.123173
0.050000,2.959627,4.546510,1.360814,0.968892,0.371764,0.030587,0.124204
0.050000,3.008622,4.552648,1.410192,0.987558,0.373322,0.031169,0.125008
0.050000,3.058543,4.558937,1.460507,1.006303,0.374909,0.031744,0.125572
0.050000,3.109395,4.565365,1.511764,1.025130,0.376527,0.032346,0.125885
0.050000,3.160449,4.571829,1.563225,1.029235,0.082100,-5.888534,0.125932
