dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.604369,4.129429,0.000432,0.017262,0.345232,6.904641,6.282752
0.050000,1.604369,4.129429,0.001726,0.034523,0.345232,0.000000,6.282956
0.050000,1.605073,4.129429,0.003884,0.051785,0.345232,-0.000000,0.000111
0.050000,1.608094,4.129430,0.006905,0.069046,0.345232,0.000000,0.000586
0.050000,1.611978,4.129433,0.010789,0.086308,0.345232,-0.000000,0.001196
0.050000,1.616725,4.129441,0.015535,0.103570,0.345232,0.000000,0.001940
0.050000,1.622335,4.129454,0.021145,0.120831,0.345232,0.000000,0.002816
0.050000,1.628808,4.129476,0.027619,0.138093,0.345232,0.000000,0.003824
0.050000,1.636144,4.129508,0.034955,0.155354,0.345232,-0.000000,0.004961
0.050000,1.644343,4.129554,0.043154,0.172616,0.345232,0.000000,0.006226
0.050000,1.653405,4.129616,0.052216,0.189878,0.345232,0.000000,0.007616
0.050000,1.663330,4.129700,0.062142,0.207139,0.345232,-0.000000,0.009130
0.050000,1.674118,4.129807,0.072930,0.224401,0.345232,0.000000,0.010766
0.050000,1.685769,4.129943,0.084582,0.241662,0.345232,0.000000,0.012519
0.050000,1.698282,4.130111,0.097097,0.258924,0.345232,-0.000000,0.014389
0.050000,1.711659,4.130317,0.110474,0.276186,0.345232,0.000000,0.016371
0.050000,1.725897,4.130565,0.124715,0.293447,0.345232,-0.000000,0.018462
0.050000,1.740998,4.130860,0.139819,0.310709,0.345232,0.000000,0.020658
0.050000,1.756961,4.131208,0.155786,0.327970,0.345232,-0.000000,0.022956
0.050000,1.773787,4.131615,0.172616,0.345232,0.345232,0.000000,0.025353
0.050000,1.791473,4.132086,0.190309,0.362494,0.345232,0.000000,0.027842
0.050000,1.810022,4.132626,0.208865,0.379755,0.345232,0.000000,0.030420
0.050000,1.829431,4.133243,0.228285,0.397017,0.345232,-0.000000,0.033083
0.050000,1.849702,4.133941,0.248567,0.414278,0.345232,0.000000,0.035825
0.050000,1.870832,4.134729,0.269713,0.431540,0.345232,0.000000,0.038641
0.050000,1.892823,4.135611,0.291721,0.448802,0.345232,-0.000000,0.041525
0.050000,1.915674,4.136594,0.314593,0.466063,0.345232,0.000000,0.044472
0.050000,1.939383,4.137685,0.338327,0.483325,0.345232,-0.000000,0.047476
0.050000,1.963952,4.138890,0.362925,0.500586,0.345232,-0.000000,0.050531
0.050000,1.989378,4.140215,0.388386,0.517848,0.345232,0.000000,0.053630
0.050000,2.015662,4.141668,0.414710,0.535110,0.345232,0.000000,0.056766
0.050000,2.042803,4.143253,0.441897,0.552371,0.345232,0.000000,0.059933
0.050000,2.070800,4.144978,0.469947,0.569633,0.345232,-0.000000,0.063123
0.050000,2.099652,4.146849,0.498860,0.586894,0.345232,0.000000,0.066330
0.050000,2.129360,4.148870,0.528637,0.604156,0.345232,0.000000,0.069545
0.050000,2.159921,4.151049,0.559276,0.621418,0.345232,0.000000,0.072761
0.050000,2.191337,4.153389,0.590778,0.638679,0.345232,0.000000,0.075969
0.050000,2.223605,4.155898,0.623144,0.655941,0.345232,-0.000000,0.079161
0.050000,2.256725,4.158578,0.656372,0.673202,0.345232,0.000000,0.082330
0.050000,2.290697,4.161435,0.690464,0.690464,0.345232,-0.000000,0.085465
0.050000,2.325519,4.164473,0.725419,0.707726,0.345232,0.000000,0.088558
0.050000,2.361192,4.167696,0.761237,0.724987,0.345232,-0.000000,0.091600
0.050000,2.397714,4.171106,0.797918,0.742249,0.345232,0.000000,0.094581
0.050000,2.435085,4.174706,0.835462,0.759510,0.345232,0.000000,0.097492
0.050000,2.473304,4.178499,0.873869,0.776772,0.345232,0.000000,0.100324
0.050000,2.512371,4.182487,0.913139,0.794034,0.345232,-0.000000,0.103065
0.050000,2.552286,4.186669,0.953272,0.811295,0.345232,0.000000,0.105706
0.050000,2.593048,4.191046,0.994268,0.828557,0.345232,0.000000,0.108236
0.050000,2.634657,4.195619,1.036128,0.845818,0.345232,0.000000,0.110645
0.050000,2.677113,4.200385,1.078850,0.863080,0.345232,0.000000,0.112922
0.050000,2.720415,4.205344,1.122436,0.880342,0.345232,-0.000000,0.115055
0.050000,2.764565,4.210491,1.166884,0.897603,0.345232,0.000000,0.117034
0.050000,2.809562,4.215823,1.212196,0.914865,0.345232,0.000000,0.118848
0.050000,2.855406,4.221336,1.258371,0.932126,0.345232,0.000000,0.120483
0.050000,2.902099,4.227025,1.305409,0.949388,0.345232,-0.000000,0.121929
0.050000,2.949640,4.232881,1.353310,0.966650,0.345232,0.000000,0.123173
0.050000,2.998032,4.238898,1.402074,0.983911,0.345232,0.000000,0.124204
0.050000,3.047274,4.245067,1.451701,1.001173,0.345232,-0.000000,0.125008
0.050000,3.097368,4.251378,1.502191,1.018435,0.345232,0.000000,0.125572
0.050000,3.148316,4.257818,1.553544,1.035696,0.345232,0.000000,0.125885
0.050000,3.199385,4.264284,1.605021,1.023366,-0.246607,-11.836775,0.125932
0.050000,3.249720,4.270652,1.655757,1.006104,-0.345232,-1.972507,0.125720
0.050000,3.299202,4.276895,1.705631,0.988843,-0.345232,-0.000000,0.125259
0.050000,3.347830,4.283002,1.754642,0.971581,-0.345232,0.000000,0.124564
0.050000,3.395607,4.288963,1.802789,0.954319,-0.345232,0.000000,0.123646
0.050000,3.442534,4.294769,1.850074,0.937058,-0.345232,-0.000000,0.122519
0.050000,3.488611,4.300413,1.896495,0.919796,-0.345232,0.000000,0.121194
0.050000,3.533839,4.305887,1.942053,0.902535,-0.345232,-0.000000,0.119683
0.050000,3.578219,4.311187,1.986748,0.885273,-0.345232,0.000000,0.117999
0.050000,3.621751,4.316308,2.030581,0.868011,-0.345232,-0.000000,0.116152
0.050000,3.664435,4.321246,2.073550,0.850750,-0.345232,0.000000,0.114154
0.050000,3.706272,4.325998,2.115656,0.833488,-0.345232,0.000000,0.112016
0.050000,3.747262,4.330562,2.156898,0.816227,-0.345232,0.000000,0.109749
0.050000,3.787404,4.334937,2.197278,0.798965,-0.345232,-0.000000,0.107363
0.050000,3.826698,4.339123,2.236795,0.781703,-0.345232,0.000000,0.104870
0.050000,3.865145,4.343120,2.275449,0.764442,-0.345232,0.000000,0.102279
0.050000,3.902743,4.346929,2.313239,0.747180,-0.345232,0.000000,0.099600
0.050000,3.939492,4.350550,2.350167,0.729919,-0.345232,0.000000,0.096843
0.050000,3.975392,4.353987,2.386231,0.712657,-0.345232,0.000000,0.094018
0.050000,4.010443,4.357242,2.421432,0.695395,-0.345232,-0.000000,0.091135
0.050000,4.044643,4.360317,2.455770,0.678134,-0.345232,0.000000,0.088202
0.050000,4.077992,4.363216,2.489246,0.660872,-0.345232,0.000000,0.085228
0.050000,4.110490,4.365944,2.521858,0.643611,-0.345232,-0.000000,0.082223
0.050000,4.142136,4.368504,2.553607,0.626349,-0.345232,0.000000,0.079195
0.050000,4.172929,4.370901,2.584493,0.609087,-0.345232,0.000000,0.076151
0.050000,4.202868,4.373139,2.614515,0.591826,-0.345232,0.000000,0.073102
0.050000,4.231953,4.375225,2.643675,0.574564,-0.345232,-0.000000,0.070053
0.050000,4.260183,4.377163,2.671972,0.557303,-0.345232,0.000000,0.067013
0.050000,4.287558,4.378959,2.699405,0.540041,-0.345232,0.000000,0.063990
0.050000,4.314077,4.380618,2.725976,0.522779,-0.345232,0.000000,0.060990
0.050000,4.339738,4.382147,2.751683,0.505518,-0.345232,-0.000000,0.058021
0.050000,4.364543,4.383552,2.776528,0.488256,-0.345232,0.000000,0.055089
0.050000,4.388490,4.384838,2.800509,0.470995,-0.345232,0.000000,0.052201
0.050000,4.411578,4.386011,2.823627,0.453733,-0.345232,0.000000,0.049363
0.050000,4.433808,4.387079,2.845882,0.436471,-0.345232,-0.000000,0.046581
0.050000,4.455178,4.388046,2.867274,0.419210,-0.345232,0.000000,0.043861
0.050000,4.475688,4.388919,2.887803,0.401948,-0.345232,-0.000000,0.041209
0.050000,4.495338,4.389704,2.907469,0.384687,-0.345232,0.000000,0.038629
0.050000,4.514128,4.390406,2.926272,0.367425,-0.345232,0.000000,0.036127
0.050000,4.532057,4.391033,2.944212,0.350163,-0.345232,0.000000,0.033708
0.050000,4.549124,4.391588,2.961288,0.332902,-0.345232,-0.000000,0.031376
0.050000,4.565330,4.392079,2.977502,0.315640,-0.345232,0.000000,0.029136
0.050000,4.580675,4.392510,2.992852,0.298378,-0.345232,0.000000,0.026992
0.050000,4.595157,4.392886,3.007340,0.281117,-0.345232,-0.000000,0.024947
0.050000,4.608778,4.393212,3.020964,0.263855,-0.345232,0.000000,0.023006
0.050000,4.621536,4.393494,3.033725,0.246594,-0.345232,-0.000000,0.021171
0.050000,4.633432,4.393736,3.045623,0.229332,-0.345232,-0.000000,0.019447
0.050000,4.644465,4.393942,3.056658,0.212070,-0.345232,0.000000,0.017835
0.050000,4.654635,4.394115,3.066830,0.194809,-0.345232,0.000000,0.016339
0.050000,4.663943,4.394261,3.076139,0.177547,-0.345232,-0.000000,0.014962
0.050000,4.672388,4.394382,3.084585,0.160286,-0.345232,0.000000,0.013705
0.050000,4.679970,4.394482,3.092168,0.143024,-0.345232,0.000000,0.012571
0.050000,4.686689,4.394563,3.098887,0.125762,-0.345232,-0.000000,0.011561
0.050000,4.692545,4.394628,3.104744,0.108501,-0.345232,0.000000,0.010678
0.050000,4.697539,4.394679,3.109738,0.091239,-0.345232,-0.000000,0.009922
0.050000,4.701669,4.394719,3.113868,0.073978,-0.345232,0.000000,0.009295
0.050000,4.704936,4.394749,3.117135,0.056716,-0.345232,0.000000,0.008798
0.050000,4.707340,4.394769,3.119540,0.039454,-0.345232,0.000000,0.008432
0.050000,4.708881,4.394782,3.121081,0.022193,-0.345232,0.000000,0.008196
0.050000,4.709559,4.394788,3.121759,0.004931,-0.345232,-0.000000,0.008093
0.050000,4.709683,4.394789,3.121882,0.000000,-0.098625,4.932134,0.008074
0.050000,4.709683,4.394789,3.121882,0.000000,0.000000,1.972507,0.008074
0.050000,4.709683,4.394789,3.121882,0.000000,0.000000,0.000000,0.008074
