dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.604215,3.779429,0.000216,0.008657,0.173144,3.462880,6.282746
0.050000,1.604247,3.779429,0.000248,0.000628,-0.160591,-6.674690,6.282836
0.050000,1.604299,3.779429,0.000300,0.001046,0.008359,3.378985,6.282985
0.050000,1.604435,3.779429,0.000437,0.002730,0.033684,0.506513,0.000009
0.050000,1.606477,3.779429,0.002478,0.040837,0.762135,14.569013,0.000277
0.050000,1.608973,3.779430,0.004974,0.049908,0.181433,-11.614050,0.000605
0.050000,1.611921,3.779433,0.007923,0.058978,0.181404,-0.000563,0.000991
0.050000,1.615324,3.779437,0.011325,0.068047,0.181368,-0.000718,0.001437
0.050000,1.619179,3.779443,0.015181,0.077113,0.181324,-0.000891,0.001941
0.050000,1.623488,3.779453,0.019490,0.086177,0.181271,-0.001063,0.002503
0.050000,1.628250,3.779466,0.024251,0.095237,0.181209,-0.001233,0.003122
0.050000,1.633465,3.779484,0.029466,0.104294,0.181147,-0.001235,0.003799
0.050000,1.639132,3.779508,0.035134,0.113348,0.181081,-0.001324,0.004532
0.050000,1.645252,3.779538,0.041253,0.122399,0.181003,-0.001567,0.005322
0.050000,1.651824,3.779576,0.047826,0.131444,0.180917,-0.001707,0.006167
0.050000,1.658848,3.779622,0.054850,0.140486,0.180832,-0.001718,0.007067
0.050000,1.666324,3.779679,0.062326,0.149523,0.180737,-0.001892,0.008021
0.050000,1.674252,3.779746,0.070254,0.158555,0.180634,-0.002063,0.009028
0.050000,1.682630,3.779826,0.078633,0.167581,0.180522,-0.002231,0.010089
0.050000,1.691460,3.779920,0.087463,0.176602,0.180423,-0.001987,0.011201
0.050000,1.700740,3.780030,0.096744,0.185616,0.180283,-0.002791,0.012364
0.050000,1.710470,3.780156,0.106475,0.194624,0.180170,-0.002269,0.013578
0.050000,1.720651,3.780301,0.116656,0.203626,0.180031,-0.002768,0.014841
0.050000,1.731281,3.780465,0.127287,0.212621,0.179890,-0.002833,0.016152
0.050000,1.742359,3.780652,0.138368,0.221608,0.179743,-0.002932,0.017510
0.050000,1.753887,3.780862,0.149897,0.230587,0.179591,-0.003052,0.018914
