dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.549928,5.612014,0.000434,0.017376,0.347518,6.950359,0.000281
0.050000,1.549960,5.612014,0.000466,0.000636,-0.334804,-13.646438,0.000179
0.050000,1.550013,5.612014,0.000519,0.001056,0.008414,6.864357,0.000008
0.050000,1.553020,5.612014,0.003527,0.060151,1.181888,23.469484,6.282956
0.050000,1.557024,5.612012,0.007530,0.080073,0.398450,-15.668755,6.282653
0.050000,1.561917,5.612009,0.012423,0.097850,0.355544,-0.858136,6.282284
0.050000,1.567697,5.612002,0.018204,0.115616,0.355319,-0.004486,6.281853
0.050000,1.574366,5.611992,0.024872,0.133371,0.355100,-0.004384,6.281361
0.050000,1.581921,5.611976,0.032428,0.151111,0.354794,-0.006113,6.280810
0.050000,1.590363,5.611953,0.040869,0.168836,0.354496,-0.005960,6.280203
0.050000,1.599690,5.611922,0.050197,0.186543,0.354137,-0.007180,6.279542
0.050000,1.609902,5.611881,0.060408,0.204229,0.353733,-0.008096,6.278831
0.050000,1.620996,5.611829,0.071503,0.221896,0.353328,-0.008090,6.278074
0.050000,1.632973,5.611763,0.083480,0.239539,0.352854,-0.009477,6.277273
0.050000,1.645831,5.611681,0.096338,0.257156,0.352350,-0.010075,6.276434
0.050000,1.659568,5.611583,0.110075,0.274747,0.351824,-0.010532,6.275559
0.050000,1.674183,5.611464,0.124690,0.292310,0.351253,-0.011408,6.274655
0.050000,1.689674,5.611325,0.140183,0.309843,0.350651,-0.012043,6.273725
0.050000,1.706041,5.611162,0.156550,0.327343,0.350000,-0.013037,6.272775
0.050000,1.723280,5.610975,0.173790,0.344809,0.349325,-0.013483,6.271811
0.050000,1.741391,5.610760,0.191902,0.362240,0.348627,-0.013960,6.270838
0.050000,1.760371,5.610516,0.210884,0.379634,0.347884,-0.014867,6.269861
0.050000,1.780218,5.610242,0.230733,0.396990,0.347105,-0.015584,6.268889
0.050000,1.800931,5.609936,0.251449,0.414304,0.346287,-0.016349,6.267926
0.050000,1.822508,5.609596,0.273027,0.431576,0.345446,-0.016828,6.266979
0.050000,1.844945,5.609222,0.295468,0.448805,0.344578,-0.017354,6.266057
0.050000,1.868240,5.608812,0.318767,0.465987,0.343645,-0.018673,6.265165
0.050000,1.892392,5.608367,0.342923,0.483123,0.342716,-0.018581,6.264313
0.050000,1.917398,5.607884,0.367934,0.500210,0.341732,-0.019661,6.263507
0.050000,1.943255,5.607366,0.393796,0.517246,0.340718,-0.020297,6.262756
0.050000,1.969961,5.606811,0.420507,0.534229,0.339664,-0.021069,6.262068
0.050000,1.997513,5.606220,0.448065,0.551158,0.338588,-0.021523,6.261452
0.050000,2.025907,5.605595,0.476467,0.568032,0.337468,-0.022395,6.260918
0.050000,2.055142,5.604937,0.505709,0.584847,0.336314,-0.023079,6.260473
0.050000,2.085215,5.604248,0.535789,0.601604,0.335125,-0.023792,6.260129
0.050000,2.116121,5.603532,0.566704,0.618298,0.333895,-0.024599,6.259894
0.050000,2.147859,5.602790,0.598451,0.634930,0.332632,-0.025255,6.259780
0.050000,2.180425,5.602028,0.631026,0.651496,0.331327,-0.026105,6.259796
0.050000,2.213816,5.601249,0.664425,0.667995,0.329981,-0.026922,6.259954
0.050000,2.248028,5.600459,0.698647,0.684425,0.328597,-0.027682,6.260264
0.050000,2.283058,5.599664,0.733686,0.700783,0.327162,-0.028687,6.260738
0.050000,2.318903,5.598870,0.769539,0.717068,0.325689,-0.029457,6.261388
0.050000,2.355558,5.598086,0.806203,0.733276,0.324169,-0.030399,6.262227
0.050000,2.393020,5.597319,0.843673,0.749406,0.322596,-0.031475,6.263267
0.050000,2.431286,5.596580,0.881946,0.765455,0.320972,-0.032482,6.264520
0.050000,2.470351,5.595880,0.921017,0.781419,0.319296,-0.033512,6.266001
0.050000,2.510210,5.595228,0.960882,0.797298,0.317572,-0.034477,6.267724
0.050000,2.550860,5.594639,1.001536,0.813087,0.315783,-0.035775,6.269703
0.050000,2.592296,5.594126,1.042976,0.828783,0.313922,-0.037224,6.271953
0.050000,2.634514,5.593705,1.085195,0.844384,0.312017,-0.038111,6.274488
0.050000,2.677507,5.593391,1.128189,0.859886,0.310030,-0.039724,6.277327
0.050000,2.721270,5.593202,1.171953,0.875285,0.307986,-0.040886,6.280484
0.050000,2.765799,5.593159,1.216482,0.890578,0.305857,-0.042589,0.000791
0.050000,2.811087,5.593281,1.261770,0.905762,0.303678,-0.043580,0.004638
0.050000,2.857128,5.593590,1.307812,0.920831,0.301387,-0.045807,0.008856
0.050000,2.903914,5.594111,1.354601,0.935784,0.299052,-0.046711,0.013466
0.050000,2.951439,5.594869,1.402132,0.950615,0.296621,-0.048618,0.018485
0.050000,2.999694,5.595891,1.450398,0.965319,0.294090,-0.050609,0.023936
0.050000,3.048671,5.597207,1.499393,0.979897,0.291546,-0.050887,0.029838
0.050000,3.098361,5.598847,1.549109,0.994339,0.288842,-0.054082,0.036213
0.050000,3.148754,5.600844,1.599542,1.008644,0.286103,-0.054783,0.043083
0.050000,3.199838,5.603234,1.650682,1.022809,0.283303,-0.055989,0.050471
0.050000,3.251603,5.606052,1.702524,1.036829,0.280407,-0.057936,0.058401
0.050000,3.304035,5.609339,1.755059,1.050704,0.277489,-0.058343,0.066895
0.050000,3.357121,5.613136,1.808280,1.064428,0.274488,-0.060033,0.075977
0.050000,3.410845,5.617485,1.862180,1.078003,0.271496,-0.059836,0.085673
0.050000,3.465192,5.622434,1.916752,1.091426,0.268456,-0.060798,0.096007
0.050000,3.520143,5.628028,1.971987,1.104699,0.265459,-0.059933,0.107002
0.050000,3.575679,5.634319,2.027878,1.117823,0.262476,-0.059666,0.118682
0.050000,3.631779,5.641358,2.084418,1.130801,0.259577,-0.057974,0.131072
0.050000,3.688421,5.649201,2.141600,1.143642,0.256820,-0.055153,0.144193
0.050000,3.745580,5.657903,2.199417,1.156351,0.254167,-0.053058,0.158067
0.050000,3.803229,5.667522,2.257864,1.168939,0.251770,-0.047931,0.172712
0.050000,3.861342,5.678120,2.316935,1.181421,0.249634,-0.042726,0.188147
0.050000,3.919887,5.689757,2.376626,1.193813,0.247840,-0.035890,0.204385
0.050000,3.978833,5.702497,2.436933,1.206136,0.246460,-0.027596,0.221438
0.050000,4.038145,5.716404,2.497854,1.218415,0.245578,-0.017627,0.239313
0.050000,4.097237,5.731400,2.558818,1.219290,0.017500,-4.561571,0.257837
0.050000,4.155322,5.747303,2.619041,1.204467,-0.296464,-6.279285,0.276738
0.050000,4.212183,5.764041,2.678315,1.185464,-0.380051,-1.671726,0.295901
0.050000,4.267820,5.781590,2.736653,1.166773,-0.373818,0.124660,0.315277
0.050000,4.322233,5.799925,2.794073,1.148395,-0.367572,0.124903,0.334814
0.050000,4.375427,5.819018,2.850589,1.130331,-0.361278,0.125883,0.354462
0.050000,4.427406,5.838837,2.906219,1.112583,-0.354952,0.126517,0.374171
0.050000,4.478175,5.859351,2.960976,1.095138,-0.348898,0.121095,0.393890
0.050000,4.527742,5.880525,3.014875,1.077998,-0.342798,0.121985,0.413571
0.050000,4.576115,5.902322,3.067933,1.061145,-0.337067,0.114625,0.433168
0.050000,4.623304,5.924705,3.120161,1.044571,-0.331485,0.111642,0.452636
0.050000,4.669321,5.947634,3.171574,1.028254,-0.326328,0.103144,0.471934
0.050000,4.714177,5.971070,3.222183,1.012185,-0.321375,0.099057,0.491020
0.050000,4.757884,5.994973,3.272000,0.996333,-0.317047,0.086559,0.509860
0.050000,4.800459,6.019301,3.321035,0.980695,-0.312759,0.085760,0.528421
0.050000,4.841914,6.044012,3.369296,0.965237,-0.309173,0.071730,0.546672
0.050000,4.882266,6.069066,3.416794,0.949944,-0.305846,0.066541,0.564588
0.050000,4.921531,6.094421,3.463533,0.934789,-0.303107,0.054778,0.582145
0.050000,4.959725,6.120035,3.509521,0.919761,-0.300555,0.051041,0.599324
0.050000,4.996866,6.145868,3.554763,0.904835,-0.298532,0.040455,0.616108
0.050000,5.032972,6.171880,3.599262,0.889992,-0.296859,0.033458,0.632484
0.050000,5.068059,6.198030,3.643023,0.875216,-0.295505,0.027089,0.648440
0.050000,5.102148,6.224281,3.686047,0.860482,-0.294682,0.016442,0.663970
0.050000,5.135255,6.250592,3.728337,0.845787,-0.293911,0.015424,0.679067
0.050000,5.167399,6.276929,3.769893,0.831119,-0.293346,0.011313,0.693729
0.050000,5.198600,6.303255,3.810715,0.816452,-0.293350,-0.000081,0.707954
0.050000,5.223938,6.325454,3.844403,0.673754,-2.853957,-51.212149,0.738066
0.050000,5.246564,6.346865,3.875553,0.623007,-1.014946,36.780229,0.777880
0.050000,5.267624,6.368457,3.905716,0.603248,-0.395167,12.395562,0.818079
0.050000,5.287193,6.390207,3.934973,0.585142,-0.362135,0.660657,0.858396
0.050000,5.305347,6.412096,3.963411,0.568753,-0.327779,0.687116,0.898554
0.050000,5.322166,6.434110,3.991114,0.554078,-0.293491,0.685763,0.938276
0.050000,5.337730,6.456237,4.018167,0.541051,-0.260553,0.658751,0.977298
0.050000,5.352117,6.478464,4.044644,0.529536,-0.230291,0.605251,1.015375
0.050000,5.365399,6.500778,4.070612,0.519358,-0.203558,0.534650,1.052291
0.050000,5.377646,6.523162,4.096127,0.510303,-0.181098,0.449201,1.087865
0.050000,5.388923,6.545594,4.121234,0.502140,-0.163270,0.356555,1.121954
0.050000,5.399289,6.568048,4.145966,0.494634,-0.150109,0.263220,1.154451
0.050000,5.408801,6.590494,4.170344,0.487563,-0.141426,0.173664,1.185287
0.050000,5.417511,6.612897,4.194380,0.480722,-0.136815,0.092228,1.214424
0.050000,5.425470,6.635217,4.218076,0.473934,-0.135765,0.020994,1.241853
0.050000,5.432727,6.657413,4.241429,0.467049,-0.137698,-0.038656,1.267591
0.050000,5.439326,6.679443,4.264426,0.459947,-0.142035,-0.086746,1.291672
0.050000,5.445313,6.701263,4.287053,0.452536,-0.148233,-0.123967,1.314146
0.050000,5.450731,6.722831,4.309290,0.444746,-0.155795,-0.151233,1.335074
0.050000,5.455620,6.744103,4.331117,0.436531,-0.164299,-0.170075,1.354525
0.050000,5.460020,6.765038,4.352510,0.427862,-0.173389,-0.181794,1.372572
0.050000,5.463970,6.785599,4.373446,0.418722,-0.182781,-0.187856,1.389290
0.050000,5.467505,6.805746,4.393902,0.409110,-0.192244,-0.189247,1.404756
0.050000,5.470661,6.825447,4.413853,0.399029,-0.201625,-0.187625,1.419046
0.050000,5.473469,6.844667,4.433278,0.388491,-0.210758,-0.182659,1.432233
0.050000,5.475962,6.863377,4.452153,0.377511,-0.219596,-0.176770,1.444388
0.050000,5.478167,6.881549,4.470459,0.366109,-0.228052,-0.169106,1.455580
0.050000,5.480112,6.899157,4.488174,0.354305,-0.236083,-0.160631,1.465874
0.050000,5.481822,6.916178,4.505280,0.342119,-0.243703,-0.152389,1.475330
0.050000,5.483322,6.932588,4.521759,0.329577,-0.250848,-0.142913,1.484006
0.050000,5.484631,6.948369,4.537594,0.316699,-0.257566,-0.134361,1.491958
0.050000,5.485771,6.963501,4.552769,0.303506,-0.263844,-0.125556,1.499234
0.050000,5.486759,6.977969,4.567270,0.290021,-0.269706,-0.117231,1.505883
