dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.550015,5.302014,0.000434,0.017376,0.347518,6.950359,0.000281
0.050000,1.550015,5.302014,0.001738,0.034752,0.347518,0.000000,0.000179
0.050000,1.550015,5.302014,0.003910,0.052128,0.347518,0.000000,0.000008
0.050000,1.552949,5.302014,0.006950,0.069504,0.347518,-0.000000,6.282956
0.050000,1.556859,5.302012,0.010860,0.086879,0.347518,0.000000,6.282653
0.050000,1.561637,5.302009,0.015638,0.104255,0.347518,0.000000,6.282284
0.050000,1.567284,5.302002,0.021285,0.121631,0.347518,-0.000000,6.281853
0.050000,1.573800,5.301992,0.027801,0.139007,0.347518,-0.000000,6.281361
0.050000,1.581185,5.301977,0.035186,0.156383,0.347518,0.000000,6.280810
0.050000,1.589439,5.301954,0.043440,0.173759,0.347518,-0.000000,6.280203
0.050000,1.598561,5.301924,0.052562,0.191135,0.347518,0.000000,6.279542
0.050000,1.608552,5.301884,0.062553,0.208511,0.347518,0.000000,6.278831
0.050000,1.619412,5.301833,0.073413,0.225887,0.347518,-0.000000,6.278074
0.050000,1.631140,5.301768,0.085142,0.243263,0.347518,0.000000,6.277273
0.050000,1.643738,5.301688,0.097739,0.260638,0.347518,0.000000,6.276434
0.050000,1.657204,5.301592,0.111206,0.278014,0.347518,-0.000000,6.275559
0.050000,1.671538,5.301476,0.125541,0.295390,0.347518,0.000000,6.274655
0.050000,1.686742,5.301339,0.140745,0.312766,0.347518,-0.000000,6.273725
0.050000,1.702814,5.301179,0.156817,0.330142,0.347518,-0.000000,6.272775
0.050000,1.719754,5.300995,0.173759,0.347518,0.347518,0.000000,6.271811
0.050000,1.737563,5.300783,0.191569,0.364894,0.347518,0.000000,6.270838
0.050000,1.756241,5.300544,0.210248,0.382270,0.347518,0.000000,6.269861
0.050000,1.775787,5.300273,0.229796,0.399646,0.347518,0.000000,6.268889
0.050000,1.796201,5.299972,0.250213,0.417022,0.347518,-0.000000,6.267926
0.050000,1.817484,5.299637,0.271498,0.434397,0.347518,0.000000,6.266979
0.050000,1.839635,5.299267,0.293653,0.451773,0.347518,-0.000000,6.266057
0.050000,1.862655,5.298863,0.316676,0.469149,0.347518,0.000000,6.265165
0.050000,1.886542,5.298422,0.340568,0.486525,0.347518,0.000000,6.264313
0.050000,1.911298,5.297944,0.365328,0.503901,0.347518,-0.000000,6.263507
0.050000,1.936923,5.297430,0.390958,0.521277,0.347518,0.000000,6.262756
0.050000,1.963415,5.296880,0.417456,0.538653,0.347518,-0.000000,6.262068
0.050000,1.990776,5.296293,0.444823,0.556029,0.347518,0.000000,6.261452
0.050000,2.019005,5.295672,0.473059,0.573405,0.347518,0.000000,6.260918
0.050000,2.048102,5.295017,0.502163,0.590780,0.347518,0.000000,6.260473
0.050000,2.078068,5.294331,0.532137,0.608156,0.347518,-0.000000,6.260129
0.050000,2.108902,5.293616,0.562979,0.625532,0.347518,0.000000,6.259894
0.050000,2.140604,5.292875,0.594690,0.642908,0.347518,-0.000000,6.259780
0.050000,2.173175,5.292113,0.627270,0.660284,0.347518,0.000000,6.259796
0.050000,2.206614,5.291333,0.660718,0.677660,0.347518,0.000000,6.259954
0.050000,2.240923,5.290540,0.695036,0.695036,0.347518,-0.000000,6.260264
0.050000,2.276100,5.289742,0.730222,0.712412,0.347518,0.000000,6.260738
0.050000,2.312146,5.288944,0.766277,0.729788,0.347518,-0.000000,6.261388
