dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.550103,4.992014,0.000434,0.017376,0.347518,6.950359,0.000281
0.050000,1.550071,4.992014,0.000466,0.000636,-0.334804,-13.646438,0.000179
0.050000,1.550018,4.992014,0.000519,0.001056,0.008414,6.864357,0.000008
0.050000,1.552878,4.992014,0.003379,0.057206,1.122993,22.291579,6.282956
0.050000,1.556694,4.992012,0.007195,0.076310,0.382074,-14.818385,6.282653
0.050000,1.561358,4.992009,0.011859,0.093285,0.339505,-0.851375,6.282284
0.050000,1.566872,4.992003,0.017373,0.110270,0.339694,0.003782,6.281853
0.050000,1.573235,4.991993,0.023736,0.127268,0.339961,0.005334,6.281361
0.050000,1.580449,4.991977,0.030950,0.144279,0.340217,0.005132,6.280810
0.050000,1.588514,4.991956,0.039015,0.161306,0.340553,0.006721,6.280203
0.050000,1.597432,4.991926,0.047933,0.178351,0.340903,0.006991,6.279542
0.050000,1.607202,4.991887,0.057703,0.195415,0.341280,0.007543,6.278831
0.050000,1.617827,4.991837,0.068329,0.212502,0.341728,0.008970,6.278074
0.050000,1.629308,4.991774,0.079809,0.229611,0.342181,0.009054,6.277273
0.050000,1.641645,4.991695,0.092146,0.246745,0.342675,0.009885,6.276434
0.050000,1.654840,4.991601,0.105342,0.263905,0.343217,0.010841,6.275559
0.050000,1.668894,4.991487,0.119396,0.281095,0.343787,0.011386,6.274655
0.050000,1.683809,4.991353,0.134312,0.298315,0.344394,0.012153,6.273725
0.050000,1.699586,4.991196,0.150090,0.315566,0.345023,0.012564,6.272775
0.050000,1.716228,4.991015,0.166733,0.332851,0.345697,0.013494,6.271811
0.050000,1.733735,4.990807,0.184241,0.350171,0.346417,0.014386,6.270838
0.050000,1.752110,4.990571,0.202618,0.367529,0.347159,0.014856,6.269861
0.050000,1.771355,4.990305,0.221864,0.384926,0.347935,0.015502,6.268889
0.050000,1.791471,4.990008,0.241982,0.402363,0.348739,0.016095,6.267926
0.050000,1.812460,4.989677,0.262974,0.419842,0.349587,0.016962,6.266979
0.050000,1.834325,4.989313,0.284843,0.437366,0.350476,0.017781,6.266057
0.050000,1.857069,4.988913,0.307590,0.454935,0.351368,0.017826,6.265165
0.050000,1.880692,4.988477,0.331217,0.472551,0.352330,0.019249,6.264313
