dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.560253,4.479429,0.000218,0.008720,0.174404,3.488076,6.282770
0.050000,1.560224,4.479429,0.000246,0.000562,-0.163158,-6.751242,6.282850
0.050000,1.560178,4.479429,0.000293,0.000937,0.007488,3.412931,6.282984
0.050000,1.560112,4.479429,0.000358,0.001310,0.007475,-0.000263,6.283171
0.050000,1.561873,4.479429,0.002120,0.035222,0.678226,13.415018,0.000226
0.050000,1.564168,4.479430,0.004415,0.045906,0.213684,-9.290841,0.000520
0.050000,1.566881,4.479432,0.007128,0.054256,0.166998,-0.933715,0.000866
0.050000,1.570012,4.479435,0.010258,0.062608,0.167036,0.000758,0.001265
0.050000,1.573560,4.479440,0.013806,0.070961,0.167069,0.000649,0.001717
0.050000,1.577526,4.479448,0.017772,0.079317,0.167114,0.000915,0.002220
0.050000,1.581909,4.479459,0.022156,0.087675,0.167169,0.001090,0.002776
0.050000,1.586711,4.479474,0.026957,0.096036,0.167215,0.000919,0.003382
0.050000,1.591931,4.479493,0.032177,0.104400,0.167278,0.001266,0.004040
0.050000,1.597569,4.479518,0.037816,0.112767,0.167344,0.001308,0.004748
0.050000,1.603626,4.479549,0.043873,0.121138,0.167418,0.001481,0.005505
0.050000,1.610102,4.479587,0.050348,0.129512,0.167488,0.001407,0.006313
0.050000,1.616996,4.479634,0.057243,0.137891,0.167571,0.001661,0.007169
0.050000,1.624310,4.479690,0.064557,0.146274,0.167658,0.001733,0.008073
0.050000,1.632042,4.479756,0.072290,0.154661,0.167748,0.001807,0.009025
0.050000,1.640195,4.479833,0.080442,0.163054,0.167850,0.002034,0.010023
0.050000,1.648767,4.479924,0.089015,0.171451,0.167951,0.002022,0.011068
0.050000,1.657759,4.480028,0.098008,0.179854,0.168057,0.002127,0.012158
0.050000,1.667171,4.480148,0.107421,0.188263,0.168169,0.002243,0.013292
0.050000,1.677004,4.480285,0.117255,0.196677,0.168297,0.002564,0.014471
0.050000,1.687258,4.480439,0.127509,0.205098,0.168415,0.002354,0.015692
0.050000,1.697933,4.480613,0.138186,0.213525,0.168546,0.002620,0.016954
0.050000,1.709029,4.480809,0.149284,0.221960,0.168685,0.002778,0.018258
