dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.559962,3.779429,0.000218,0.008720,0.174404,3.488076,6.282770
0.050000,1.559990,3.779429,0.000246,0.000562,-0.163158,-6.751242,6.282850
0.050000,1.560037,3.779429,0.000293,0.000937,0.007488,3.412931,6.282984
0.050000,1.560102,3.779429,0.000358,0.001310,0.007475,-0.000263,6.283171
0.050000,1.562031,3.779429,0.002288,0.038588,0.745558,14.761659,0.000226
0.050000,1.564532,3.779430,0.004789,0.050016,0.228551,-10.340139,0.000520
0.050000,1.567488,3.779432,0.007744,0.059106,0.181809,-0.934839,0.000866
0.050000,1.570897,3.779436,0.011154,0.068195,0.181780,-0.000580,0.001265
0.050000,1.574761,3.779441,0.015018,0.077282,0.181734,-0.000916,0.001717
0.050000,1.579080,3.779450,0.019336,0.086367,0.181692,-0.000845,0.002220
0.050000,1.583852,3.779462,0.024109,0.095449,0.181648,-0.000873,0.002776
0.050000,1.589079,3.779478,0.029335,0.104528,0.181584,-0.001279,0.003382
0.050000,1.594759,3.779499,0.035015,0.113605,0.181528,-0.001122,0.004040
0.050000,1.600893,3.779526,0.041149,0.122678,0.181463,-0.001298,0.004748
0.050000,1.607480,3.779560,0.047737,0.131748,0.181397,-0.001331,0.005505
0.050000,1.614521,3.779601,0.054777,0.140814,0.181315,-0.001635,0.006313
0.050000,1.622014,3.779652,0.062271,0.149875,0.181236,-0.001583,0.007169
0.050000,1.629961,3.779712,0.070218,0.158933,0.181150,-0.001730,0.008073
0.050000,1.638359,3.779784,0.078617,0.167986,0.181056,-0.001875,0.009025
0.050000,1.647211,3.779869,0.087469,0.177034,0.180963,-0.001856,0.010023
0.050000,1.656514,3.779967,0.096772,0.186077,0.180858,-0.002097,0.011068
0.050000,1.666269,3.780080,0.106528,0.195114,0.180748,-0.002212,0.012158
0.050000,1.676476,3.780210,0.116735,0.204146,0.180632,-0.002316,0.013292
0.050000,1.687133,3.780358,0.127394,0.213172,0.180522,-0.002200,0.014471
0.050000,1.698241,3.780525,0.138504,0.222191,0.180389,-0.002660,0.015692
0.050000,1.709800,3.780714,0.150064,0.231204,0.180258,-0.002605,0.016954
0.050000,1.721809,3.780926,0.162074,0.240210,0.180125,-0.002668,0.018258
0.050000,1.734267,3.781161,0.174535,0.249210,0.179984,-0.002822,0.019601
0.050000,1.747174,3.781423,0.187445,0.258201,0.179829,-0.003092,0.020984
0.050000,1.760531,3.781713,0.200804,0.267185,0.179686,-0.002870,0.022404
0.050000,1.774335,3.782033,0.214612,0.276161,0.179518,-0.003359,0.023860
0.050000,1.788587,3.782383,0.228869,0.285129,0.179357,-0.003209,0.025352
0.050000,1.803286,3.782767,0.243573,0.294088,0.179189,-0.003363,0.026878
0.050000,1.818433,3.783186,0.258725,0.303039,0.179009,-0.003603,0.028437
0.050000,1.834025,3.783642,0.274324,0.311980,0.178831,-0.003570,0.030028
0.050000,1.850063,3.784137,0.290370,0.320913,0.178641,-0.003795,0.031648
0.050000,1.866546,3.784672,0.306861,0.329835,0.178444,-0.003934,0.033298
0.050000,1.883473,3.785251,0.323799,0.338747,0.178251,-0.003864,0.034975
0.050000,1.900845,3.785873,0.341181,0.347649,0.178040,-0.004230,0.036678
0.050000,1.918659,3.786542,0.359008,0.356541,0.177834,-0.004116,0.038406
0.050000,1.936916,3.787260,0.377279,0.365422,0.177615,-0.004372,0.040157
0.050000,1.955615,3.788028,0.395994,0.374291,0.177392,-0.004472,0.041929
0.050000,1.974755,3.788848,0.415151,0.383149,0.177163,-0.004569,0.043720
0.050000,1.994335,3.789722,0.434751,0.391996,0.176932,-0.004627,0.045530
0.050000,2.014355,3.790653,0.454793,0.400830,0.176689,-0.004858,0.047356
0.050000,2.034814,3.791641,0.475275,0.409653,0.176443,-0.004918,0.049196
0.050000,2.055711,3.792690,0.496198,0.418462,0.176193,-0.004993,0.051050
0.050000,2.077045,3.793800,0.517561,0.427259,0.175935,-0.005159,0.052914
0.050000,2.098815,3.794973,0.539364,0.436043,0.175672,-0.005272,0.054787
0.050000,2.121021,3.796212,0.561604,0.444813,0.175403,-0.005364,0.056668
0.050000,2.143662,3.797518,0.584283,0.453569,0.175129,-0.005487,0.058554
0.050000,2.166737,3.798893,0.607398,0.462312,0.174849,-0.005605,0.060442
0.050000,2.190245,3.800338,0.630950,0.471040,0.174564,-0.005701,0.062332
0.050000,2.214184,3.801854,0.654938,0.479754,0.174273,-0.005823,0.064222
0.050000,2.238555,3.803445,0.679361,0.488452,0.173975,-0.005944,0.066108
0.050000,2.263356,3.805110,0.704217,0.497136,0.173673,-0.006042,0.067988
0.050000,2.288586,3.806852,0.729508,0.505804,0.173366,-0.006143,0.069862
0.050000,2.314245,3.808672,0.755230,0.514457,0.173053,-0.006274,0.071725
0.050000,2.340330,3.810570,0.781385,0.523094,0.172734,-0.006369,0.073577
0.050000,2.366842,3.812549,0.807971,0.531714,0.172410,-0.006478,0.075415
0.050000,2.393779,3.814609,0.834987,0.540318,0.172081,-0.006588,0.077236
0.050000,2.421141,3.816752,0.862432,0.548905,0.171746,-0.006687,0.079038
0.050000,2.448926,3.818977,0.890306,0.557476,0.171406,-0.006809,0.080818
0.050000,2.477133,3.821287,0.918607,0.566029,0.171061,-0.006891,0.082575
0.050000,2.505761,3.823681,0.947335,0.574564,0.170711,-0.007011,0.084305
0.050000,2.534810,3.826161,0.976489,0.583082,0.170355,-0.007118,0.086007
0.050000,2.564277,3.828727,1.006069,0.591582,0.169994,-0.007213,0.087677
0.050000,2.594163,3.831379,1.036072,0.600063,0.169628,-0.007323,0.089312
