dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.604369,4.439429,0.000436,0.017459,0.349185,6.983702,0.000001
0.050000,1.604994,4.439429,0.001062,0.012501,-0.099158,-8.966868,6.283184
0.050000,1.607177,4.439429,0.003245,0.043668,0.623328,14.449727,6.283181
0.050000,1.610234,4.439429,0.006302,0.061132,0.349276,-5.481051,6.283177
0.050000,1.614163,4.439429,0.010231,0.078592,0.349209,-0.001328,6.283173
0.050000,1.618966,4.439429,0.015034,0.096048,0.349124,-0.001708,6.283170
0.050000,1.624641,4.439429,0.020708,0.113499,0.349019,-0.002087,6.283167
0.050000,1.631188,4.439428,0.027256,0.130944,0.348896,-0.002467,6.283167
0.050000,1.638607,4.439428,0.034675,0.148382,0.348754,-0.002847,6.283171
0.050000,1.646897,4.439428,0.042965,0.165811,0.348592,-0.003226,6.283179
0.050000,1.656059,4.439428,0.052127,0.183232,0.348412,-0.003606,0.000009
0.050000,1.666091,4.439428,0.062159,0.200642,0.348213,-0.003985,0.000031
0.050000,1.676993,4.439429,0.073061,0.218042,0.347995,-0.004365,0.000063
0.050000,1.688765,4.439430,0.084833,0.235430,0.347757,-0.004744,0.000107
0.050000,1.701405,4.439432,0.097473,0.252805,0.347501,-0.005124,0.000164
0.050000,1.714913,4.439434,0.110981,0.270166,0.347226,-0.005504,0.000237
0.050000,1.729289,4.439438,0.125357,0.287513,0.346932,-0.005883,0.000328
0.050000,1.744531,4.439444,0.140599,0.304844,0.346619,-0.006263,0.000439
0.050000,1.760639,4.439452,0.156707,0.322158,0.346287,-0.006643,0.000575
0.050000,1.777612,4.439463,0.173680,0.339455,0.345935,-0.007023,0.000736
0.050000,1.795448,4.439478,0.191516,0.356733,0.345565,-0.007402,0.000926
0.050000,1.814148,4.439498,0.210216,0.373992,0.345176,-0.007783,0.001149
0.050000,1.833710,4.439523,0.229778,0.391230,0.344768,-0.008163,0.001408
0.050000,1.854132,4.439554,0.250200,0.408448,0.344341,-0.008543,0.001705
0.050000,1.875414,4.439594,0.271482,0.425642,0.343895,-0.008923,0.002046
0.050000,1.897555,4.439644,0.293623,0.442814,0.343429,-0.009304,0.002432
0.050000,1.920553,4.439705,0.316621,0.459961,0.342945,-0.009684,0.002869
0.050000,1.944407,4.439779,0.340475,0.477083,0.342442,-0.010065,0.003361
0.050000,1.969115,4.439869,0.365184,0.494179,0.341920,-0.010444,0.003911
0.050000,1.994678,4.439976,0.390746,0.511248,0.341379,-0.010825,0.004523
0.050000,2.021092,4.440105,0.417161,0.528289,0.340818,-0.011206,0.005204
0.050000,2.048356,4.440257,0.444426,0.545301,0.340239,-0.011585,0.005956
0.050000,2.076470,4.440436,0.472540,0.562283,0.339641,-0.011966,0.006786
0.050000,2.105431,4.440645,0.501502,0.579234,0.339024,-0.012344,0.007697
0.050000,2.135238,4.440889,0.531309,0.596153,0.338387,-0.012724,0.008696
0.050000,2.165888,4.441173,0.561961,0.613040,0.337732,-0.013102,0.009787
0.050000,2.197381,4.441499,0.593456,0.629893,0.337058,-0.013478,0.010975
0.050000,2.229715,4.441875,0.625791,0.646711,0.336366,-0.013853,0.012267
0.050000,2.262887,4.442305,0.658966,0.663494,0.335654,-0.014227,0.013669
0.050000,2.296895,4.442795,0.692978,0.680240,0.334924,-0.014598,0.015185
0.050000,2.331738,4.443353,0.727826,0.696949,0.334176,-0.014966,0.016822
0.050000,2.367413,4.443984,0.763507,0.713620,0.333410,-0.015330,0.018586
0.050000,2.403919,4.444697,0.800019,0.730251,0.332625,-0.015690,0.020484
0.050000,2.441252,4.445500,0.837361,0.746842,0.331823,-0.016045,0.022522
0.050000,2.479411,4.446401,0.875531,0.763392,0.331003,-0.016392,0.024707
0.050000,2.518393,4.447409,0.914526,0.779900,0.330167,-0.016733,0.027045
0.050000,2.558196,4.448535,0.954344,0.796366,0.329314,-0.017061,0.029543
0.050000,2.598816,4.449789,0.994984,0.812788,0.328444,-0.017383,0.032209
0.050000,2.640251,4.451183,1.036442,0.829166,0.327560,-0.017689,0.035048
0.050000,2.682497,4.452728,1.078717,0.845499,0.326661,-0.017977,0.038070
0.050000,2.722869,4.454334,1.119121,0.808073,-0.748533,-21.503874,0.042740
0.050000,2.764665,4.456333,1.160964,0.836878,0.576110,26.492859,0.052784
0.050000,2.807389,4.458802,1.203759,0.855898,0.380386,-3.914481,0.062576
0.050000,2.851045,4.461748,1.247515,0.875110,0.384256,0.077400,0.072085
0.050000,2.895639,4.465176,1.292241,0.894518,0.388148,0.077829,0.081280
0.050000,2.941177,4.469091,1.337947,0.914120,0.392048,0.077998,0.090129
0.050000,2.987665,4.473493,1.384643,0.933918,0.395952,0.078096,0.098601
0.050000,3.035110,4.478382,1.432338,0.953911,0.399859,0.078122,0.106665
0.050000,3.083517,4.483754,1.481043,0.974099,0.403765,0.078129,0.114288
0.050000,3.132896,4.489604,1.530767,0.994482,0.407670,0.078108,0.121440
0.050000,3.183255,4.495922,1.581520,1.015061,0.411579,0.078177,0.128089
