dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.604369,4.129429,0.000436,0.017459,0.349185,6.983702,0.000001
0.050000,1.604993,4.129429,0.001746,0.034919,0.349185,0.000000,6.283184
0.050000,1.607176,4.129429,0.003928,0.052378,0.349185,0.000000,6.283181
0.050000,1.610231,4.129429,0.006984,0.069837,0.349185,-0.000000,6.283177
0.050000,1.614159,4.129429,0.010912,0.087296,0.349185,0.000000,6.283173
0.050000,1.618961,4.129429,0.015713,0.104756,0.349185,0.000000,6.283170
0.050000,1.624635,4.129429,0.021388,0.122215,0.349185,0.000000,6.283167
0.050000,1.631182,4.129428,0.027935,0.139674,0.349185,-0.000000,6.283167
0.050000,1.638602,4.129428,0.035355,0.157133,0.349185,0.000000,6.283171
0.050000,1.646896,4.129428,0.043648,0.174593,0.349185,-0.000000,6.283179
0.050000,1.656062,4.129428,0.052814,0.192052,0.349185,0.000000,0.000009
0.050000,1.666101,4.129428,0.062853,0.209511,0.349185,-0.000000,0.000031
0.050000,1.677013,4.129429,0.073765,0.226970,0.349185,0.000000,0.000063
0.050000,1.688798,4.129430,0.085550,0.244430,0.349185,-0.000000,0.000107
0.050000,1.701456,4.129432,0.098208,0.261889,0.349185,0.000000,0.000164
0.050000,1.714987,4.129434,0.111739,0.279348,0.349185,-0.000000,0.000237
0.050000,1.729391,4.129438,0.126143,0.296807,0.349185,0.000000,0.000328
0.050000,1.744667,4.129444,0.141420,0.314267,0.349185,0.000000,0.000439
0.050000,1.760817,4.129452,0.157570,0.331726,0.349185,-0.000000,0.000575
0.050000,1.777840,4.129464,0.174593,0.349185,0.349185,0.000000,0.000736
0.050000,1.795736,4.129478,0.192488,0.366644,0.349185,0.000000,0.000926
0.050000,1.814504,4.129498,0.211257,0.384104,0.349185,0.000000,0.001149
0.050000,1.834146,4.129523,0.230899,0.401563,0.349185,-0.000000,0.001408
0.050000,1.854661,4.129555,0.251413,0.419022,0.349185,0.000000,0.001705
0.050000,1.876048,4.129595,0.272801,0.436481,0.349185,0.000000,0.002046
0.050000,1.898309,4.129645,0.295061,0.453941,0.349185,0.000000,0.002432
0.050000,1.921442,4.129706,0.318195,0.471400,0.349185,-0.000000,0.002869
0.050000,1.945448,4.129781,0.342201,0.488859,0.349185,0.000000,0.003361
0.050000,1.970328,4.129871,0.367081,0.506318,0.349185,0.000000,0.003911
