dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.604369,3.819429,0.000436,0.017459,0.349185,6.983702,0.000001
0.050000,1.604993,3.819429,0.001060,0.012476,-0.099667,-8.977038,6.283184
0.050000,1.607174,3.819429,0.003242,0.043629,0.623052,14.454382,6.283181
0.050000,1.610229,3.819429,0.006296,0.061083,0.349095,-5.479153,6.283177
0.050000,1.614156,3.819429,0.010223,0.078541,0.349161,0.001328,6.283173
0.050000,1.618956,3.819429,0.015023,0.096004,0.349246,0.001708,6.283170
0.050000,1.624629,3.819429,0.020697,0.113471,0.349351,0.002087,6.283167
0.050000,1.631177,3.819428,0.027244,0.130945,0.349474,0.002467,6.283167
0.050000,1.638598,3.819428,0.034665,0.148426,0.349617,0.002847,6.283171
0.050000,1.646894,3.819428,0.042961,0.165915,0.349778,0.003226,6.283179
0.050000,1.656064,3.819428,0.052132,0.183413,0.349958,0.003606,0.000009
0.050000,1.666110,3.819428,0.062178,0.200920,0.350157,0.003985,0.000031
0.050000,1.677032,3.819429,0.073100,0.218439,0.350376,0.004365,0.000063
0.050000,1.688831,3.819430,0.084898,0.235970,0.350613,0.004744,0.000107
0.050000,1.701506,3.819432,0.097574,0.253513,0.350869,0.005124,0.000164
0.050000,1.715060,3.819434,0.111127,0.271070,0.351144,0.005504,0.000237
0.050000,1.729492,3.819438,0.125559,0.288642,0.351438,0.005883,0.000328
0.050000,1.744804,3.819444,0.140871,0.306230,0.351752,0.006263,0.000439
0.050000,1.760995,3.819452,0.157063,0.323834,0.352084,0.006643,0.000575
0.050000,1.778068,3.819464,0.174135,0.341456,0.352435,0.007022,0.000736
0.050000,1.796023,3.819479,0.192090,0.359096,0.352805,0.007403,0.000926
0.050000,1.814861,3.819498,0.210928,0.376756,0.353194,0.007783,0.001149
0.050000,1.834582,3.819523,0.230650,0.394436,0.353602,0.008163,0.001408
0.050000,1.855189,3.819555,0.251257,0.412137,0.354029,0.008543,0.001705
0.050000,1.876682,3.819595,0.272750,0.429861,0.354475,0.008923,0.002046
0.050000,1.899063,3.819646,0.295130,0.447608,0.354941,0.009303,0.002432
0.050000,1.922332,3.819707,0.318399,0.465379,0.355425,0.009684,0.002869
0.050000,1.946490,3.819782,0.342558,0.483176,0.355928,0.010064,0.003361
0.050000,1.971540,3.819873,0.367608,0.500998,0.356450,0.010445,0.003911
0.050000,1.997482,3.819983,0.393550,0.518848,0.356991,0.010825,0.004523
0.050000,2.024318,3.820113,0.420386,0.536726,0.357552,0.011205,0.005204
0.050000,2.052049,3.820268,0.448118,0.554632,0.358131,0.011586,0.005956
0.050000,2.080677,3.820450,0.476746,0.572569,0.358729,0.011964,0.006786
0.050000,2.110203,3.820664,0.506273,0.590536,0.359346,0.012345,0.007697
0.050000,2.140629,3.820913,0.536700,0.608535,0.359983,0.012723,0.008696
0.050000,2.171956,3.821202,0.568028,0.626567,0.360638,0.013101,0.009787
