dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000346,0.350000,0.000218,0.008737,0.174736,3.494723,6.282197
0.050000,0.000334,0.350000,0.000230,0.000229,-0.170158,-6.897889,6.282230
0.050000,0.000315,0.350000,0.000249,0.000382,0.003053,3.464217,6.282284
0.050000,0.000289,0.350000,0.000276,0.000534,0.003054,0.000020,6.282361
0.050000,0.000254,0.350000,0.000310,0.000687,0.003055,0.000028,6.282459
0.050000,0.000212,0.350000,0.000352,0.000840,0.003057,0.000036,6.282579
0.050000,0.000163,0.350000,0.000402,0.000993,0.003059,0.000044,6.282721
0.050000,0.000105,0.350000,0.000459,0.001146,0.003062,0.000052,6.282884
0.050000,0.000040,0.350000,0.000524,0.001299,0.003065,0.000060,6.283070
0.050000,0.001811,0.350000,0.002294,0.035404,0.682106,13.580830,0.000092
0.050000,0.006318,0.350001,0.006802,0.090157,1.095043,8.258738,0.000322
0.050000,0.011254,0.350003,0.011738,0.098718,0.171227,-18.476327,0.000573
0.050000,0.016618,0.350007,0.017101,0.107272,0.171090,-0.002725,0.000847
0.050000,0.022412,0.350013,0.022895,0.115875,0.172051,0.019203,0.001143
0.050000,0.028636,0.350021,0.029119,0.124483,0.172162,0.002229,0.001461
0.050000,0.035287,0.350032,0.035770,0.133022,0.170781,-0.027626,0.001801
0.050000,0.042368,0.350046,0.042851,0.141614,0.171840,0.021184,0.002163
0.050000,0.049879,0.350063,0.050362,0.150222,0.172161,0.006413,0.002548
0.050000,0.057816,0.350085,0.058299,0.158740,0.170363,-0.035944,0.002956
0.050000,0.066185,0.350112,0.066669,0.167394,0.173073,0.054200,0.003386
0.050000,0.074981,0.350144,0.075465,0.175919,0.170498,-0.051506,0.003838
0.050000,0.084207,0.350181,0.084691,0.184526,0.172146,0.032956,0.004314
0.050000,0.093861,0.350225,0.094345,0.193083,0.171133,-0.020255,0.004812
0.050000,0.103945,0.350276,0.104429,0.201676,0.171864,0.014616,0.005333
0.050000,0.114456,0.350335,0.114940,0.210227,0.171025,-0.016776,0.005877
0.050000,0.125398,0.350403,0.125882,0.218839,0.172227,0.024043,0.006444
0.050000,0.136765,0.350479,0.137250,0.227347,0.170174,-0.041064,0.007035
0.050000,0.148565,0.350566,0.149050,0.236009,0.173235,0.061223,0.007649
0.050000,0.160791,0.350663,0.161276,0.244523,0.170281,-0.059095,0.008286
0.050000,0.173445,0.350772,0.173931,0.253097,0.171486,0.024117,0.008947
0.050000,0.186530,0.350894,0.187016,0.261705,0.172148,0.013241,0.009632
0.050000,0.200041,0.351029,0.200528,0.270235,0.170602,-0.030923,0.010341
0.050000,0.213980,0.351178,0.214468,0.278791,0.171111,0.010176,0.011074
0.050000,0.228350,0.351343,0.228839,0.287417,0.172524,0.028254,0.011831
0.050000,0.243147,0.351524,0.243636,0.295957,0.170811,-0.034255,0.012612
0.050000,0.258370,0.351722,0.258862,0.304503,0.170915,0.002076,0.013418
0.050000,0.274022,0.351938,0.274514,0.313053,0.171006,0.001822,0.014248
0.050000,0.290103,0.352174,0.290597,0.321654,0.172012,0.020115,0.015104
0.050000,0.306612,0.352431,0.307108,0.330221,0.171351,-0.013223,0.015984
0.050000,0.323548,0.352709,0.324047,0.338773,0.171023,-0.006552,0.016890
0.050000,0.340912,0.353011,0.341413,0.347326,0.171062,0.000788,0.017821
0.050000,0.358703,0.353336,0.359207,0.355880,0.171089,0.000526,0.018778
0.050000,0.376921,0.353687,0.377429,0.364435,0.171102,0.000264,0.019760
0.050000,0.395567,0.354065,0.396078,0.372990,0.171102,-0.000001,0.020768
0.050000,0.414640,0.354471,0.415155,0.381545,0.171088,-0.000267,0.021803
0.050000,0.434140,0.354907,0.434660,0.390098,0.171062,-0.000534,0.022864
0.050000,0.454067,0.355373,0.454593,0.398649,0.171022,-0.000802,0.023952
0.050000,0.474420,0.355872,0.474953,0.407197,0.170968,-0.001072,0.025067
0.050000,0.495201,0.356405,0.495740,0.415742,0.170901,-0.001343,0.026209
0.050000,0.516407,0.356974,0.516954,0.424283,0.170820,-0.001615,0.027378
0.050000,0.538040,0.357579,0.538595,0.432820,0.170726,-0.001888,0.028575
0.050000,0.560098,0.358223,0.560662,0.441351,0.170618,-0.002162,0.029799
0.050000,0.582584,0.358907,0.583159,0.449923,0.171455,0.016750,0.031052
0.050000,0.605496,0.359634,0.606082,0.458471,0.170955,-0.010011,0.032333
0.050000,0.628833,0.360404,0.629432,0.466990,0.170388,-0.011341,0.033644
0.050000,0.652594,0.361219,0.653207,0.475502,0.170224,-0.003277,0.034983
0.050000,0.676780,0.362082,0.677409,0.484038,0.170731,0.010137,0.036351
0.050000,0.701394,0.362995,0.702039,0.492610,0.171442,0.014236,0.037749
0.050000,0.726430,0.363958,0.727094,0.501101,0.169824,-0.032374,0.039177
0.050000,0.751890,0.364975,0.752575,0.509607,0.170119,0.005900,0.040635
0.050000,0.777778,0.366046,0.778484,0.518191,0.171666,0.030942,0.042123
0.050000,0.804086,0.367175,0.804817,0.526655,0.169294,-0.047437,0.043643
0.050000,0.830820,0.368364,0.831577,0.535207,0.171031,0.034745,0.045194
0.050000,0.857977,0.369613,0.858763,0.543712,0.170101,-0.018614,0.046776
0.050000,0.885557,0.370927,0.886374,0.552215,0.170056,-0.000884,0.048390
0.050000,0.913560,0.372306,0.914411,0.560745,0.170612,0.011108,0.050037
0.050000,0.941985,0.373753,0.942873,0.569234,0.169770,-0.016832,0.051716
0.050000,0.970832,0.375271,0.971760,0.577750,0.170313,0.010854,0.053429
0.050000,1.000102,0.376862,1.001073,0.586258,0.170170,-0.002858,0.055175
0.050000,1.029791,0.378528,1.030809,0.594718,0.169205,-0.019290,0.056954
0.050000,1.059905,0.380273,1.060973,0.603281,0.171252,0.040939,0.058769
0.050000,1.090437,0.382097,1.091559,0.611726,0.168900,-0.047055,0.060617
0.050000,1.121389,0.384005,1.122570,0.620216,0.169798,0.017967,0.062501
0.050000,1.152763,0.385999,1.154007,0.628745,0.170576,0.015552,0.064421
0.050000,1.184554,0.388081,1.185867,0.637198,0.169077,-0.029964,0.066377
0.050000,1.216764,0.390254,1.218150,0.645657,0.169170,0.001857,0.068369
0.050000,1.249394,0.392522,1.250858,0.654166,0.170190,0.020392,0.070398
0.050000,1.282442,0.394886,1.283991,0.662653,0.169740,-0.008987,0.072465
0.050000,1.315907,0.397351,1.317547,0.671111,0.169147,-0.011865,0.074570
0.050000,1.349788,0.399919,1.351525,0.679569,0.169172,0.000492,0.076714
0.050000,1.384085,0.402593,1.385926,0.688028,0.169179,0.000143,0.078896
0.050000,1.418798,0.405376,1.420751,0.696487,0.169169,-0.000209,0.081118
0.050000,1.453926,0.408272,1.455998,0.704944,0.169140,-0.000563,0.083380
0.050000,1.489469,0.411283,1.491668,0.713399,0.169094,-0.000920,0.085683
0.050000,1.525425,0.414414,1.527760,0.721850,0.169030,-0.001280,0.088028
0.050000,1.561795,0.417668,1.564275,0.730297,0.168948,-0.001641,0.090414
0.050000,1.598577,0.421047,1.601212,0.738740,0.168848,-0.002004,0.092842
0.050000,1.635771,0.424557,1.638571,0.747176,0.168730,-0.002369,0.095314
0.050000,1.673375,0.428199,1.676351,0.755606,0.168593,-0.002736,0.097830
0.050000,1.711389,0.431979,1.714553,0.764028,0.168438,-0.003104,0.100389
0.050000,1.749811,0.435900,1.753175,0.772441,0.168264,-0.003472,0.102994
0.050000,1.788641,0.439965,1.792217,0.780845,0.168072,-0.003842,0.105645
0.050000,1.827879,0.444180,1.831681,0.789272,0.168538,0.009326,0.108342
0.050000,1.867525,0.448547,1.871566,0.797707,0.168702,0.003271,0.111086
0.050000,1.907574,0.453071,1.911870,0.806085,0.167572,-0.022592,0.113878
0.050000,1.948027,0.457756,1.952593,0.814451,0.167305,-0.005348,0.116718
0.050000,1.988885,0.462606,1.993738,0.822900,0.168980,0.033514,0.119608
0.050000,2.030144,0.467626,2.035301,0.831263,0.167267,-0.034263,0.122548
0.050000,2.071802,0.472820,2.077281,0.839612,0.166979,-0.005759,0.125538
0.050000,2.113862,0.478193,2.119684,0.848048,0.168730,0.035004,0.128581
0.050000,2.156318,0.483749,2.162501,0.856351,0.166049,-0.053603,0.131676
0.050000,2.199174,0.489494,2.205741,0.864783,0.168637,0.051761,0.134824
0.050000,2.242422,0.495430,2.249394,0.873071,0.165764,-0.057462,0.138026
0.050000,2.286067,0.501566,2.293469,0.881494,0.168471,0.054142,0.141283
0.050000,2.330102,0.507903,2.337958,0.889778,0.165672,-0.055988,0.144596
0.050000,2.374531,0.514449,2.382866,0.898161,0.167654,0.039641,0.147966
0.050000,2.419348,0.521207,2.428190,0.906481,0.166398,-0.025113,0.151394
0.050000,2.464551,0.528184,2.473928,0.914771,0.165809,-0.011794,0.154880
0.050000,2.510143,0.535385,2.520086,0.923144,0.167458,0.032984,0.158426
0.050000,2.556119,0.542816,2.566658,0.931444,0.166006,-0.029046,0.162033
0.050000,2.602476,0.550481,2.613644,0.939731,0.165735,-0.005404,0.165701
0.050000,2.649213,0.558386,2.661045,0.948018,0.165738,0.000060,0.169432
0.050000,2.696330,0.566538,2.708862,0.956329,0.166213,0.009488,0.173226
0.050000,2.743823,0.574943,2.757093,0.964627,0.165970,-0.004861,0.177085
0.050000,2.791690,0.583606,2.805738,0.972896,0.165383,-0.011730,0.181010
0.050000,2.839929,0.592534,2.854796,0.981161,0.165290,-0.001862,0.185002
0.050000,2.888537,0.601733,2.904267,0.989419,0.165173,-0.002348,0.189062
0.050000,2.937513,0.611209,2.954150,0.997671,0.165031,-0.002833,0.193191
0.050000,2.986852,0.620968,3.004446,1.005914,0.164865,-0.003314,0.197390
0.050000,3.036554,0.631019,3.055154,1.014148,0.164676,-0.003792,0.201661
0.050000,3.086614,0.641366,3.106272,1.022371,0.164463,-0.004264,0.206004
0.050000,3.137030,0.652018,3.157801,1.030583,0.164226,-0.004730,0.210421
0.050000,3.187802,0.662981,3.209743,1.038832,0.164997,0.015420,0.214914
0.050000,3.238923,0.674262,3.262094,1.047028,0.163915,-0.021641,0.219482
0.050000,3.290391,0.685869,3.314855,1.055207,0.163570,-0.006907,0.224129
0.050000,3.342202,0.697808,3.368023,1.063369,0.163241,-0.006582,0.228854
0.050000,3.394355,0.710088,3.421602,1.071585,0.164325,0.021695,0.233659
0.050000,3.446844,0.722716,3.475589,1.079741,0.163122,-0.024065,0.238546
0.050000,3.499664,0.735700,3.529982,1.087857,0.162327,-0.015910,0.243515
0.050000,3.552818,0.749048,3.584786,1.096072,0.164291,0.039294,0.248569
0.050000,3.606293,0.762767,3.639993,1.104153,0.161625,-0.053333,0.253709
0.050000,3.660093,0.776867,3.695610,1.112325,0.163441,0.036334,0.258935
0.050000,3.714207,0.791355,3.751629,1.120394,0.161383,-0.041165,0.264250
0.050000,3.768636,0.806240,3.808057,1.128558,0.163277,0.037875,0.269655
0.050000,3.823371,0.821530,3.864888,1.136613,0.161096,-0.043615,0.275150
0.050000,3.878411,0.837234,3.922124,1.144719,0.162126,0.020604,0.280739
0.050000,3.933749,0.853361,3.979764,1.152808,0.161781,-0.006907,0.286421
0.050000,3.989380,0.869920,4.037807,1.160855,0.160936,-0.016892,0.292199
0.050000,4.045298,0.886919,4.096252,1.168901,0.160906,-0.000618,0.298074
0.050000,4.101500,0.904370,4.155101,1.176984,0.161678,0.015444,0.304047
0.050000,4.157979,0.922280,4.214352,1.185017,0.160649,-0.020583,0.310120
0.050000,4.214729,0.940659,4.274004,1.193038,0.160426,-0.004454,0.316295
0.050000,4.271744,0.959517,4.334057,1.201053,0.160289,-0.002734,0.322572
0.050000,4.329018,0.978864,4.394510,1.209059,0.160128,-0.003234,0.328954
0.050000,4.386544,0.998709,4.455363,1.217056,0.159942,-0.003706,0.335441
0.050000,4.444315,1.019062,4.516615,1.225043,0.159735,-0.004148,0.342035
0.050000,4.502325,1.039935,4.578266,1.233018,0.159507,-0.004558,0.348738
0.050000,4.560567,1.061336,4.640315,1.240981,0.159260,-0.004931,0.355550
0.050000,4.619032,1.083276,4.702761,1.248931,0.158997,-0.005266,0.362474
0.050000,4.677715,1.105766,4.765606,1.256906,0.159491,0.009883,0.369511
0.050000,4.736607,1.128817,4.828849,1.264844,0.158767,-0.014490,0.376661
0.050000,4.795699,1.152439,4.892487,1.272757,0.158269,-0.009949,0.383927
0.050000,4.854982,1.176642,4.956520,1.280671,0.158280,0.000221,0.391309
0.050000,4.914450,1.201439,5.020951,1.288615,0.158877,0.011933,0.398809
0.050000,4.974091,1.226838,5.085775,1.296486,0.157421,-0.029112,0.406428
0.050000,5.033898,1.252853,5.150996,1.304412,0.158508,0.021723,0.414167
0.050000,5.093861,1.279494,5.216610,1.312277,0.157296,-0.024225,0.422026
0.050000,5.153970,1.306771,5.282619,1.320183,0.158134,0.016748,0.430008
