dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000000,0.000000,0.000218,0.008737,0.174736,3.494723,6.282197
0.050000,0.000000,0.000000,0.000874,0.017474,0.174736,0.000000,6.282230
0.050000,0.000000,0.000000,0.001966,0.026210,0.174736,-0.000000,6.282284
0.050000,0.000000,0.000000,0.003495,0.034947,0.174736,0.000000,6.282361
0.050000,0.000000,0.000000,0.005461,0.043684,0.174736,-0.000000,6.282459
0.050000,0.000000,0.000000,0.007863,0.052421,0.174736,0.000000,6.282579
0.050000,0.000000,0.000000,0.010703,0.061158,0.174736,0.000000,6.282721
0.050000,0.000000,0.000000,0.013979,0.069894,0.174736,0.000000,6.282884
0.050000,0.000000,0.000000,0.017692,0.078631,0.174736,-0.000000,6.283070
0.050000,0.001843,0.000000,0.021842,0.087368,0.174736,0.000000,0.000092
0.050000,0.006431,0.000001,0.026429,0.096105,0.174736,0.000000,0.000322
0.050000,0.011455,0.000003,0.031453,0.104842,0.174736,-0.000000,0.000573
0.050000,0.016914,0.000007,0.036913,0.113579,0.174736,0.000000,0.000847
0.050000,0.022812,0.000013,0.042810,0.122315,0.174736,-0.000000,0.001143
0.050000,0.029147,0.000021,0.049145,0.131052,0.174736,0.000000,0.001461
0.050000,0.035917,0.000032,0.055916,0.139789,0.174736,0.000000,0.001801
0.050000,0.043125,0.000047,0.063123,0.148526,0.174736,-0.000000,0.002163
0.050000,0.050771,0.000065,0.070768,0.157263,0.174736,0.000000,0.002548
0.050000,0.058850,0.000087,0.078850,0.165999,0.174736,0.000000,0.002956
0.050000,0.067370,0.000114,0.087368,0.174736,0.174736,-0.000000,0.003386
0.050000,0.076325,0.000146,0.096323,0.183473,0.174736,0.000000,0.003838
0.050000,0.085717,0.000184,0.105715,0.192210,0.174736,0.000000,0.004314
0.050000,0.095546,0.000229,0.115544,0.200947,0.174736,-0.000000,0.004812
0.050000,0.105812,0.000281,0.125810,0.209683,0.174736,0.000000,0.005333
0.050000,0.116513,0.000341,0.136513,0.218420,0.174736,0.000000,0.005877
0.050000,0.127654,0.000410,0.147652,0.227157,0.174736,0.000000,0.006444
0.050000,0.139227,0.000488,0.159228,0.235894,0.174736,-0.000000,0.007035
0.050000,0.151242,0.000576,0.171241,0.244631,0.174736,0.000000,0.007649
0.050000,0.163691,0.000675,0.183691,0.253367,0.174736,0.000000,0.008286
0.050000,0.176577,0.000786,0.196578,0.262104,0.174736,0.000000,0.008947
0.050000,0.189901,0.000910,0.209902,0.270841,0.174736,-0.000000,0.009632
0.050000,0.203660,0.001048,0.223662,0.279578,0.174736,0.000000,0.010341
0.050000,0.217856,0.001200,0.237860,0.288315,0.174736,-0.000000,0.011074
0.050000,0.232490,0.001367,0.252494,0.297051,0.174736,0.000000,0.011831
0.050000,0.247561,0.001551,0.267565,0.305788,0.174736,0.000000,0.012612
0.050000,0.263067,0.001753,0.283073,0.314525,0.174736,-0.000000,0.013418
0.050000,0.279008,0.001974,0.299017,0.323262,0.174736,0.000000,0.014248
0.050000,0.295389,0.002214,0.315399,0.331999,0.174736,0.000000,0.015104
0.050000,0.312206,0.002476,0.332217,0.340736,0.174736,0.000000,0.015984
0.050000,0.329459,0.002759,0.349472,0.349472,0.174736,-0.000000,0.016890
0.050000,0.347149,0.003066,0.367164,0.358209,0.174736,0.000000,0.017821
0.050000,0.365274,0.003398,0.385293,0.366946,0.174736,0.000000,0.018778
0.050000,0.383837,0.003756,0.403859,0.375683,0.174736,-0.000000,0.019760
0.050000,0.402835,0.004141,0.422862,0.384420,0.174736,0.000000,0.020768
0.050000,0.422270,0.004554,0.442301,0.393156,0.174736,-0.000000,0.021803
0.050000,0.442141,0.004998,0.462177,0.401893,0.174736,0.000000,0.022864
0.050000,0.462449,0.005474,0.482490,0.410630,0.174736,0.000000,0.023952
0.050000,0.483193,0.005982,0.503240,0.419367,0.174736,-0.000000,0.025067
0.050000,0.504373,0.006525,0.524427,0.428104,0.174736,0.000000,0.026209
0.050000,0.525988,0.007105,0.546051,0.436840,0.174736,-0.000000,0.027378
0.050000,0.548040,0.007722,0.568111,0.445577,0.174736,0.000000,0.028575
0.050000,0.570526,0.008378,0.590608,0.454314,0.174736,-0.000000,0.029799
0.050000,0.593450,0.009076,0.613542,0.463051,0.174736,-0.000000,0.031052
0.050000,0.616810,0.009817,0.636913,0.471788,0.174736,0.000000,0.032333
0.050000,0.640606,0.010602,0.660721,0.480524,0.174736,0.000000,0.033644
0.050000,0.664835,0.011433,0.684966,0.489261,0.174736,-0.000000,0.034983
0.050000,0.689500,0.012314,0.709647,0.497998,0.174736,0.000000,0.036351
0.050000,0.714603,0.013244,0.734766,0.506735,0.174736,0.000000,0.037749
0.050000,0.740139,0.014227,0.760321,0.515472,0.174736,0.000000,0.039177
0.050000,0.766109,0.015264,0.786313,0.524209,0.174736,0.000000,0.040635
0.050000,0.792517,0.016357,0.812742,0.532945,0.174736,0.000000,0.042123
0.050000,0.819356,0.017509,0.839607,0.541682,0.174736,-0.000000,0.043643
0.050000,0.846633,0.018721,0.866910,0.550419,0.174736,0.000000,0.045194
0.050000,0.874343,0.019996,0.894649,0.559156,0.174736,0.000000,0.046776
0.050000,0.902487,0.021336,0.922825,0.567893,0.174736,-0.000000,0.048390
0.050000,0.931066,0.022744,0.951438,0.576629,0.174736,0.000000,0.050037
0.050000,0.960077,0.024221,0.980488,0.585366,0.174736,0.000000,0.051716
0.050000,0.989523,0.025771,1.009975,0.594103,0.174736,0.000000,0.053429
0.050000,1.019403,0.027395,1.039899,0.602840,0.174736,0.000000,0.055175
0.050000,1.049714,0.029096,1.070259,0.611577,0.174736,0.000000,0.056954
0.050000,1.080462,0.030877,1.101056,0.620313,0.174736,-0.000000,0.058769
0.050000,1.111640,0.032740,1.132290,0.629050,0.174736,0.000000,0.060617
0.050000,1.143250,0.034688,1.163961,0.637787,0.174736,0.000000,0.062501
0.050000,1.175294,0.036725,1.196069,0.646524,0.174736,0.000000,0.064421
0.050000,1.207769,0.038852,1.228614,0.655261,0.174736,0.000000,0.066377
0.050000,1.240675,0.041072,1.261595,0.663997,0.174736,0.000000,0.068369
0.050000,1.274013,0.043389,1.295013,0.672734,0.174736,-0.000000,0.070398
0.050000,1.307782,0.045805,1.328869,0.681471,0.174736,0.000000,0.072465
0.050000,1.341982,0.048324,1.363161,0.690208,0.174736,-0.000000,0.074570
0.050000,1.376611,0.050948,1.397889,0.698945,0.174736,-0.000000,0.076714
0.050000,1.411670,0.053681,1.433055,0.707681,0.174736,0.000000,0.078896
0.050000,1.447159,0.056527,1.468658,0.716418,0.174736,0.000000,0.081118
0.050000,1.483076,0.059488,1.504697,0.725155,0.174736,0.000000,0.083380
0.050000,1.519421,0.062567,1.541173,0.733892,0.174736,0.000000,0.085683
0.050000,1.556195,0.065769,1.578086,0.742629,0.174736,0.000000,0.088028
0.050000,1.593397,0.069097,1.615436,0.751366,0.174736,-0.000000,0.090414
0.050000,1.631025,0.072555,1.653223,0.760102,0.174736,0.000000,0.092842
0.050000,1.669080,0.076145,1.691446,0.768839,0.174736,-0.000000,0.095314
0.050000,1.707561,0.079873,1.730107,0.777576,0.174736,-0.000000,0.097830
0.050000,1.746466,0.083742,1.769204,0.786313,0.174736,0.000000,0.100389
0.050000,1.785796,0.087755,1.808738,0.795050,0.174736,0.000000,0.102994
