dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,-0.000346,-0.350000,0.000218,0.008737,0.174736,3.494723,6.282197
0.050000,-0.000334,-0.350000,0.000230,0.000229,-0.170158,-6.897889,6.282230
0.050000,-0.000315,-0.350000,0.000249,0.000382,0.003053,3.464217,6.282284
0.050000,-0.000289,-0.350000,0.000276,0.000534,0.003054,0.000020,6.282361
0.050000,-0.000254,-0.350000,0.000310,0.000687,0.003055,0.000028,6.282459
0.050000,-0.000212,-0.350000,0.000352,0.000840,0.003057,0.000036,6.282579
0.050000,-0.000163,-0.350000,0.000402,0.000993,0.003059,0.000044,6.282721
0.050000,-0.000105,-0.350000,0.000459,0.001146,0.003062,0.000052,6.282884
0.050000,-0.000040,-0.350000,0.000524,0.001299,0.003065,0.000060,6.283070
0.050000,0.001875,-0.350000,0.002439,0.038310,0.740217,14.743057,0.000092
0.050000,0.006544,-0.349999,0.007108,0.093370,1.101206,7.219770,0.000322
0.050000,0.011656,-0.349997,0.012220,0.102239,0.177382,-18.476482,0.000573
0.050000,0.017211,-0.349993,0.017775,0.111102,0.177255,-0.002540,0.000847
0.050000,0.023211,-0.349987,0.023776,0.120015,0.178265,0.020196,0.001143
0.050000,0.029658,-0.349978,0.030222,0.128935,0.178397,0.002644,0.001461
0.050000,0.036547,-0.349967,0.037112,0.137784,0.176984,-0.028255,0.001801
0.050000,0.043882,-0.349953,0.044446,0.146689,0.178100,0.022326,0.002163
0.050000,0.051662,-0.349934,0.052227,0.155612,0.178453,0.007054,0.002548
0.050000,0.059885,-0.349912,0.060449,0.164443,0.176613,-0.036798,0.002956
0.050000,0.068555,-0.349884,0.069120,0.173415,0.179444,0.056610,0.003386
0.050000,0.077668,-0.349851,0.078232,0.182255,0.176800,-0.052869,0.003838
0.050000,0.087227,-0.349812,0.087791,0.191182,0.178533,0.034658,0.004314
0.050000,0.097230,-0.349767,0.097794,0.200057,0.177511,-0.020443,0.004812
0.050000,0.107678,-0.349714,0.108243,0.208972,0.178297,0.015713,0.005333
0.050000,0.118570,-0.349653,0.119135,0.217845,0.177457,-0.016787,0.005877
0.050000,0.129909,-0.349583,0.130474,0.226782,0.178734,0.025538,0.006444
0.050000,0.141689,-0.349503,0.142255,0.235613,0.176639,-0.041904,0.007035
0.050000,0.153919,-0.349414,0.154485,0.244606,0.179846,0.064130,0.007649
0.050000,0.166591,-0.349313,0.167158,0.253447,0.176819,-0.060538,0.008286
0.050000,0.179708,-0.349200,0.180275,0.262352,0.178105,0.025732,0.008947
0.050000,0.193273,-0.349074,0.193840,0.271293,0.178830,0.014494,0.009632
0.050000,0.207280,-0.348934,0.207848,0.280157,0.177267,-0.031260,0.010341
0.050000,0.221731,-0.348779,0.222300,0.289049,0.177836,0.011373,0.011074
0.050000,0.236631,-0.348608,0.237201,0.298016,0.179343,0.030152,0.011831
0.050000,0.251975,-0.348421,0.252546,0.306896,0.177612,-0.034630,0.012612
0.050000,0.267763,-0.348215,0.268335,0.315785,0.177765,0.003067,0.013418
0.050000,0.283995,-0.347991,0.284569,0.324680,0.177907,0.002836,0.014248
0.050000,0.300675,-0.347746,0.301250,0.333630,0.178999,0.021843,0.015104
0.050000,0.317800,-0.347480,0.318378,0.342548,0.178364,-0.012700,0.015984
0.050000,0.335370,-0.347191,0.335950,0.351452,0.178076,-0.005751,0.016890
0.050000,0.353386,-0.346878,0.353968,0.360360,0.178171,0.001895,0.017821
0.050000,0.371846,-0.346540,0.372432,0.369273,0.178254,0.001658,0.018778
0.050000,0.390752,-0.346176,0.391342,0.378189,0.178325,0.001420,0.019760
0.050000,0.410104,-0.345784,0.410697,0.387109,0.178384,0.001180,0.020768
0.050000,0.429901,-0.345362,0.430498,0.396030,0.178431,0.000940,0.021803
0.050000,0.450143,-0.344910,0.450746,0.404953,0.178466,0.000698,0.022864
0.050000,0.470832,-0.344426,0.471440,0.413878,0.178489,0.000456,0.023952
0.050000,0.491965,-0.343908,0.492580,0.422803,0.178499,0.000213,0.025067
0.050000,0.513545,-0.343354,0.514167,0.431728,0.178498,-0.000031,0.026209
0.050000,0.535569,-0.342764,0.536199,0.440652,0.178484,-0.000276,0.027378
0.050000,0.558039,-0.342135,0.558678,0.449575,0.178458,-0.000521,0.028575
0.050000,0.580954,-0.341466,0.581603,0.458496,0.178420,-0.000768,0.029799
0.050000,0.604317,-0.340755,0.604976,0.467464,0.179366,0.018922,0.031052
0.050000,0.628125,-0.340001,0.628796,0.476410,0.178924,-0.008836,0.032333
0.050000,0.652379,-0.339200,0.653063,0.485331,0.178415,-0.010182,0.033644
0.050000,0.677076,-0.338352,0.677775,0.494247,0.178327,-0.001764,0.034983
0.050000,0.702220,-0.337455,0.702935,0.503194,0.178938,0.012223,0.036351
0.050000,0.727812,-0.336507,0.728544,0.512182,0.179765,0.016536,0.037749
0.050000,0.753847,-0.335505,0.754599,0.521091,0.178170,-0.031882,0.039177
0.050000,0.780327,-0.334448,0.781100,0.530019,0.178568,0.007952,0.040635
0.050000,0.807255,-0.333333,0.808051,0.539033,0.180271,0.034055,0.042123
0.050000,0.834627,-0.332158,0.835448,0.547928,0.177899,-0.047428,0.043643
0.050000,0.862445,-0.330922,0.863294,0.556918,0.179805,0.038111,0.045194
0.050000,0.890708,-0.329621,0.891587,0.565865,0.178937,-0.017352,0.046776
0.050000,0.919417,-0.328254,0.920328,0.574815,0.178994,0.001142,0.048390
0.050000,0.948571,-0.326818,0.949518,0.583799,0.179678,0.013678,0.050037
0.050000,0.978170,-0.325311,0.979155,0.592744,0.178910,-0.015357,0.051716
0.050000,1.008215,-0.323730,1.009241,0.601724,0.179587,0.013521,0.053429
0.050000,1.038705,-0.322073,1.039776,0.610701,0.179552,-0.000701,0.055175
0.050000,1.069638,-0.320337,1.070758,0.619634,0.178663,-0.017769,0.056954
0.050000,1.101019,-0.318519,1.102192,0.628680,0.180915,0.045043,0.058769
0.050000,1.132843,-0.316617,1.134072,0.637609,0.178586,-0.046591,0.060617
0.050000,1.165111,-0.314628,1.166402,0.646592,0.179647,0.021223,0.062501
0.050000,1.197826,-0.312549,1.199183,0.655621,0.180586,0.018780,0.064421
0.050000,1.230984,-0.310378,1.232412,0.664579,0.179155,-0.028622,0.066377
0.050000,1.264585,-0.308110,1.266089,0.673548,0.179385,0.004613,0.068369
0.050000,1.298632,-0.305744,1.300218,0.682577,0.180586,0.024021,0.070398
0.050000,1.333123,-0.303276,1.334797,0.691590,0.180258,-0.006560,0.072465
0.050000,1.368057,-0.300704,1.369826,0.700579,0.179783,-0.009506,0.074570
0.050000,1.403435,-0.298022,1.405305,0.709577,0.179956,0.003455,0.076714
0.050000,1.439255,-0.295230,1.441234,0.718583,0.180114,0.003160,0.078896
0.050000,1.475519,-0.292322,1.477614,0.727596,0.180257,0.002863,0.081118
0.050000,1.512225,-0.289297,1.514445,0.736615,0.180385,0.002565,0.083380
0.050000,1.549374,-0.286149,1.551727,0.745640,0.180498,0.002265,0.085683
0.050000,1.586965,-0.282876,1.589460,0.754670,0.180597,0.001963,0.088028
0.050000,1.624998,-0.279473,1.627646,0.763704,0.180680,0.001660,0.090414
0.050000,1.663473,-0.275938,1.666283,0.772741,0.180747,0.001356,0.092842
0.050000,1.702390,-0.272266,1.705372,0.781781,0.180800,0.001052,0.095314
0.050000,1.741747,-0.268453,1.744913,0.790823,0.180837,0.000747,0.097830
0.050000,1.781544,-0.264496,1.784906,0.799866,0.180859,0.000441,0.100389
0.050000,1.821780,-0.260390,1.825352,0.808909,0.180866,0.000135,0.102994
0.050000,1.862455,-0.256132,1.866249,0.817952,0.180858,-0.000170,0.105645
0.050000,1.903570,-0.251716,1.907601,0.827029,0.181543,0.013712,0.108342
0.050000,1.945125,-0.247139,1.949407,0.836125,0.181917,0.007465,0.111086
0.050000,1.987117,-0.242395,1.991666,0.845172,0.180939,-0.019560,0.113878
0.050000,2.029544,-0.237482,2.034376,0.854215,0.180868,-0.001410,0.116718
0.050000,2.072411,-0.232393,2.077544,0.863357,0.182841,0.039456,0.119608
0.050000,2.115713,-0.227124,2.121165,0.872421,0.181263,-0.031547,0.122548
0.050000,2.159448,-0.221671,2.165239,0.881480,0.181185,-0.001567,0.125538
0.050000,2.203621,-0.216028,2.209771,0.890642,0.183252,0.041341,0.128581
0.050000,2.248225,-0.210191,2.254755,0.899676,0.180671,-0.051614,0.131676
0.050000,2.293265,-0.204154,2.300198,0.908857,0.183630,0.059162,0.134824
0.050000,2.338733,-0.197912,2.346093,0.917900,0.180854,-0.055508,0.138026
0.050000,2.384637,-0.191460,2.392448,0.927098,0.183950,0.061908,0.141283
0.050000,2.430967,-0.184792,2.439256,0.936161,0.181260,-0.053794,0.144596
0.050000,2.477730,-0.177902,2.486523,0.945341,0.183605,0.046897,0.147966
0.050000,2.524920,-0.170786,2.534246,0.954468,0.182549,-0.021125,0.151394
0.050000,2.572535,-0.163437,2.582425,0.963578,0.182197,-0.007023,0.154880
0.050000,2.620578,-0.155848,2.631065,0.972789,0.184211,0.040265,0.158426
0.050000,2.669046,-0.148015,2.680162,0.981937,0.182962,-0.024971,0.162033
0.050000,2.717937,-0.139931,2.729716,0.991085,0.182964,0.000032,0.165701
0.050000,2.767249,-0.131590,2.779728,1.000248,0.183259,0.005904,0.169432
0.050000,2.816982,-0.122985,2.830201,1.009451,0.184058,0.015974,0.173226
0.050000,2.867136,-0.114110,2.881134,1.018656,0.184105,0.000953,0.177085
0.050000,2.917707,-0.104957,2.932526,1.027846,0.183795,-0.006196,0.181010
0.050000,2.968693,-0.095521,2.984378,1.037047,0.184012,0.004333,0.185002
0.050000,3.020094,-0.085794,3.036691,1.046257,0.184209,0.003933,0.189062
0.050000,3.071907,-0.075769,3.089465,1.055476,0.184386,0.003535,0.193191
0.050000,3.124130,-0.065439,3.142700,1.064703,0.184542,0.003139,0.197390
0.050000,3.176761,-0.054796,3.196397,1.073937,0.184680,0.002746,0.201661
0.050000,3.229799,-0.043833,3.250556,1.083177,0.184798,0.002356,0.206004
0.050000,3.283241,-0.032542,3.305177,1.092422,0.184896,0.001971,0.210421
0.050000,3.337086,-0.020916,3.360263,1.101725,0.186069,0.023453,0.214914
0.050000,3.391330,-0.008945,3.415813,1.110990,0.185282,-0.015731,0.219482
0.050000,3.445971,0.003377,3.471825,1.120254,0.185281,-0.000019,0.224129
0.050000,3.501004,0.016059,3.528301,1.129519,0.185303,0.000424,0.228854
0.050000,3.556432,0.029110,3.585244,1.138860,0.186832,0.030579,0.233659
0.050000,3.612247,0.042538,3.642652,1.148157,0.185935,-0.017935,0.238546
0.050000,3.668445,0.056352,3.700524,1.157431,0.185474,-0.009208,0.243515
0.050000,3.725030,0.070562,3.758865,1.166829,0.187956,0.049640,0.248569
0.050000,3.781990,0.085176,3.817670,1.176104,0.185513,-0.048859,0.253709
0.050000,3.839329,0.100203,3.876945,1.185497,0.187848,0.046696,0.258935
0.050000,3.897036,0.115653,3.936685,1.194800,0.186058,-0.035796,0.264250
0.050000,3.955115,0.131536,3.996896,1.204224,0.188486,0.048545,0.269655
0.050000,4.013555,0.147861,4.057574,1.213552,0.186570,-0.038314,0.275150
0.050000,4.072356,0.164638,4.118722,1.222957,0.188083,0.030270,0.280739
0.050000,4.131514,0.181878,4.180340,1.232363,0.188132,0.000966,0.286421
0.050000,4.191021,0.199591,4.242427,1.241746,0.187648,-0.009685,0.292199
0.050000,4.250873,0.217787,4.304984,1.251147,0.188034,0.007736,0.298074
0.050000,4.311069,0.236477,4.368015,1.260611,0.189283,0.024975,0.304047
0.050000,4.371601,0.255672,4.431517,1.270042,0.188604,-0.013586,0.310120
0.050000,4.432462,0.275383,4.495491,1.279481,0.188787,0.003667,0.316295
0.050000,4.493649,0.295621,4.559938,1.288934,0.189062,0.005495,0.322572
0.050000,4.555155,0.316397,4.624858,1.298399,0.189308,0.004931,0.328954
0.050000,4.616973,0.337723,4.690252,1.307876,0.189527,0.004379,0.335441
0.050000,4.679099,0.359610,4.756120,1.317362,0.189719,0.003840,0.342035
0.050000,4.741524,0.382071,4.822463,1.326856,0.189885,0.003316,0.348738
0.050000,4.804241,0.405117,4.889280,1.336357,0.190026,0.002810,0.355550
0.050000,4.867244,0.428760,4.956574,1.345864,0.190142,0.002324,0.362474
0.050000,4.930527,0.453013,5.024345,1.355418,0.191068,0.018518,0.369511
0.050000,4.994080,0.477889,5.092592,1.364951,0.190672,-0.007919,0.376661
0.050000,5.057894,0.503398,5.161316,1.374477,0.190510,-0.003239,0.383927
0.050000,5.121961,0.529555,5.230517,1.384021,0.190886,0.007517,0.391309
0.050000,5.186275,0.556372,5.300198,1.393615,0.191883,0.019953,0.398809
0.050000,5.250822,0.583861,5.370355,1.403148,0.190648,-0.024712,0.406428
