dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.560107,5.309745,0.000219,0.008741,0.174823,3.496462,6.282673
0.050000,1.560107,5.309745,0.000874,0.017482,0.174823,0.000000,6.282778
0.050000,1.560107,5.309745,0.001967,0.026223,0.174823,0.000000,6.282952
0.050000,1.560175,5.309745,0.003496,0.034965,0.174823,0.000000,0.000011
0.050000,1.562142,5.309745,0.005463,0.043706,0.174823,-0.000000,0.000324
0.050000,1.564546,5.309746,0.007867,0.052447,0.174823,0.000000,0.000708
0.050000,1.567386,5.309749,0.010708,0.061188,0.174823,-0.000000,0.001161
0.050000,1.570664,5.309753,0.013986,0.069929,0.174823,0.000000,0.001683
0.050000,1.574379,5.309761,0.017701,0.078670,0.174823,-0.000000,0.002276
0.050000,1.578531,5.309772,0.021853,0.087412,0.174823,0.000000,0.002938
0.050000,1.583120,5.309787,0.026442,0.096153,0.174823,0.000000,0.003670
0.050000,1.588147,5.309807,0.031468,0.104894,0.174823,0.000000,0.004472
0.050000,1.593610,5.309834,0.036931,0.113635,0.174823,-0.000000,0.005343
0.050000,1.599510,5.309868,0.042832,0.122376,0.174823,0.000000,0.006284
0.050000,1.605847,5.309911,0.049169,0.131117,0.174823,-0.000000,0.007296
0.050000,1.612621,5.309964,0.055943,0.139858,0.174823,0.000000,0.008376
0.050000,1.619832,5.310029,0.063155,0.148600,0.174823,-0.000000,0.009527
0.050000,1.627481,5.310107,0.070803,0.157341,0.174823,0.000000,0.010748
0.050000,1.635566,5.310199,0.078889,0.166082,0.174823,0.000000,0.012039
0.050000,1.644088,5.310307,0.087412,0.174823,0.174823,-0.000000,0.013399
0.050000,1.653046,5.310434,0.096371,0.183564,0.174823,0.000000,0.014829
0.050000,1.662442,5.310580,0.105768,0.192305,0.174823,0.000000,0.016330
0.050000,1.672274,5.310748,0.115602,0.201047,0.174823,0.000000,0.017900
0.050000,1.682543,5.310940,0.125873,0.209788,0.174823,0.000000,0.019540
0.050000,1.693249,5.311159,0.136581,0.218529,0.174823,0.000000,0.021250
0.050000,1.704391,5.311406,0.147726,0.227270,0.174823,-0.000000,0.023030
0.050000,1.715970,5.311683,0.159308,0.236011,0.174823,0.000000,0.024880
0.050000,1.727985,5.311994,0.171327,0.244752,0.174823,0.000000,0.026800
0.050000,1.740436,5.312340,0.183783,0.253494,0.174823,-0.000000,0.028790
0.050000,1.753324,5.312724,0.196676,0.262235,0.174823,0.000000,0.030850
0.050000,1.766647,5.313150,0.210006,0.270976,0.174823,0.000000,0.032979
0.050000,1.780407,5.313619,0.223774,0.279717,0.174823,0.000000,0.035178
0.050000,1.794602,5.314134,0.237978,0.288458,0.174823,0.000000,0.037447
0.050000,1.809232,5.314700,0.252619,0.297199,0.174823,-0.000000,0.039786
0.050000,1.824298,5.315317,0.267698,0.305940,0.174823,0.000000,0.042195
0.050000,1.839799,5.315991,0.283213,0.314682,0.174823,-0.000000,0.044673
0.050000,1.855735,5.316724,0.299166,0.323423,0.174823,0.000000,0.047220
0.050000,1.872105,5.317519,0.315556,0.332164,0.174823,0.000000,0.049837
0.050000,1.888910,5.318380,0.332382,0.340905,0.174823,0.000000,0.052524
0.050000,1.906148,5.319310,0.349646,0.349646,0.174823,-0.000000,0.055279
0.050000,1.923821,5.320313,0.367347,0.358387,0.174823,0.000000,0.058104
0.050000,1.941927,5.321392,0.385485,0.367129,0.174823,-0.000000,0.060997
0.050000,1.960465,5.322552,0.404060,0.375870,0.174823,0.000000,0.063960
0.050000,1.979437,5.323796,0.423072,0.384611,0.174823,0.000000,0.066991
0.050000,1.998840,5.325128,0.442521,0.393352,0.174823,0.000000,0.070090
0.050000,2.018675,5.326552,0.462407,0.402093,0.174823,0.000000,0.073258
0.050000,2.038941,5.328072,0.482730,0.410834,0.174823,0.000000,0.076493
0.050000,2.059638,5.329693,0.503491,0.419575,0.174823,0.000000,0.079797
0.050000,2.080765,5.331418,0.524688,0.428317,0.174823,-0.000000,0.083168
0.050000,2.102322,5.333253,0.546322,0.437058,0.174823,0.000000,0.086606
0.050000,2.124307,5.335200,0.568394,0.445799,0.174823,-0.000000,0.090111
0.050000,2.146720,5.337266,0.590902,0.454540,0.174823,0.000000,0.093683
0.050000,2.169561,5.339454,0.613848,0.463281,0.174823,0.000000,0.097321
0.050000,2.192829,5.341769,0.637230,0.472022,0.174823,0.000000,0.101026
0.050000,2.216523,5.344216,0.661050,0.480764,0.174823,-0.000000,0.104795
0.050000,2.240641,5.346800,0.685307,0.489505,0.174823,0.000000,0.108630
0.050000,2.265184,5.349525,0.710000,0.498246,0.174823,-0.000000,0.112530
0.050000,2.290150,5.352396,0.735131,0.506987,0.174823,0.000000,0.116494
0.050000,2.315539,5.355419,0.760699,0.515728,0.174823,-0.000000,0.120521
0.050000,2.341349,5.358598,0.786704,0.524469,0.174823,0.000000,0.124612
0.050000,2.367579,5.361939,0.813146,0.533211,0.174823,-0.000000,0.128766
0.050000,2.394228,5.365447,0.840025,0.541952,0.174823,0.000000,0.132982
0.050000,2.421295,5.369127,0.867341,0.550693,0.174823,0.000000,0.137259
0.050000,2.448779,5.372984,0.895094,0.559434,0.174823,-0.000000,0.141597
0.050000,2.476678,5.377024,0.923285,0.568175,0.174823,0.000000,0.145996
0.050000,2.504992,5.381251,0.951912,0.576916,0.174823,0.000000,0.150454
0.050000,2.533718,5.385673,0.980976,0.585657,0.174823,-0.000000,0.154971
0.050000,2.562855,5.390293,1.010478,0.594399,0.174823,0.000000,0.159546
0.050000,2.592402,5.395118,1.040416,0.603140,0.174823,0.000000,0.164178
0.050000,2.622357,5.400153,1.070792,0.611881,0.174823,0.000000,0.168867
