dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.594554,4.958604,0.000218,0.008704,0.174089,3.481783,6.282460
0.050000,1.594604,4.958604,0.000268,0.000999,-0.154112,-6.564026,6.282603
0.050000,1.594687,4.958604,0.000351,0.001665,0.013314,3.348519,6.282841
0.050000,1.594804,4.958604,0.000467,0.002330,0.013307,-0.000127,6.283174
0.050000,1.596859,4.958604,0.002522,0.041102,0.775447,15.242782,0.000416
0.050000,1.599436,4.958606,0.005099,0.051534,0.208630,-11.336329,0.000939
0.050000,1.602481,4.958610,0.008144,0.060902,0.187366,-0.425272,0.001557
0.050000,1.605994,4.958617,0.011658,0.070272,0.187401,0.000687,0.002269
0.050000,1.609976,4.958627,0.015640,0.079639,0.187344,-0.001144,0.003077
0.050000,1.614427,4.958643,0.020090,0.089008,0.187371,0.000556,0.003979
0.050000,1.619345,4.958665,0.025009,0.098374,0.187328,-0.000873,0.004976
0.050000,1.624732,4.958695,0.030396,0.107738,0.187271,-0.001127,0.006067
0.050000,1.630587,4.958734,0.036251,0.117105,0.187336,0.001299,0.007252
0.050000,1.636910,4.958784,0.042574,0.126466,0.187224,-0.002252,0.008532
0.050000,1.643702,4.958846,0.049366,0.135830,0.187283,0.001183,0.009905
0.050000,1.650961,4.958924,0.056625,0.145191,0.187225,-0.001152,0.011373
0.050000,1.658688,4.959018,0.064353,0.154550,0.187182,-0.000859,0.012934
0.050000,1.666882,4.959130,0.072548,0.163908,0.187147,-0.000701,0.014588
0.050000,1.675545,4.959264,0.081212,0.173267,0.187179,0.000634,0.016336
0.050000,1.684674,4.959422,0.090343,0.182620,0.187068,-0.002212,0.018176
0.050000,1.694271,4.959606,0.099941,0.191972,0.187044,-0.000482,0.020109
0.050000,1.704335,4.959818,0.110007,0.201323,0.187008,-0.000735,0.022134
0.050000,1.714866,4.960062,0.120541,0.210672,0.186992,-0.000309,0.024252
0.050000,1.725863,4.960341,0.131542,0.220017,0.186900,-0.001848,0.026461
0.050000,1.737327,4.960658,0.143010,0.229360,0.186855,-0.000884,0.028761
0.050000,1.749256,4.961015,0.154945,0.238700,0.186793,-0.001247,0.031152
0.050000,1.761652,4.961417,0.167347,0.248036,0.186735,-0.001155,0.033633
0.050000,1.774512,4.961866,0.180215,0.257372,0.186710,-0.000503,0.036204
0.050000,1.787838,4.962367,0.193550,0.266699,0.186546,-0.003288,0.038865
0.050000,1.801628,4.962922,0.207352,0.276028,0.186575,0.000588,0.041614
0.050000,1.815883,4.963536,0.221619,0.285349,0.186424,-0.003030,0.044452
0.050000,1.830600,4.964212,0.236352,0.294667,0.186347,-0.001540,0.047377
0.050000,1.845781,4.964955,0.251551,0.303980,0.186261,-0.001713,0.050389
0.050000,1.861424,4.965768,0.267216,0.313287,0.186157,-0.002088,0.053488
