dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,7.437462,6.981144,0.000433,0.017302,0.346032,6.920636,3.172120
0.050000,7.436400,6.981113,0.001495,0.021245,0.078876,-5.343122,3.171157
0.050000,7.433741,6.981036,0.004155,0.053200,0.639088,11.204246,3.169553
0.050000,7.430018,6.980936,0.007879,0.074482,0.425647,-4.268813,3.167307
0.050000,7.425232,6.980820,0.012667,0.095765,0.425654,0.000137,3.164419
0.050000,7.419381,6.980697,0.018520,0.117049,0.425674,0.000405,3.160888
0.050000,7.412465,6.980578,0.025436,0.138333,0.425679,0.000081,3.156715
0.050000,7.404485,6.980476,0.033417,0.159616,0.425673,-0.000118,3.151900
0.050000,7.395440,6.980408,0.042462,0.180896,0.425588,-0.001689,3.146443
0.050000,7.385332,6.980390,0.052570,0.202169,0.425463,-0.002505,3.140346
0.050000,7.374160,6.980441,0.063742,0.223434,0.425299,-0.003269,3.133609
0.050000,7.361927,6.980584,0.075976,0.244682,0.424972,-0.006549,3.126236
0.050000,7.348634,6.980841,0.089272,0.265912,0.424590,-0.007634,3.118229
0.050000,7.334284,6.981239,0.103627,0.287113,0.424028,-0.011238,3.109593
0.050000,7.318880,6.981803,0.119041,0.308278,0.423305,-0.014474,3.100334
0.050000,7.302428,6.982564,0.135511,0.329398,0.422393,-0.018236,3.090459
0.050000,7.284933,6.983551,0.153034,0.350461,0.421257,-0.022720,3.079977
0.050000,7.266402,6.984797,0.171607,0.371454,0.419865,-0.027837,3.068900
0.050000,7.246844,6.986336,0.191225,0.392363,0.418183,-0.033636,3.057241
0.050000,7.226270,6.988203,0.211884,0.413173,0.416196,-0.039741,3.045016
0.050000,7.204691,6.990433,0.233577,0.433867,0.413871,-0.046509,3.032244
0.050000,7.182123,6.993063,0.256298,0.454426,0.411184,-0.053740,3.018946
0.050000,7.158580,6.996130,0.280040,0.474832,0.408114,-0.061395,3.005148
0.050000,7.134082,6.999672,0.304793,0.495064,0.404638,-0.069512,2.990877
0.050000,7.108648,7.003726,0.330548,0.515101,0.400754,-0.077688,2.976164
0.050000,7.082301,7.008331,0.357294,0.534924,0.396453,-0.086024,2.961045
0.050000,7.055066,7.013521,0.385020,0.554511,0.391737,-0.094322,2.945557
0.050000,7.026968,7.019332,0.413712,0.573842,0.386618,-0.102373,2.929742
0.050000,6.998037,7.025799,0.443357,0.592897,0.381107,-0.110225,2.913644
0.050000,6.968303,7.032954,0.473940,0.611659,0.375234,-0.117459,2.897311
0.050000,6.937797,7.040827,0.505445,0.630110,0.369036,-0.123953,2.880791
0.050000,6.906552,7.049446,0.537857,0.648238,0.362549,-0.129746,2.864139
0.050000,6.875217,7.058650,0.570516,0.653172,0.098679,-5.277396,2.847727
0.050000,6.844779,7.068123,0.602394,0.637571,-0.312008,-8.213744,2.832076
0.050000,6.815582,7.077699,0.633122,0.614548,-0.460471,-2.969268,2.817349
0.050000,6.787603,7.087320,0.662709,0.591738,-0.456189,0.085651,2.803510
0.050000,6.760818,7.096933,0.691166,0.569151,-0.451744,0.088901,2.790524
0.050000,6.735204,7.106492,0.718506,0.546790,-0.447215,0.090573,2.778354
0.050000,6.710737,7.115953,0.744739,0.524657,-0.442678,0.090739,2.766963
0.050000,6.687392,7.125276,0.769876,0.502748,-0.438168,0.090201,2.756315
0.050000,6.665148,7.134427,0.793929,0.481061,-0.433751,0.088347,2.746375
0.050000,6.643981,7.143373,0.816908,0.459589,-0.429439,0.086245,2.737108
0.050000,6.623871,7.152085,0.838825,0.438325,-0.425269,0.083383,2.728480
0.050000,6.604797,7.160537,0.859688,0.417262,-0.421269,0.080002,2.720458
0.050000,6.586739,7.168707,0.879507,0.396390,-0.417430,0.076794,2.713012
0.050000,6.569680,7.176573,0.898292,0.375701,-0.413782,0.072953,2.706113
0.050000,6.553603,7.184116,0.916052,0.355185,-0.410325,0.069134,2.699732
0.050000,6.538490,7.191320,0.932793,0.334832,-0.407063,0.065242,2.693844
0.050000,6.524328,7.198169,0.948525,0.314632,-0.403997,0.061317,2.688423
0.050000,6.511102,7.204651,0.963254,0.294575,-0.401128,0.057392,2.683446
0.050000,6.498800,7.210753,0.976986,0.274653,-0.398453,0.053490,2.678892
0.050000,6.487409,7.216464,0.989729,0.254854,-0.395972,0.049627,2.674741
0.050000,6.476918,7.221776,1.001487,0.235170,-0.393681,0.045815,2.670974
0.050000,6.467319,7.226681,1.012267,0.215591,-0.391579,0.042040,2.667574
0.050000,6.458602,7.231170,1.022072,0.196108,-0.389670,0.038182,2.664526
0.050000,6.450758,7.235237,1.030908,0.176711,-0.387925,0.034901,2.661816
0.050000,6.443781,7.238878,1.038778,0.157392,-0.386380,0.030891,2.659432
0.050000,6.437665,7.242087,1.045685,0.138143,-0.384992,0.027768,2.657362
0.050000,6.432404,7.244861,1.051632,0.118953,-0.383793,0.023979,2.655596
0.050000,6.427992,7.247195,1.056623,0.099815,-0.382758,0.020692,2.654126
0.050000,6.424428,7.249088,1.060659,0.080721,-0.381891,0.017347,2.652946
0.050000,6.421706,7.250536,1.063742,0.061661,-0.381194,0.013937,2.652049
0.050000,6.419825,7.251539,1.065874,0.042628,-0.380663,0.010631,2.651432
0.050000,6.418784,7.252095,1.067054,0.023613,-0.380295,0.007348,2.651090
0.050000,6.418473,7.252261,1.067407,0.007055,-0.331166,0.982584,2.650989
0.050000,6.418473,7.252261,1.067407,0.000000,-0.141096,3.801404,2.650989
0.050000,6.418473,7.252261,1.067407,0.000000,0.000000,2.821917,2.650989
