dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.619064,5.560729,0.000434,0.017365,0.347306,6.946115,0.000191
0.050000,1.619106,5.560729,0.000476,0.000846,-0.330383,-13.553765,0.000055
0.050000,1.620822,5.560729,0.002192,0.034317,0.669413,19.995912,6.283015
0.050000,1.623957,5.560728,0.005328,0.062707,0.567805,-2.032153,6.282704
0.050000,1.627986,5.560725,0.009356,0.080575,0.357366,-4.208795,6.282311
0.050000,1.632906,5.560719,0.014277,0.098409,0.356674,-0.013836,6.281844
0.050000,1.638716,5.560710,0.020087,0.116199,0.355792,-0.017638,6.281308
0.050000,1.645413,5.560695,0.026784,0.133938,0.354792,-0.020005,6.280711
0.050000,1.652994,5.560674,0.034365,0.151619,0.353609,-0.023646,6.280064
0.050000,1.661456,5.560645,0.042826,0.169234,0.352296,-0.026260,6.279376
0.050000,1.670794,5.560606,0.052165,0.186774,0.350816,-0.029610,6.278660
0.050000,1.681006,5.560556,0.062377,0.204234,0.349200,-0.032328,6.277929
0.050000,1.692086,5.560494,0.073457,0.221606,0.347438,-0.035232,6.277197
0.050000,1.704030,5.560418,0.085401,0.238882,0.345524,-0.038271,6.276479
0.050000,1.716832,5.560327,0.098204,0.256056,0.343471,-0.041065,6.275792
0.050000,1.730488,5.560222,0.111860,0.273119,0.341264,-0.044138,6.275153
0.050000,1.744991,5.560101,0.126363,0.290065,0.338916,-0.046970,6.274583
0.050000,1.760334,5.559965,0.141708,0.306887,0.336432,-0.049679,6.274100
0.050000,1.776513,5.559815,0.157886,0.323576,0.333781,-0.053023,6.273726
0.050000,1.793518,5.559652,0.174893,0.340125,0.330990,-0.055821,6.273484
0.050000,1.811343,5.559478,0.192719,0.356527,0.328039,-0.059002,6.273397
0.050000,1.829981,5.559296,0.211358,0.372773,0.324925,-0.062286,6.273491
0.050000,1.849423,5.559110,0.230800,0.388855,0.321642,-0.065657,6.273791
0.050000,1.869661,5.558925,0.251039,0.404765,0.318181,-0.069224,6.274327
0.050000,1.890684,5.558747,0.272063,0.420491,0.314531,-0.073006,6.275126
0.050000,1.912485,5.558583,0.293864,0.436025,0.310676,-0.077102,6.276222
0.050000,1.935052,5.558441,0.316432,0.451355,0.306604,-0.081439,6.277645
0.050000,1.958375,5.558332,0.339756,0.466469,0.302289,-0.086305,6.279431
0.050000,1.982443,5.558267,0.363823,0.481356,0.297731,-0.091162,6.281618
0.050000,2.007243,5.558260,0.388623,0.496001,0.292891,-0.096787,0.001057
0.050000,2.032762,5.558326,0.414143,0.510386,0.287706,-0.103707,0.004163
0.050000,2.058987,5.558482,0.440368,0.524498,0.282238,-0.109364,0.007793
0.050000,2.085901,5.558747,0.467283,0.538315,0.276352,-0.117711,0.011996
0.050000,2.113489,5.559143,0.494874,0.551819,0.270069,-0.125661,0.016822
0.050000,2.141733,5.559695,0.523124,0.564985,0.263316,-0.135063,0.022324
0.050000,2.170613,5.560428,0.552013,0.577791,0.256122,-0.143873,0.028562
0.050000,2.200109,5.561373,0.581523,0.590205,0.248288,-0.156680,0.035599
0.050000,2.230195,5.562562,0.611633,0.602203,0.239958,-0.166612,0.043501
0.050000,2.260847,5.564030,0.642321,0.613747,0.230878,-0.181583,0.052342
0.050000,2.292037,5.565815,0.673561,0.624805,0.221156,-0.194441,0.062201
0.050000,2.323731,5.567961,0.705328,0.635339,0.210689,-0.209352,0.073161
0.050000,2.355896,5.570512,0.737594,0.645311,0.199435,-0.225076,0.085313
0.050000,2.388491,5.573518,0.770327,0.654677,0.187319,-0.242310,0.098755
