dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.574861,5.339252,0.000218,0.008708,0.174162,3.483241,6.282963
0.050000,1.574861,5.339252,0.000871,0.017416,0.174162,0.000000,6.283027
0.050000,1.574861,5.339252,0.001959,0.026124,0.174162,0.000000,6.283135
0.050000,1.575877,5.339253,0.003483,0.034832,0.174162,-0.000000,0.000101
0.050000,1.577837,5.339253,0.005443,0.043541,0.174162,0.000000,0.000296
0.050000,1.580231,5.339254,0.007837,0.052249,0.174162,-0.000000,0.000535
0.050000,1.583061,5.339256,0.010667,0.060957,0.174162,0.000000,0.000820
0.050000,1.586327,5.339259,0.013933,0.069665,0.174162,-0.000000,0.001151
0.050000,1.590028,5.339264,0.017634,0.078373,0.174162,0.000000,0.001529
0.050000,1.594164,5.339271,0.021770,0.087081,0.174162,0.000000,0.001955
0.050000,1.598736,5.339281,0.026342,0.095789,0.174162,0.000000,0.002431
0.050000,1.603743,5.339295,0.031349,0.104497,0.174162,-0.000000,0.002958
0.050000,1.609186,5.339312,0.036792,0.113205,0.174162,0.000000,0.003538
0.050000,1.615064,5.339335,0.042670,0.121913,0.174162,0.000000,0.004171
0.050000,1.621377,5.339364,0.048983,0.130622,0.174162,-0.000000,0.004861
0.050000,1.628126,5.339399,0.055732,0.139330,0.174162,-0.000000,0.005608
0.050000,1.635310,5.339442,0.062916,0.148038,0.174162,0.000000,0.006416
0.050000,1.642929,5.339494,0.070536,0.156746,0.174162,0.000000,0.007286
0.050000,1.650984,5.339557,0.078591,0.165454,0.174162,0.000000,0.008220
0.050000,1.659474,5.339631,0.087081,0.174162,0.174162,0.000000,0.009222
0.050000,1.668399,5.339718,0.096007,0.182870,0.174162,-0.000000,0.010294
0.050000,1.677760,5.339820,0.105368,0.191578,0.174162,0.000000,0.011440
0.050000,1.687556,5.339938,0.115165,0.200286,0.174162,-0.000000,0.012661
0.050000,1.697787,5.340074,0.125397,0.208994,0.174162,0.000000,0.013961
0.050000,1.708453,5.340230,0.136064,0.217703,0.174162,-0.000000,0.015344
0.050000,1.719555,5.340408,0.147167,0.226411,0.174162,0.000000,0.016813
0.050000,1.731091,5.340611,0.158705,0.235119,0.174162,0.000000,0.018372
0.050000,1.743063,5.340841,0.170679,0.243827,0.174162,0.000000,0.020024
0.050000,1.755469,5.341100,0.183088,0.252535,0.174162,-0.000000,0.021775
0.050000,1.768310,5.341392,0.195932,0.261243,0.174162,0.000000,0.023627
0.050000,1.781586,5.341719,0.209212,0.269951,0.174162,-0.000000,0.025586
0.050000,1.795296,5.342084,0.222927,0.278659,0.174162,0.000000,0.027657
0.050000,1.809441,5.342490,0.237078,0.287367,0.174162,0.000000,0.029844
0.050000,1.824020,5.342942,0.251664,0.296075,0.174162,-0.000000,0.032152
0.050000,1.839033,5.343444,0.266686,0.304784,0.174162,0.000000,0.034586
0.050000,1.854480,5.343998,0.282142,0.313492,0.174162,-0.000000,0.037153
0.050000,1.870361,5.344609,0.298035,0.322200,0.174162,0.000000,0.039858
0.050000,1.886674,5.345283,0.314362,0.330908,0.174162,0.000000,0.042707
0.050000,1.903421,5.346024,0.331126,0.339616,0.174162,-0.000000,0.045706
0.050000,1.920600,5.346837,0.348324,0.348324,0.174162,0.000000,0.048863
0.050000,1.938212,5.347727,0.365958,0.357032,0.174162,-0.000000,0.052183
0.050000,1.956255,5.348701,0.384027,0.365740,0.174162,0.000000,0.055673
0.050000,1.974729,5.349764,0.402532,0.374448,0.174162,0.000000,0.059343
0.050000,1.993634,5.350924,0.421472,0.383156,0.174162,0.000000,0.063198
0.050000,2.012968,5.352187,0.440848,0.391865,0.174162,-0.000000,0.067247
0.050000,2.032731,5.353560,0.460659,0.400573,0.174162,0.000000,0.071498
0.050000,2.052923,5.355051,0.480905,0.409281,0.174162,-0.000000,0.075961
0.050000,2.073541,5.356668,0.501587,0.417989,0.174162,0.000000,0.080644
0.050000,2.094585,5.358421,0.522704,0.426697,0.174162,-0.000000,0.085556
0.050000,2.116054,5.360318,0.544256,0.435405,0.174162,0.000000,0.090707
0.050000,2.137946,5.362368,0.566244,0.444113,0.174162,0.000000,0.096107
0.050000,2.160260,5.364583,0.588668,0.452821,0.174162,-0.000000,0.101767
0.050000,2.182993,5.366972,0.611526,0.461529,0.174162,0.000000,0.107697
0.050000,2.206145,5.369548,0.634821,0.470237,0.174162,-0.000000,0.113909
0.050000,2.229712,5.372321,0.658550,0.478946,0.174162,0.000000,0.120414
0.050000,2.253692,5.375305,0.682715,0.487654,0.174162,0.000000,0.127224
0.050000,2.278082,5.378513,0.707316,0.496362,0.174162,-0.000000,0.134351
0.050000,2.302879,5.381959,0.732351,0.505070,0.174162,-0.000000,0.141809
0.050000,2.328081,5.385656,0.757823,0.513778,0.174162,0.000000,0.149609
0.050000,2.353682,5.389622,0.783729,0.522486,0.174162,-0.000000,0.157766
0.050000,2.379679,5.393871,0.810071,0.531194,0.174162,0.000000,0.166293
0.050000,2.406067,5.398420,0.836849,0.539902,0.174162,0.000000,0.175203
0.050000,2.432841,5.403288,0.864061,0.548610,0.174162,0.000000,0.184512
0.050000,2.459995,5.408492,0.891710,0.557318,0.174162,-0.000000,0.194232
0.050000,2.487522,5.414051,0.919793,0.566027,0.174162,0.000000,0.204379
0.050000,2.515417,5.419986,0.948312,0.574735,0.174162,0.000000,0.214967
0.050000,2.543670,5.426318,0.977267,0.583443,0.174162,0.000000,0.226010
0.050000,2.572274,5.433068,1.006657,0.592151,0.174162,-0.000000,0.237522
0.050000,2.601220,5.440259,1.036482,0.600859,0.174162,0.000000,0.249517
0.050000,2.630496,5.447913,1.066742,0.609567,0.174162,0.000000,0.262008
0.050000,2.660092,5.456056,1.097438,0.618275,0.174162,-0.000000,0.275009
0.050000,2.689996,5.464711,1.128570,0.626983,0.174162,0.000000,0.288530
0.050000,2.720194,5.473905,1.160137,0.635691,0.174162,0.000000,0.302583
0.050000,2.750672,5.483663,1.192139,0.644400,0.174162,-0.000000,0.317178
0.050000,2.781414,5.494012,1.224577,0.653108,0.174162,0.000000,0.332322
0.050000,2.812404,5.504979,1.257450,0.661816,0.174162,-0.000000,0.348023
0.050000,2.843622,5.516592,1.290758,0.670524,0.174162,0.000000,0.364285
0.050000,2.875049,5.528878,1.324502,0.679232,0.174162,0.000000,0.381110
0.050000,2.906664,5.541865,1.358682,0.687940,0.174162,0.000000,0.398498
0.050000,2.938445,5.555582,1.393296,0.696648,0.174162,0.000000,0.416445
0.050000,2.970367,5.570055,1.428346,0.705356,0.174162,-0.000000,0.434945
0.050000,3.002404,5.585311,1.463832,0.714064,0.174162,0.000000,0.453988
0.050000,3.034531,5.601379,1.499753,0.722772,0.174162,0.000000,0.473560
0.050000,3.066718,5.618282,1.536109,0.731481,0.174162,-0.000000,0.493645
0.050000,3.098936,5.636047,1.572901,0.740189,0.174162,0.000000,0.514220
0.050000,3.131154,5.654697,1.610128,0.748897,0.174162,0.000000,0.535259
0.050000,3.163340,5.674253,1.647791,0.757605,0.174162,-0.000000,0.556734
0.050000,3.195463,5.694736,1.685888,0.766313,0.174162,0.000000,0.578609
0.050000,3.227487,5.716165,1.724422,0.775021,0.174162,-0.000000,0.600848
0.050000,3.259379,5.738556,1.763391,0.783729,0.174162,0.000000,0.623408
0.050000,3.291106,5.761924,1.802795,0.792437,0.174162,0.000000,0.646245
0.050000,3.322632,5.786280,1.842634,0.801145,0.174162,-0.000000,0.669311
0.050000,3.353924,5.811634,1.882909,0.809853,0.174162,0.000000,0.692557
0.050000,3.384949,5.837992,1.923620,0.818562,0.174162,-0.000000,0.715930
