dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.611534,4.998069,0.000217,0.008692,0.173838,3.476755,0.000320
0.050000,1.611501,4.998069,0.000250,0.000663,-0.160579,-6.688330,0.000226
0.050000,1.611446,4.998069,0.000306,0.001101,0.008767,3.386911,0.000068
0.050000,1.612417,4.998069,0.001276,0.019414,0.366261,7.149884,6.283035
0.050000,1.614274,4.998068,0.003134,0.037154,0.354802,-0.229179,6.282755
0.050000,1.616546,4.998067,0.005405,0.045431,0.165530,-3.785434,6.282415
0.050000,1.619232,4.998064,0.008091,0.053720,0.165771,0.004814,6.282019
0.050000,1.622333,4.998060,0.011193,0.062023,0.166067,0.005922,6.281566
0.050000,1.625850,4.998053,0.014710,0.070342,0.166388,0.006408,6.281061
0.050000,1.629784,4.998044,0.018644,0.078681,0.166766,0.007571,6.280505
0.050000,1.634136,4.998031,0.022996,0.087039,0.167159,0.007849,6.279901
0.050000,1.638907,4.998014,0.027767,0.095420,0.167635,0.009523,6.279253
0.050000,1.644098,4.997992,0.032958,0.103826,0.168122,0.009737,6.278564
0.050000,1.649711,4.997964,0.038571,0.112259,0.168649,0.010554,6.277838
0.050000,1.655747,4.997929,0.044607,0.120722,0.169255,0.012107,6.277079
0.050000,1.662208,4.997887,0.051068,0.129214,0.169843,0.011774,6.276292
0.050000,1.669095,4.997837,0.057955,0.137739,0.170510,0.013325,6.275481
0.050000,1.676409,4.997777,0.065270,0.146300,0.171212,0.014056,6.274651
0.050000,1.684154,4.997708,0.073014,0.154896,0.171930,0.014346,6.273808
0.050000,1.692330,4.997628,0.081191,0.163532,0.172716,0.015726,6.272957
0.050000,1.700940,4.997536,0.089801,0.172208,0.173523,0.016134,6.272103
0.050000,1.709986,4.997432,0.098848,0.180927,0.174374,0.017017,6.271253
0.050000,1.719469,4.997315,0.108332,0.189689,0.175250,0.017531,6.270413
0.050000,1.729394,4.997184,0.118257,0.198498,0.176172,0.018447,6.269590
0.050000,1.739760,4.997039,0.128625,0.207355,0.177138,0.019319,6.268791
0.050000,1.750572,4.996879,0.139438,0.216261,0.178128,0.019802,6.268022
0.050000,1.761832,4.996704,0.150699,0.225220,0.179167,0.020765,6.267291
0.050000,1.773542,4.996514,0.162411,0.234231,0.180224,0.021151,6.266606
0.050000,1.785705,4.996308,0.174575,0.243298,0.181344,0.022395,6.265975
0.050000,1.798324,4.996087,0.187197,0.252422,0.182484,0.022795,6.265405
0.050000,1.811402,4.995851,0.200277,0.261606,0.183671,0.023749,6.264905
0.050000,1.824943,4.995601,0.213819,0.270851,0.184901,0.024598,6.264485
0.050000,1.838948,4.995336,0.227827,0.280159,0.186163,0.025240,6.264152
0.050000,1.853422,4.995059,0.242304,0.289533,0.187472,0.026186,6.263917
0.050000,1.868368,4.994770,0.257253,0.298974,0.188828,0.027120,6.263789
0.050000,1.883789,4.994470,0.272677,0.308485,0.190228,0.027984,6.263778
0.050000,1.899690,4.994163,0.288580,0.318069,0.191677,0.028984,6.263895
0.050000,1.916073,4.993848,0.304967,0.327728,0.193177,0.030008,6.264149
0.050000,1.932943,4.993530,0.321840,0.337465,0.194729,0.031030,6.264553
0.050000,1.950304,4.993212,0.339204,0.347282,0.196341,0.032247,6.265118
0.050000,1.968161,4.992895,0.357063,0.357182,0.198013,0.033434,6.265855
0.050000,1.986517,4.992585,0.375422,0.367169,0.199743,0.034610,6.266777
0.050000,2.005377,4.992286,0.394284,0.377247,0.201559,0.036321,6.267898
0.050000,2.024746,4.992003,0.413655,0.387419,0.203423,0.037283,6.269229
0.050000,2.044628,4.991740,0.433539,0.397688,0.205391,0.039345,6.270786
0.050000,2.065030,4.991505,0.453942,0.408060,0.207439,0.040969,6.272583
0.050000,2.085956,4.991305,0.474869,0.418539,0.209570,0.042613,6.274635
0.050000,2.107412,4.991146,0.496326,0.429128,0.211784,0.044284,6.276959
0.050000,2.129403,4.991037,0.518318,0.439836,0.214158,0.047484,6.279570
0.050000,2.151936,4.990988,0.540851,0.450665,0.216580,0.048437,6.282487
0.050000,2.175017,4.991009,0.563932,0.461623,0.219165,0.051690,0.002542
0.050000,2.198653,4.991111,0.587568,0.472716,0.221866,0.054036,0.006125
0.050000,2.222850,4.991306,0.611765,0.483952,0.224708,0.056830,0.010072
0.050000,2.247615,4.991609,0.636532,0.495338,0.227731,0.060471,0.014404
0.050000,2.272955,4.992033,0.661876,0.506882,0.230867,0.062713,0.019143
0.050000,2.298879,4.992596,0.687806,0.518591,0.234197,0.066595,0.024313
0.050000,2.325393,4.993314,0.714330,0.530477,0.237708,0.070229,0.029940
0.050000,2.352506,4.994208,0.741457,0.542548,0.241429,0.074418,0.036049
0.050000,2.380225,4.995299,0.769198,0.554815,0.245341,0.078245,0.042669
0.050000,2.408559,4.996609,0.797562,0.567289,0.249479,0.082752,0.049830
0.050000,2.437516,4.998165,0.826561,0.579980,0.253815,0.086712,0.057561
0.050000,2.467105,4.999993,0.856206,0.592900,0.258396,0.091634,0.065897
0.050000,2.497333,5.002123,0.886510,0.606064,0.263293,0.097927,0.074872
0.050000,2.528209,5.004587,0.917484,0.619478,0.268275,0.099643,0.084522
0.050000,2.559740,5.007422,0.949142,0.633161,0.273647,0.107453,0.094884
0.050000,2.591933,5.010665,0.981498,0.647122,0.279221,0.111471,0.105999
0.050000,2.624795,5.014358,1.014566,0.661370,0.284977,0.115130,0.117908
