dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.560094,5.590237,0.000437,0.017494,0.349885,6.997710,0.000043
0.050000,1.560101,5.590237,0.000445,0.000152,-0.346847,-13.934659,0.000018
0.050000,1.561319,5.590237,0.001662,0.024345,0.483870,16.614345,6.283163
0.050000,1.564397,5.590237,0.004741,0.061567,0.744429,5.211185,6.283109
0.050000,1.568354,5.590236,0.008698,0.079139,0.351451,-7.859563,6.283042
0.050000,1.573189,5.590235,0.013532,0.096698,0.351176,-0.005500,6.282965
0.050000,1.578901,5.590234,0.019244,0.114241,0.350849,-0.006536,6.282880
0.050000,1.585489,5.590231,0.025833,0.131763,0.350456,-0.007857,6.282790
0.050000,1.592952,5.590228,0.033296,0.149264,0.350007,-0.008988,6.282699
0.050000,1.601289,5.590224,0.041633,0.166738,0.349494,-0.010251,6.282612
0.050000,1.610499,5.590218,0.050842,0.184185,0.348923,-0.011417,6.282532
0.050000,1.620578,5.590211,0.060922,0.201599,0.348295,-0.012576,6.282465
0.050000,1.631527,5.590203,0.071871,0.218979,0.347602,-0.013850,6.282416
0.050000,1.643344,5.590194,0.083687,0.236322,0.346852,-0.015007,6.282392
0.050000,1.656025,5.590184,0.096368,0.253624,0.346041,-0.016218,6.282399
0.050000,1.669569,5.590173,0.109912,0.270883,0.345169,-0.017431,6.282444
0.050000,1.683974,5.590163,0.124317,0.288094,0.344238,-0.018628,6.282535
0.050000,1.699236,5.590154,0.139580,0.305257,0.343244,-0.019885,6.282679
0.050000,1.715355,5.590148,0.155698,0.322366,0.342191,-0.021063,6.282885
0.050000,1.732326,5.590145,0.172669,0.339420,0.341073,-0.022359,6.283162
0.050000,1.750146,5.590147,0.190490,0.356415,0.339897,-0.023514,0.000334
0.050000,1.768814,5.590158,0.209157,0.373347,0.338651,-0.024919,0.000783
0.050000,1.788325,5.590178,0.228668,0.390214,0.337345,-0.026124,0.001332
0.050000,1.808675,5.590212,0.249019,0.407013,0.335973,-0.027438,0.001994
0.050000,1.829862,5.590262,0.270206,0.423740,0.334532,-0.028809,0.002779
0.050000,1.851882,5.590333,0.292225,0.440391,0.333029,-0.030069,0.003701
0.050000,1.874729,5.590430,0.315073,0.456963,0.331446,-0.031653,0.004771
0.050000,1.898402,5.590557,0.338746,0.473453,0.329799,-0.032941,0.006003
0.050000,1.922894,5.590721,0.363239,0.489857,0.328072,-0.034543,0.007411
0.050000,1.948202,5.590929,0.388547,0.506171,0.326273,-0.035990,0.009009
0.050000,1.974320,5.591187,0.414667,0.522390,0.324391,-0.037622,0.010813
0.050000,2.001244,5.591505,0.441593,0.538512,0.322435,-0.039136,0.012839
0.050000,2.028968,5.591892,0.469319,0.554531,0.320387,-0.040959,0.015102
0.050000,2.057486,5.592358,0.497841,0.570443,0.318241,-0.042913,0.017621
0.050000,2.086793,5.592915,0.527154,0.586244,0.316020,-0.044418,0.020412
0.050000,2.116882,5.593575,0.557250,0.601929,0.313689,-0.046617,0.023496
0.050000,2.147747,5.594353,0.588125,0.617493,0.311276,-0.048271,0.026891
0.050000,2.179380,5.595262,0.619771,0.632929,0.308737,-0.050784,0.030617
0.050000,2.211775,5.596319,0.652183,0.648235,0.306101,-0.052708,0.034697
0.050000,2.244922,5.597543,0.685353,0.663403,0.303363,-0.054766,0.039152
0.050000,2.278814,5.598952,0.719274,0.678427,0.300491,-0.057436,0.044005
0.050000,2.313442,5.600568,0.753940,0.693304,0.297526,-0.059303,0.049281
0.050000,2.348795,5.602412,0.789341,0.708024,0.294401,-0.062509,0.055004
0.050000,2.384863,5.604509,0.825470,0.722583,0.291196,-0.064087,0.061200
0.050000,2.421635,5.606884,0.862319,0.736975,0.287840,-0.067131,0.067896
0.050000,2.459099,5.609566,0.899878,0.751194,0.284376,-0.069269,0.075121
0.050000,2.497242,5.612585,0.938140,0.765233,0.280782,-0.071873,0.082903
0.050000,2.536049,5.615972,0.977094,0.779087,0.277082,-0.074004,0.091272
0.050000,2.575505,5.619760,1.016732,0.792751,0.273277,-0.076102,0.100259
0.050000,2.615594,5.623987,1.057043,0.806221,0.269392,-0.077707,0.109895
0.050000,2.656297,5.628689,1.098018,0.819491,0.265402,-0.079796,0.120212
0.050000,2.697597,5.633907,1.139646,0.832560,0.261377,-0.080491,0.131243
0.050000,2.739472,5.639683,1.181917,0.845426,0.257322,-0.081117,0.143020
0.050000,2.781899,5.646063,1.224821,0.858091,0.253295,-0.080531,0.155576
0.050000,2.824856,5.653093,1.268349,0.870556,0.249302,-0.079869,0.168943
0.050000,2.868315,5.660821,1.312491,0.882828,0.245437,-0.077287,0.183152
0.050000,2.912250,5.669300,1.357236,0.894915,0.241746,-0.073828,0.198234
0.050000,2.956632,5.678581,1.402578,0.906831,0.238312,-0.068669,0.214214
0.050000,3.001428,5.688721,1.448507,0.918592,0.235224,-0.061772,0.231119
0.050000,3.046606,5.699776,1.495018,0.930221,0.232582,-0.052844,0.248970
0.050000,3.092131,5.711805,1.542106,0.941746,0.230504,-0.041558,0.267784
0.050000,3.137966,5.724867,1.589766,0.953201,0.229108,-0.027915,0.287571
0.050000,3.184074,5.739023,1.637997,0.964628,0.228537,-0.011411,0.308337
0.050000,3.230413,5.754336,1.686801,0.976074,0.228909,0.007440,0.330078
0.050000,3.276943,5.770867,1.736180,0.987592,0.230363,0.029070,0.352782
