dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.560107,5.280237,0.000218,0.008705,0.174102,3.482044,0.000047
0.050000,1.560107,5.280237,0.000871,0.017410,0.174102,0.000000,0.000034
0.050000,1.560107,5.280237,0.001959,0.026115,0.174102,-0.000000,0.000014
0.050000,1.560858,5.280237,0.003482,0.034820,0.174102,0.000000,6.283172
0.050000,1.562816,5.280237,0.005441,0.043526,0.174102,-0.000000,6.283136
0.050000,1.565210,5.280236,0.007835,0.052231,0.174102,0.000000,6.283095
0.050000,1.568039,5.280236,0.010664,0.060936,0.174102,-0.000000,6.283047
0.050000,1.571304,5.280236,0.013928,0.069641,0.174102,0.000000,6.282993
0.050000,1.575004,5.280235,0.017628,0.078346,0.174102,-0.000000,6.282936
0.050000,1.579139,5.280234,0.021763,0.087051,0.174102,-0.000000,6.282875
0.050000,1.583709,5.280232,0.026333,0.095756,0.174102,0.000000,6.282812
0.050000,1.588714,5.280230,0.031338,0.104461,0.174102,-0.000000,6.282748
0.050000,1.594155,5.280227,0.036779,0.113166,0.174102,0.000000,6.282684
0.050000,1.600031,5.280224,0.042655,0.121872,0.174102,0.000000,6.282622
0.050000,1.606342,5.280221,0.048966,0.130577,0.174102,-0.000000,6.282564
0.050000,1.613088,5.280216,0.055713,0.139282,0.174102,0.000000,6.282511
0.050000,1.620270,5.280211,0.062894,0.147987,0.174102,-0.000000,6.282465
0.050000,1.627887,5.280206,0.070511,0.156692,0.174102,0.000000,6.282429
0.050000,1.635939,5.280199,0.078564,0.165397,0.174102,-0.000000,6.282403
0.050000,1.644427,5.280193,0.087051,0.174102,0.174102,0.000000,6.282391
0.050000,1.653350,5.280186,0.095974,0.182807,0.174102,0.000000,6.282395
0.050000,1.662708,5.280178,0.105332,0.191512,0.174102,-0.000000,6.282417
0.050000,1.672501,5.280171,0.115125,0.200218,0.174102,0.000000,6.282460
0.050000,1.682729,5.280164,0.125354,0.208923,0.174102,0.000000,6.282527
0.050000,1.693393,5.280157,0.136017,0.217628,0.174102,-0.000000,6.282619
0.050000,1.704492,5.280152,0.147116,0.226333,0.174102,0.000000,6.282741
0.050000,1.716026,5.280147,0.158651,0.235038,0.174102,-0.000000,6.282896
0.050000,1.727996,5.280145,0.170620,0.243743,0.174102,0.000000,6.283086
0.050000,1.740401,5.280145,0.183025,0.252448,0.174102,0.000000,0.000129
0.050000,1.753241,5.280149,0.195865,0.261153,0.174102,-0.000000,0.000401
0.050000,1.766516,5.280156,0.209140,0.269858,0.174102,0.000000,0.000718
0.050000,1.780227,5.280168,0.222851,0.278564,0.174102,-0.000000,0.001084
0.050000,1.794372,5.280187,0.236997,0.287269,0.174102,-0.000000,0.001505
0.050000,1.808953,5.280212,0.251578,0.295974,0.174102,0.000000,0.001982
0.050000,1.823970,5.280246,0.266594,0.304679,0.174102,-0.000000,0.002521
0.050000,1.839421,5.280289,0.282046,0.313384,0.174102,0.000000,0.003126
0.050000,1.855308,5.280344,0.297932,0.322089,0.174102,-0.000000,0.003801
0.050000,1.871630,5.280412,0.314254,0.330794,0.174102,-0.000000,0.004550
0.050000,1.888387,5.280495,0.331012,0.339499,0.174102,0.000000,0.005379
0.050000,1.905579,5.280596,0.348204,0.348204,0.174102,-0.000000,0.006292
0.050000,1.923207,5.280715,0.365832,0.356909,0.174102,0.000000,0.007294
0.050000,1.941269,5.280857,0.383895,0.365615,0.174102,-0.000000,0.008390
0.050000,1.959767,5.281023,0.402394,0.374320,0.174102,-0.000000,0.009586
0.050000,1.978699,5.281217,0.421327,0.383025,0.174102,0.000000,0.010886
