dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.560123,4.930237,0.000218,0.008705,0.174102,3.482044,0.000047
0.050000,1.560119,4.930237,0.000222,0.000086,-0.172385,-6.929740,0.000034
0.050000,1.560112,4.930237,0.000229,0.000142,0.001117,3.470034,0.000014
0.050000,1.560853,4.930237,0.000970,0.014818,0.293535,5.848356,6.283172
0.050000,1.562799,4.930237,0.002916,0.038927,0.482167,3.772653,6.283136
0.050000,1.565179,4.930236,0.005296,0.047585,0.173160,-6.180146,6.283095
0.050000,1.567991,4.930236,0.008108,0.056248,0.173255,0.001908,6.283047
0.050000,1.571237,4.930236,0.011354,0.064916,0.173364,0.002165,6.282993
0.050000,1.574916,4.930235,0.015033,0.073590,0.173489,0.002509,6.282936
0.050000,1.579030,4.930234,0.019147,0.082272,0.173635,0.002919,6.282875
0.050000,1.583578,4.930232,0.023695,0.090962,0.173790,0.003107,6.282812
0.050000,1.588561,4.930230,0.028678,0.099660,0.173970,0.003594,6.282748
0.050000,1.593979,4.930227,0.034096,0.108368,0.174163,0.003847,6.282684
0.050000,1.599834,4.930224,0.039951,0.117087,0.174372,0.004199,6.282622
0.050000,1.606124,4.930221,0.046241,0.125817,0.174600,0.004544,6.282564
0.050000,1.612852,4.930216,0.052969,0.134559,0.174842,0.004839,6.282511
0.050000,1.620018,4.930211,0.060135,0.143314,0.175104,0.005247,6.282465
0.050000,1.627622,4.930206,0.067739,0.152083,0.175379,0.005505,6.282429
0.050000,1.635666,4.930199,0.075783,0.160867,0.175674,0.005898,6.282403
0.050000,1.644149,4.930193,0.084266,0.169666,0.175985,0.006209,6.282391
0.050000,1.653073,4.930186,0.093190,0.178482,0.176312,0.006548,6.282395
0.050000,1.662439,4.930178,0.102556,0.187314,0.176657,0.006892,6.282417
0.050000,1.672247,4.930171,0.112364,0.196165,0.177017,0.007217,6.282460
0.050000,1.682499,4.930164,0.122616,0.205035,0.177396,0.007574,6.282527
0.050000,1.693195,4.930157,0.133312,0.213925,0.177792,0.007912,6.282619
0.050000,1.704337,4.930152,0.144454,0.222835,0.178204,0.008237,6.282741
0.050000,1.715925,4.930147,0.156042,0.231766,0.178634,0.008601,6.282896
0.050000,1.727961,4.930145,0.168078,0.240721,0.179082,0.008974,6.283086
0.050000,1.740446,4.930145,0.180563,0.249698,0.179543,0.009209,0.000129
0.050000,1.753381,4.930149,0.193498,0.258699,0.180031,0.009772,0.000401
