dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.350047,7.862344,0.000433,0.017328,0.346552,6.931038,0.000762
0.050000,0.350152,7.862344,0.000538,0.002106,-0.304435,-13.019734,0.000423
0.050000,0.350877,7.862344,0.001263,0.014498,0.247841,11.045525,6.283042
0.050000,0.354156,7.862343,0.004542,0.065565,1.021335,15.469874,6.282248
0.050000,0.358371,7.862337,0.008757,0.084308,0.374869,-12.929327,6.281227
0.050000,0.363524,7.862323,0.013910,0.103053,0.374895,0.000533,6.279977
0.050000,0.369614,7.862299,0.020000,0.121805,0.375037,0.002840,6.278497
0.050000,0.376642,7.862260,0.027028,0.140565,0.375203,0.003318,6.276786
0.050000,0.384608,7.862202,0.034995,0.159336,0.375413,0.004191,6.274842
0.050000,0.393514,7.862118,0.043900,0.178111,0.375516,0.002059,6.272664
0.050000,0.403358,7.862002,0.053746,0.196909,0.375954,0.008754,6.270250
0.050000,0.414143,7.861848,0.064531,0.215710,0.376027,0.001470,6.267598
0.050000,0.425867,7.861649,0.076258,0.234526,0.376307,0.005603,6.264706
0.050000,0.438533,7.861395,0.088926,0.253365,0.376778,0.009407,6.261571
0.050000,0.452140,7.861077,0.102536,0.272210,0.376905,0.002555,6.258190
0.050000,0.466689,7.860687,0.117090,0.291078,0.377354,0.008975,6.254561
0.050000,0.482179,7.860214,0.132588,0.309962,0.377691,0.006746,6.250681
0.050000,0.498613,7.859645,0.149032,0.328866,0.378084,0.007853,6.246546
0.050000,0.515989,7.858970,0.166421,0.347791,0.378487,0.008052,6.242154
0.050000,0.534309,7.858176,0.184758,0.366740,0.378978,0.009824,6.237501
0.050000,0.553572,7.857247,0.204044,0.385707,0.379355,0.007545,6.232582
0.050000,0.573779,7.856172,0.224279,0.404701,0.379870,0.010295,6.227396
0.050000,0.594928,7.854933,0.245465,0.423717,0.380324,0.009092,6.221937
0.050000,0.617021,7.853514,0.267603,0.442759,0.380835,0.010205,6.216201
0.050000,0.640055,7.851899,0.290694,0.461827,0.381354,0.010395,6.210184
0.050000,0.664032,7.850070,0.314740,0.480920,0.381867,0.010243,6.203883
0.050000,0.688949,7.848007,0.339742,0.500044,0.382483,0.012336,6.197292
0.050000,0.714805,7.845691,0.365702,0.519193,0.382975,0.009828,6.190408
0.050000,0.741598,7.843101,0.392620,0.538368,0.383496,0.010429,6.183225
0.050000,0.769327,7.840216,0.420499,0.557572,0.384094,0.011963,6.175740
0.050000,0.797989,7.837011,0.449339,0.576805,0.384653,0.011178,6.167947
0.050000,0.827580,7.833465,0.479142,0.596063,0.385159,0.010114,6.159843
0.050000,0.858098,7.829551,0.509910,0.615350,0.385746,0.011738,6.151422
0.050000,0.889538,7.825244,0.541643,0.634666,0.386326,0.011591,6.142682
0.050000,0.921894,7.820518,0.574343,0.654005,0.386763,0.008745,6.133616
0.050000,0.955163,7.815345,0.608012,0.673369,0.387287,0.010486,6.124222
0.050000,0.989337,7.809696,0.642649,0.692756,0.387735,0.008951,6.114496
0.050000,1.024409,7.803542,0.678257,0.712163,0.388140,0.008113,6.104435
0.050000,1.060372,7.796851,0.714837,0.731595,0.388645,0.010105,6.094034
0.050000,1.097216,7.789592,0.752389,0.751039,0.388878,0.004648,6.083292
0.050000,1.134931,7.781734,0.790914,0.770499,0.389195,0.006340,6.072205
0.050000,1.173505,7.773241,0.830413,0.789971,0.389446,0.005025,6.060773
0.050000,1.212928,7.764082,0.870885,0.809450,0.389573,0.002531,6.048994
0.050000,1.253184,7.754220,0.912332,0.828931,0.389634,0.001233,6.036867
0.050000,1.294259,7.743620,0.954752,0.848415,0.389678,0.000876,6.024392
0.050000,1.336136,7.732246,0.998147,0.867890,0.389504,-0.003478,6.011571
0.050000,1.378798,7.720062,1.042515,0.887355,0.389286,-0.004361,5.998405
0.050000,1.422226,7.707030,1.087855,0.906805,0.389001,-0.005693,5.984897
0.050000,1.466397,7.693114,1.134166,0.926229,0.388489,-0.010251,5.971051
0.050000,1.511289,7.678276,1.181448,0.945625,0.387921,-0.011365,5.956870
0.050000,1.556879,7.662479,1.229697,0.964983,0.387164,-0.015141,5.942362
0.050000,1.603140,7.645684,1.278912,0.984299,0.386319,-0.016897,5.927534
0.050000,1.650044,7.627857,1.329090,1.003563,0.385266,-0.021052,5.912393
0.050000,1.697563,7.608959,1.380228,1.022767,0.384084,-0.023643,5.896949
0.050000,1.745664,7.588956,1.432323,1.041902,0.382707,-0.027545,5.881214
0.050000,1.794316,7.567811,1.485372,1.060962,0.381204,-0.030053,5.865199
0.050000,1.843484,7.545492,1.539368,1.079938,0.379517,-0.033740,5.848918
0.050000,1.893133,7.521964,1.594310,1.098822,0.377682,-0.036697,5.832386
0.050000,1.943225,7.497197,1.650190,1.117606,0.375674,-0.040168,5.815619
0.050000,1.993722,7.471160,1.707004,1.136282,0.373524,-0.042992,5.798635
0.050000,2.044584,7.443824,1.764746,1.154844,0.371226,-0.045962,5.781451
0.050000,2.095770,7.415164,1.823410,1.173284,0.368800,-0.048523,5.764088
0.050000,2.147240,7.385154,1.882990,1.191596,0.366244,-0.051122,5.746566
0.050000,2.198951,7.353772,1.943479,1.209776,0.363594,-0.052992,5.728906
0.050000,2.250861,7.320997,2.004870,1.227818,0.360841,-0.055075,5.711131
0.050000,2.302927,7.286810,2.067156,1.245719,0.358031,-0.056195,5.693264
0.050000,2.355105,7.251197,2.130330,1.263477,0.355151,-0.057592,5.675327
0.050000,2.407354,7.214142,2.194384,1.281090,0.352268,-0.057665,5.657344
0.050000,2.459631,7.175636,2.259312,1.298556,0.349309,-0.059174,5.639338
0.050000,2.511894,7.135668,2.325106,1.315878,0.346445,-0.057291,5.621334
0.050000,2.564102,7.094232,2.391758,1.333055,0.343549,-0.057911,5.603354
0.050000,2.616215,7.051325,2.459263,1.350092,0.340734,-0.056304,5.585420
0.050000,2.668195,7.006942,2.527613,1.366990,0.337962,-0.055433,5.567556
0.050000,2.720003,6.961085,2.596800,1.383755,0.335306,-0.053127,5.549783
0.050000,2.771603,6.913755,2.666820,1.400390,0.332700,-0.052118,5.532121
0.050000,2.822961,6.864955,2.737665,1.416905,0.330295,-0.048102,5.514590
0.050000,2.874044,6.814692,2.809330,1.433304,0.327983,-0.046232,5.497210
0.050000,2.924820,6.762971,2.881810,1.449590,0.325715,-0.045374,5.479997
0.050000,2.975261,6.709801,2.955099,1.465781,0.323811,-0.038077,5.462967
0.050000,3.025338,6.655192,3.029192,1.481873,0.321840,-0.039421,5.446137
0.050000,3.075025,6.599154,3.104087,1.497883,0.320206,-0.032677,5.429520
0.050000,3.124300,6.541699,3.179777,1.513814,0.318624,-0.031637,5.413127
