dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.350283,7.552344,0.000218,0.008712,0.174244,3.484886,0.000819
0.050000,0.350283,7.552344,0.000871,0.017424,0.174244,0.000000,0.000648
0.050000,0.350283,7.552344,0.001960,0.026137,0.174244,0.000000,0.000363
0.050000,0.350419,7.552344,0.003485,0.034849,0.174244,-0.000000,6.283150
0.050000,0.352379,7.552344,0.005445,0.043561,0.174244,0.000000,6.282637
0.050000,0.354775,7.552342,0.007841,0.052273,0.174244,0.000000,6.282010
0.050000,0.357607,7.552337,0.010672,0.060985,0.174244,-0.000000,6.281268
0.050000,0.360874,7.552330,0.013940,0.069698,0.174244,0.000000,6.280411
0.050000,0.364576,7.552318,0.017642,0.078410,0.174244,0.000000,6.279439
0.050000,0.368715,7.552300,0.021781,0.087122,0.174244,0.000000,6.278351
0.050000,0.373288,7.552275,0.026354,0.095834,0.174244,0.000000,6.277147
0.050000,0.378298,7.552242,0.031364,0.104547,0.174244,0.000000,6.275826
0.050000,0.383743,7.552198,0.036809,0.113259,0.174244,0.000000,6.274388
0.050000,0.389623,7.552141,0.042690,0.121971,0.174244,-0.000000,6.272831
0.050000,0.395939,7.552071,0.049006,0.130683,0.174244,0.000000,6.271156
0.050000,0.402691,7.551983,0.055758,0.139395,0.174244,-0.000000,6.269362
0.050000,0.409877,7.551877,0.062946,0.148108,0.174244,0.000000,6.267447
0.050000,0.417499,7.551749,0.070569,0.156820,0.174244,-0.000000,6.265412
0.050000,0.425557,7.551597,0.078628,0.165532,0.174244,0.000000,6.263255
0.050000,0.434049,7.551418,0.087122,0.174244,0.174244,-0.000000,6.260975
0.050000,0.442977,7.551209,0.096052,0.182956,0.174244,0.000000,6.258571
0.050000,0.452339,7.550967,0.105418,0.191669,0.174244,-0.000000,6.256043
0.050000,0.462137,7.550688,0.115219,0.200381,0.174244,0.000000,6.253389
0.050000,0.472369,7.550369,0.125456,0.209093,0.174244,0.000000,6.250609
0.050000,0.483035,7.550006,0.136128,0.217805,0.174244,-0.000000,6.247700
0.050000,0.494135,7.549595,0.147236,0.226518,0.174244,0.000000,6.244663
0.050000,0.505670,7.549132,0.158780,0.235230,0.174244,-0.000000,6.241495
0.050000,0.517638,7.548613,0.170759,0.243942,0.174244,0.000000,6.238195
0.050000,0.530039,7.548033,0.183174,0.252654,0.174244,0.000000,6.234763
0.050000,0.542873,7.547389,0.196025,0.261366,0.174244,-0.000000,6.231196
0.050000,0.556140,7.546674,0.209311,0.270079,0.174244,0.000000,6.227494
0.050000,0.569839,7.545883,0.223033,0.278791,0.174244,0.000000,6.223655
0.050000,0.583970,7.545013,0.237190,0.287503,0.174244,0.000000,6.219678
