dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.350570,7.202345,0.000218,0.008712,0.174244,3.484886,0.000819
0.050000,0.350510,7.202345,0.000278,0.001195,-0.150338,-6.491651,0.000648
0.050000,0.350411,7.202345,0.000377,0.001993,0.015944,3.325651,0.000363
0.050000,0.350406,7.202344,0.000381,0.000081,-0.038220,-1.083295,6.283150
0.050000,0.352187,7.202344,0.002162,0.035618,0.710737,14.979154,6.282637
0.050000,0.354364,7.202342,0.004339,0.043527,0.158172,-11.051298,6.282010
0.050000,0.356936,7.202338,0.006910,0.051436,0.158173,0.000008,6.281268
0.050000,0.359903,7.202331,0.009877,0.059344,0.158160,-0.000250,6.280411
0.050000,0.363265,7.202320,0.013240,0.067249,0.158113,-0.000945,6.279439
0.050000,0.367023,7.202304,0.016998,0.075151,0.158031,-0.001638,6.278351
0.050000,0.371175,7.202282,0.021150,0.083047,0.157915,-0.002326,6.277147
0.050000,0.375722,7.202251,0.025697,0.090945,0.157968,0.001058,6.275826
0.050000,0.380663,7.202211,0.030639,0.098831,0.157721,-0.004944,6.274388
0.050000,0.385999,7.202160,0.035975,0.106723,0.157831,0.002216,6.272831
0.050000,0.391729,7.202096,0.041705,0.114603,0.157604,-0.004548,6.271156
0.050000,0.397853,7.202017,0.047829,0.122479,0.157520,-0.001688,6.269362
0.050000,0.404369,7.201920,0.054346,0.130349,0.157407,-0.002257,6.267447
0.050000,0.411279,7.201805,0.061257,0.138216,0.157342,-0.001288,6.265412
0.050000,0.418582,7.201667,0.068561,0.146077,0.157218,-0.002480,6.263255
0.050000,0.426276,7.201505,0.076257,0.153928,0.157009,-0.004188,6.260975
0.050000,0.434363,7.201315,0.084346,0.161776,0.156964,-0.000895,6.258571
0.050000,0.442841,7.201096,0.092827,0.169617,0.156816,-0.002964,6.256043
0.050000,0.451710,7.200843,0.101699,0.177448,0.156628,-0.003764,6.253389
0.050000,0.460969,7.200555,0.110963,0.185272,0.156482,-0.002909,6.250609
0.050000,0.470618,7.200226,0.120617,0.193087,0.156303,-0.003589,6.247700
0.050000,0.480656,7.199855,0.130662,0.200901,0.156272,-0.000610,6.244663
0.050000,0.491082,7.199436,0.141097,0.208697,0.155915,-0.007150,6.241495
0.050000,0.501897,7.198967,0.151922,0.216491,0.155893,-0.000441,6.238195
0.050000,0.513098,7.198444,0.163135,0.224271,0.155602,-0.005823,6.234763
0.050000,0.524685,7.197861,0.174737,0.232044,0.155458,-0.002880,6.231196
0.050000,0.536659,7.197216,0.186728,0.239808,0.155280,-0.003561,6.227494
0.050000,0.549016,7.196503,0.199106,0.247562,0.155069,-0.004220,6.223655
0.050000,0.561757,7.195719,0.211871,0.255303,0.154826,-0.004854,6.219678
0.050000,0.574881,7.194857,0.225023,0.263039,0.154728,-0.001963,6.215560
0.050000,0.588386,7.193913,0.238561,0.270758,0.154371,-0.007137,6.211302
0.050000,0.602271,7.192883,0.252485,0.278474,0.154323,-0.000958,6.206900
0.050000,0.616536,7.191760,0.266793,0.286174,0.153998,-0.006493,6.202354
0.050000,0.631178,7.190539,0.281487,0.293863,0.153788,-0.004208,6.197662
0.050000,0.646197,7.189215,0.296564,0.301541,0.153555,-0.004664,6.192823
0.050000,0.661591,7.187782,0.312024,0.309213,0.153445,-0.002197,6.187834
0.050000,0.677358,7.186233,0.327868,0.316866,0.153065,-0.007604,6.182694
0.050000,0.693498,7.184562,0.344093,0.324515,0.152962,-0.002053,6.177402
0.050000,0.710008,7.182764,0.360701,0.332147,0.152653,-0.006172,6.171957
0.050000,0.726886,7.180831,0.377689,0.339771,0.152467,-0.003727,6.166355
