dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.349997,7.902344,0.000218,0.008717,0.174342,3.486849,0.000819
0.050000,0.350057,7.902344,0.000278,0.001196,-0.150423,-6.495308,0.000648
0.050000,0.350156,7.902344,0.000377,0.001994,0.015953,3.327525,0.000363
0.050000,0.350433,7.902344,0.000654,0.005540,0.070927,1.099469,6.283149
0.050000,0.352574,7.902344,0.002795,0.042822,0.745631,13.494079,6.282636
0.050000,0.355191,7.902342,0.005412,0.052337,0.190301,-11.106594,6.282009
0.050000,0.358284,7.902337,0.008505,0.061856,0.190385,0.001686,6.281267
0.050000,0.361853,7.902328,0.012074,0.071379,0.190470,0.001690,6.280409
0.050000,0.365898,7.902315,0.016119,0.080906,0.190528,0.001159,6.279437
0.050000,0.370420,7.902296,0.020641,0.090434,0.190559,0.000631,6.278348
0.050000,0.375418,7.902269,0.025639,0.099962,0.190565,0.000106,6.277143
0.050000,0.380893,7.902232,0.031114,0.109502,0.190792,0.004548,6.275821
0.050000,0.386844,7.902184,0.037066,0.119035,0.190668,-0.002485,6.274382
0.050000,0.393273,7.902122,0.043495,0.128584,0.190987,0.006389,6.272825
0.050000,0.400180,7.902045,0.050402,0.138131,0.190928,-0.001190,6.271149
0.050000,0.407563,7.901949,0.057786,0.147683,0.191043,0.002300,6.269353
0.050000,0.415424,7.901833,0.065648,0.157240,0.191142,0.001991,6.267438
0.050000,0.423763,7.901693,0.073988,0.166806,0.191323,0.003606,6.265401
0.050000,0.432581,7.901527,0.082807,0.176377,0.191424,0.002026,6.263243
0.050000,0.441876,7.901331,0.092105,0.185951,0.191467,0.000858,6.260962
0.050000,0.451650,7.901102,0.101881,0.195535,0.191689,0.004449,6.258557
0.050000,0.461903,7.900836,0.112138,0.205127,0.191838,0.002978,6.256027
0.050000,0.472635,7.900531,0.122874,0.214723,0.191924,0.001717,6.253372
0.050000,0.483846,7.900181,0.134090,0.224327,0.192084,0.003210,6.250590
0.050000,0.495536,7.899782,0.145787,0.233939,0.192226,0.002822,6.247679
0.050000,0.507706,7.899332,0.157965,0.243566,0.192543,0.006339,6.244640
0.050000,0.520355,7.898824,0.170625,0.253190,0.192481,-0.001224,6.241470
0.050000,0.533484,7.898254,0.183767,0.262833,0.192867,0.007714,6.238169
0.050000,0.547093,7.897618,0.197390,0.272478,0.192900,0.000663,6.234734
0.050000,0.561182,7.896909,0.211497,0.282135,0.193139,0.004771,6.231166
0.050000,0.575751,7.896124,0.226087,0.291802,0.193347,0.004170,6.227461
0.050000,0.590800,7.895255,0.241161,0.301479,0.193526,0.003583,6.223620
0.050000,0.606329,7.894298,0.256719,0.311163,0.193677,0.003011,6.219640
0.050000,0.622338,7.893246,0.272763,0.320864,0.194038,0.007212,6.215520
0.050000,0.638826,7.892094,0.289291,0.330567,0.194045,0.000148,6.211259
0.050000,0.655793,7.890834,0.306305,0.340288,0.194432,0.007744,6.206855
0.050000,0.673240,7.889460,0.323806,0.350017,0.194568,0.002722,6.202306
0.050000,0.691166,7.887964,0.341794,0.359755,0.194771,0.004060,6.197611
0.050000,0.709570,7.886341,0.360269,0.369506,0.195006,0.004700,6.192769
0.050000,0.728451,7.884581,0.379233,0.379271,0.195311,0.006102,6.187777
0.050000,0.747810,7.882678,0.398685,0.389040,0.195368,0.001138,6.182634
0.050000,0.767645,7.880624,0.418626,0.398828,0.195778,0.008187,6.177339
0.050000,0.787956,7.878410,0.439057,0.408622,0.195866,0.001767,6.171890
0.050000,0.808742,7.876028,0.459979,0.418428,0.196134,0.005371,6.166285
0.050000,0.830000,7.873470,0.481391,0.428247,0.196367,0.004643,6.160523
0.050000,0.851732,7.870726,0.503295,0.438075,0.196564,0.003939,6.154602
0.050000,0.873934,7.867786,0.525690,0.447914,0.196773,0.004184,6.148520
0.050000,0.896605,7.864643,0.548579,0.457767,0.197066,0.005862,6.142277
0.050000,0.919744,7.861285,0.571960,0.467626,0.197181,0.002297,6.135870
0.050000,0.943349,7.857703,0.595835,0.477496,0.197398,0.004344,6.129299
0.050000,0.967417,7.853887,0.620204,0.487377,0.197619,0.004414,6.122561
0.050000,0.991946,7.849825,0.645067,0.497267,0.197798,0.003593,6.115656
0.050000,1.016934,7.845509,0.670425,0.507164,0.197939,0.002806,6.108582
0.050000,1.042378,7.840925,0.696279,0.517070,0.198130,0.003835,6.101339
0.050000,1.068275,7.836064,0.722628,0.526984,0.198267,0.002736,6.093924
0.050000,1.094622,7.830914,0.749473,0.536905,0.198439,0.003444,6.086338
0.050000,1.121414,7.825462,0.776815,0.546831,0.198510,0.001411,6.078578
0.050000,1.148649,7.819698,0.804653,0.556762,0.198621,0.002229,6.070646
0.050000,1.176322,7.813609,0.832988,0.566696,0.198687,0.001309,6.062539
0.050000,1.204428,7.807183,0.861820,0.576639,0.198850,0.003267,6.054257
0.050000,1.232964,7.800406,0.891148,0.586576,0.198737,-0.002257,6.045801
0.050000,1.261923,7.793267,0.920974,0.596521,0.198896,0.003179,6.037170
0.050000,1.291300,7.785753,0.951297,0.606461,0.198799,-0.001937,6.028364
0.050000,1.321089,7.777850,0.982117,0.616399,0.198772,-0.000542,6.019383
0.050000,1.351285,7.769546,1.013434,0.626334,0.198696,-0.001519,6.010229
0.050000,1.381880,7.760827,1.045247,0.636267,0.198664,-0.000639,6.000901
0.050000,1.412868,7.751680,1.077557,0.646189,0.198436,-0.004575,5.991400
0.050000,1.444241,7.742092,1.110362,0.656107,0.198351,-0.001684,5.981728
