dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.350283,7.552344,0.000218,0.008717,0.174342,3.486849,0.000819
0.050000,0.350283,7.552344,0.000872,0.017434,0.174342,0.000000,0.000648
0.050000,0.350283,7.552344,0.001961,0.026151,0.174342,0.000000,0.000363
0.050000,0.350421,7.552344,0.003487,0.034868,0.174342,0.000000,6.283149
0.050000,0.352382,7.552344,0.005448,0.043586,0.174342,0.000000,6.282636
0.050000,0.354780,7.552342,0.007845,0.052303,0.174342,0.000000,6.282009
0.050000,0.357613,7.552337,0.010678,0.061020,0.174342,0.000000,6.281267
0.050000,0.360881,7.552330,0.013947,0.069737,0.174342,0.000000,6.280409
0.050000,0.364586,7.552318,0.017652,0.078454,0.174342,0.000000,6.279437
0.050000,0.368727,7.552300,0.021793,0.087171,0.174342,0.000000,6.278348
0.050000,0.373303,7.552275,0.026369,0.095888,0.174342,0.000000,6.277143
0.050000,0.378316,7.552241,0.031382,0.104605,0.174342,0.000000,6.275821
0.050000,0.383763,7.552197,0.036830,0.113323,0.174342,0.000000,6.274382
0.050000,0.389647,7.552141,0.042714,0.122040,0.174342,0.000000,6.272825
0.050000,0.395967,7.552070,0.049034,0.130757,0.174342,0.000000,6.271149
0.050000,0.402722,7.551983,0.055790,0.139474,0.174342,0.000000,6.269353
0.050000,0.409913,7.551877,0.062981,0.148191,0.174342,0.000000,6.267438
0.050000,0.417539,7.551749,0.070609,0.156908,0.174342,0.000000,6.265401
0.050000,0.425601,7.551597,0.078672,0.165625,0.174342,0.000000,6.263243
0.050000,0.434098,7.551417,0.087171,0.174342,0.174342,0.000000,6.260962
0.050000,0.443031,7.551208,0.096106,0.183060,0.174342,0.000000,6.258557
0.050000,0.452399,7.550965,0.105477,0.191777,0.174342,0.000000,6.256027
0.050000,0.462202,7.550686,0.115284,0.200494,0.174342,0.000000,6.253372
0.050000,0.472439,7.550367,0.125527,0.209211,0.174342,0.000000,6.250590
0.050000,0.483111,7.550003,0.136205,0.217928,0.174342,0.000000,6.247679
0.050000,0.494218,7.549592,0.147319,0.226645,0.174342,0.000000,6.244640
0.050000,0.505759,7.549128,0.158870,0.235362,0.174342,0.000000,6.241470
0.050000,0.517734,7.548609,0.170856,0.244079,0.174342,0.000000,6.238169
0.050000,0.530142,7.548028,0.183278,0.252797,0.174342,0.000000,6.234734
0.050000,0.542984,7.547383,0.196135,0.261514,0.174342,0.000000,6.231166
0.050000,0.556258,7.546667,0.209429,0.270231,0.174342,0.000000,6.227461
0.050000,0.569965,7.545876,0.223158,0.278948,0.174342,0.000000,6.223620
0.050000,0.584103,7.545005,0.237324,0.287665,0.174342,0.000000,6.219640
0.050000,0.598673,7.544047,0.251925,0.296382,0.174342,0.000000,6.215520
0.050000,0.613673,7.542999,0.266962,0.305099,0.174342,0.000000,6.211259
0.050000,0.629104,7.541853,0.282435,0.313816,0.174342,0.000000,6.206855
0.050000,0.644963,7.540604,0.298344,0.322534,0.174342,0.000000,6.202306
0.050000,0.661251,7.539245,0.314688,0.331251,0.174342,0.000000,6.197611
0.050000,0.677967,7.537770,0.331469,0.339968,0.174342,0.000000,6.192769
0.050000,0.695109,7.536173,0.348685,0.348685,0.174342,0.000000,6.187777
0.050000,0.712676,7.534446,0.366337,0.357402,0.174342,0.000000,6.182634
0.050000,0.730668,7.532583,0.384425,0.366119,0.174342,0.000000,6.177339
0.050000,0.749083,7.530576,0.402949,0.374836,0.174342,0.000000,6.171890
0.050000,0.767919,7.528417,0.421909,0.383553,0.174342,0.000000,6.166285
0.050000,0.787176,7.526100,0.441304,0.392271,0.174342,0.000000,6.160523
0.050000,0.806851,7.523615,0.461136,0.400988,0.174342,0.000000,6.154602
0.050000,0.826943,7.520955,0.481403,0.409705,0.174342,0.000000,6.148520
0.050000,0.847450,7.518111,0.502106,0.418422,0.174342,0.000000,6.142277
0.050000,0.868370,7.515076,0.523245,0.427139,0.174342,0.000000,6.135870
0.050000,0.889701,7.511839,0.544820,0.435856,0.174342,0.000000,6.129299
0.050000,0.911440,7.508392,0.566831,0.444573,0.174342,0.000000,6.122561
0.050000,0.933585,7.504725,0.589277,0.453290,0.174342,0.000000,6.115656
0.050000,0.956133,7.500830,0.612160,0.462007,0.174342,0.000000,6.108582
0.050000,0.979082,7.496696,0.635478,0.470725,0.174342,0.000000,6.101339
0.050000,1.002428,7.492314,0.659232,0.479442,0.174342,0.000000,6.093924
0.050000,1.026169,7.487673,0.683422,0.488159,0.174342,0.000000,6.086338
0.050000,1.050300,7.482763,0.708048,0.496876,0.174342,0.000000,6.078578
0.050000,1.074819,7.477574,0.733110,0.505593,0.174342,0.000000,6.070646
0.050000,1.099721,7.472094,0.758608,0.514310,0.174342,-0.000000,6.062539
0.050000,1.125002,7.466314,0.784541,0.523027,0.174342,0.000000,6.054257
0.050000,1.150657,7.460221,0.810910,0.531744,0.174342,-0.000000,6.045801
0.050000,1.176683,7.453806,0.837715,0.540462,0.174342,0.000000,6.037170
0.050000,1.203075,7.447055,0.864956,0.549179,0.174342,0.000000,6.028364
0.050000,1.229826,7.439959,0.892633,0.557896,0.174342,-0.000000,6.019383
0.050000,1.256932,7.432504,0.920746,0.566613,0.174342,0.000000,6.010229
0.050000,1.284388,7.424680,0.949295,0.575330,0.174342,0.000000,6.000901
0.050000,1.312186,7.416474,0.978279,0.584047,0.174342,-0.000000,5.991400
0.050000,1.340322,7.407875,1.007699,0.592764,0.174342,0.000000,5.981728
0.050000,1.368787,7.398870,1.037556,0.601481,0.174342,0.000000,5.971887
0.050000,1.397576,7.389448,1.067848,0.610199,0.174342,-0.000000,5.961877
0.050000,1.426682,7.379596,1.098575,0.618916,0.174342,0.000000,5.951702
0.050000,1.456096,7.369301,1.129739,0.627633,0.174342,0.000000,5.941362
0.050000,1.485811,7.358553,1.161339,0.636350,0.174342,-0.000000,5.930862
0.050000,1.515819,7.347338,1.193374,0.645067,0.174342,0.000000,5.920203
0.050000,1.546112,7.335645,1.225845,0.653784,0.174342,0.000000,5.909390
0.050000,1.576680,7.323461,1.258752,0.662501,0.174342,-0.000000,5.898425
0.050000,1.607515,7.310775,1.292095,0.671218,0.174342,0.000000,5.887313
0.050000,1.638608,7.297574,1.325874,0.679936,0.174342,-0.000000,5.876058
0.050000,1.669948,7.283847,1.360089,0.688653,0.174342,0.000000,5.864664
0.050000,1.701526,7.269583,1.394740,0.697370,0.174342,0.000000,5.853137
0.050000,1.733332,7.254769,1.429826,0.706087,0.174342,0.000000,5.841482
0.050000,1.765355,7.239395,1.465348,0.714804,0.174342,-0.000000,5.829703
0.050000,1.797584,7.223450,1.501306,0.723521,0.174342,0.000000,5.817808
0.050000,1.830009,7.206923,1.537700,0.732238,0.174342,-0.000000,5.805802
0.050000,1.862617,7.189804,1.574530,0.740955,0.174342,0.000000,5.793692
0.050000,1.895399,7.172082,1.611796,0.749673,0.174342,0.000000,5.781485
0.050000,1.928342,7.153747,1.649498,0.758390,0.174342,-0.000000,5.769187
