dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.350570,7.202345,0.000218,0.008717,0.174342,3.486849,0.000819
0.050000,0.350510,7.202345,0.000278,0.001196,-0.150423,-6.495308,0.000648
0.050000,0.350410,7.202345,0.000377,0.001994,0.015953,3.327525,0.000363
0.050000,0.350408,7.202344,0.000380,0.000044,-0.038997,-1.099005,6.283149
0.050000,0.352190,7.202344,0.002162,0.035638,0.711892,15.017785,6.282636
0.050000,0.354368,7.202342,0.004339,0.043552,0.158262,-11.072609,6.282009
0.050000,0.356941,7.202338,0.006912,0.051465,0.158262,-0.000000,6.281267
0.050000,0.359910,7.202331,0.009881,0.059377,0.158249,-0.000252,6.280409
0.050000,0.363274,7.202320,0.013246,0.067287,0.158202,-0.000949,6.279437
0.050000,0.367034,7.202304,0.017005,0.075193,0.158120,-0.001642,6.278348
0.050000,0.371188,7.202281,0.021160,0.083093,0.158003,-0.002331,6.277143
0.050000,0.375738,7.202251,0.025710,0.090996,0.158059,0.001109,6.275821
0.050000,0.380682,7.202211,0.030654,0.098887,0.157809,-0.004988,6.274382
0.050000,0.386021,7.202160,0.035993,0.106782,0.157916,0.002134,6.272825
0.050000,0.391754,7.202096,0.041726,0.114667,0.157695,-0.004412,6.271149
0.050000,0.397881,7.202016,0.047854,0.122548,0.157607,-0.001761,6.269353
0.050000,0.404401,7.201920,0.054375,0.130422,0.157494,-0.002264,6.267438
0.050000,0.411315,7.201804,0.061290,0.138294,0.157436,-0.001171,6.265401
0.050000,0.418622,7.201666,0.068598,0.146159,0.157299,-0.002725,6.263243
0.050000,0.426321,7.201504,0.076298,0.154014,0.157103,-0.003932,6.260962
0.050000,0.434412,7.201314,0.084392,0.161866,0.157043,-0.001196,6.258557
0.050000,0.442895,7.201095,0.092877,0.169712,0.156910,-0.002652,6.256027
0.050000,0.451768,7.200842,0.101755,0.177548,0.156714,-0.003926,6.253372
0.050000,0.461033,7.200553,0.111023,0.185376,0.156568,-0.002918,6.250590
