dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.374601,7.931852,0.000217,0.008687,0.173739,3.474783,0.001141
0.050000,0.374659,7.931852,0.000276,0.001175,-0.150246,-6.479699,0.000973
0.050000,0.374757,7.931852,0.000374,0.001957,0.015641,3.317734,0.000694
0.050000,0.374894,7.931852,0.000511,0.002737,0.015609,-0.000641,0.000303
0.050000,0.375846,7.931852,0.001463,0.019048,0.326222,6.212273,6.282986
0.050000,0.378450,7.931851,0.004066,0.052069,0.660414,6.683832,6.282373
0.050000,0.381526,7.931847,0.007143,0.061528,0.189174,-9.424797,6.281650
0.050000,0.385075,7.931840,0.010692,0.070982,0.189091,-0.001670,6.280817
0.050000,0.389097,7.931829,0.014714,0.080432,0.188999,-0.001836,6.279875
0.050000,0.393591,7.931812,0.019207,0.089876,0.188885,-0.002269,6.278825
0.050000,0.398556,7.931787,0.024173,0.099315,0.188764,-0.002433,6.277668
0.050000,0.403994,7.931754,0.029610,0.108746,0.188628,-0.002707,6.276404
0.050000,0.409902,7.931710,0.035519,0.118170,0.188480,-0.002976,6.275035
0.050000,0.416281,7.931653,0.041898,0.127586,0.188318,-0.003238,6.273562
0.050000,0.423130,7.931582,0.048748,0.136993,0.188142,-0.003521,6.271986
0.050000,0.430449,7.931494,0.056067,0.146391,0.187953,-0.003764,6.270308
0.050000,0.438237,7.931386,0.063856,0.155778,0.187748,-0.004104,6.268530
0.050000,0.446494,7.931258,0.072114,0.165155,0.187535,-0.004258,6.266654
0.050000,0.455219,7.931105,0.080840,0.174520,0.187302,-0.004662,6.264681
0.050000,0.464411,7.930925,0.090034,0.183873,0.187058,-0.004886,6.262613
0.050000,0.474069,7.930716,0.099694,0.193213,0.186802,-0.005126,6.260452
0.050000,0.484193,7.930474,0.109821,0.202539,0.186529,-0.005447,6.258199
0.050000,0.494782,7.930197,0.120414,0.211852,0.186244,-0.005716,6.255856
0.050000,0.505835,7.929882,0.131471,0.221149,0.185945,-0.005975,6.253427
0.050000,0.517351,7.929524,0.142993,0.230430,0.185625,-0.006393,6.250913
0.050000,0.529329,7.929122,0.154978,0.239695,0.185298,-0.006540,6.248316
0.050000,0.541768,7.928671,0.167425,0.248943,0.184967,-0.006629,6.245639
0.050000,0.554667,7.928169,0.180333,0.258173,0.184587,-0.007589,6.242885
0.050000,0.568025,7.927612,0.193703,0.267385,0.184238,-0.006985,6.240055
0.050000,0.581840,7.926995,0.207532,0.276577,0.183850,-0.007762,6.237153
0.050000,0.596111,7.926317,0.221819,0.285749,0.183434,-0.008327,6.234182
0.050000,0.610837,7.925572,0.236564,0.294901,0.183035,-0.007967,6.231145
0.050000,0.626017,7.924758,0.251766,0.304031,0.182608,-0.008553,6.228044
0.050000,0.641649,7.923870,0.267422,0.313139,0.182168,-0.008791,6.224883
0.050000,0.657731,7.922905,0.283534,0.322224,0.181701,-0.009337,6.221666
0.050000,0.674262,7.921860,0.300098,0.331286,0.181239,-0.009236,6.218394
0.050000,0.691241,7.920730,0.317114,0.340325,0.180774,-0.009306,6.215073
0.050000,0.708665,7.919512,0.334581,0.349338,0.180251,-0.010456,6.211704
0.050000,0.726534,7.918201,0.352497,0.358327,0.179777,-0.009491,6.208293
0.050000,0.744844,7.916796,0.370862,0.367287,0.179215,-0.011231,6.204843
0.050000,0.763595,7.915291,0.389673,0.376223,0.178717,-0.009971,6.201357
0.050000,0.782784,7.913683,0.408930,0.385131,0.178164,-0.011044,6.197839
0.050000,0.802410,7.911969,0.428630,0.394011,0.177603,-0.011234,6.194294
0.050000,0.822471,7.910145,0.448773,0.402863,0.177032,-0.011405,6.190725
0.050000,0.842964,7.908207,0.469358,0.411686,0.176454,-0.011559,6.187137
0.050000,0.863887,7.906153,0.490382,0.420479,0.175870,-0.011699,6.183534
0.050000,0.885239,7.903979,0.511844,0.429243,0.175278,-0.011825,6.179920
0.050000,0.907017,7.901682,0.533742,0.437974,0.174622,-0.013129,6.176299
0.050000,0.929219,7.899259,0.556076,0.446677,0.174057,-0.011301,6.172676
0.050000,0.951843,7.896707,0.578844,0.455346,0.173377,-0.013596,6.169056
0.050000,0.974886,7.894024,0.602043,0.463985,0.172779,-0.011953,6.165443
0.050000,0.998347,7.891205,0.625672,0.472590,0.172107,-0.013438,6.161841
0.050000,1.022223,7.888250,0.649730,0.481162,0.171435,-0.013454,6.158256
0.050000,1.046512,7.885156,0.674216,0.489702,0.170790,-0.012897,6.154691
0.050000,1.071211,7.881920,0.699126,0.498207,0.170113,-0.013533,6.151153
0.050000,1.096318,7.878541,0.724460,0.506679,0.169433,-0.013608,6.147646
0.050000,1.121832,7.875016,0.750216,0.515115,0.168715,-0.014355,6.144174
0.050000,1.147749,7.871344,0.776391,0.523517,0.168041,-0.013470,6.140743
0.050000,1.174067,7.867524,0.802986,0.531884,0.167356,-0.013706,6.137357
0.050000,1.200785,7.863554,0.829996,0.540214,0.166590,-0.015320,6.134023
0.050000,1.227899,7.859434,0.857422,0.548511,0.165936,-0.013089,6.130745
0.050000,1.255408,7.855162,0.885260,0.556768,0.165145,-0.015813,6.127527
0.050000,1.283309,7.850738,0.913510,0.564991,0.164456,-0.013780,6.124376
0.050000,1.311600,7.846162,0.942169,0.573176,0.163712,-0.014886,6.121297
0.050000,1.340279,7.841434,0.971235,0.581324,0.162960,-0.015030,6.118295
0.050000,1.369344,7.836554,1.000707,0.589435,0.162206,-0.015085,6.115375
0.050000,1.398792,7.831522,1.030582,0.597507,0.161449,-0.015151,6.112543
0.050000,1.428622,7.826339,1.060859,0.605542,0.160687,-0.015231,6.109804
0.050000,1.458832,7.821007,1.091536,0.613538,0.159921,-0.015329,6.107164
