dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.375000,7.581852,0.000436,0.017423,0.348456,6.969123,0.001085
0.050000,0.375000,7.581852,0.001742,0.034846,0.348456,0.000000,0.000748
0.050000,0.375000,7.581852,0.003920,0.052268,0.348456,0.000000,0.000188
0.050000,0.377316,7.581852,0.006969,0.069691,0.348456,-0.000000,6.282591
0.050000,0.381237,7.581847,0.010889,0.087114,0.348456,0.000000,6.281586
0.050000,0.386028,7.581837,0.015681,0.104537,0.348456,0.000000,6.280362
0.050000,0.391690,7.581817,0.021343,0.121960,0.348456,-0.000000,6.278920
0.050000,0.398224,7.581783,0.027876,0.139382,0.348456,-0.000000,6.277263
0.050000,0.405628,7.581733,0.035281,0.156805,0.348456,0.000000,6.275393
0.050000,0.413904,7.581660,0.043557,0.174228,0.348456,-0.000000,6.273313
0.050000,0.423050,7.581559,0.052704,0.191651,0.348456,0.000000,6.271028
0.050000,0.433067,7.581425,0.062722,0.209074,0.348456,0.000000,6.268541
0.050000,0.443955,7.581250,0.073611,0.226496,0.348456,-0.000000,6.265856
0.050000,0.455713,7.581030,0.085372,0.243919,0.348456,0.000000,6.262978
0.050000,0.468342,7.580755,0.098003,0.261342,0.348456,0.000000,6.259912
0.050000,0.481841,7.580419,0.111506,0.278765,0.348456,-0.000000,6.256665
0.050000,0.496209,7.580013,0.125880,0.296188,0.348456,0.000000,6.253240
0.050000,0.511446,7.579529,0.141125,0.313611,0.348456,0.000000,6.249646
0.050000,0.527552,7.578959,0.157241,0.331033,0.348456,-0.000000,6.245889
0.050000,0.544526,7.578292,0.174228,0.348456,0.348456,0.000000,6.241976
0.050000,0.562368,7.577520,0.192086,0.365879,0.348456,0.000000,6.237914
0.050000,0.581076,7.576633,0.210816,0.383302,0.348456,0.000000,6.233711
0.050000,0.600651,7.575621,0.230417,0.400725,0.348456,-0.000000,6.229377
0.050000,0.621090,7.574474,0.250888,0.418147,0.348456,0.000000,6.224919
0.050000,0.642394,7.573182,0.272231,0.435570,0.348456,-0.000000,6.220347
0.050000,0.664561,7.571735,0.294445,0.452993,0.348456,0.000000,6.215670
0.050000,0.687590,7.570123,0.317531,0.470416,0.348456,-0.000000,6.210898
0.050000,0.711479,7.568335,0.341487,0.487839,0.348456,0.000000,6.206042
0.050000,0.736228,7.566360,0.366315,0.505261,0.348456,-0.000000,6.201112
0.050000,0.761835,7.564189,0.392013,0.522684,0.348456,0.000000,6.196119
0.050000,0.788298,7.561812,0.418583,0.540107,0.348456,-0.000000,6.191075
0.050000,0.815616,7.559218,0.446024,0.557530,0.348456,0.000000,6.185991
0.050000,0.843787,7.556398,0.474336,0.574953,0.348456,0.000000,6.180880
0.050000,0.872810,7.553343,0.503519,0.592375,0.348456,0.000000,6.175753
0.050000,0.902683,7.550043,0.533573,0.609798,0.348456,-0.000000,6.170623
0.050000,0.933403,7.546490,0.564499,0.627221,0.348456,0.000000,6.165503
0.050000,0.964970,7.542676,0.596296,0.644644,0.348456,-0.000000,6.160406
0.050000,0.997382,7.538593,0.628963,0.662067,0.348456,0.000000,6.155347
0.050000,1.030636,7.534233,0.662502,0.679489,0.348456,0.000000,6.150337
0.050000,1.064732,7.529590,0.696912,0.696912,0.348456,0.000000,6.145391
0.050000,1.099666,7.524659,0.732193,0.714335,0.348456,0.000000,6.140524
0.050000,1.135439,7.519433,0.768346,0.731758,0.348456,-0.000000,6.135749
0.050000,1.172048,7.513908,0.805369,0.749181,0.348456,0.000000,6.131081
0.050000,1.209492,7.508080,0.843264,0.766604,0.348456,0.000000,6.126534
0.050000,1.247769,7.501947,0.882030,0.784026,0.348456,-0.000000,6.122124
0.050000,1.286879,7.495506,0.921667,0.801449,0.348456,0.000000,6.117865
0.050000,1.326821,7.488757,0.962175,0.818872,0.348456,0.000000,6.113774
0.050000,1.367594,7.481700,1.003554,0.836295,0.348456,0.000000,6.109864
0.050000,1.409197,7.474336,1.045804,0.853718,0.348456,-0.000000,6.106152
0.050000,1.451631,7.466666,1.088925,0.871140,0.348456,0.000000,6.102654
0.050000,1.494896,7.458696,1.132918,0.888563,0.348456,0.000000,6.099386
