dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.375336,7.271853,0.000436,0.017423,0.348456,6.969123,0.001085
0.050000,0.375232,7.271852,0.000540,0.002086,-0.306737,-13.103855,0.000748
0.050000,0.375058,7.271852,0.000714,0.003473,0.027737,6.689471,0.000188
0.050000,0.377132,7.271852,0.002787,0.041474,0.760033,14.645922,6.282591
0.050000,0.380741,7.271848,0.006396,0.072175,0.614019,-2.920280,6.281586
0.050000,0.385153,7.271838,0.010808,0.088235,0.321198,-5.856422,6.280362
0.050000,0.390368,7.271820,0.016023,0.104308,0.321449,0.005027,6.278920
0.050000,0.396388,7.271789,0.022043,0.120395,0.321746,0.005944,6.277263
0.050000,0.403212,7.271742,0.028868,0.136500,0.322094,0.006957,6.275393
0.050000,0.410843,7.271675,0.036499,0.152624,0.322484,0.007798,6.273313
0.050000,0.419281,7.271582,0.044938,0.168770,0.322925,0.008826,6.271028
0.050000,0.428528,7.271458,0.054185,0.184941,0.323414,0.009766,6.268541
0.050000,0.438583,7.271297,0.064242,0.201139,0.323952,0.010763,6.265856
0.050000,0.449450,7.271093,0.075110,0.217365,0.324536,0.011678,6.262978
0.050000,0.461128,7.270839,0.086791,0.233624,0.325176,0.012801,6.259912
0.050000,0.473620,7.270528,0.099287,0.249917,0.325857,0.013627,6.256665
0.050000,0.486927,7.270152,0.112599,0.266247,0.326593,0.014723,6.253240
0.050000,0.501051,7.269704,0.126730,0.282616,0.327377,0.015665,6.249646
0.050000,0.515993,7.269174,0.141681,0.299027,0.328221,0.016895,6.245889
0.050000,0.531755,7.268555,0.157455,0.315482,0.329100,0.017565,6.241976
0.050000,0.548338,7.267837,0.174055,0.331984,0.330045,0.018897,6.237914
0.050000,0.565745,7.267012,0.191481,0.348535,0.331027,0.019646,6.233711
0.050000,0.583978,7.266070,0.209738,0.365138,0.332065,0.020760,6.229377
0.050000,0.603038,7.265000,0.228828,0.381796,0.333162,0.021933,6.224919
0.050000,0.622927,7.263794,0.248754,0.398510,0.334275,0.022266,6.220347
0.050000,0.643647,7.262442,0.269518,0.415284,0.335483,0.024164,6.215670
0.050000,0.665200,7.260933,0.291124,0.432120,0.336703,0.024398,6.210898
0.050000,0.687588,7.259256,0.313575,0.449018,0.337977,0.025485,6.206042
0.050000,0.710814,7.257403,0.336874,0.465984,0.339308,0.026616,6.201112
0.050000,0.734878,7.255363,0.361025,0.483018,0.340675,0.027341,6.196119
0.050000,0.759784,7.253126,0.386031,0.500121,0.342077,0.028047,6.191075
0.050000,0.785533,7.250681,0.411896,0.517298,0.343522,0.028894,6.185991
0.050000,0.812128,7.248019,0.438623,0.534549,0.345025,0.030065,6.180880
0.050000,0.839570,7.245130,0.466217,0.551876,0.346550,0.030494,6.175753
0.050000,0.867862,7.242005,0.494681,0.569281,0.348086,0.030714,6.170623
0.050000,0.897006,7.238635,0.524019,0.586767,0.349731,0.032903,6.165503
0.050000,0.927004,7.235010,0.554236,0.604333,0.351320,0.031784,6.160406
0.050000,0.957860,7.231123,0.585335,0.621983,0.352995,0.033495,6.155347
0.050000,0.989574,7.226965,0.617321,0.639718,0.354695,0.033994,6.150337
0.050000,1.022150,7.222529,0.650198,0.657536,0.356378,0.033669,6.145391
0.050000,1.055591,7.217808,0.683970,0.675445,0.358173,0.035899,6.140524
0.050000,1.089899,7.212796,0.718642,0.693440,0.359900,0.034539,6.135749
0.050000,1.125077,7.207487,0.754219,0.711526,0.361724,0.036482,6.131081
0.050000,1.161128,7.201876,0.790704,0.729703,0.363534,0.036196,6.126534
0.050000,1.198056,7.195959,0.828102,0.747972,0.365382,0.036966,6.122124
0.050000,1.235863,7.189733,0.866419,0.766334,0.367244,0.037241,6.117865
0.050000,1.274554,7.183195,0.905659,0.784791,0.369130,0.037720,6.113774
0.050000,1.314133,7.176345,0.945826,0.803343,0.371052,0.038436,6.109864
0.050000,1.354603,7.169181,0.986925,0.821993,0.373001,0.038973,6.106152
0.050000,1.395970,7.161704,1.028962,0.840742,0.374967,0.039337,6.102654
0.050000,1.438238,7.153917,1.071942,0.859591,0.376975,0.040149,6.099386
0.050000,1.481413,7.145822,1.115869,0.878539,0.378977,0.040039,6.096365
0.050000,1.525500,7.137425,1.160749,0.897593,0.381081,0.042092,6.093606
0.050000,1.570505,7.128730,1.206586,0.916752,0.383165,0.041662,6.091127
0.050000,1.616436,7.119745,1.253387,0.936017,0.385313,0.042967,6.088946
0.050000,1.663298,7.110479,1.301157,0.955392,0.387503,0.043796,6.087079
0.050000,1.711100,7.100943,1.349901,0.974880,0.389757,0.045089,6.085546
0.050000,1.759850,7.091149,1.399625,0.994483,0.392057,0.046004,6.084364
0.050000,1.809557,7.081111,1.450335,1.014204,0.394416,0.047170,6.083552
0.050000,1.860230,7.070846,1.502037,1.034046,0.396846,0.048612,6.083131
0.050000,1.911879,7.060371,1.554738,1.054014,0.399355,0.050164,6.083120
0.050000,1.964516,7.049707,1.608444,1.074111,0.401944,0.051786,6.083541
0.050000,2.018150,7.038877,1.663161,1.094342,0.404617,0.053454,6.084415
0.050000,2.072795,7.027906,1.718896,1.114712,0.407393,0.055532,6.085764
0.050000,2.128464,7.016822,1.775658,1.135225,0.410263,0.057386,6.087611
0.050000,2.185169,7.005656,1.833452,1.155887,0.413250,0.059752,6.089981
0.050000,2.242926,6.994441,1.892287,1.176705,0.416348,0.061965,6.092899
0.050000,2.301748,6.983214,1.952171,1.197683,0.419565,0.064330,6.096390
0.050000,2.361652,6.972017,2.013113,1.218830,0.422935,0.067407,6.100481
0.050000,2.422653,6.960892,2.075120,1.240150,0.426398,0.069258,6.105201
