dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.337219,4.099754,0.000434,0.017374,0.347478,6.949551,3.141920
0.050000,5.336750,4.099754,0.000904,0.009389,-0.159698,-10.143507,3.141480
0.050000,5.334349,4.099755,0.003304,0.048003,0.772290,18.639750,3.140743
0.050000,5.330987,4.099760,0.006666,0.067247,0.384875,-7.748284,3.139705
0.050000,5.326660,4.099771,0.010993,0.086536,0.385777,0.018024,3.138357
0.050000,5.321366,4.099792,0.016287,0.105879,0.386856,0.021577,3.136692
0.050000,5.315102,4.099829,0.022552,0.125293,0.388276,0.028402,3.134698
0.050000,5.307863,4.099887,0.029791,0.144789,0.389933,0.033143,3.132362
0.050000,5.299644,4.099974,0.038010,0.164384,0.391900,0.039343,3.129667
0.050000,5.290440,4.100098,0.047215,0.184092,0.394164,0.045274,3.126596
0.050000,5.280245,4.100269,0.057412,0.203932,0.396789,0.052498,3.123128
0.050000,5.269051,4.100497,0.068607,0.223916,0.399684,0.057918,3.119238
0.050000,5.256852,4.100796,0.080811,0.244069,0.403049,0.067297,3.114900
0.050000,5.243637,4.101181,0.094031,0.264406,0.406742,0.073858,3.110084
0.050000,5.229398,4.101667,0.108279,0.284953,0.410937,0.083896,3.104756
0.050000,5.214123,4.102275,0.123565,0.305730,0.415546,0.092173,3.098880
0.050000,5.197802,4.103025,0.139904,0.326767,0.420747,0.104031,3.092412
0.050000,5.180422,4.103942,0.157308,0.348089,0.426443,0.113918,3.085308
0.050000,5.161969,4.105054,0.175795,0.369731,0.432842,0.127979,3.077515
0.050000,5.142428,4.106391,0.195381,0.391725,0.439866,0.140472,3.068977
0.050000,5.121784,4.107989,0.216086,0.414110,0.447704,0.156775,3.059631
0.050000,5.100021,4.109888,0.237933,0.436926,0.456331,0.172522,3.049407
0.050000,5.077120,4.112134,0.260944,0.460221,0.465892,0.191229,3.038227
0.050000,5.053062,4.114777,0.285146,0.484046,0.476496,0.212076,3.026008
0.050000,5.027829,4.117876,0.310569,0.508451,0.488113,0.232347,3.012653
0.050000,5.001401,4.121498,0.337244,0.533501,0.500993,0.257601,2.998061
0.050000,4.973758,4.125717,0.365206,0.559256,0.515097,0.282075,2.982117
0.050000,4.944882,4.130618,0.394496,0.585781,0.530498,0.308015,2.964697
0.050000,4.914756,4.136298,0.425153,0.613149,0.547354,0.337122,2.945664
0.050000,4.883364,4.142865,0.457224,0.641422,0.565464,0.362198,2.924873
0.050000,4.850699,4.150445,0.490757,0.670668,0.584927,0.389259,2.902167
0.050000,4.816756,4.159174,0.525804,0.700941,0.605460,0.410660,2.877379
0.050000,4.781544,4.169209,0.562418,0.732278,0.626732,0.425447,2.850339
0.050000,4.745085,4.180723,0.600653,0.764688,0.648209,0.429538,2.820873
0.050000,4.707417,4.193905,0.640560,0.798144,0.669109,0.417998,2.788812
