dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.337117,4.409754,0.000434,0.017374,0.347478,6.949551,3.141920
0.050000,5.336784,4.409754,0.001737,0.034748,0.347478,0.000000,3.141480
0.050000,5.334613,4.409755,0.003909,0.052122,0.347478,-0.000000,3.140743
0.050000,5.331572,4.409759,0.006950,0.069496,0.347478,0.000000,3.139705
0.050000,5.327663,4.409769,0.010859,0.086869,0.347478,-0.000000,3.138357
0.050000,5.322885,4.409788,0.015636,0.104243,0.347478,0.000000,3.136692
0.050000,5.317239,4.409822,0.021283,0.121617,0.347478,0.000000,3.134698
0.050000,5.310724,4.409874,0.027798,0.138991,0.347478,0.000000,3.132362
0.050000,5.303341,4.409952,0.035182,0.156365,0.347478,-0.000000,3.129667
0.050000,5.295089,4.410063,0.043435,0.173739,0.347478,0.000000,3.126596
0.050000,5.285969,4.410216,0.052556,0.191113,0.347478,0.000000,3.123128
0.050000,5.275981,4.410420,0.062546,0.208487,0.347478,-0.000000,3.119238
0.050000,5.265125,4.410686,0.073405,0.225860,0.347478,0.000000,3.114900
0.050000,5.253403,4.411027,0.085132,0.243234,0.347478,0.000000,3.110084
0.050000,5.240814,4.411457,0.097728,0.260608,0.347478,0.000000,3.104756
0.050000,5.227360,4.411992,0.111193,0.277982,0.347478,0.000000,3.098880
0.050000,5.213042,4.412650,0.125526,0.295356,0.347478,-0.000000,3.092412
0.050000,5.197861,4.413451,0.140728,0.312730,0.347478,0.000000,3.085308
0.050000,5.181819,4.414418,0.156799,0.330104,0.347478,0.000000,3.077515
0.050000,5.164919,4.415574,0.173739,0.347478,0.347478,0.000000,3.068977
0.050000,5.147164,4.416948,0.191547,0.364851,0.347478,0.000000,3.059631
0.050000,5.128558,4.418572,0.210224,0.382225,0.347478,0.000000,3.049407
0.050000,5.109106,4.420479,0.229770,0.399599,0.347478,-0.000000,3.038227
0.050000,5.088814,4.422709,0.250184,0.416973,0.347478,0.000000,3.026008
0.050000,5.067690,4.425303,0.271467,0.434347,0.347478,0.000000,3.012653
0.050000,5.045743,4.428310,0.293619,0.451721,0.347478,0.000000,2.998061
0.050000,5.022986,4.431783,0.316639,0.469095,0.347478,0.000000,2.982117
0.050000,4.999434,4.435780,0.340528,0.486469,0.347478,0.000000,2.964697
0.050000,4.975106,4.440366,0.365286,0.503842,0.347478,-0.000000,2.945664
0.050000,4.950023,4.445614,0.390912,0.521216,0.347478,0.000000,2.924873
0.050000,4.924214,4.451602,0.417407,0.538590,0.347478,-0.000000,2.902167
0.050000,4.897713,4.458417,0.444771,0.555964,0.347478,0.000000,2.877379
0.050000,4.870562,4.466154,0.473004,0.573338,0.347478,-0.000000,2.850339
0.050000,4.842812,4.474916,0.502105,0.590712,0.347478,0.000000,2.820873
0.050000,4.814525,4.484814,0.532075,0.608086,0.347478,0.000000,2.788812
0.050000,4.785775,4.495966,0.562914,0.625460,0.347478,-0.000000,2.754001
0.050000,4.756651,4.508496,0.594621,0.642833,0.347478,0.000000,2.716312
0.050000,4.727256,4.522531,0.627197,0.660207,0.347478,-0.000000,2.675657
0.050000,4.697711,4.538199,0.660642,0.677581,0.347478,0.000000,2.632011
0.050000,4.668155,4.555624,0.694955,0.694955,0.347478,-0.000000,2.585427
0.050000,4.638744,4.574925,0.730137,0.712329,0.347478,0.000000,2.536056
0.050000,4.609647,4.596202,0.766188,0.729703,0.347478,-0.000000,2.484165
0.050000,4.581045,4.619539,0.803107,0.747077,0.347478,0.000000,2.430142
0.050000,4.553124,4.644996,0.840896,0.764451,0.347478,-0.000000,2.374489
0.050000,4.526071,4.672601,0.879553,0.781824,0.347478,0.000000,2.317803
0.050000,4.500060,4.702355,0.919078,0.799198,0.347478,-0.000000,2.260740
0.050000,4.475252,4.734227,0.959472,0.816572,0.347478,0.000000,2.203972
0.050000,4.451785,4.768160,1.000735,0.833946,0.347478,-0.000000,2.148141
0.050000,4.429768,4.804075,1.042867,0.851320,0.347478,0.000000,2.093817
0.050000,4.409284,4.841878,1.085867,0.868694,0.347478,-0.000000,2.041469
0.050000,4.390387,4.881463,1.129736,0.886068,0.347478,0.000000,1.991451
0.050000,4.373106,4.922724,1.174474,0.903442,0.347478,-0.000000,1.943999
0.050000,4.357447,4.965553,1.220081,0.920816,0.347478,0.000000,1.899241
0.050000,4.343397,5.009850,1.266556,0.938189,0.347478,-0.000000,1.857218
0.050000,4.331465,5.053299,1.313899,0.955563,0.347478,0.000000,1.825369
0.050000,4.319541,5.100014,1.362112,0.972937,0.347478,-0.000000,1.816266
0.050000,4.307807,5.147671,1.411193,0.990311,0.347478,0.000000,1.808406
0.050000,4.296215,5.196258,1.461143,1.007685,0.347478,-0.000000,1.801834
0.050000,4.284714,5.245758,1.511962,1.025059,0.347478,0.000000,1.796598
0.050000,4.273245,5.296156,1.563649,1.042433,0.347478,0.000000,1.792748
0.050000,4.261744,5.347438,1.616205,1.059807,0.347478,0.000000,1.790343
0.050000,4.250139,5.399587,1.669630,1.077180,0.347478,-0.000000,1.789445
0.050000,4.238351,5.452586,1.723923,1.094554,0.347478,0.000000,1.790128
0.050000,4.226293,5.506414,1.779085,1.111928,0.347478,0.000000,1.792471
0.050000,4.213870,5.561050,1.835116,1.129302,0.347478,0.000000,1.796565
0.050000,4.200976,5.616469,1.892015,1.146676,0.347478,-0.000000,1.802514
0.050000,4.187496,5.672642,1.949783,1.164050,0.347478,0.000000,1.810434
0.050000,4.173303,5.729535,2.008420,1.181424,0.347478,-0.000000,1.820453
0.050000,4.158258,5.787107,2.067926,1.198798,0.347478,0.000000,1.832716
0.050000,4.142209,5.845309,2.128300,1.216171,0.347478,0.000000,1.847382
0.050000,4.124990,5.904080,2.189543,1.233545,0.347478,0.000000,1.864625
0.050000,4.106421,5.963350,2.251655,1.250919,0.347478,-0.000000,1.884630
0.050000,4.086306,6.023030,2.314635,1.268293,0.347478,0.000000,1.907590
0.050000,4.064437,6.083015,2.378484,1.285667,0.347478,0.000000,1.933704
0.050000,4.040590,6.143177,2.443202,1.303041,0.347478,0.000000,1.963160
0.050000,4.014533,6.203362,2.508788,1.320415,0.347478,-0.000000,1.996129
0.050000,3.986026,6.263388,2.575243,1.337789,0.347478,0.000000,2.032741
0.050000,3.954829,6.323042,2.642567,1.355162,0.347478,0.000000,2.073064
0.050000,3.920711,6.382080,2.710759,1.372536,0.347478,0.000000,2.117079
0.050000,3.883457,6.440223,2.779820,1.389910,0.347478,-0.000000,2.164648
0.050000,3.843266,6.496660,2.849113,1.381795,-0.162307,-10.195684,2.215018
0.050000,3.800632,6.550464,2.917768,1.364421,-0.347478,-3.703418,2.267034
0.050000,3.755810,6.601306,2.985555,1.347047,-0.347478,-0.000000,2.319863
0.050000,3.708967,6.649084,3.052473,1.329673,-0.347478,0.000000,2.372817
0.050000,3.660312,6.693740,3.118522,1.312299,-0.347478,0.000000,2.425230
0.050000,3.610075,6.735259,3.183703,1.294925,-0.347478,0.000000,2.476497
0.050000,3.558503,6.773671,3.248015,1.277552,-0.347478,-0.000000,2.526110
0.050000,3.505846,6.809048,3.311458,1.260178,-0.347478,0.000000,2.573672
0.050000,3.452346,6.841493,3.374033,1.242804,-0.347478,0.000000,2.618903
0.050000,3.398233,6.871137,3.435739,1.225430,-0.347478,0.000000,2.661632
0.050000,3.343716,6.898129,3.496576,1.208056,-0.347478,-0.000000,2.701784
0.050000,3.288983,6.922627,3.556544,1.190682,-0.347478,0.000000,2.739359
0.050000,3.234203,6.944796,3.615644,1.173308,-0.347478,-0.000000,2.774416
0.050000,3.181712,6.964362,3.673875,1.155934,-0.347478,0.000000,2.793534
0.050000,3.127614,6.983433,3.731237,1.138561,-0.347478,0.000000,2.811979
0.050000,3.073991,7.001210,3.787731,1.121187,-0.347478,0.000000,2.831148
0.050000,3.020861,7.017679,3.843356,1.103813,-0.347478,-0.000000,2.851046
0.050000,2.968243,7.032828,3.898112,1.086439,-0.347478,0.000000,2.871676
0.050000,2.916158,7.046646,3.952000,1.069065,-0.347478,0.000000,2.893034
0.050000,2.864630,7.059125,4.005019,1.051691,-0.347478,0.000000,2.915112
0.050000,2.813683,7.070260,4.057169,1.034317,-0.347478,-0.000000,2.937897
0.050000,2.763346,7.080048,4.108451,1.016943,-0.347478,0.000000,2.961368
0.050000,2.713646,7.088490,4.158863,0.999570,-0.347478,-0.000000,2.985500
0.050000,2.664614,7.095589,4.208408,0.982196,-0.347478,0.000000,3.010257
0.050000,2.616283,7.101356,4.257083,0.964822,-0.347478,-0.000000,3.035599
0.050000,2.568685,7.105802,4.304890,0.947448,-0.347478,0.000000,3.061476
0.050000,2.521853,7.108945,4.351828,0.930074,-0.347478,-0.000000,3.087832
0.050000,2.475823,7.110808,4.397897,0.912700,-0.347478,0.000000,3.114602
0.050000,2.430628,7.111418,4.443098,0.895326,-0.347478,-0.000000,3.141714
0.050000,2.386302,7.110809,4.487430,0.877952,-0.347478,0.000000,3.169093
0.050000,2.342877,7.109018,4.530893,0.860579,-0.347478,-0.000000,3.196657
0.050000,2.300384,7.106088,4.573488,0.843205,-0.347478,0.000000,3.224319
0.050000,2.258854,7.102067,4.615214,0.825831,-0.347478,-0.000000,3.251992
0.050000,2.218313,7.097007,4.656071,0.808457,-0.347478,0.000000,3.279587
0.050000,2.178784,7.090965,4.696059,0.791083,-0.347478,0.000000,3.307016
0.050000,2.140291,7.084001,4.735179,0.773709,-0.347478,-0.000000,3.334194
0.050000,2.102850,7.076177,4.773430,0.756335,-0.347478,0.000000,3.361037
0.050000,2.066475,7.067558,4.810813,0.738961,-0.347478,-0.000000,3.387469
0.050000,2.031179,7.058213,4.847326,0.721588,-0.347478,0.000000,3.413419
0.050000,1.996968,7.048207,4.882971,0.704214,-0.347478,-0.000000,3.438821
0.050000,1.963846,7.037611,4.917748,0.686840,-0.347478,0.000000,3.463619
0.050000,1.931814,7.026492,4.951655,0.669466,-0.347478,0.000000,3.487763
0.050000,1.900870,7.014919,4.984694,0.652092,-0.347478,-0.000000,3.511211
0.050000,1.871007,7.002957,5.016865,0.634718,-0.347478,0.000000,3.533930
0.050000,1.842218,6.990672,5.048166,0.617344,-0.347478,0.000000,3.555893
0.050000,1.814491,6.978126,5.078599,0.599970,-0.347478,-0.000000,3.577079
0.050000,1.787816,6.965382,5.108163,0.582597,-0.347478,0.000000,3.597476
0.050000,1.762177,6.952496,5.136859,0.565223,-0.347478,-0.000000,3.617076
0.050000,1.737558,6.939526,5.164685,0.547849,-0.347478,0.000000,3.635876
0.050000,1.713943,6.926524,5.191643,0.530475,-0.347478,-0.000000,3.653879
0.050000,1.691314,6.913540,5.217733,0.513101,-0.347478,0.000000,3.671091
0.050000,1.669653,6.900622,5.242954,0.495727,-0.347478,-0.000000,3.687520
0.050000,1.648941,6.887816,5.267306,0.478353,-0.347478,0.000000,3.703179
0.050000,1.629159,6.875162,5.290789,0.460979,-0.347478,0.000000,3.718081
0.050000,1.610287,6.862701,5.313404,0.443605,-0.347478,0.000000,3.732243
