dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.337016,4.719754,0.000434,0.017374,0.347478,6.949551,3.141920
0.050000,5.336819,4.719754,0.000631,0.003930,-0.268873,-12.327011,3.141480
0.050000,5.334876,4.719755,0.002574,0.038866,0.698712,19.351699,3.140743
0.050000,5.332158,4.719758,0.005293,0.054369,0.310061,-7.773023,3.139705
0.050000,5.328666,4.719767,0.008784,0.069830,0.309224,-0.016735,3.138357
0.050000,5.324405,4.719785,0.013046,0.085233,0.308063,-0.023216,3.136692
0.050000,5.319376,4.719814,0.018074,0.100568,0.306695,-0.027373,3.134698
0.050000,5.313585,4.719861,0.023865,0.115819,0.305014,-0.033607,3.132362
0.050000,5.307037,4.719930,0.030414,0.130971,0.303057,-0.039153,3.129667
0.050000,5.299737,4.720029,0.037714,0.146011,0.300782,-0.045495,3.126596
0.050000,5.291692,4.720163,0.045760,0.160921,0.298207,-0.051493,3.123128
0.050000,5.282910,4.720342,0.054544,0.175682,0.295222,-0.059711,3.119238
0.050000,5.273399,4.720575,0.064058,0.190279,0.291935,-0.065731,3.114900
0.050000,5.263169,4.720873,0.074293,0.204688,0.288184,-0.075027,3.110084
0.050000,5.252231,4.721247,0.085237,0.218890,0.284042,-0.082823,3.104756
0.050000,5.240597,4.721710,0.096880,0.232859,0.279374,-0.093361,3.098880
0.050000,5.228282,4.722276,0.109209,0.246571,0.274239,-0.102713,3.092412
0.050000,5.215300,4.722960,0.122208,0.259994,0.268473,-0.115321,3.085308
0.050000,5.201670,4.723781,0.135863,0.273101,0.262135,-0.126748,3.077515
0.050000,5.187410,4.724757,0.150156,0.285854,0.255059,-0.141536,3.068977
0.050000,5.172544,4.725908,0.165067,0.298217,0.247263,-0.155915,3.059631
0.050000,5.157095,4.727256,0.180574,0.310147,0.238597,-0.173326,3.049407
0.050000,5.141092,4.728825,0.196654,0.321598,0.229026,-0.191411,3.038227
0.050000,5.124565,4.730640,0.213280,0.332522,0.218477,-0.210976,3.026008
0.050000,5.107550,4.732730,0.230423,0.342861,0.206779,-0.233960,3.012653
0.050000,5.090085,4.735122,0.248051,0.352559,0.193954,-0.256508,2.998061
0.050000,5.072215,4.737849,0.266129,0.361551,0.179837,-0.282342,2.982117
0.050000,5.053987,4.740942,0.284617,0.369769,0.164369,-0.309354,2.964697
0.050000,5.035456,4.744435,0.303475,0.377149,0.147589,-0.335604,2.945664
0.050000,5.016681,4.748362,0.322656,0.383618,0.129384,-0.364095,2.924873
0.050000,4.997728,4.752759,0.342111,0.389115,0.109947,-0.388735,2.902167
0.050000,4.978669,4.757659,0.361791,0.393585,0.089405,-0.410843,2.877379
0.050000,4.959579,4.763098,0.381640,0.396990,0.068099,-0.426123,2.850339
0.050000,4.940540,4.769109,0.401606,0.399319,0.046574,-0.430503,2.820873
0.050000,4.921633,4.775723,0.421636,0.400602,0.025650,-0.418472,2.788812
0.050000,4.902943,4.782971,0.441683,0.400925,0.006468,-0.383649,2.754001
0.050000,4.884550,4.790882,0.461705,0.400450,-0.009500,-0.319348,2.716312
0.050000,4.866526,4.799485,0.481677,0.399437,-0.020269,-0.215381,2.675657
0.050000,4.848933,4.808813,0.501590,0.398257,-0.023591,-0.066438,2.632011
