dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.927572,6.664780,0.000436,0.017436,0.348722,6.974436,0.786408
0.050000,0.927723,6.664931,0.000650,0.004280,-0.263116,-12.236763,0.785718
0.050000,0.929089,6.666296,0.002581,0.038622,0.686832,18.998962,0.784567
0.050000,0.931605,6.668804,0.006132,0.071026,0.648092,-0.774802,0.782953
0.050000,0.934846,6.672022,0.010700,0.091348,0.406441,-4.833011,0.780875
0.050000,0.938817,6.675947,0.016283,0.111674,0.406519,0.001555,0.778331
0.050000,0.943524,6.680575,0.022885,0.132021,0.406930,0.008224,0.775317
0.050000,0.948975,6.685898,0.030504,0.152392,0.407422,0.009848,0.771829
0.050000,0.955179,6.691912,0.039143,0.172786,0.407884,0.009240,0.767865
0.050000,0.962143,6.698606,0.048804,0.193209,0.408448,0.011280,0.763419
0.050000,0.969879,6.705973,0.059487,0.213656,0.408939,0.009807,0.758487
0.050000,0.978399,6.714002,0.071193,0.234132,0.409532,0.011866,0.753065
0.050000,0.987714,6.722682,0.083926,0.254651,0.410372,0.016793,0.747146
0.050000,0.997839,6.732000,0.097685,0.275193,0.410848,0.009522,0.740725
0.050000,1.008787,6.741942,0.112474,0.295775,0.411644,0.015926,0.733797
0.050000,1.020574,6.752493,0.128294,0.316389,0.412271,0.012540,0.726357
0.050000,1.033217,6.763635,0.145146,0.337040,0.413011,0.014801,0.718398
0.050000,1.046733,6.775350,0.163032,0.357719,0.413590,0.011570,0.709916
0.050000,1.061138,6.787618,0.181953,0.378432,0.414262,0.013452,0.700905
0.050000,1.076453,6.800416,0.201912,0.399167,0.414703,0.008804,0.691362
0.050000,1.092696,6.813722,0.222908,0.419933,0.415321,0.012363,0.681282
0.050000,1.109886,6.827508,0.244944,0.440716,0.415660,0.006782,0.670663
0.050000,1.128043,6.841749,0.268019,0.461505,0.415764,0.002093,0.659502
0.050000,1.147187,6.856413,0.292134,0.482302,0.415951,0.003725,0.647800
0.050000,1.167338,6.871469,0.317289,0.503090,0.415765,-0.003714,0.635556
0.050000,1.188516,6.886883,0.343482,0.523866,0.415518,-0.004946,0.622774
0.050000,1.210739,6.902619,0.370713,0.544609,0.414852,-0.013310,0.609458
0.050000,1.234027,6.918638,0.398978,0.565314,0.414113,-0.014788,0.595615
0.050000,1.258398,6.934900,0.428276,0.585962,0.412954,-0.023173,0.581254
0.050000,1.283867,6.951363,0.458603,0.606531,0.411368,-0.031718,0.566388
0.050000,1.310450,6.967981,0.489953,0.627006,0.409515,-0.037058,0.551031
0.050000,1.338161,6.984710,0.522322,0.647373,0.407328,-0.043737,0.535202
0.050000,1.367011,7.001499,0.555702,0.667602,0.404580,-0.054971,0.518921
0.050000,1.397010,7.018302,0.590086,0.687674,0.401451,-0.062573,0.502216
0.050000,1.428165,7.035066,0.625464,0.707571,0.397928,-0.070470,0.485114
0.050000,1.460479,7.051740,0.661827,0.727261,0.393800,-0.082558,0.467648
0.050000,1.493955,7.068273,0.699164,0.746730,0.389379,-0.088418,0.449854
0.050000,1.528592,7.084614,0.737461,0.765948,0.384367,-0.100239,0.431772
0.050000,1.564385,7.100709,0.776706,0.784899,0.379025,-0.106842,0.413446
0.050000,1.601326,7.116509,0.816884,0.803562,0.373247,-0.115556,0.394923
0.050000,1.639404,7.131964,0.857980,0.821916,0.367084,-0.123270,0.376251
0.050000,1.678608,7.147027,0.899977,0.839948,0.360641,-0.128845,0.357483
0.050000,1.718919,7.161653,0.942860,0.857644,0.353925,-0.134329,0.338672
0.050000,1.760318,7.175798,0.986609,0.874995,0.347011,-0.138288,0.319876
0.050000,1.802786,7.189424,1.031209,0.891992,0.339954,-0.141140,0.301150
0.050000,1.846297,7.202494,1.076641,0.908634,0.332835,-0.142363,0.282553
0.050000,1.890826,7.214976,1.122887,0.924920,0.325714,-0.142437,0.264141
0.050000,1.936348,7.226843,1.169929,0.940852,0.318655,-0.141166,0.245971
0.050000,1.982833,7.238070,1.217751,0.956439,0.311727,-0.138557,0.228100
0.050000,2.030254,7.248639,1.266336,0.971687,0.304962,-0.135310,0.210582
0.050000,2.078582,7.258534,1.315666,0.986609,0.298439,-0.130466,0.193469
0.050000,2.127787,7.267747,1.365727,1.001218,0.292181,-0.125151,0.176812
0.050000,2.177843,7.276271,1.416503,1.015528,0.286203,-0.119567,0.160660
0.050000,2.228721,7.284106,1.467981,1.029554,0.280525,-0.113543,0.145058
0.050000,2.280395,7.291255,1.520147,1.043314,0.275203,-0.106448,0.130049
0.050000,2.332838,7.297727,1.572988,1.056822,0.270152,-0.101019,0.115673
0.050000,2.386027,7.303535,1.626493,1.070094,0.265433,-0.094390,0.101969
0.050000,2.439937,7.308693,1.680650,1.083141,0.260954,-0.089575,0.088974
