dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.146997,6.445798,0.000436,0.017436,0.348722,6.974436,0.786408
0.050000,1.146997,6.445798,0.001744,0.034872,0.348722,0.000000,0.785718
0.050000,1.148110,6.446911,0.003923,0.052308,0.348722,0.000000,0.784567
0.050000,1.150271,6.449065,0.006974,0.069744,0.348722,0.000000,0.782953
0.050000,1.153055,6.451830,0.010898,0.087180,0.348722,0.000000,0.780875
0.050000,1.156465,6.455200,0.015692,0.104617,0.348722,0.000000,0.778331
0.050000,1.160506,6.459173,0.021359,0.122053,0.348722,0.000000,0.775317
0.050000,1.165184,6.463741,0.027898,0.139489,0.348722,0.000000,0.771829
0.050000,1.170505,6.468899,0.035308,0.156925,0.348722,0.000000,0.767865
0.050000,1.176476,6.474639,0.043590,0.174361,0.348722,0.000000,0.763419
0.050000,1.183105,6.480951,0.052744,0.191797,0.348722,0.000000,0.758487
0.050000,1.190401,6.487827,0.062770,0.209233,0.348722,-0.000000,0.753065
0.050000,1.198374,6.495257,0.073667,0.226669,0.348722,0.000000,0.747146
0.050000,1.207034,6.503227,0.085437,0.244105,0.348722,-0.000000,0.740725
0.050000,1.216392,6.511725,0.098078,0.261541,0.348722,0.000000,0.733797
0.050000,1.226461,6.520737,0.111591,0.278977,0.348722,0.000000,0.726357
0.050000,1.237253,6.530248,0.125976,0.296414,0.348722,0.000000,0.718398
0.050000,1.248781,6.540241,0.141232,0.313850,0.348722,0.000000,0.709916
0.050000,1.261060,6.550697,0.157361,0.331286,0.348722,0.000000,0.700905
0.050000,1.274105,6.561599,0.174361,0.348722,0.348722,-0.000000,0.691362
0.050000,1.287930,6.572924,0.192233,0.366158,0.348722,0.000000,0.681282
0.050000,1.302552,6.584651,0.210977,0.383594,0.348722,-0.000000,0.670663
0.050000,1.317987,6.596757,0.230592,0.401030,0.348722,-0.000000,0.659502
0.050000,1.334251,6.609215,0.251080,0.418466,0.348722,0.000000,0.647800
0.050000,1.351362,6.621999,0.272439,0.435902,0.348722,0.000000,0.635556
0.050000,1.369336,6.635081,0.294670,0.453338,0.348722,-0.000000,0.622774
0.050000,1.388190,6.648432,0.317773,0.470774,0.348722,-0.000000,0.609458
0.050000,1.407943,6.662019,0.341747,0.488211,0.348722,0.000000,0.595615
0.050000,1.428610,6.675810,0.366594,0.505647,0.348722,0.000000,0.581254
0.050000,1.450209,6.689771,0.392312,0.523083,0.348722,-0.000000,0.566388
0.050000,1.472756,6.703866,0.418902,0.540519,0.348722,0.000000,0.551031
0.050000,1.496266,6.718058,0.446364,0.557955,0.348722,0.000000,0.535202
0.050000,1.520754,6.732310,0.474698,0.575391,0.348722,0.000000,0.518921
0.050000,1.546234,6.746581,0.503903,0.592827,0.348722,-0.000000,0.502216
0.050000,1.572720,6.760833,0.533980,0.610263,0.348722,0.000000,0.485114
0.050000,1.600223,6.775025,0.564929,0.627699,0.348722,0.000000,0.467648
0.050000,1.628754,6.789115,0.596750,0.645135,0.348722,0.000000,0.449854
0.050000,1.658321,6.803064,0.629443,0.662571,0.348722,0.000000,0.431772
0.050000,1.688933,6.816829,0.663007,0.680008,0.348722,-0.000000,0.413446
0.050000,1.720594,6.830371,0.697444,0.697444,0.348722,0.000000,0.394923
0.050000,1.753310,6.843649,0.732752,0.714880,0.348722,0.000000,0.376251
0.050000,1.787082,6.856625,0.768932,0.732316,0.348722,0.000000,0.357483
0.050000,1.821911,6.869262,0.805983,0.749752,0.348722,-0.000000,0.338672
0.050000,1.857798,6.881523,0.843907,0.767188,0.348722,0.000000,0.319876
0.050000,1.894737,6.893375,0.882702,0.784624,0.348722,-0.000000,0.301150
0.050000,1.932727,6.904786,0.922369,0.802060,0.348722,0.000000,0.282553
0.050000,1.971761,6.915728,0.962908,0.819496,0.348722,0.000000,0.264141
0.050000,2.011832,6.926173,1.004319,0.836932,0.348722,-0.000000,0.245971
0.050000,2.052932,6.936100,1.046601,0.854368,0.348722,0.000000,0.228100
0.050000,2.095053,6.945487,1.089756,0.871805,0.348722,0.000000,0.210582
0.050000,2.138183,6.954318,1.133782,0.889241,0.348722,-0.000000,0.193469
0.050000,2.182314,6.962580,1.178680,0.906677,0.348722,0.000000,0.176812
0.050000,2.227434,6.970263,1.224449,0.924113,0.348722,-0.000000,0.160660
0.050000,2.273532,6.977362,1.271091,0.941549,0.348722,0.000000,0.145058
0.050000,2.320596,6.983873,1.318604,0.958985,0.348722,0.000000,0.130049
0.050000,2.368617,6.989799,1.366989,0.976421,0.348722,-0.000000,0.115673
0.050000,2.417582,6.995145,1.416246,0.993857,0.348722,0.000000,0.101969
0.050000,2.467483,6.999919,1.466375,1.011293,0.348722,0.000000,0.088974
0.050000,2.518309,7.004136,1.517376,1.028729,0.348722,-0.000000,0.076720
0.050000,2.570050,7.007810,1.569248,1.046165,0.348722,0.000000,0.065240
0.050000,2.622700,7.010963,1.621992,1.063601,0.348722,0.000000,0.054565
0.050000,2.676250,7.013620,1.675608,1.081038,0.348722,-0.000000,0.044724
0.050000,2.730693,7.015807,1.730096,1.098474,0.348722,0.000000,0.035748
0.050000,2.786025,7.017557,1.785456,1.115910,0.348722,-0.000000,0.027665
0.050000,2.842240,7.018906,1.841687,1.133346,0.348722,0.000000,0.020505
0.050000,2.899335,7.019895,1.898790,1.150782,0.348722,0.000000,0.014298
0.050000,2.957306,7.020567,1.956765,1.168218,0.348722,-0.000000,0.009077
0.050000,3.016151,7.020972,2.015612,1.185654,0.348722,0.000000,0.004874
0.050000,3.075870,7.021164,2.075331,1.203090,0.348722,0.000000,0.001726
0.050000,3.133903,7.021200,2.135921,1.220526,0.348722,-0.000000,6.282678
0.050000,3.195365,7.021070,2.197383,1.237962,0.348722,0.000000,6.279420
0.050000,3.257698,7.020727,2.259717,1.255398,0.348722,-0.000000,6.275934
0.050000,3.320901,7.020152,2.322923,1.272835,0.348722,0.000000,6.272213
0.050000,3.384973,7.019323,2.387001,1.290271,0.348722,0.000000,6.268247
0.050000,3.449913,7.018217,2.451950,1.307707,0.348722,-0.000000,6.264029
0.050000,3.515719,7.016810,2.517771,1.325143,0.348722,0.000000,6.259549
0.050000,3.582390,7.015077,2.584464,1.342579,0.348722,-0.000000,6.254800
0.050000,3.649922,7.012990,2.652029,1.360015,0.348722,0.000000,6.249771
0.050000,3.718314,7.010524,2.720466,1.377451,0.348722,0.000000,6.244454
