dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.366421,6.226817,0.000436,0.017436,0.348722,6.974436,0.786408
0.050000,1.366270,6.226665,0.000650,0.004280,-0.263116,-12.236763,0.785718
0.050000,1.367131,6.227526,0.001867,0.024347,0.401325,13.288819,0.784567
0.050000,1.368938,6.229327,0.004418,0.051020,0.533470,2.642911,0.782953
0.050000,1.371264,6.231637,0.007697,0.065583,0.291252,-4.844368,0.780875
0.050000,1.374114,6.234454,0.011703,0.080122,0.290786,-0.009308,0.778331
0.050000,1.377488,6.237771,0.016436,0.094645,0.290453,-0.006670,0.775317
0.050000,1.381393,6.241584,0.021893,0.109148,0.290075,-0.007555,0.771829
0.050000,1.385831,6.245886,0.028074,0.123627,0.289580,-0.009909,0.767865
0.050000,1.390808,6.250671,0.034979,0.138081,0.289069,-0.010210,0.763419
0.050000,1.396330,6.255929,0.042604,0.152502,0.288427,-0.012836,0.758487
0.050000,1.402403,6.261653,0.050948,0.166892,0.287792,-0.012716,0.753065
0.050000,1.409033,6.267831,0.060011,0.181256,0.287276,-0.010306,0.747146
0.050000,1.416229,6.274453,0.069790,0.195579,0.286462,-0.016285,0.740725
0.050000,1.423997,6.281507,0.080283,0.209871,0.285853,-0.012183,0.733797
0.050000,1.432347,6.288981,0.091490,0.224127,0.285120,-0.014653,0.726357
0.050000,1.441288,6.296861,0.103407,0.238352,0.284487,-0.012666,0.718398
0.050000,1.450830,6.305131,0.116034,0.252541,0.283784,-0.014063,0.709916
0.050000,1.460982,6.313777,0.129370,0.266702,0.283220,-0.011276,0.700905
0.050000,1.471757,6.322781,0.143411,0.280832,0.282597,-0.012461,0.691362
0.050000,1.483165,6.332127,0.158158,0.294944,0.282239,-0.007166,0.681282
0.050000,1.495219,6.341794,0.173610,0.309037,0.281862,-0.007533,0.670663
0.050000,1.507931,6.351764,0.189766,0.323114,0.281541,-0.006417,0.659502
0.050000,1.521315,6.362017,0.206625,0.337191,0.281542,0.000030,0.647800
0.050000,1.535385,6.372529,0.224189,0.351271,0.281597,0.001090,0.635556
0.050000,1.550156,6.383280,0.242457,0.365369,0.281973,0.007512,0.622774
0.050000,1.565642,6.394245,0.261432,0.379493,0.282473,0.010012,0.609458
0.050000,1.581858,6.405400,0.281115,0.393663,0.283393,0.018398,0.595615
0.050000,1.598823,6.416720,0.301510,0.407890,0.284546,0.023053,0.581254
0.050000,1.616551,6.428179,0.322619,0.422189,0.285979,0.028666,0.566388
0.050000,1.635061,6.439750,0.344448,0.436582,0.287855,0.037521,0.551031
0.050000,1.654370,6.451407,0.367003,0.451090,0.290174,0.046373,0.535202
0.050000,1.674496,6.463120,0.390289,0.465731,0.292817,0.052862,0.518921
0.050000,1.695459,6.474860,0.414316,0.480528,0.295943,0.062528,0.502216
0.050000,1.717276,6.486600,0.439091,0.495507,0.299565,0.072445,0.485114
0.050000,1.739968,6.498309,0.464625,0.510684,0.303548,0.079642,0.467648
0.050000,1.763552,6.509957,0.490930,0.526089,0.308105,0.091150,0.449854
0.050000,1.788050,6.521514,0.518017,0.541740,0.313011,0.098122,0.431772
0.050000,1.813481,6.532949,0.545900,0.557661,0.318416,0.108101,0.413446
0.050000,1.839862,6.544233,0.574593,0.573870,0.324197,0.115608,0.394923
0.050000,1.867215,6.555334,0.604113,0.590387,0.330322,0.122509,0.376251
0.050000,1.895556,6.566223,0.634474,0.607226,0.336789,0.129337,0.357483
0.050000,1.924904,6.576871,0.665694,0.624401,0.343507,0.134368,0.338672
0.050000,1.955277,6.587248,0.697790,0.641923,0.350428,0.138415,0.319876
0.050000,1.986689,6.597326,0.730780,0.659797,0.357479,0.141027,0.301150
0.050000,2.019158,6.607079,0.764681,0.678027,0.364605,0.142507,0.282553
0.050000,2.052696,6.616480,0.799512,0.696613,0.371730,0.142500,0.264141
0.050000,2.087316,6.625504,0.835290,0.715553,0.378791,0.141221,0.245971
0.050000,2.123032,6.634129,0.872032,0.734840,0.385732,0.138819,0.228100
0.050000,2.159852,6.642335,0.909755,0.754464,0.392480,0.134973,0.210582
0.050000,2.197785,6.650102,0.948475,0.774414,0.399015,0.130696,0.193469
0.050000,2.236841,6.657413,0.988209,0.794679,0.405288,0.125450,0.176812
