dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.364822,7.862344,0.000436,0.017458,0.349169,6.983388,0.000695
0.050000,0.364891,7.862344,0.000505,0.001379,-0.321596,-13.415307,0.000473
0.050000,0.365006,7.862344,0.000620,0.002299,0.018411,6.800130,0.000102
0.050000,0.367623,7.862344,0.003237,0.052336,1.000730,19.646382,6.282768
0.050000,0.371758,7.862341,0.007373,0.082712,0.607536,-7.863871,6.282098
0.050000,0.376813,7.862333,0.012428,0.101104,0.367824,-4.794241,6.281279
0.050000,0.382788,7.862319,0.018403,0.119499,0.367914,0.001796,6.280308
0.050000,0.389683,7.862295,0.025298,0.137904,0.368088,0.003479,6.279184
0.050000,0.397499,7.862259,0.033114,0.156318,0.368288,0.003998,6.277906
0.050000,0.406236,7.862207,0.041851,0.174743,0.368491,0.004068,6.276473
0.050000,0.415895,7.862134,0.051510,0.193174,0.368632,0.002819,6.274883
0.050000,0.426475,7.862037,0.062091,0.211617,0.368857,0.004502,6.273133
0.050000,0.437979,7.861910,0.073595,0.230084,0.369332,0.009505,6.271222
0.050000,0.450405,7.861749,0.086022,0.248549,0.369314,-0.000377,6.269147
0.050000,0.463756,7.861546,0.099375,0.267048,0.369971,0.013147,6.266905
0.050000,0.478031,7.861297,0.113652,0.285552,0.370087,0.002319,6.264495
0.050000,0.493232,7.860993,0.128856,0.304077,0.370493,0.008114,6.261912
0.050000,0.509360,7.860628,0.144988,0.322632,0.371097,0.012079,6.259153
0.050000,0.526414,7.860193,0.162047,0.341192,0.371205,0.002164,6.256215
0.050000,0.544396,7.859680,0.180037,0.359789,0.371929,0.014478,6.253094
0.050000,0.563307,7.859079,0.198957,0.378406,0.372343,0.008297,6.249787
0.050000,0.583147,7.858382,0.218810,0.397053,0.372952,0.012163,6.246288
0.050000,0.603918,7.857576,0.239596,0.415725,0.373443,0.009822,6.242593
0.050000,0.625619,7.856653,0.261317,0.434426,0.374011,0.011361,6.238697
0.050000,0.648253,7.855599,0.283975,0.453160,0.374678,0.013343,6.234596
0.050000,0.671819,7.854402,0.307572,0.471932,0.375437,0.015191,6.230283
0.050000,0.696318,7.853049,0.332109,0.490737,0.376112,0.013484,6.225753
0.050000,0.721752,7.851526,0.357587,0.509573,0.376712,0.012010,6.220999
0.050000,0.748120,7.849818,0.384011,0.528466,0.377854,0.022832,6.216016
0.050000,0.775422,7.847910,0.411380,0.547387,0.378429,0.011505,6.210796
0.050000,0.803660,7.845785,0.439698,0.566354,0.379348,0.018373,6.205333
0.050000,0.832834,7.843426,0.468966,0.585373,0.380366,0.020358,6.199618
0.050000,0.862942,7.840813,0.499188,0.604438,0.381315,0.018993,6.193644
0.050000,0.893987,7.837929,0.530366,0.623557,0.382374,0.021183,6.187402
0.050000,0.925965,7.834751,0.562503,0.642727,0.383393,0.020367,6.180885
0.050000,0.958878,7.831260,0.595600,0.661952,0.384498,0.022102,6.174081
0.050000,0.992725,7.827431,0.629663,0.681248,0.385919,0.028415,6.166983
0.050000,1.027503,7.823241,0.664692,0.700591,0.386875,0.019131,6.159579
0.050000,1.063211,7.818665,0.700693,0.720008,0.388327,0.029035,6.151860
0.050000,1.099848,7.813676,0.737667,0.739492,0.389687,0.027209,6.143814
0.050000,1.137409,7.808247,0.775619,0.759040,0.390959,0.025440,6.135431
0.050000,1.175893,7.802347,0.814553,0.778671,0.392625,0.033320,6.126698
0.050000,1.215296,7.795947,0.854471,0.798370,0.393973,0.026950,6.117603
0.050000,1.255611,7.789014,0.895379,0.818148,0.395568,0.031897,6.108134
0.050000,1.296835,7.781514,0.937279,0.838009,0.397214,0.032925,6.098277
0.050000,1.338960,7.773411,0.980177,0.857952,0.398860,0.032916,6.088020
0.050000,1.381980,7.764669,1.024076,0.877982,0.400605,0.034904,6.077347
0.050000,1.425886,7.755248,1.068981,0.898096,0.402279,0.033473,6.066247
0.050000,1.470667,7.745107,1.114896,0.918304,0.404161,0.037643,6.054703
0.050000,1.516313,7.734204,1.161825,0.938594,0.405789,0.032563,6.042702
0.050000,1.562810,7.722495,1.209774,0.958978,0.407682,0.037863,6.030229
0.050000,1.610144,7.709933,1.258747,0.979452,0.409476,0.035883,6.017270
0.050000,1.658297,7.696469,1.308747,1.000011,0.411196,0.034395,6.003810
0.050000,1.707253,7.682055,1.359781,1.020663,0.413032,0.036724,5.989835
0.050000,1.756988,7.666639,1.411851,1.041398,0.414703,0.033419,5.975332
0.050000,1.807480,7.650166,1.464961,1.062218,0.416398,0.033892,5.960287
0.050000,1.858701,7.632583,1.519117,1.083104,0.417727,0.026586,5.944688
0.050000,1.910623,7.613832,1.574320,1.104071,0.419326,0.031979,5.928523
0.050000,1.963211,7.593857,1.630575,1.125094,0.420469,0.022866,5.911783
0.050000,2.016431,7.572598,1.687883,1.146172,0.421558,0.021769,5.894460
0.050000,2.070241,7.549995,1.746248,1.167287,0.422291,0.014678,5.876546
0.050000,2.124598,7.525990,1.805669,1.188431,0.422887,0.011902,5.858038
0.050000,2.179453,7.500521,1.866149,1.209586,0.423110,0.004464,5.838933
0.050000,2.234754,7.473529,1.927685,1.230733,0.422942,-0.003347,5.819232
0.050000,2.290443,7.444954,1.990278,1.251857,0.422469,-0.009470,5.798941
0.050000,2.346461,7.414739,2.053925,1.272930,0.421464,-0.020090,5.778066
0.050000,2.402739,7.382827,2.118621,1.293932,0.420033,-0.028621,5.756619
0.050000,2.459209,7.349165,2.184363,1.314833,0.418027,-0.040133,5.734617
0.050000,2.515795,7.313702,2.251143,1.335610,0.415531,-0.049914,5.712080
0.050000,2.572420,7.276391,2.318955,1.356231,0.412432,-0.061979,5.689032
0.050000,2.629000,7.237190,2.387788,1.376670,0.408772,-0.073201,5.665503
0.050000,2.685450,7.196060,2.457633,1.396894,0.404490,-0.085643,5.641527
0.050000,2.741683,7.152970,2.528477,1.416879,0.399702,-0.095749,5.617144
0.050000,2.797607,7.107893,2.600307,1.436595,0.394310,-0.107852,5.592397
0.050000,2.853132,7.060808,2.673108,1.456015,0.388406,-0.118076,5.567332
0.050000,2.908165,7.011704,2.746864,1.475119,0.382075,-0.126612,5.542002
0.050000,2.962616,6.960573,2.821558,1.493890,0.375409,-0.133328,5.516461
0.050000,3.016394,6.907416,2.897173,1.512306,0.368334,-0.141498,5.490765
0.050000,3.069411,6.852242,2.973692,1.530366,0.361190,-0.142875,5.464972
0.050000,3.121582,6.795064,3.051094,1.548049,0.353661,-0.150580,5.439142
0.050000,3.172827,6.735903,3.129363,1.565371,0.346435,-0.144526,5.413334
0.050000,3.223068,6.674787,3.208479,1.582327,0.339139,-0.145926,5.387607
0.050000,3.271919,6.612164,3.287903,1.588470,0.122859,-4.325598,5.362184
0.050000,3.318782,6.548875,3.366653,1.575013,-0.269142,-7.840023,5.337412
0.050000,3.363444,6.485381,3.444281,1.552551,-0.449243,-3.602016,5.313446
0.050000,3.405971,6.421788,3.520784,1.530059,-0.449851,-0.012165,5.290293
0.050000,3.446438,6.358193,3.596162,1.507570,-0.449781,0.001399,5.267953
0.050000,3.484918,6.294686,3.670418,1.485108,-0.449231,0.011000,5.246420
0.050000,3.521487,6.231349,3.743553,1.462708,-0.447995,0.024722,5.225683
0.050000,3.556222,6.168259,3.815573,1.440400,-0.446159,0.036727,5.205730
0.050000,3.589200,6.105485,3.886483,1.418196,-0.444089,0.041396,5.186542
0.050000,3.620496,6.043087,3.956289,1.396117,-0.441577,0.050250,5.168100
0.050000,3.650184,5.981125,4.024996,1.374153,-0.439277,0.045988,5.150384
0.050000,3.678339,5.919648,4.092614,1.352345,-0.436152,0.062500,5.133371
0.050000,3.705029,5.858702,4.159148,1.330681,-0.433284,0.057356,5.117037
