dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.365037,7.552344,0.000436,0.017458,0.349169,6.983388,0.000695
0.050000,0.365037,7.552344,0.001746,0.034917,0.349169,0.000000,0.000473
0.050000,0.365037,7.552344,0.003928,0.052375,0.349169,-0.000000,0.000102
0.050000,0.367493,7.552344,0.006983,0.069834,0.349169,0.000000,6.282768
0.050000,0.371421,7.552341,0.010912,0.087292,0.349169,-0.000000,6.282098
0.050000,0.376222,7.552334,0.015713,0.104751,0.349169,0.000000,6.281279
0.050000,0.381896,7.552320,0.021387,0.122209,0.349169,0.000000,6.280308
0.050000,0.388443,7.552298,0.027934,0.139668,0.349169,0.000000,6.279184
0.050000,0.395863,7.552263,0.035353,0.157126,0.349169,-0.000000,6.277906
0.050000,0.404156,7.552214,0.043646,0.174585,0.349169,0.000000,6.276473
0.050000,0.413321,7.552145,0.052812,0.192043,0.349169,0.000000,6.274883
0.050000,0.423359,7.552053,0.062850,0.209502,0.349169,-0.000000,6.273133
0.050000,0.434270,7.551933,0.073762,0.226960,0.349169,0.000000,6.271222
0.050000,0.446053,7.551779,0.085546,0.244419,0.349169,-0.000000,6.269147
0.050000,0.458709,7.551588,0.098204,0.261877,0.349169,0.000000,6.266905
0.050000,0.472238,7.551351,0.111734,0.279336,0.349169,0.000000,6.264495
0.050000,0.486638,7.551063,0.126137,0.296794,0.349169,-0.000000,6.261912
0.050000,0.501910,7.550717,0.141414,0.314252,0.349169,0.000000,6.259153
0.050000,0.518054,7.550305,0.157563,0.331711,0.349169,-0.000000,6.256215
0.050000,0.535069,7.549820,0.174585,0.349169,0.349169,0.000000,6.253094
0.050000,0.552955,7.549252,0.192480,0.366628,0.349169,-0.000000,6.249787
0.050000,0.571711,7.548593,0.211247,0.384086,0.349169,0.000000,6.246288
0.050000,0.591337,7.547832,0.230888,0.401545,0.349169,-0.000000,6.242593
0.050000,0.611832,7.546959,0.251402,0.419003,0.349169,0.000000,6.238697
0.050000,0.633196,7.545965,0.272789,0.436462,0.349169,0.000000,6.234596
0.050000,0.655427,7.544836,0.295048,0.453920,0.349169,0.000000,6.230283
0.050000,0.678524,7.543560,0.318181,0.471379,0.349169,-0.000000,6.225753
0.050000,0.702486,7.542125,0.342186,0.488837,0.349169,0.000000,6.220999
0.050000,0.727313,7.540518,0.367064,0.506296,0.349169,0.000000,6.216016
0.050000,0.753001,7.538722,0.392816,0.523754,0.349169,0.000000,6.210796
0.050000,0.779550,7.536724,0.419440,0.541213,0.349169,-0.000000,6.205333
0.050000,0.806958,7.534508,0.446937,0.558671,0.349169,0.000000,6.199618
0.050000,0.835222,7.532055,0.475307,0.576129,0.349169,-0.000000,6.193644
0.050000,0.864339,7.529350,0.504550,0.593588,0.349169,0.000000,6.187402
0.050000,0.894307,7.526372,0.534666,0.611046,0.349169,0.000000,6.180885
0.050000,0.925123,7.523103,0.565654,0.628505,0.349169,0.000000,6.174081
0.050000,0.956783,7.519521,0.597516,0.645963,0.349169,-0.000000,6.166983
0.050000,0.989282,7.515606,0.630251,0.663422,0.349169,0.000000,6.159579
0.050000,1.022617,7.511334,0.663858,0.680880,0.349169,0.000000,6.151860
0.050000,1.056782,7.506682,0.698339,0.698339,0.349169,0.000000,6.143814
