dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.365253,7.242345,0.000436,0.017458,0.349169,6.983388,0.000695
0.050000,0.365184,7.242345,0.000505,0.001379,-0.321596,-13.415307,0.000473
0.050000,0.365069,7.242344,0.000620,0.002299,0.018411,6.800130,0.000102
0.050000,0.367364,7.242344,0.002915,0.045891,0.871829,17.068377,6.282768
0.050000,0.371084,7.242341,0.006636,0.074413,0.570455,-6.027480,6.282098
0.050000,0.375631,7.242334,0.011183,0.090940,0.330527,-4.798568,6.281279
0.050000,0.381004,7.242322,0.016555,0.107458,0.330372,-0.003105,6.280308
0.050000,0.387203,7.242300,0.022754,0.123971,0.330248,-0.002474,6.279184
0.050000,0.394226,7.242268,0.029778,0.140476,0.330103,-0.002905,6.277906
0.050000,0.402075,7.242221,0.037626,0.156972,0.329915,-0.003754,6.276473
0.050000,0.410747,7.242155,0.046299,0.173453,0.329625,-0.005803,6.274883
0.050000,0.420243,7.242068,0.055795,0.189921,0.329363,-0.005237,6.273133
0.050000,0.430561,7.241955,0.066114,0.206385,0.329277,-0.001718,6.271222
0.050000,0.441701,7.241810,0.077255,0.222820,0.328699,-0.011573,6.269147
0.050000,0.453663,7.241629,0.089218,0.239254,0.328675,-0.000463,6.266905
0.050000,0.466444,7.241405,0.102001,0.255659,0.328115,-0.011213,6.264495
0.050000,0.480043,7.241133,0.115603,0.272047,0.327760,-0.007092,6.261912
0.050000,0.494461,7.240807,0.130025,0.288424,0.327528,-0.004654,6.259153
0.050000,0.509694,7.240418,0.145263,0.304764,0.326795,-0.014657,6.256215
0.050000,0.525742,7.239960,0.161317,0.321091,0.326553,-0.004827,6.253094
0.050000,0.542603,7.239425,0.178187,0.337390,0.325975,-0.011565,6.249787
0.050000,0.560276,7.238804,0.195870,0.353665,0.325507,-0.009370,6.246288
0.050000,0.578757,7.238087,0.214365,0.369909,0.324869,-0.012755,6.242593
0.050000,0.598046,7.237266,0.233671,0.386120,0.324233,-0.012722,6.238697
