dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.234304,4.070246,0.000434,0.017378,0.347556,6.951128,3.143089
0.050000,5.234131,4.070246,0.000607,0.003460,-0.278359,-12.518311,3.142531
0.050000,5.233842,4.070246,0.000896,0.005772,0.046236,6.491910,3.141600
0.050000,5.230412,4.070248,0.004326,0.068606,1.256693,24.209128,3.140294
0.050000,5.225979,4.070258,0.008759,0.088644,0.400751,-17.118829,3.138609
0.050000,5.220560,4.070279,0.014178,0.108382,0.394769,-0.119638,3.136542
0.050000,5.214151,4.070320,0.020587,0.128194,0.396230,0.029206,3.134087
0.050000,5.206752,4.070386,0.027987,0.147986,0.395843,-0.007729,3.131238
0.050000,5.198360,4.070486,0.036379,0.167854,0.397358,0.030290,3.127988
0.050000,5.188972,4.070631,0.045768,0.187781,0.398545,0.023742,3.124330
0.050000,5.178586,4.070832,0.056156,0.207751,0.399404,0.017191,3.120253
0.050000,5.167201,4.071100,0.067544,0.227765,0.400267,0.017250,3.115748
0.050000,5.154812,4.071451,0.079938,0.247872,0.402152,0.037706,3.110804
0.050000,5.141417,4.071900,0.093341,0.268055,0.403655,0.030055,3.105408
0.050000,5.127012,4.072463,0.107757,0.288330,0.405495,0.036801,3.099546
0.050000,5.111595,4.073161,0.123190,0.308656,0.406533,0.020762,3.093206
0.050000,5.095160,4.074013,0.139646,0.329127,0.409420,0.057732,3.086369
0.050000,5.077707,4.075042,0.157130,0.349671,0.410875,0.029099,3.079020
0.050000,5.059231,4.076273,0.175647,0.370347,0.413516,0.052821,3.071140
0.050000,5.039729,4.077731,0.195204,0.391131,0.415683,0.043352,3.062710
0.050000,5.019198,4.079447,0.215806,0.412054,0.418458,0.055485,3.053709
0.050000,4.997636,4.081451,0.237461,0.433096,0.420850,0.047844,3.044115
0.050000,4.975040,4.083777,0.260176,0.454305,0.424168,0.066359,3.033906
0.050000,4.951410,4.086461,0.283958,0.475632,0.426543,0.047504,3.023057
0.050000,4.926745,4.089542,0.308815,0.497142,0.430203,0.073197,3.011543
0.050000,4.901044,4.093062,0.334756,0.518808,0.433324,0.062434,2.999338
0.050000,4.874312,4.097067,0.361786,0.540612,0.436079,0.055085,2.986416
0.050000,4.846550,4.101604,0.389917,0.562609,0.439945,0.077324,2.972751
0.050000,4.817763,4.106725,0.419156,0.584777,0.443356,0.068223,2.958314
0.050000,4.787960,4.112483,0.449510,0.607081,0.446067,0.054225,2.943081
0.050000,4.757150,4.118938,0.480988,0.629572,0.449829,0.075238,2.927024
0.050000,4.725348,4.126150,0.513598,0.652205,0.452661,0.056638,2.910119
0.050000,4.692569,4.134183,0.547347,0.674976,0.455417,0.055122,2.892344
0.050000,4.658835,4.143105,0.582241,0.697871,0.457891,0.049468,2.873678
0.050000,4.624172,4.152985,0.618284,0.720866,0.459901,0.040209,2.854107
0.050000,4.588612,4.163896,0.655480,0.743924,0.461166,0.025289,2.833619
0.050000,4.552192,4.175911,0.693832,0.767027,0.462068,0.018057,2.812207
0.050000,4.514954,4.189106,0.733338,0.790120,0.461850,-0.004366,2.789874
0.050000,4.476951,4.203554,0.773995,0.813140,0.460401,-0.028991,2.766630
0.050000,4.438241,4.219331,0.815797,0.836042,0.458051,-0.046990,2.742495
0.050000,4.398888,4.236509,0.858735,0.858766,0.454466,-0.071710,2.717497
0.050000,4.358968,4.255156,0.902796,0.881220,0.449089,-0.107538,2.691680
0.050000,4.318560,4.275337,0.947963,0.903334,0.442274,-0.136287,2.665098
0.050000,4.277754,4.297110,0.994214,0.925033,0.433988,-0.165726,2.637819
0.050000,4.236643,4.320525,1.041526,0.946227,0.423883,-0.202096,2.609925
0.050000,4.195327,4.345622,1.089867,0.966826,0.411970,-0.238259,2.581511
0.050000,4.153910,4.372434,1.139205,0.986768,0.398846,-0.262481,2.552683
0.050000,4.112496,4.400980,1.189505,1.005981,0.384265,-0.291617,2.523559
0.050000,4.071190,4.431268,1.240725,1.024400,0.368379,-0.317718,2.494266
0.050000,4.030097,4.463295,1.292824,1.041995,0.351891,-0.329763,2.464939
0.050000,3.989314,4.497045,1.345761,1.058733,0.334766,-0.342506,2.435714
0.050000,3.948935,4.532492,1.399492,1.074613,0.317595,-0.343430,2.406731
0.050000,3.909042,4.569598,1.453974,1.089640,0.300537,-0.341153,2.378128
0.050000,3.869712,4.608319,1.509166,1.103844,0.284083,-0.329081,2.350036
0.050000,3.831007,4.648601,1.565029,1.117268,0.268476,-0.312131,2.322583
0.050000,3.792980,4.690386,1.621528,1.129967,0.253974,-0.290049,2.295884
0.050000,3.755671,4.733612,1.678628,1.142005,0.240777,-0.263943,2.270047
0.050000,3.719107,4.778212,1.736300,1.153454,0.228963,-0.236271,2.245166
0.050000,3.683304,4.824121,1.794520,1.164386,0.218651,-0.206235,2.221326
0.050000,3.648267,4.871273,1.853263,1.174873,0.209742,-0.178184,2.198597
0.050000,3.613990,4.919601,1.912513,1.184986,0.202256,-0.149729,2.177040
0.050000,3.580458,4.969042,1.972252,1.194786,0.196001,-0.125099,2.156706
0.050000,3.547647,5.019534,2.032469,1.204331,0.190904,-0.101943,2.137636
0.050000,3.515524,5.071018,2.093152,1.213666,0.186693,-0.084206,2.119864
0.050000,3.484052,5.123437,2.154293,1.222831,0.183294,-0.067993,2.103416
0.050000,3.453183,5.176736,2.215886,1.231856,0.180511,-0.055661,2.088316
0.050000,3.422869,5.230863,2.277924,1.240758,0.178035,-0.049523,2.074583
0.050000,3.393053,5.285767,2.340402,1.249549,0.175826,-0.044176,2.062236
0.050000,3.363677,5.341399,2.403313,1.258229,0.173590,-0.044721,2.051292
0.050000,3.334675,5.397708,2.466653,1.266790,0.171235,-0.047101,2.041770
0.050000,3.305980,5.454647,2.530413,1.275217,0.168537,-0.053951,2.033691
0.050000,3.277521,5.512166,2.594588,1.283486,0.165372,-0.063306,2.027083
0.050000,3.249222,5.570214,2.659166,1.291562,0.161534,-0.076766,2.021975
0.050000,3.221005,5.628737,2.724136,1.299409,0.156925,-0.092176,2.018404
0.050000,3.192788,5.687680,2.789485,1.306977,0.151358,-0.111329,2.016415
0.050000,3.164485,5.746982,2.855195,1.314209,0.144644,-0.134276,2.016063
0.050000,3.136005,5.806579,2.921248,1.321042,0.136660,-0.159695,2.017412
0.050000,3.107254,5.866399,2.987618,1.327403,0.127219,-0.188819,2.020537
0.050000,3.078134,5.926362,3.054278,1.333209,0.116126,-0.221852,2.025529
0.050000,3.048543,5.986383,3.121197,1.338372,0.103264,-0.257241,2.032490
0.050000,3.018374,6.046362,3.188336,1.342792,0.088400,-0.297281,2.041542
0.050000,2.987515,6.106191,3.255655,1.346363,0.071414,-0.339729,2.052820
0.050000,2.956135,6.165223,3.322508,1.337077,-0.185712,-5.142509,2.066347
0.050000,2.926655,6.218704,3.383576,1.221354,-2.314460,-42.574971,2.085616
0.050000,2.895688,6.271836,3.445075,1.229969,0.172285,49.734918,2.111562
0.050000,2.863894,6.323236,3.505513,1.208766,-0.424051,-11.926720,2.138125
0.050000,2.831305,6.372889,3.564906,1.187855,-0.418228,0.116454,2.165258
0.050000,2.797955,6.420788,3.623270,1.167292,-0.411249,0.139574,2.192905
0.050000,2.763883,6.466927,3.680626,1.147121,-0.403429,0.156408,2.221002
0.050000,2.729127,6.511307,3.736996,1.127396,-0.394491,0.178765,2.249477
0.050000,2.693730,6.553934,3.792404,1.108165,-0.384631,0.197182,2.278251
0.050000,2.657733,6.594819,3.846878,1.089471,-0.373866,0.215302,2.307238
0.050000,2.621183,6.633979,3.900444,1.071332,-0.362782,0.221690,2.336348
0.050000,2.584125,6.671433,3.953133,1.053776,-0.351133,0.232971,2.365486
0.050000,2.546606,6.707207,4.004974,1.036811,-0.339296,0.236748,2.394558
0.050000,2.508675,6.741330,4.055996,1.020436,-0.327506,0.235802,2.423469
0.050000,2.470379,6.773837,4.106227,1.004636,-0.315991,0.230303,2.452124
0.050000,2.431767,6.804762,4.155697,0.989392,-0.304889,0.222032,2.480437
0.050000,2.392889,6.834147,4.204430,0.974664,-0.294548,0.206816,2.508321
0.050000,2.353794,6.862032,4.252451,0.960417,-0.284942,0.192127,2.535702
0.050000,2.314531,6.888461,4.299781,0.946598,-0.276373,0.171375,2.562508
0.050000,2.275149,6.913481,4.346439,0.933158,-0.268807,0.151322,2.588680
0.050000,2.235696,6.937138,4.392441,0.920042,-0.262329,0.129550,2.614164
0.050000,2.196220,6.959480,4.437800,0.907191,-0.257017,0.106255,2.638919
0.050000,2.156769,6.980555,4.482528,0.894552,-0.252770,0.084926,2.662909
0.050000,2.117388,7.000413,4.526632,0.882073,-0.249589,0.063618,2.686110
0.050000,2.078124,7.019101,4.570117,0.869703,-0.247404,0.043714,2.708504
0.050000,2.039020,7.036670,4.612987,0.857396,-0.246129,0.025486,2.730079
0.050000,2.000118,7.053168,4.655242,0.845112,-0.245687,0.008855,2.750834
0.050000,1.961459,7.068642,4.696883,0.832815,-0.245944,-0.005139,2.770769
0.050000,1.923083,7.083141,4.737907,0.820471,-0.246867,-0.018463,2.789892
0.050000,1.885027,7.096710,4.778309,0.808057,-0.248295,-0.028567,2.808215
0.050000,1.847326,7.109395,4.818087,0.795548,-0.250168,-0.037460,2.825753
0.050000,1.810015,7.121240,4.857233,0.782928,-0.252410,-0.044830,2.842523
0.050000,1.773125,7.132289,4.895742,0.770182,-0.254915,-0.050102,2.858547
0.050000,1.736687,7.142585,4.933607,0.757298,-0.257686,-0.055427,2.873846
0.050000,1.700728,7.152166,4.970821,0.744270,-0.260560,-0.057475,2.888444
0.050000,1.665275,7.161074,5.007375,0.731091,-0.263568,-0.060165,2.902364
0.050000,1.630353,7.169345,5.043263,0.717761,-0.266600,-0.060648,2.915632
0.050000,1.595985,7.177016,5.078477,0.704277,-0.269676,-0.061504,2.928272
0.050000,1.562192,7.184123,5.113009,0.690638,-0.272779,-0.062066,2.940308
0.050000,1.528995,7.190698,5.146852,0.676849,-0.275782,-0.060066,2.951766
0.050000,1.496411,7.196773,5.179997,0.662910,-0.278780,-0.059943,2.962670
0.050000,1.464458,7.202381,5.212438,0.648826,-0.281683,-0.058066,2.973042
0.050000,1.433151,7.207548,5.244168,0.634600,-0.284524,-0.056824,2.982906
0.050000,1.402507,7.212305,5.275180,0.620236,-0.287275,-0.055024,2.992283
0.050000,1.372537,7.216676,5.305467,0.605742,-0.289876,-0.052018,3.001196
0.050000,1.343254,7.220687,5.335023,0.591119,-0.292460,-0.051671,3.009665
0.050000,1.314671,7.224363,5.363842,0.576374,-0.294908,-0.048977,3.017709
0.050000,1.286797,7.227725,5.391918,0.561516,-0.297163,-0.045093,3.025346
0.050000,1.259643,7.230796,5.419245,0.546542,-0.299483,-0.046403,3.032596
0.050000,1.233218,7.233595,5.445818,0.531463,-0.301575,-0.041829,3.039475
0.050000,1.207529,7.236143,5.471632,0.516284,-0.303574,-0.039992,3.045999
0.050000,1.182586,7.238456,5.496683,0.501009,-0.305513,-0.038773,3.052185
0.050000,1.158395,7.240553,5.520965,0.485643,-0.307308,-0.035895,3.058046
0.050000,1.134962,7.242450,5.544474,0.470189,-0.309094,-0.035732,3.063596
0.050000,1.112294,7.244161,5.567207,0.454655,-0.310668,-0.031464,3.068849
0.050000,1.090396,7.245702,5.589159,0.439042,-0.312262,-0.031884,3.073818
0.050000,1.069273,7.247086,5.610327,0.423358,-0.313689,-0.028539,3.078513
0.050000,1.048931,7.248326,5.630707,0.407602,-0.315112,-0.028461,3.082947
0.050000,1.029373,7.249433,5.650296,0.391783,-0.316377,-0.025304,3.087129
0.050000,1.010604,7.250419,5.669091,0.375904,-0.317591,-0.024286,3.091070
0.050000,0.992627,7.251294,5.687090,0.359962,-0.318827,-0.024707,3.094779
0.050000,0.975446,7.252069,5.704288,0.343971,-0.319830,-0.020061,3.098264
0.050000,0.959064,7.252752,5.720684,0.327928,-0.320861,-0.020625,3.101535
0.050000,0.943483,7.253353,5.736276,0.311836,-0.321845,-0.019676,3.104597
0.050000,0.928708,7.253879,5.751061,0.295701,-0.322697,-0.017055,3.107460
0.050000,0.914739,7.254337,5.765037,0.279522,-0.323571,-0.017473,3.110128
0.050000,0.901580,7.254735,5.778203,0.263306,-0.324314,-0.014857,3.112610
0.050000,0.889232,7.255078,5.790555,0.247054,-0.325043,-0.014585,3.114910
0.050000,0.877697,7.255374,5.802094,0.230769,-0.325702,-0.013173,3.117033
0.050000,0.866977,7.255627,5.812817,0.214453,-0.326316,-0.012287,3.118986
0.050000,0.857074,7.255842,5.822722,0.198109,-0.326882,-0.011307,3.120771
0.050000,0.847989,7.256024,5.831809,0.181740,-0.327388,-0.010135,3.122394
0.050000,0.839723,7.256176,5.840076,0.165345,-0.327889,-0.010020,3.123859
0.050000,0.832278,7.256303,5.847523,0.148932,-0.328275,-0.007715,3.125167
0.050000,0.825654,7.256408,5.854148,0.132499,-0.328662,-0.007746,3.126324
0.050000,0.819852,7.256494,5.859950,0.116049,-0.328989,-0.006537,3.127331
0.050000,0.814873,7.256563,5.864929,0.099585,-0.329277,-0.005765,3.128190
0.050000,0.810718,7.256617,5.869085,0.083109,-0.329532,-0.005082,3.128904
0.050000,0.807387,7.256658,5.872416,0.066622,-0.329723,-0.003825,3.129474
0.050000,0.804881,7.256688,5.874922,0.050126,-0.329920,-0.003951,3.129902
0.050000,0.803200,7.256708,5.876604,0.033626,-0.330010,-0.001793,3.130189
0.050000,0.802344,7.256717,5.877460,0.017121,-0.330102,-0.001845,3.130334
