dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.233840,4.380246,0.000434,0.017378,0.347556,6.951128,3.143089
0.050000,5.233840,4.380246,0.001738,0.034756,0.347556,0.000000,3.142531
0.050000,5.233840,4.380246,0.003910,0.052133,0.347556,0.000000,3.141600
0.050000,5.230814,4.380248,0.006951,0.069511,0.347556,0.000000,3.140294
0.050000,5.226904,4.380256,0.010861,0.086889,0.347556,-0.000000,3.138609
0.050000,5.222126,4.380275,0.015640,0.104267,0.347556,0.000000,3.136542
0.050000,5.216478,4.380311,0.021288,0.121645,0.347556,-0.000000,3.134087
0.050000,5.209962,4.380369,0.027805,0.139023,0.347556,0.000000,3.131238
0.050000,5.202577,4.380458,0.035190,0.156400,0.347556,-0.000000,3.127988
0.050000,5.194323,4.380585,0.043445,0.173778,0.347556,0.000000,3.124330
0.050000,5.185201,4.380761,0.052568,0.191156,0.347556,0.000000,3.120253
0.050000,5.175212,4.380997,0.062560,0.208534,0.347556,-0.000000,3.115748
0.050000,5.164356,4.381304,0.073421,0.225912,0.347556,0.000000,3.110804
0.050000,5.152632,4.381697,0.085151,0.243289,0.347556,-0.000000,3.105408
0.050000,5.140042,4.382189,0.097750,0.260667,0.347556,0.000000,3.099546
0.050000,5.126589,4.382798,0.111218,0.278045,0.347556,0.000000,3.093206
0.050000,5.112271,4.383540,0.125555,0.295423,0.347556,-0.000000,3.086369
0.050000,5.097092,4.384435,0.140760,0.312801,0.347556,0.000000,3.079020
0.050000,5.081053,4.385504,0.156835,0.330179,0.347556,0.000000,3.071140
0.050000,5.064157,4.386767,0.173778,0.347556,0.347556,-0.000000,3.062710
0.050000,5.046406,4.388251,0.191590,0.364934,0.347556,0.000000,3.053709
0.050000,5.027806,4.389979,0.210272,0.382312,0.347556,0.000000,3.044115
0.050000,5.008358,4.391981,0.229822,0.399690,0.347556,0.000000,3.033906
0.050000,4.988070,4.394285,0.250241,0.417068,0.347556,-0.000000,3.023057
0.050000,4.966947,4.396924,0.271528,0.434446,0.347556,0.000000,3.011543
0.050000,4.944995,4.399931,0.293685,0.451823,0.347556,0.000000,2.999338
0.050000,4.922224,4.403342,0.316711,0.469201,0.347556,-0.000000,2.986416
0.050000,4.898642,4.407196,0.340605,0.486579,0.347556,0.000000,2.972751
0.050000,4.874262,4.411533,0.365369,0.503957,0.347556,0.000000,2.958314
0.050000,4.849095,4.416395,0.391001,0.521335,0.347556,-0.000000,2.943081
0.050000,4.823157,4.421829,0.417502,0.538712,0.347556,0.000000,2.927024
0.050000,4.796465,4.427882,0.444872,0.556090,0.347556,0.000000,2.910119
0.050000,4.769038,4.434604,0.473111,0.573468,0.347556,-0.000000,2.892344
0.050000,4.740899,4.442046,0.502219,0.590846,0.347556,0.000000,2.873678
0.050000,4.712070,4.450263,0.532196,0.608224,0.347556,0.000000,2.854107
0.050000,4.682582,4.459310,0.563041,0.625602,0.347556,-0.000000,2.833619
0.050000,4.652465,4.469246,0.594756,0.642979,0.347556,0.000000,2.812207
0.050000,4.621753,4.480128,0.627339,0.660357,0.347556,0.000000,2.789874
0.050000,4.590485,4.492016,0.660792,0.677735,0.347556,-0.000000,2.766630
0.050000,4.558703,4.504969,0.695113,0.695113,0.347556,0.000000,2.742495
0.050000,4.526452,4.519047,0.730303,0.712491,0.347556,0.000000,2.717497
0.050000,4.493783,4.534307,0.766362,0.729868,0.347556,-0.000000,2.691680
0.050000,4.460747,4.550806,0.803290,0.747246,0.347556,0.000000,2.665098
0.050000,4.427401,4.568598,0.841087,0.764624,0.347556,-0.000000,2.637819
0.050000,4.393804,4.587733,0.879752,0.782002,0.347556,0.000000,2.609925
0.050000,4.360016,4.608258,0.919287,0.799380,0.347556,0.000000,2.581511
0.050000,4.326101,4.630213,0.959690,0.816758,0.347556,-0.000000,2.552683
0.050000,4.292120,4.653636,1.000962,0.834135,0.347556,0.000000,2.523559
0.050000,4.258138,4.678555,1.043104,0.851513,0.347556,0.000000,2.494266
0.050000,4.224215,4.704994,1.086114,0.868891,0.347556,-0.000000,2.464939
0.050000,4.190412,4.732968,1.129993,0.886269,0.347556,0.000000,2.435714
0.050000,4.156785,4.762488,1.174741,0.903647,0.347556,0.000000,2.406731
0.050000,4.123385,4.793556,1.220357,0.921024,0.347556,-0.000000,2.378128
