dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.233376,4.690246,0.000434,0.017378,0.347556,6.951128,3.143089
0.050000,5.233549,4.690246,0.000607,0.003460,-0.278359,-12.518311,3.142531
0.050000,5.233838,4.690246,0.000896,0.005772,0.046236,6.491910,3.141600
0.050000,5.231217,4.690248,0.003517,0.052410,0.932775,17.730779,3.140294
0.050000,5.227829,4.690255,0.006904,0.067756,0.306921,-12.517089,3.138609
0.050000,5.223692,4.690272,0.011042,0.082752,0.299911,-0.140201,3.136542
0.050000,5.218804,4.690302,0.015929,0.097748,0.299913,0.000043,3.134087
0.050000,5.213172,4.690352,0.021562,0.112662,0.298296,-0.032346,3.131238
0.050000,5.206794,4.690429,0.027940,0.127558,0.297913,-0.007658,3.127988
0.050000,5.199674,4.690539,0.035061,0.142411,0.297059,-0.017079,3.124330
0.050000,5.191816,4.690690,0.042921,0.157198,0.295731,-0.026547,3.120253
0.050000,5.183223,4.690893,0.051516,0.171907,0.294178,-0.031060,3.115748
0.050000,5.173899,4.691157,0.060844,0.186565,0.293162,-0.020323,3.110804
0.050000,5.163847,4.691494,0.070902,0.201145,0.291615,-0.030957,3.105408
0.050000,5.153073,4.691915,0.081684,0.215649,0.290072,-0.030845,3.099546
0.050000,5.141583,4.692435,0.093186,0.230033,0.287680,-0.047844,3.093206
0.050000,5.129382,4.693068,0.105403,0.244354,0.286410,-0.025392,3.086369
0.050000,5.116477,4.693829,0.118331,0.258544,0.283814,-0.051924,3.079020
0.050000,5.102875,4.694734,0.131962,0.272636,0.281836,-0.039561,3.071140
0.050000,5.088585,4.695803,0.146292,0.286598,0.279246,-0.051811,3.062710
0.050000,5.073615,4.697054,0.161314,0.300440,0.276841,-0.048090,3.053709
0.050000,5.057976,4.698508,0.177021,0.314136,0.273904,-0.058734,3.044115
0.050000,5.041677,4.700185,0.193406,0.327705,0.271396,-0.050161,3.033906
0.050000,5.024730,4.702110,0.210462,0.341104,0.267980,-0.068330,3.023057
0.050000,5.007149,4.704306,0.228180,0.354369,0.265283,-0.053948,3.011543
0.050000,4.988945,4.706800,0.246554,0.367470,0.262021,-0.065224,2.999338
0.050000,4.970136,4.709617,0.265573,0.380388,0.258370,-0.073029,2.986416
0.050000,4.950735,4.712788,0.285231,0.393159,0.255421,-0.058987,2.972751
0.050000,4.930760,4.716341,0.305519,0.405766,0.252129,-0.065839,2.958314
0.050000,4.910231,4.720307,0.326429,0.418186,0.248418,-0.074222,2.943081
0.050000,4.889165,4.724720,0.347952,0.430466,0.245595,-0.056455,2.927024
0.050000,4.867583,4.729614,0.370081,0.442587,0.242410,-0.063695,2.910119
0.050000,4.845508,4.735024,0.392809,0.454566,0.239595,-0.056292,2.892344
0.050000,4.822962,4.740987,0.416131,0.466425,0.237171,-0.048483,2.873678
0.050000,4.799968,4.747540,0.440040,0.478185,0.235203,-0.039370,2.854107
0.050000,4.776552,4.754725,0.464534,0.489871,0.233713,-0.029792,2.833619
0.050000,4.752738,4.762581,0.489610,0.501530,0.233186,-0.010542,2.812207
0.050000,4.728551,4.771150,0.515270,0.513199,0.233368,0.003634,2.789874
0.050000,4.704019,4.780478,0.541516,0.524921,0.234449,0.021622,2.766630
0.050000,4.679165,4.790607,0.568354,0.536766,0.236902,0.049054,2.742495
0.050000,4.654016,4.801584,0.595795,0.548804,0.240752,0.077004,2.717497
0.050000,4.628598,4.813457,0.623849,0.561097,0.245865,0.102257,2.691680
0.050000,4.602934,4.826275,0.652536,0.573729,0.252644,0.135577,2.665098
0.050000,4.577049,4.840086,0.681875,0.586788,0.261179,0.170708,2.637819
0.050000,4.550965,4.854942,0.711893,0.600352,0.271286,0.202133,2.609925
0.050000,4.524705,4.870893,0.742618,0.614498,0.282910,0.232483,2.581511
0.050000,4.498292,4.887993,0.774083,0.629311,0.296264,0.267076,2.552683
0.050000,4.471745,4.906292,0.806326,0.644857,0.310915,0.293033,2.523559
0.050000,4.445085,4.925842,0.839385,0.661186,0.326577,0.313235,2.494266
0.050000,4.418334,4.946692,0.873303,0.678347,0.343224,0.332943,2.464939
0.050000,4.391510,4.968891,0.908121,0.696361,0.360289,0.341292,2.435714
0.050000,4.364635,4.992484,0.943883,0.715240,0.377567,0.345573,2.406731
0.050000,4.337728,5.017514,0.980631,0.734968,0.394570,0.340045,2.378128
0.050000,4.310810,5.044017,1.018407,0.755521,0.411052,0.329648,2.350036
0.050000,4.283899,5.072027,1.057250,0.776854,0.426671,0.312387,2.322583
0.050000,4.257014,5.101571,1.097196,0.798913,0.441181,0.290190,2.295884
0.050000,4.230172,5.132671,1.138277,0.821633,0.454404,0.264463,2.270047
0.050000,4.203389,5.165344,1.180524,0.844943,0.466194,0.235804,2.245166
0.050000,4.176677,5.199598,1.223963,0.868771,0.476551,0.207143,2.221326
0.050000,4.150046,5.235440,1.268615,0.893042,0.485426,0.177492,2.198597
0.050000,4.123502,5.272867,1.314500,0.917690,0.492952,0.150527,2.177040
0.050000,4.097048,5.311875,1.361632,0.942649,0.499184,0.124635,2.156706
0.050000,4.070680,5.352454,1.410025,0.967865,0.504324,0.102803,2.137636
0.050000,4.044392,5.394591,1.459690,0.993288,0.508461,0.082743,2.119864
0.050000,4.018169,5.438267,1.510634,1.018881,0.511864,0.068058,2.103416
0.050000,3.991994,5.483466,1.562865,1.044617,0.514722,0.057152,2.088316
0.050000,3.965841,5.530165,1.616388,1.070474,0.517123,0.048021,2.074583
0.050000,3.939679,5.578342,1.671210,1.096442,0.519378,0.045102,2.062236
0.050000,3.913472,5.627974,1.727336,1.122521,0.521570,0.043847,2.051292
0.050000,3.887174,5.679036,1.784772,1.148718,0.523946,0.047511,2.041770
0.050000,3.860733,5.731502,1.843525,1.175049,0.526623,0.053550,2.033691
0.050000,3.834092,5.785349,1.903602,1.201539,0.529799,0.063518,2.027083
0.050000,3.807181,5.840550,1.965013,1.228219,0.533590,0.075813,2.021975
0.050000,3.779926,5.897079,2.027769,1.255129,0.538210,0.092399,2.018404
0.050000,3.752242,5.954910,2.091885,1.282319,0.543792,0.111642,2.016415
0.050000,3.724032,6.014015,2.157377,1.309842,0.550469,0.133548,2.016063
0.050000,3.695191,6.074366,2.224266,1.337765,0.558449,0.159582,2.017412
0.050000,3.665601,6.135932,2.292573,1.366159,0.567885,0.188733,2.020537
