dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,6.642985,7.917405,0.000218,0.008704,0.174072,3.481435,5.776614
0.050000,6.643081,7.917351,0.000328,0.002201,-0.130048,-6.082403,5.776300
0.050000,6.643807,7.916948,0.001158,0.016608,0.288138,8.363730,5.775775
0.050000,6.645363,7.916082,0.002939,0.035618,0.380196,1.841154,5.775038
0.050000,6.647364,7.914967,0.005230,0.045815,0.203947,-3.524977,5.774088
0.050000,6.649810,7.913600,0.008031,0.056029,0.204276,0.006583,5.772923
0.050000,6.652700,7.911980,0.011344,0.066264,0.204696,0.008389,5.771538
0.050000,6.656034,7.910104,0.015170,0.076521,0.205144,0.008962,5.769932
0.050000,6.659813,7.907969,0.019511,0.086805,0.205678,0.010688,5.768100
0.050000,6.664037,7.905573,0.024367,0.097121,0.206313,0.012696,5.766038
0.050000,6.668704,7.902911,0.029740,0.107471,0.207016,0.014063,5.763740
0.050000,6.673817,7.899979,0.035633,0.117862,0.207821,0.016105,5.761201
0.050000,6.679373,7.896772,0.042048,0.128299,0.208737,0.018305,5.758415
0.050000,6.685373,7.893287,0.048987,0.138783,0.209672,0.018714,5.755374
0.050000,6.691817,7.889516,0.056453,0.149320,0.210752,0.021588,5.752072
0.050000,6.698704,7.885454,0.064449,0.159916,0.211912,0.023209,5.748499
0.050000,6.706034,7.881094,0.072978,0.170577,0.213227,0.026293,5.744646
0.050000,6.713806,7.876428,0.082043,0.181307,0.214583,0.027122,5.740504
0.050000,6.722021,7.871449,0.091649,0.192112,0.216109,0.030525,5.736062
0.050000,6.730677,7.866148,0.101799,0.202998,0.217718,0.032183,5.731308
0.050000,6.739773,7.860516,0.112498,0.213973,0.219499,0.035618,5.726229
0.050000,6.749308,7.854542,0.123750,0.225043,0.221397,0.037951,5.720813
0.050000,6.759282,7.848216,0.135560,0.236213,0.223410,0.040262,5.715044
0.050000,6.769692,7.841526,0.147935,0.247495,0.225627,0.044339,5.708907
