dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,6.473171,7.611360,0.000218,0.008704,0.174072,3.481435,5.776614
0.050000,6.473171,7.611360,0.000870,0.017407,0.174072,0.000000,5.776300
0.050000,6.473737,7.611046,0.001958,0.026111,0.174072,-0.000000,5.775775
0.050000,6.475068,7.610306,0.003481,0.034814,0.174072,0.000000,5.775038
0.050000,6.476778,7.609352,0.005440,0.043518,0.174072,-0.000000,5.774088
0.050000,6.478867,7.608184,0.007833,0.052222,0.174072,0.000000,5.772923
0.050000,6.481335,7.606801,0.010662,0.060925,0.174072,-0.000000,5.771538
0.050000,6.484179,7.605201,0.013926,0.069629,0.174072,0.000000,5.769932
0.050000,6.487400,7.603381,0.017625,0.078332,0.174072,-0.000000,5.768100
0.050000,6.490996,7.601341,0.021759,0.087036,0.174072,0.000000,5.766038
0.050000,6.494965,7.599077,0.026328,0.095739,0.174072,0.000000,5.763740
0.050000,6.499306,7.596588,0.031333,0.104443,0.174072,0.000000,5.761201
0.050000,6.504018,7.593869,0.036773,0.113147,0.174072,0.000000,5.758415
0.050000,6.509098,7.590918,0.042648,0.121850,0.174072,-0.000000,5.755374
0.050000,6.514544,7.587731,0.048958,0.130554,0.174072,0.000000,5.752072
0.050000,6.520354,7.584304,0.055703,0.139257,0.174072,0.000000,5.748499
0.050000,6.526525,7.580633,0.062883,0.147961,0.174072,-0.000000,5.744646
0.050000,6.533055,7.576714,0.070499,0.156665,0.174072,-0.000000,5.740504
0.050000,6.539940,7.572541,0.078550,0.165368,0.174072,0.000000,5.736062
0.050000,6.547176,7.568109,0.087036,0.174072,0.174072,-0.000000,5.731308
0.050000,6.554761,7.563412,0.095957,0.182775,0.174072,0.000000,5.726229
0.050000,6.562690,7.558445,0.105313,0.191479,0.174072,0.000000,5.720813
0.050000,6.570959,7.553200,0.115105,0.200183,0.174072,0.000000,5.715044
0.050000,6.579562,7.547672,0.125332,0.208886,0.174072,0.000000,5.708907
0.050000,6.588495,7.541851,0.135994,0.217590,0.174072,-0.000000,5.702384
0.050000,6.597751,7.535730,0.147091,0.226293,0.174072,0.000000,5.695459
0.050000,6.607325,7.529300,0.158623,0.234997,0.174072,-0.000000,5.688112
0.050000,6.617209,7.522553,0.170590,0.243700,0.174072,-0.000000,5.680321
0.050000,6.627396,7.515479,0.182993,0.252404,0.174072,0.000000,5.672066
0.050000,6.637878,7.508067,0.195831,0.261108,0.174072,-0.000000,5.663322
0.050000,6.648646,7.500307,0.209104,0.269811,0.174072,0.000000,5.654065
0.050000,6.659690,7.492187,0.222812,0.278515,0.174072,-0.000000,5.644268
0.050000,6.671000,7.483694,0.236955,0.287218,0.174072,-0.000000,5.633903
0.050000,6.682563,7.474817,0.251534,0.295922,0.174072,0.000000,5.622940
0.050000,6.694368,7.465540,0.266547,0.304626,0.174072,-0.000000,5.611347
0.050000,6.706401,7.455851,0.281996,0.313329,0.174072,0.000000,5.599092
0.050000,6.718646,7.445734,0.297880,0.322033,0.174072,0.000000,5.586139
0.050000,6.731087,7.435173,0.314200,0.330736,0.174072,-0.000000,5.572453
0.050000,6.743706,7.424151,0.330954,0.339440,0.174072,-0.000000,5.557995
0.050000,6.756483,7.412653,0.348144,0.348144,0.174072,0.000000,5.542727
0.050000,6.769397,7.400659,0.365768,0.356847,0.174072,0.000000,5.526609
0.050000,6.782424,7.388151,0.383828,0.365551,0.174072,0.000000,5.509601
0.050000,6.795540,7.375111,0.402323,0.374254,0.174072,0.000000,5.491662
0.050000,6.808716,7.361519,0.421254,0.382958,0.174072,-0.000000,5.472753
0.050000,6.821922,7.347356,0.440619,0.391661,0.174072,0.000000,5.452834
0.050000,6.835127,7.332601,0.460420,0.400365,0.174072,0.000000,5.431870
0.050000,6.848294,7.317236,0.480656,0.409069,0.174072,0.000000,5.409826
0.050000,6.861386,7.301240,0.501327,0.417772,0.174072,0.000000,5.386675
0.050000,6.874363,7.284596,0.522433,0.426476,0.174072,-0.000000,5.362394
0.050000,6.887181,7.267284,0.543974,0.435179,0.174072,0.000000,5.336968
0.050000,6.899795,7.249288,0.565951,0.443883,0.174072,0.000000,5.310390
0.050000,6.912155,7.230594,0.588363,0.452587,0.174072,-0.000000,5.282668
0.050000,6.924211,7.211188,0.611209,0.461290,0.174072,0.000000,5.253818
0.050000,6.935910,7.191059,0.634492,0.469994,0.174072,0.000000,5.223876
0.050000,6.947198,7.170201,0.658209,0.478697,0.174072,-0.000000,5.192890
0.050000,6.958018,7.148609,0.682361,0.487401,0.174072,0.000000,5.160927
