dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,6.303358,7.305316,0.000218,0.008704,0.174072,3.481435,5.776614
0.050000,6.303261,7.305369,0.000328,0.002201,-0.130048,-6.082403,5.776300
0.050000,6.303666,7.305144,0.000791,0.009260,0.141180,5.424564,5.775775
0.050000,6.304772,7.304529,0.002056,0.025307,0.320937,3.595144,5.775038
0.050000,6.306192,7.303737,0.003682,0.032516,0.144181,-3.535118,5.774088
0.050000,6.307925,7.302768,0.005667,0.039709,0.143866,-0.006297,5.772923
0.050000,6.309970,7.301622,0.008011,0.046884,0.143489,-0.007545,5.771538
0.050000,6.312324,7.300297,0.010713,0.054034,0.143003,-0.009721,5.769932
0.050000,6.314987,7.298794,0.013771,0.061156,0.142446,-0.011145,5.768100
0.050000,6.317955,7.297110,0.017183,0.068247,0.141823,-0.012449,5.766038
0.050000,6.321225,7.295244,0.020948,0.075303,0.141109,-0.014293,5.763740
0.050000,6.324796,7.293197,0.025064,0.082319,0.140321,-0.015762,5.761201
0.050000,6.328663,7.290965,0.029529,0.089292,0.139459,-0.017239,5.758415
0.050000,6.332822,7.288549,0.034340,0.096215,0.138454,-0.020085,5.755374
0.050000,6.337271,7.285945,0.039494,0.103084,0.137387,-0.021349,5.752072
0.050000,6.342004,7.283154,0.044989,0.109894,0.136205,-0.023637,5.748499
0.050000,6.347016,7.280172,0.050821,0.116642,0.134951,-0.025084,5.744646
0.050000,6.352303,7.276999,0.056987,0.123319,0.133538,-0.028257,5.740504
0.050000,6.357858,7.273632,0.063483,0.129921,0.132045,-0.029861,5.736062
0.050000,6.363676,7.270069,0.070305,0.136441,0.130402,-0.032862,5.731308
0.050000,6.369750,7.266308,0.077448,0.142874,0.128658,-0.034884,5.726229
0.050000,6.376072,7.262348,0.084909,0.149212,0.126763,-0.037889,5.720813
0.050000,6.382635,7.258185,0.092681,0.155447,0.124706,-0.041150,5.715044
0.050000,6.389432,7.253817,0.100760,0.161574,0.122530,-0.043509,5.708907
0.050000,6.396452,7.249242,0.109139,0.167582,0.120162,-0.047370,5.702384
0.050000,6.403686,7.244458,0.117812,0.173465,0.117664,-0.049962,5.695459
0.050000,6.411125,7.239463,0.126773,0.179212,0.114935,-0.054582,5.688112
0.050000,6.418757,7.234253,0.136014,0.184816,0.112085,-0.056998,5.680321
0.050000,6.426571,7.228827,0.145527,0.190265,0.108970,-0.062298,5.672066
0.050000,6.434555,7.223182,0.155305,0.195549,0.105685,-0.065704,5.663322
0.050000,6.442694,7.217316,0.165337,0.200659,0.102212,-0.069450,5.654065
0.050000,6.450976,7.211227,0.175617,0.205582,0.098460,-0.075048,5.644268
0.050000,6.459384,7.204913,0.186132,0.210309,0.094541,-0.078382,5.633903
0.050000,6.467905,7.198372,0.196873,0.214827,0.090343,-0.083944,5.622940
0.050000,6.476519,7.191603,0.207830,0.219123,0.085934,-0.088192,5.611347
0.050000,6.485211,7.184604,0.218989,0.223189,0.081313,-0.092413,5.599092
0.050000,6.493961,7.177374,0.230339,0.227010,0.076419,-0.097876,5.586139
0.050000,6.502751,7.169913,0.241868,0.230579,0.071379,-0.100811,5.572453
0.050000,6.511558,7.162221,0.253563,0.233882,0.066069,-0.106199,5.557995
0.050000,6.520364,7.154297,0.265408,0.236915,0.060650,-0.108372,5.542727
0.050000,6.529144,7.146142,0.277392,0.239668,0.055069,-0.111621,5.526609
0.050000,6.537878,7.137757,0.289499,0.242139,0.049417,-0.113044,5.509601
0.050000,6.546541,7.129144,0.301715,0.244328,0.043773,-0.112888,5.491662
0.050000,6.555111,7.120304,0.314027,0.246236,0.038173,-0.111988,5.472753
0.050000,6.563563,7.111240,0.326421,0.247874,0.032759,-0.108281,5.452834
0.050000,6.571875,7.101953,0.338883,0.249258,0.027670,-0.101791,5.431870
0.050000,6.580022,7.092447,0.351404,0.250408,0.022999,-0.093416,5.409826
0.050000,6.587983,7.082721,0.363972,0.251358,0.019005,-0.079870,5.386675
0.050000,6.595735,7.072779,0.376579,0.252149,0.015819,-0.063733,5.362394
0.050000,6.603258,7.062619,0.389221,0.252835,0.013730,-0.041762,5.336968
0.050000,6.610533,7.052241,0.401895,0.253482,0.012932,-0.015966,5.310390
0.050000,6.617542,7.041640,0.414603,0.254168,0.013717,0.015704,5.282668
0.050000,6.624271,7.030811,0.427353,0.254984,0.016329,0.052224,5.253818
0.050000,6.630704,7.019743,0.440154,0.256035,0.021007,0.093562,5.223876
0.050000,6.636830,7.008423,0.453026,0.257433,0.027960,0.139070,5.192890
0.050000,6.642639,6.996832,0.465991,0.259300,0.037340,0.187604,5.160927
0.050000,6.648121,6.984948,0.479079,0.261760,0.049212,0.237431,5.128073
0.050000,6.653266,6.972741,0.492326,0.264938,0.063561,0.286976,5.094429
0.050000,6.658065,6.960178,0.505773,0.268951,0.080248,0.333742,5.060116
0.050000,6.662506,6.947224,0.519469,0.273901,0.099009,0.375225,5.025266
0.050000,6.666577,6.933835,0.533462,0.279875,0.119481,0.409431,4.990026
0.050000,6.670263,6.919970,0.547809,0.286934,0.141178,0.433937,4.954552
0.050000,6.673545,6.905584,0.562564,0.295111,0.163532,0.447097,4.919002
0.050000,6.676402,6.890634,0.577785,0.304409,0.185974,0.448826,4.883537
0.050000,6.678807,6.875079,0.593525,0.314804,0.207894,0.438416,4.848314
0.050000,6.680733,6.858881,0.609837,0.326240,0.228709,0.416291,4.813482
0.050000,6.682150,6.842008,0.626769,0.338636,0.247936,0.384535,4.779177
0.050000,6.683026,6.824435,0.644364,0.351899,0.265249,0.346273,4.745523
0.050000,6.683328,6.806142,0.662659,0.365908,0.280183,0.298677,4.712627
0.050000,6.683024,6.787117,0.681687,0.380553,0.292896,0.254250,4.680580
0.050000,6.682084,6.767354,0.701472,0.395702,0.302980,0.201676,4.649453
0.050000,6.680477,6.746855,0.722034,0.411241,0.310780,0.156000,4.619304
0.050000,6.678179,6.725626,0.743387,0.427055,0.316296,0.110324,4.590169
