dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.355561,7.376139,0.000218,0.008728,0.174567,3.491341,3.656130
0.050000,5.355505,7.376107,0.000283,0.001298,-0.148616,-6.463666,3.655921
0.050000,5.355410,7.376054,0.000391,0.002163,0.017303,3.318381,3.655572
0.050000,5.355279,7.375979,0.000543,0.003028,0.017306,0.000068,3.655084
0.050000,5.354841,7.375733,0.001045,0.010040,0.140231,2.458489,3.654456
0.050000,5.352541,7.374439,0.003683,0.052776,0.854734,14.290074,3.653688
0.050000,5.349823,7.372912,0.006801,0.062355,0.191573,-13.263221,3.652780
0.050000,5.346683,7.371154,0.010400,0.071969,0.192291,0.014364,3.651731
0.050000,5.343123,7.369164,0.014478,0.081566,0.191927,-0.007299,3.650542
0.050000,5.339141,7.366946,0.019036,0.091164,0.191959,0.000639,3.649212
0.050000,5.334736,7.364500,0.024075,0.100769,0.192105,0.002935,3.647740
0.050000,5.329907,7.361828,0.029594,0.110380,0.192212,0.002129,3.646127
0.050000,5.324653,7.358933,0.035593,0.119993,0.192278,0.001329,3.644371
0.050000,5.318971,7.355815,0.042074,0.129609,0.192305,0.000536,3.642472
0.050000,5.312862,7.352479,0.049035,0.139223,0.192293,-0.000248,3.640430
0.050000,5.306323,7.348926,0.056477,0.148835,0.192241,-0.001023,3.638244
0.050000,5.299352,7.345158,0.064400,0.158472,0.192738,0.009926,3.635913
0.050000,5.291949,7.341180,0.072805,0.168092,0.192388,-0.006991,3.633438
0.050000,5.284110,7.336994,0.081691,0.177730,0.192758,0.007397,3.630816
0.050000,5.275835,7.332603,0.091059,0.187353,0.192465,-0.005859,3.628049
0.050000,5.267121,7.328011,0.100909,0.197004,0.193026,0.011212,3.625135
0.050000,5.257966,7.323221,0.111241,0.206647,0.192863,-0.003259,3.622073
0.050000,5.248368,7.318238,0.122056,0.216292,0.192894,0.000630,3.618862
0.050000,5.238324,7.313065,0.133353,0.225942,0.193005,0.002222,3.615503
0.050000,5.227833,7.307708,0.145133,0.235596,0.193072,0.001332,3.611994
0.050000,5.216893,7.302170,0.157396,0.245251,0.193095,0.000458,3.608336
0.050000,5.205499,7.296456,0.170142,0.254930,0.193582,0.009741,3.604526
0.050000,5.193650,7.290571,0.183371,0.264589,0.193183,-0.007969,3.600565
0.050000,5.181344,7.284522,0.197084,0.274256,0.193342,0.003180,3.596452
0.050000,5.168577,7.278312,0.211281,0.283936,0.193594,0.005029,3.592186
0.050000,5.155348,7.271947,0.225962,0.293613,0.193552,-0.000832,3.587767
