dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.012531,7.522837,0.000435,0.017415,0.348297,6.965942,3.628361
0.050000,5.012531,7.522837,0.001741,0.034830,0.348297,0.000000,3.627921
0.050000,5.012531,7.522837,0.003918,0.052245,0.348297,-0.000000,3.627189
0.050000,5.010803,7.521927,0.006966,0.069659,0.348297,0.000000,3.626162
0.050000,5.007335,7.520104,0.010884,0.087074,0.348297,-0.000000,3.624842
0.050000,5.003093,7.517882,0.015673,0.104489,0.348297,0.000000,3.623226
0.050000,4.998074,7.515265,0.021333,0.121904,0.348297,0.000000,3.621314
0.050000,4.992277,7.512257,0.027864,0.139319,0.348297,-0.000000,3.619105
0.050000,4.985700,7.508864,0.035265,0.156734,0.348297,0.000000,3.616598
0.050000,4.978338,7.505091,0.043537,0.174149,0.348297,0.000000,3.613790
0.050000,4.970189,7.500945,0.052680,0.191563,0.348297,0.000000,3.610681
0.050000,4.961250,7.496434,0.062693,0.208978,0.348297,-0.000000,3.607268
0.050000,4.951515,7.491564,0.073578,0.226393,0.348297,0.000000,3.603550
0.050000,4.940982,7.486346,0.085333,0.243808,0.348297,0.000000,3.599525
0.050000,4.929645,7.480789,0.097959,0.261223,0.348297,0.000000,3.595191
0.050000,4.917500,7.474903,0.111455,0.278638,0.348297,-0.000000,3.590546
0.050000,4.904541,7.468699,0.125822,0.296053,0.348297,0.000000,3.585588
0.050000,4.890763,7.462190,0.141060,0.313467,0.348297,0.000000,3.580315
0.050000,4.876161,7.455388,0.157169,0.330882,0.348297,0.000000,3.574726
0.050000,4.860728,7.448307,0.174149,0.348297,0.348297,-0.000000,3.568817
0.050000,4.844460,7.440962,0.191999,0.365712,0.348297,0.000000,3.562589
0.050000,4.827348,7.433367,0.210720,0.383127,0.348297,0.000000,3.556038
0.050000,4.809389,7.425540,0.230311,0.400542,0.348297,-0.000000,3.549164
0.050000,4.790573,7.417496,0.250774,0.417957,0.348297,0.000000,3.541966
0.050000,4.770896,7.409255,0.272107,0.435371,0.348297,0.000000,3.534442
0.050000,4.750350,7.400836,0.294311,0.452786,0.348297,-0.000000,3.526594
0.050000,4.728930,7.392257,0.317386,0.470201,0.348297,0.000000,3.518420
0.050000,4.706627,7.383541,0.341331,0.487616,0.348297,0.000000,3.509921
0.050000,4.683436,7.374708,0.366147,0.505031,0.348297,-0.000000,3.501099
0.050000,4.659351,7.365781,0.391834,0.522446,0.348297,0.000000,3.491955
0.050000,4.634364,7.356783,0.418392,0.539860,0.348297,-0.000000,3.482492
0.050000,4.608469,7.347740,0.445820,0.557275,0.348297,0.000000,3.472713
0.050000,4.581661,7.338675,0.474119,0.574690,0.348297,0.000000,3.462623
0.050000,4.553934,7.329614,0.503289,0.592105,0.348297,0.000000,3.452226
0.050000,4.525283,7.320585,0.533330,0.609520,0.348297,0.000000,3.441528
0.050000,4.495702,7.311615,0.564241,0.626935,0.348297,-0.000000,3.430537
0.050000,4.465187,7.302731,0.596023,0.644350,0.348297,0.000000,3.419262
0.050000,4.433734,7.293962,0.628676,0.661764,0.348297,0.000000,3.407711
0.050000,4.401339,7.285337,0.662200,0.679179,0.348297,-0.000000,3.395896
0.050000,4.367999,7.276886,0.696594,0.696594,0.348297,0.000000,3.383828
0.050000,4.333713,7.268637,0.731859,0.714009,0.348297,-0.000000,3.371522
0.050000,4.298477,7.260623,0.767995,0.731424,0.348297,0.000000,3.358993
0.050000,4.262292,7.252871,0.805002,0.748839,0.348297,-0.000000,3.346256
0.050000,4.225156,7.245413,0.842879,0.766254,0.348297,0.000000,3.333330
0.050000,4.187071,7.238279,0.881627,0.783668,0.348297,-0.000000,3.320233
0.050000,4.148037,7.231498,0.921246,0.801083,0.348297,-0.000000,3.306987
0.050000,4.108057,7.225100,0.961735,0.818498,0.348297,0.000000,3.293613
0.050000,4.067132,7.219113,1.003096,0.835913,0.348297,-0.000000,3.280135
0.050000,4.025268,7.213565,1.045327,0.853328,0.348297,0.000000,3.266576
0.050000,3.982467,7.208484,1.088428,0.870743,0.348297,-0.000000,3.252962
0.050000,3.938735,7.203896,1.132401,0.888158,0.348297,0.000000,3.239320
0.050000,3.894077,7.199826,1.177244,0.905572,0.348297,-0.000000,3.225677
0.050000,3.848499,7.196299,1.222958,0.922987,0.348297,0.000000,3.212060
0.050000,3.802009,7.193335,1.269543,0.940402,0.348297,-0.000000,3.198499
0.050000,3.754614,7.190957,1.316998,0.957817,0.348297,0.000000,3.185023
0.050000,3.706321,7.189183,1.365325,0.975232,0.348297,0.000000,3.171660
0.050000,3.657138,7.188030,1.414522,0.992647,0.348297,-0.000000,3.158440
0.050000,3.607073,7.187515,1.464589,1.010062,0.348297,0.000000,3.145394
0.050000,3.556135,7.187650,1.515528,1.027476,0.348297,0.000000,3.132549
0.050000,3.504332,7.188448,1.567337,1.044891,0.348297,0.000000,3.119936
0.050000,3.451673,7.189916,1.620017,1.062306,0.348297,-0.000000,3.107583
0.050000,3.398166,7.192062,1.673568,1.079721,0.348297,0.000000,3.095518
0.050000,3.343818,7.194890,1.727989,1.097136,0.348297,-0.000000,3.083770
0.050000,3.288638,7.198402,1.783281,1.114551,0.348297,0.000000,3.072365
0.050000,3.232632,7.202599,1.839444,1.131966,0.348297,0.000000,3.061330
0.050000,3.175808,7.207477,1.896478,1.149380,0.348297,-0.000000,3.050691
0.050000,3.118171,7.213031,1.954382,1.166795,0.348297,0.000000,3.040473
0.050000,3.059726,7.219252,2.013157,1.184210,0.348297,-0.000000,3.030701
0.050000,3.000479,7.226132,2.072803,1.201625,0.348297,0.000000,3.021399
0.050000,2.940432,7.233656,2.133320,1.219040,0.348297,0.000000,3.012591
0.050000,2.879588,7.241808,2.194707,1.236455,0.348297,0.000000,3.004299
