dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,4.848788,7.832172,0.000217,0.008697,0.173938,3.478769,3.628434
0.050000,4.848856,7.832208,0.000294,0.001537,-0.143202,-6.342812,3.628215
0.050000,4.848969,7.832268,0.000422,0.002561,0.020494,3.273917,3.627849
0.050000,4.849127,7.832351,0.000602,0.003586,0.020498,0.000084,3.627337
0.050000,4.848958,7.832262,0.000793,0.003821,0.004683,-0.316295,3.626678
0.050000,4.847091,7.831279,0.002903,0.042201,0.767611,15.258554,3.625872
0.050000,4.844885,7.830120,0.005396,0.049856,0.153103,-12.290155,3.624920
0.050000,4.842337,7.828784,0.008272,0.057530,0.153469,0.007320,3.623820
0.050000,4.839448,7.827274,0.011532,0.065193,0.153269,-0.003992,3.622572
0.050000,4.836218,7.825591,0.015174,0.072849,0.153126,-0.002872,3.621176
0.050000,4.832645,7.823737,0.019199,0.080506,0.153140,0.000284,3.619632
0.050000,4.828729,7.821712,0.023608,0.088162,0.153111,-0.000571,3.617939
0.050000,4.824470,7.819520,0.028398,0.095814,0.153041,-0.001411,3.616096
0.050000,4.819866,7.817161,0.033571,0.103461,0.152929,-0.002234,3.614103
0.050000,4.814917,7.814638,0.039126,0.111099,0.152777,-0.003037,3.611960
0.050000,4.809622,7.811953,0.045063,0.118740,0.152812,0.000696,3.609666
0.050000,4.803979,7.809109,0.051382,0.126381,0.152810,-0.000033,3.607219
0.050000,4.797988,7.806109,0.058082,0.134001,0.152412,-0.007970,3.604621
0.050000,4.791648,7.802954,0.065164,0.141634,0.152666,0.005078,3.601869
0.050000,4.784957,7.799649,0.072627,0.149254,0.152400,-0.005312,3.598964
0.050000,4.777915,7.796196,0.080470,0.156866,0.152232,-0.003370,3.595904
0.050000,4.770519,7.792599,0.088694,0.164477,0.152214,-0.000363,3.592689
0.050000,4.762769,7.788861,0.097298,0.172085,0.152156,-0.001145,3.589318
0.050000,4.754664,7.784986,0.106283,0.179688,0.152062,-0.001889,3.585791
0.050000,4.746201,7.780977,0.115647,0.187284,0.151932,-0.002592,3.582106
0.050000,4.737379,7.776840,0.125390,0.194873,0.151770,-0.003251,3.578264
0.050000,4.728198,7.772577,0.135513,0.202454,0.151617,-0.003059,3.574263
0.050000,4.718654,7.768193,0.146016,0.210050,0.151931,0.006292,3.570102
0.050000,4.708748,7.763693,0.156896,0.217613,0.151258,-0.013463,3.565782
0.050000,4.698475,7.759082,0.168156,0.225201,0.151764,0.010123,3.561302
0.050000,4.687836,7.754364,0.179795,0.232766,0.151290,-0.009488,3.556660
0.050000,4.676828,7.749545,0.191811,0.240330,0.151294,0.000075,3.551857
0.050000,4.665450,7.744629,0.204206,0.247896,0.151302,0.000169,3.546893
0.050000,4.653699,7.739623,0.216979,0.255460,0.151283,-0.000388,3.541766
0.050000,4.641573,7.734532,0.230130,0.263022,0.151239,-0.000873,3.536477
0.050000,4.629071,7.729361,0.243659,0.270580,0.151175,-0.001282,3.531025
0.050000,4.616191,7.724117,0.257566,0.278135,0.151095,-0.001612,3.525411
0.050000,4.602930,7.718806,0.271851,0.285701,0.151308,0.004263,3.519635
0.050000,4.589286,7.713435,0.286514,0.293259,0.151175,-0.002652,3.513696
0.050000,4.575258,7.708009,0.301555,0.300826,0.151328,0.003057,3.507595
0.050000,4.560842,7.702536,0.316974,0.308387,0.151233,-0.001899,3.501334
0.050000,4.546038,7.697022,0.332773,0.315962,0.151492,0.005189,3.494911
0.050000,4.530842,7.691474,0.348950,0.323543,0.151613,0.002403,3.488328
0.050000,4.515252,7.685900,0.365506,0.331126,0.151660,0.000956,3.481587
