dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,4.953863,4.059754,0.000218,0.008704,0.174078,3.481562,3.142588
0.050000,4.953696,4.059754,0.000385,0.003351,-0.107064,-5.622834,3.142109
0.050000,4.953032,4.059754,0.001049,0.013275,0.198495,6.111173,3.141311
0.050000,4.951117,4.059756,0.002964,0.038299,0.500480,6.039696,3.140191
0.050000,4.948653,4.059761,0.005427,0.049267,0.219344,-5.622709,3.138749
0.050000,4.945641,4.059772,0.008439,0.060244,0.219549,0.004090,3.136981
0.050000,4.942079,4.059792,0.012002,0.071254,0.220202,0.013067,3.134884
0.050000,4.937965,4.059825,0.016116,0.082279,0.220502,0.006003,3.132455
0.050000,4.933298,4.059874,0.020783,0.093339,0.221191,0.013775,3.129690
0.050000,4.928077,4.059944,0.026004,0.104427,0.221751,0.011205,3.126584
0.050000,4.922300,4.060041,0.031782,0.115556,0.222584,0.016659,3.123132
0.050000,4.915966,4.060170,0.038118,0.126721,0.223315,0.014618,3.119328
0.050000,4.909071,4.060338,0.045015,0.137939,0.224347,0.020638,3.115166
0.050000,4.901614,4.060552,0.052475,0.149198,0.225175,0.016553,3.110638
0.050000,4.893593,4.060820,0.060501,0.160513,0.226312,0.022734,3.105737
0.050000,4.885005,4.061150,0.069095,0.171883,0.227401,0.021780,3.100455
0.050000,4.875848,4.061553,0.078261,0.183322,0.228783,0.027643,3.094783
0.050000,4.866119,4.062039,0.088002,0.194820,0.229958,0.023503,3.088711
0.050000,4.855816,4.062617,0.098321,0.206388,0.231353,0.027911,3.082230
0.050000,4.844935,4.063302,0.109223,0.218038,0.232997,0.032871,3.075328
0.050000,4.833475,4.064104,0.120711,0.229758,0.234399,0.028035,3.067996
0.050000,4.821433,4.065039,0.132789,0.241561,0.236073,0.033487,3.060220
0.050000,4.808807,4.066121,0.145462,0.253454,0.237851,0.035564,3.051989
0.050000,4.795594,4.067366,0.158734,0.265433,0.239578,0.034525,3.043290
0.050000,4.781792,4.068791,0.172609,0.277507,0.241477,0.037994,3.034110
0.050000,4.767400,4.070414,0.187093,0.289672,0.243311,0.036684,3.024435
0.050000,4.752415,4.072255,0.202190,0.301940,0.245349,0.040754,3.014251
0.050000,4.736838,4.074334,0.217905,0.314309,0.247381,0.040635,3.003544
0.050000,4.720668,4.076674,0.234243,0.326771,0.249241,0.037208,2.992299
0.050000,4.703905,4.079296,0.251211,0.339341,0.251413,0.043441,2.980502
0.050000,4.686550,4.082226,0.268811,0.352012,0.253411,0.039951,2.968139
0.050000,4.668605,4.085490,0.287050,0.364775,0.255260,0.036974,2.955195
0.050000,4.650074,4.089114,0.305932,0.377641,0.257326,0.041321,2.941657
0.050000,4.630961,4.093128,0.325462,0.390596,0.259092,0.035318,2.927512
0.050000,4.611273,4.097561,0.345643,0.403633,0.260737,0.032916,2.912747
0.050000,4.591015,4.102444,0.366481,0.416747,0.262286,0.030983,2.897352
0.050000,4.570199,4.107809,0.387977,0.429928,0.263612,0.026503,2.881318
0.050000,4.548836,4.113689,0.410135,0.443161,0.264663,0.021028,2.864637
0.050000,4.526939,4.120119,0.432957,0.456430,0.265394,0.014619,2.847303
0.050000,4.504525,4.127133,0.456443,0.469721,0.265804,0.008193,2.829314
0.050000,4.481612,4.134766,0.480593,0.483006,0.265712,-0.001836,2.810670
0.050000,4.458224,4.143054,0.505406,0.496269,0.265251,-0.009218,2.791376
0.050000,4.434385,4.152032,0.530880,0.509475,0.264131,-0.022391,2.771437
0.050000,4.410123,4.161735,0.557010,0.522598,0.262458,-0.033471,2.750867
0.050000,4.385470,4.172196,0.583791,0.535609,0.260222,-0.044714,2.729682
0.050000,4.360462,4.183448,0.611214,0.548468,0.257164,-0.061161,2.707904
0.050000,4.335135,4.195522,0.639271,0.561139,0.253428,-0.074714,2.685558
0.050000,4.309533,4.208446,0.667950,0.573586,0.248940,-0.089775,2.662678
0.050000,4.283699,4.222245,0.697239,0.585771,0.243709,-0.104608,2.639300
0.050000,4.257681,4.236943,0.727122,0.597654,0.237658,-0.121033,2.615468
0.050000,4.231528,4.252558,0.757582,0.609201,0.230937,-0.134421,2.591229
0.050000,4.205291,4.269105,0.788600,0.620377,0.223511,-0.148520,2.566638
0.050000,4.179023,4.286594,0.820158,0.631151,0.215478,-0.160655,2.541750
0.050000,4.152778,4.305032,0.852233,0.641496,0.206914,-0.171279,2.516628
0.050000,4.126608,4.324421,0.884802,0.651393,0.197931,-0.179650,2.491336
0.050000,4.100566,4.344757,0.917844,0.660825,0.188649,-0.185657,2.465939
0.050000,4.074703,4.366032,0.951333,0.669785,0.179201,-0.188953,2.440506
0.050000,4.049069,4.388236,0.985246,0.678270,0.169703,-0.189965,2.415104
0.050000,4.023710,4.411353,1.019561,0.686287,0.160336,-0.187336,2.389800
0.050000,3.998669,4.435364,1.054253,0.693847,0.151199,-0.182728,2.364659
0.050000,3.973986,4.460247,1.089302,0.700967,0.142396,-0.176059,2.339745
0.050000,3.949697,4.485977,1.124685,0.707673,0.134126,-0.165413,2.315117
0.050000,3.925834,4.512529,1.160385,0.713992,0.126375,-0.155012,2.290829
0.050000,3.902423,4.539874,1.196383,0.719957,0.119294,-0.141634,2.266932
0.050000,3.879488,4.567985,1.232663,0.725603,0.112931,-0.127259,2.243472
0.050000,3.857047,4.596833,1.269211,0.730965,0.107232,-0.113979,2.220490
0.050000,3.835115,4.626388,1.306015,0.736084,0.102374,-0.097159,2.198020
0.050000,3.813702,4.656624,1.343065,0.740995,0.098227,-0.082936,2.176092
0.050000,3.792816,4.687512,1.380352,0.745736,0.094819,-0.068162,2.154730
0.050000,3.772461,4.719027,1.417869,0.750340,0.092081,-0.054765,2.133954
0.050000,3.752637,4.751143,1.455611,0.754842,0.090046,-0.040683,2.113779
0.050000,3.733342,4.783838,1.493574,0.759273,0.088612,-0.028693,2.094214
0.050000,3.714573,4.817090,1.531758,0.763660,0.087747,-0.017287,2.075265
0.050000,3.696323,4.850877,1.570159,0.768027,0.087335,-0.008254,2.056937
0.050000,3.678584,4.885182,1.608779,0.772397,0.087404,0.001394,2.039227
0.050000,3.661347,4.919987,1.647618,0.776790,0.087867,0.009243,2.022134
0.050000,3.644602,4.955277,1.686679,0.781221,0.088618,0.015036,2.005651
0.050000,3.628338,4.991038,1.725965,0.785707,0.089708,0.021789,1.989770
0.050000,3.613412,5.025219,1.763263,0.745967,-0.794796,-17.690068,1.975209
0.050000,3.597421,5.063656,1.804894,0.832611,1.732890,50.553716,1.955114
0.050000,3.582178,5.102406,1.846534,0.832809,0.003960,-34.578609,1.936234
0.050000,3.567646,5.141425,1.888171,0.832742,-0.001346,-0.106121,1.918608
0.050000,3.553783,5.180672,1.929794,0.832453,-0.005777,-0.088604,1.902266
0.050000,3.540546,5.220108,1.971393,0.831978,-0.009514,-0.074739,1.887236
0.050000,3.527886,5.259701,2.012960,0.831345,-0.012661,-0.062943,1.873540
0.050000,3.515754,5.299417,2.054488,0.830570,-0.015488,-0.056551,1.861199
0.050000,3.504099,5.339230,2.095972,0.829664,-0.018122,-0.052671,1.850230
0.050000,3.492867,5.379109,2.137403,0.828626,-0.020771,-0.052988,1.840654
0.050000,3.482005,5.419030,2.178775,0.827447,-0.023567,-0.055922,1.832489
0.050000,3.471458,5.458967,2.220081,0.826114,-0.026671,-0.062069,1.825758
0.050000,3.461169,5.498892,2.261311,0.824601,-0.030244,-0.071471,1.820487
0.050000,3.451083,5.538781,2.302455,0.822880,-0.034428,-0.083668,1.816705
0.050000,3.441141,5.578604,2.343501,0.820913,-0.039336,-0.098168,1.814447
0.050000,3.431285,5.618333,2.384434,0.818658,-0.045108,-0.115426,1.813756
0.050000,3.421455,5.657935,2.425237,0.816065,-0.051862,-0.135098,1.814678
0.050000,3.411593,5.697374,2.465891,0.813079,-0.059708,-0.156920,1.817270
0.050000,3.401637,5.736613,2.506373,0.809642,-0.068745,-0.180740,1.821596
0.050000,3.391526,5.775608,2.546657,0.805689,-0.079064,-0.206376,1.827730
0.050000,3.381198,5.814311,2.586715,0.801153,-0.090723,-0.233168,1.835756
0.050000,3.370590,5.852670,2.626513,0.795966,-0.103727,-0.260084,1.845766
0.050000,3.359642,5.890625,2.666016,0.790061,-0.118112,-0.287696,1.857863
0.050000,3.348291,5.928113,2.705185,0.783375,-0.133716,-0.312091,1.872158
0.050000,3.336477,5.965063,2.743978,0.775855,-0.150403,-0.333745,1.888770
0.050000,3.324141,6.001400,2.782351,0.767465,-0.167799,-0.347912,1.907824
0.050000,3.311228,6.037042,2.820261,0.758192,-0.185452,-0.353053,1.929446
0.050000,3.297683,6.071907,2.857664,0.748063,-0.202590,-0.342764,1.953757
0.050000,3.283458,6.105908,2.894521,0.737152,-0.218208,-0.312358,1.980870
0.050000,3.268505,6.138964,2.930801,0.725601,-0.231032,-0.256485,2.010876
0.050000,3.252896,6.170777,2.966237,0.708712,-0.337774,-2.134841,2.043595
0.050000,3.236758,6.201030,3.000526,0.685778,-0.458677,-2.418057,2.078648
0.050000,3.220123,6.229674,3.033650,0.662485,-0.465865,-0.143772,2.115784
0.050000,3.202989,6.256748,3.065690,0.640801,-0.433676,0.643788,2.154774
0.050000,3.185351,6.282307,3.096744,0.621079,-0.394433,0.784860,2.195337
0.050000,3.167199,6.306420,3.126926,0.603637,-0.348840,0.911870,2.237149
0.050000,3.148517,6.329169,3.156362,0.588725,-0.298243,1.011929,2.279847
0.050000,3.129283,6.350638,3.185187,0.576501,-0.244488,1.075109,2.323049
