dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,4.953515,4.409754,0.000218,0.008704,0.174078,3.481562,3.142588
0.050000,4.953515,4.409754,0.000870,0.017408,0.174078,0.000000,3.142109
0.050000,4.953131,4.409754,0.001958,0.026112,0.174078,0.000000,3.141311
0.050000,4.951607,4.409755,0.003482,0.034816,0.174078,-0.000000,3.140191
0.050000,4.949649,4.409759,0.005440,0.043520,0.174078,0.000000,3.138749
0.050000,4.947256,4.409768,0.007834,0.052223,0.174078,-0.000000,3.136981
0.050000,4.944427,4.409784,0.010662,0.060927,0.174078,0.000000,3.134884
0.050000,4.941163,4.409810,0.013926,0.069631,0.174078,-0.000000,3.132455
0.050000,4.937464,4.409849,0.017625,0.078335,0.174078,0.000000,3.129690
0.050000,4.933330,4.409905,0.021760,0.087039,0.174078,0.000000,3.126584
0.050000,4.928761,4.409981,0.026329,0.095743,0.174078,0.000000,3.123132
0.050000,4.923757,4.410083,0.031334,0.104447,0.174078,-0.000000,3.119328
0.050000,4.918319,4.410215,0.036774,0.113151,0.174078,0.000000,3.115166
0.050000,4.912446,4.410384,0.042649,0.121855,0.174078,0.000000,3.110638
0.050000,4.906139,4.410595,0.048959,0.130559,0.174078,0.000000,3.105737
0.050000,4.899399,4.410854,0.055705,0.139262,0.174078,-0.000000,3.100455
0.050000,4.892225,4.411170,0.062886,0.147966,0.174078,0.000000,3.094783
0.050000,4.884619,4.411549,0.070502,0.156670,0.174078,0.000000,3.088711
0.050000,4.876580,4.412001,0.078553,0.165374,0.174078,0.000000,3.082230
0.050000,4.868111,4.412534,0.087039,0.174078,0.174078,0.000000,3.075328
0.050000,4.859211,4.413157,0.095961,0.182782,0.174078,0.000000,3.067996
0.050000,4.849882,4.413881,0.105317,0.191486,0.174078,0.000000,3.060220
0.050000,4.840126,4.414717,0.115109,0.200190,0.174078,-0.000000,3.051989
0.050000,4.829944,4.415676,0.125336,0.208894,0.174078,0.000000,3.043290
0.050000,4.819338,4.416771,0.135999,0.217598,0.174078,0.000000,3.034110
0.050000,4.808311,4.418015,0.147096,0.226302,0.174078,0.000000,3.024435
0.050000,4.796864,4.419421,0.158629,0.235005,0.174078,0.000000,3.014251
0.050000,4.785002,4.421005,0.170597,0.243709,0.174078,0.000000,3.003544
0.050000,4.772727,4.422780,0.183000,0.252413,0.174078,-0.000000,2.992299
0.050000,4.760043,4.424765,0.195838,0.261117,0.174078,0.000000,2.980502
0.050000,4.746955,4.426974,0.209111,0.269821,0.174078,-0.000000,2.968139
0.050000,4.733467,4.429427,0.222820,0.278525,0.174078,0.000000,2.955195
0.050000,4.719587,4.432142,0.236964,0.287229,0.174078,0.000000,2.941657
0.050000,4.705319,4.435139,0.251543,0.295933,0.174078,-0.000000,2.927512
0.050000,4.690671,4.438436,0.266557,0.304637,0.174078,0.000000,2.912747
0.050000,4.675652,4.442056,0.282007,0.313341,0.174078,-0.000000,2.897352
0.050000,4.660270,4.446021,0.297891,0.322045,0.174078,0.000000,2.881318
0.050000,4.644536,4.450352,0.314211,0.330748,0.174078,-0.000000,2.864637
0.050000,4.628460,4.455072,0.330966,0.339452,0.174078,0.000000,2.847303
0.050000,4.612054,4.460206,0.348156,0.348156,0.174078,0.000000,2.829314
0.050000,4.595333,4.465777,0.365782,0.356860,0.174078,-0.000000,2.810670
0.050000,4.578310,4.471809,0.383842,0.365564,0.174078,0.000000,2.791376
0.050000,4.561001,4.478327,0.402338,0.374268,0.174078,-0.000000,2.771437
0.050000,4.543424,4.485357,0.421269,0.382972,0.174078,0.000000,2.750867
0.050000,4.525596,4.492921,0.440635,0.391676,0.174078,-0.000000,2.729682
0.050000,4.507539,4.501046,0.460437,0.400380,0.174078,0.000000,2.707904
0.050000,4.489272,4.509754,0.480673,0.409084,0.174078,0.000000,2.685558
0.050000,4.470819,4.519069,0.501345,0.417787,0.174078,-0.000000,2.662678
0.050000,4.452202,4.529014,0.522452,0.426491,0.174078,0.000000,2.639300
0.050000,4.433446,4.539609,0.543994,0.435195,0.174078,-0.000000,2.615468
0.050000,4.414577,4.550875,0.565971,0.443899,0.174078,0.000000,2.591229
0.050000,4.395620,4.562831,0.588384,0.452603,0.174078,0.000000,2.566638
0.050000,4.376602,4.575493,0.611232,0.461307,0.174078,-0.000000,2.541750
0.050000,4.357551,4.588877,0.634515,0.470011,0.174078,0.000000,2.516628
0.050000,4.338494,4.602996,0.658233,0.478715,0.174078,-0.000000,2.491336
0.050000,4.319458,4.617861,0.682386,0.487419,0.174078,0.000000,2.465939
0.050000,4.300470,4.633482,0.706975,0.496123,0.174078,-0.000000,2.440506
0.050000,4.281556,4.649865,0.731998,0.504827,0.174078,0.000000,2.415104
0.050000,4.262742,4.667016,0.757457,0.513530,0.174078,-0.000000,2.389800
0.050000,4.244053,4.684938,0.783352,0.522234,0.174078,0.000000,2.364659
0.050000,4.225511,4.703630,0.809681,0.530938,0.174078,-0.000000,2.339745
0.050000,4.207139,4.723092,0.836445,0.539642,0.174078,0.000000,2.315117
0.050000,4.188958,4.743322,0.863645,0.548346,0.174078,-0.000000,2.290829
0.050000,4.170987,4.764314,0.891280,0.557050,0.174078,0.000000,2.266932
0.050000,4.153243,4.786064,0.919350,0.565754,0.174078,0.000000,2.243472
0.050000,4.135741,4.808563,0.947855,0.574458,0.174078,0.000000,2.220490
0.050000,4.118495,4.831803,0.976796,0.583162,0.174078,-0.000000,2.198020
0.050000,4.101519,4.855776,1.006172,0.591866,0.174078,0.000000,2.176092
0.050000,4.084821,4.880471,1.035982,0.600570,0.174078,0.000000,2.154730
0.050000,4.068411,4.905878,1.066228,0.609273,0.174078,0.000000,2.133954
0.050000,4.052297,4.931986,1.096910,0.617977,0.174078,-0.000000,2.113779
0.050000,4.036483,4.958783,1.128026,0.626681,0.174078,0.000000,2.094214
0.050000,4.020974,4.986260,1.159578,0.635385,0.174078,-0.000000,2.075265
0.050000,4.005773,5.014403,1.191565,0.644089,0.174078,0.000000,2.056937
0.050000,3.990881,5.043203,1.223987,0.652793,0.174078,-0.000000,2.039227
0.050000,3.976300,5.072647,1.256844,0.661497,0.174078,0.000000,2.022134
0.050000,3.962028,5.102725,1.290136,0.670201,0.174078,-0.000000,2.005651
0.050000,3.948065,5.133426,1.323864,0.678905,0.174078,0.000000,1.989770
0.050000,3.935179,5.162937,1.358027,0.687609,0.174078,0.000000,1.975209
0.050000,3.921890,5.194880,1.392625,0.696312,0.174078,0.000000,1.955114
0.050000,3.909066,5.227482,1.427658,0.705016,0.174078,-0.000000,1.936234
0.050000,3.896688,5.260720,1.463127,0.713720,0.174078,0.000000,1.918608
0.050000,3.884731,5.294573,1.499030,0.722424,0.174078,0.000000,1.902266
0.050000,3.873168,5.329023,1.535369,0.731128,0.174078,0.000000,1.887236
0.050000,3.861969,5.364050,1.572143,0.739832,0.174078,-0.000000,1.873540
0.050000,3.851099,5.399636,1.609352,0.748536,0.174078,0.000000,1.861199
0.050000,3.840523,5.435764,1.646997,0.757240,0.174078,-0.000000,1.850230
0.050000,3.830200,5.472417,1.685076,0.765944,0.174078,0.000000,1.840654
0.050000,3.820089,5.509581,1.723591,0.774648,0.174078,-0.000000,1.832489
0.050000,3.810143,5.547240,1.762541,0.783352,0.174078,0.000000,1.825758
0.050000,3.800315,5.585379,1.801926,0.792055,0.174078,-0.000000,1.820487
0.050000,3.790553,5.623984,1.841747,0.800759,0.174078,0.000000,1.816705
0.050000,3.780803,5.663041,1.882002,0.809463,0.174078,0.000000,1.814447
0.050000,3.771005,5.702535,1.922693,0.818167,0.174078,0.000000,1.813756
0.050000,3.761098,5.742450,1.963819,0.826871,0.174078,-0.000000,1.814678
0.050000,3.751016,5.782769,2.005380,0.835575,0.174078,0.000000,1.817270
0.050000,3.740687,5.823476,2.047376,0.844279,0.174078,-0.000000,1.821596
0.050000,3.730037,5.864549,2.089808,0.852983,0.174078,0.000000,1.827730
0.050000,3.718984,5.905966,2.132675,0.861687,0.174078,-0.000000,1.835756
