dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,4.953167,4.759754,0.000218,0.008704,0.174078,3.481562,3.142588
0.050000,4.953334,4.759754,0.000385,0.003351,-0.107064,-5.622834,3.142109
0.050000,4.953229,4.759754,0.000490,0.002097,-0.025068,1.639921,3.141311
0.050000,4.952098,4.759755,0.001621,0.022627,0.410601,8.713364,3.140191
0.050000,4.950644,4.759758,0.003075,0.029071,0.128864,-5.634728,3.138749
0.050000,4.948870,4.759765,0.004850,0.035493,0.128440,-0.008483,3.136981
0.050000,4.946775,4.759776,0.006945,0.041900,0.128158,-0.005651,3.134884
0.050000,4.944361,4.759795,0.009358,0.048278,0.127543,-0.012287,3.132455
0.050000,4.941630,4.759824,0.012090,0.054629,0.127033,-0.010215,3.129690
0.050000,4.938583,4.759865,0.015137,0.060945,0.126320,-0.014242,3.126584
0.050000,4.935222,4.759921,0.018499,0.067227,0.125641,-0.013598,3.123132
0.050000,4.931549,4.759996,0.022172,0.073466,0.124773,-0.017357,3.119328
0.050000,4.927567,4.760093,0.026155,0.079663,0.123950,-0.016456,3.115166
0.050000,4.923279,4.760216,0.030445,0.085807,0.122878,-0.021429,3.110638
0.050000,4.918686,4.760370,0.035040,0.091900,0.121854,-0.020487,3.105737
0.050000,4.913793,4.760558,0.039937,0.097934,0.120670,-0.023674,3.100455
0.050000,4.908603,4.760786,0.045133,0.103910,0.119522,-0.022978,3.094783
0.050000,4.903119,4.761060,0.050623,0.109816,0.118123,-0.027967,3.088711
0.050000,4.897345,4.761384,0.056406,0.115652,0.116720,-0.028072,3.082230
0.050000,4.891286,4.761765,0.062477,0.121418,0.115325,-0.027884,3.075328
0.050000,4.884947,4.762209,0.068832,0.127102,0.113670,-0.033107,3.067996
0.050000,4.878331,4.762723,0.075467,0.132704,0.112045,-0.032502,3.060220
0.050000,4.871446,4.763313,0.082378,0.138222,0.110360,-0.033701,3.051989
0.050000,4.864295,4.763987,0.089561,0.143649,0.108537,-0.036455,3.043290
0.050000,4.856885,4.764752,0.097010,0.148984,0.106709,-0.036566,3.034110
0.050000,4.849222,4.765616,0.104721,0.154222,0.104757,-0.039031,3.024435
0.050000,4.841314,4.766587,0.112689,0.159364,0.102841,-0.038332,3.014251
0.050000,4.833166,4.767675,0.120910,0.164407,0.100864,-0.039539,3.003544
0.050000,4.824786,4.768887,0.129377,0.169345,0.098763,-0.042017,2.992299
0.050000,4.816181,4.770233,0.138086,0.174186,0.096815,-0.038965,2.980502
0.050000,4.807359,4.771722,0.147032,0.178926,0.094795,-0.040393,2.968139
0.050000,4.798329,4.773365,0.156211,0.183564,0.092755,-0.040796,2.955195
0.050000,4.789099,4.775170,0.165616,0.188110,0.090920,-0.036715,2.941657
0.050000,4.779676,4.777149,0.175244,0.192563,0.089072,-0.036941,2.927512
0.050000,4.770070,4.779311,0.185091,0.196931,0.087359,-0.034279,2.912747
0.050000,4.760289,4.781669,0.195152,0.201223,0.085847,-0.030239,2.897352
0.050000,4.750341,4.784233,0.205424,0.205450,0.084539,-0.026160,2.881318
0.050000,4.740236,4.787014,0.215906,0.209624,0.083482,-0.021140,2.864637
0.050000,4.729981,4.790025,0.226594,0.213761,0.082730,-0.015033,2.847303
0.050000,4.719584,4.793278,0.237488,0.217879,0.082364,-0.007321,2.829314
0.050000,4.709053,4.796787,0.248588,0.221998,0.082384,0.000400,2.810670
0.050000,4.698395,4.800563,0.259895,0.226145,0.082937,0.011065,2.791376
0.050000,4.687617,4.804622,0.271412,0.230344,0.083976,0.020782,2.771437
0.050000,4.676724,4.808978,0.283143,0.234626,0.085632,0.033116,2.750867
0.050000,4.665723,4.813646,0.295095,0.239024,0.087976,0.046876,2.729682
0.050000,4.654616,4.818643,0.307273,0.243572,0.090957,0.059631,2.707904
0.050000,4.643409,4.823986,0.319689,0.248307,0.094694,0.074735,2.685558
0.050000,4.632105,4.829692,0.332352,0.253266,0.099187,0.089857,2.662678
0.050000,4.620705,4.835782,0.345276,0.258489,0.104454,0.105345,2.639300
0.050000,4.609211,4.842275,0.358477,0.264012,0.110449,0.119900,2.615468
0.050000,4.597626,4.849192,0.371970,0.269872,0.117200,0.135012,2.591229
0.050000,4.585949,4.856556,0.385776,0.276103,0.124622,0.148442,2.566638
0.050000,4.574182,4.864391,0.399912,0.282736,0.132661,0.160781,2.541750
0.050000,4.562325,4.872721,0.414402,0.289797,0.141224,0.171259,2.516628
0.050000,4.550381,4.881571,0.429268,0.297307,0.150209,0.179693,2.491336
0.050000,4.538351,4.890965,0.444532,0.305282,0.159494,0.185708,2.465939
0.050000,4.526237,4.900931,0.460218,0.313730,0.168951,0.189148,2.440506
0.050000,4.514043,4.911494,0.476351,0.322651,0.178433,0.189633,2.415104
0.050000,4.501774,4.922679,0.492953,0.332042,0.187822,0.187775,2.389800
0.050000,4.489436,4.934511,0.510047,0.341891,0.196968,0.182916,2.364659
0.050000,4.477036,4.947013,0.527656,0.352177,0.205734,0.175336,2.339745
0.050000,4.464581,4.960207,0.545800,0.362880,0.214054,0.166400,2.315117
0.050000,4.452083,4.974115,0.564499,0.373969,0.221779,0.154497,2.290829
0.050000,4.439551,4.988754,0.583769,0.385413,0.228870,0.141814,2.266932
0.050000,4.426998,5.004142,0.603628,0.397176,0.235269,0.127980,2.243472
0.050000,4.414435,5.020293,0.624089,0.409221,0.240891,0.112443,2.220490
