dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.145958,4.045000,0.000218,0.008739,0.174787,3.495743,3.143427
0.050000,5.145872,4.045000,0.000304,0.001720,-0.140381,-6.303373,3.143182
0.050000,5.145729,4.045000,0.000448,0.002869,0.022970,3.267021,3.142772
0.050000,5.145528,4.045000,0.000649,0.004020,0.023018,0.000973,3.142197
0.050000,5.144912,4.045000,0.001265,0.012326,0.166117,2.861976,3.141458
0.050000,5.142190,4.045002,0.003987,0.054429,0.842069,13.519034,3.140552
0.050000,5.138975,4.045007,0.007201,0.064295,0.197327,-12.894843,3.139480
0.050000,5.135263,4.045017,0.010914,0.074256,0.199211,0.037684,3.138237
0.050000,5.131053,4.045034,0.015124,0.084187,0.198627,-0.011678,3.136823
0.050000,5.126347,4.045060,0.019830,0.094125,0.198766,0.002792,3.135237
0.050000,5.121143,4.045098,0.025035,0.104093,0.199360,0.011867,3.133474
0.050000,5.115438,4.045149,0.030739,0.114087,0.199864,0.010093,3.131534
0.050000,5.109234,4.045218,0.036944,0.124101,0.200280,0.008310,3.129412
0.050000,5.102528,4.045308,0.043650,0.134131,0.200606,0.006521,3.127106
0.050000,5.095320,4.045421,0.050859,0.144173,0.200843,0.004730,3.124612
0.050000,5.087609,4.045563,0.058571,0.154243,0.201400,0.011142,3.121926
0.050000,5.079391,4.045736,0.066791,0.164395,0.203043,0.032865,3.119044
0.050000,5.070669,4.045946,0.075515,0.174488,0.201857,-0.023725,3.115962
0.050000,5.061437,4.046198,0.084751,0.184708,0.204397,0.050800,3.112675
0.050000,5.051697,4.046497,0.094496,0.194905,0.203949,-0.008957,3.109177
0.050000,5.041446,4.046848,0.104753,0.205144,0.204780,0.016625,3.105464
0.050000,5.030681,4.047259,0.115525,0.215438,0.205879,0.021981,3.101528
0.050000,5.019402,4.047734,0.126814,0.225783,0.206884,0.020098,3.097365
0.050000,5.007606,4.048282,0.138623,0.236172,0.207794,0.018202,3.092966
0.050000,4.995292,4.048910,0.150953,0.246603,0.208609,0.016301,3.088325
0.050000,4.982459,4.049626,0.163807,0.257069,0.209329,0.014401,3.083434
0.050000,4.969101,4.050438,0.177189,0.267652,0.211653,0.046471,3.078285
0.050000,4.955220,4.051356,0.191100,0.278228,0.211514,-0.002766,3.072870
0.050000,4.940810,4.052388,0.205547,0.288931,0.214064,0.050992,3.067178
0.050000,4.925873,4.053547,0.220529,0.299647,0.214321,0.005135,3.061200
0.050000,4.910404,4.054842,0.236052,0.310455,0.216170,0.036975,3.054927
0.050000,4.894402,4.056285,0.252120,0.321351,0.217910,0.034814,3.048346
0.050000,4.877863,4.057889,0.268736,0.332328,0.219541,0.032625,3.041447
0.050000,4.860786,4.059667,0.285905,0.343381,0.221062,0.030418,3.034218
0.050000,4.843170,4.061634,0.303630,0.354505,0.222473,0.028204,3.026645
0.050000,4.825011,4.063803,0.321918,0.365758,0.225063,0.051816,3.018716
0.050000,4.806309,4.066191,0.340772,0.377078,0.226403,0.026787,3.010416
0.050000,4.787060,4.068816,0.360199,0.388541,0.229254,0.057026,3.001729
0.050000,4.767265,4.071694,0.380203,0.400073,0.230644,0.027791,2.992642
0.050000,4.746921,4.074846,0.400789,0.411731,0.233174,0.050601,2.983138
0.050000,4.726028,4.078291,0.421965,0.423509,0.235548,0.047492,2.973200
0.050000,4.704585,4.082050,0.443735,0.435397,0.237763,0.044297,2.962811
0.050000,4.682592,4.086148,0.466106,0.447432,0.240694,0.058616,2.951952
0.050000,4.660049,4.090607,0.489086,0.459587,0.243112,0.048364,2.940605
