dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.145316,4.395000,0.000435,0.017414,0.348284,6.965690,3.143346
0.050000,5.145316,4.395000,0.001741,0.034828,0.348284,0.000000,3.142856
0.050000,5.145316,4.395000,0.003918,0.052243,0.348284,-0.000000,3.142039
0.050000,5.143454,4.395001,0.006966,0.069657,0.348284,0.000000,3.140892
0.050000,5.139537,4.395006,0.010884,0.087071,0.348284,-0.000000,3.139412
0.050000,5.134748,4.395021,0.015673,0.104485,0.348284,0.000000,3.137595
0.050000,5.129088,4.395050,0.021332,0.121900,0.348284,0.000000,3.135435
0.050000,5.122557,4.395098,0.027863,0.139314,0.348284,0.000000,3.132925
0.050000,5.115158,4.395173,0.035264,0.156728,0.348284,-0.000000,3.130058
0.050000,5.106886,4.395282,0.043536,0.174142,0.348284,0.000000,3.126826
0.050000,5.097744,4.395433,0.052678,0.191556,0.348284,0.000000,3.123218
0.050000,5.087733,4.395637,0.062691,0.208971,0.348284,-0.000000,3.119225
0.050000,5.076853,4.395904,0.073575,0.226385,0.348284,0.000000,3.114832
0.050000,5.065104,4.396247,0.085330,0.243799,0.348284,-0.000000,3.110028
0.050000,5.052485,4.396678,0.097955,0.261213,0.348284,0.000000,3.104795
0.050000,5.039000,4.397213,0.111451,0.278628,0.348284,-0.000000,3.099118
0.050000,5.024648,4.397867,0.125818,0.296042,0.348284,-0.000000,3.092978
0.050000,5.009431,4.398658,0.141055,0.313456,0.348284,0.000000,3.086356
0.050000,4.993352,4.399604,0.157163,0.330870,0.348284,0.000000,3.079229
0.050000,4.976409,4.400727,0.174142,0.348284,0.348284,0.000000,3.071573
0.050000,4.958609,4.402049,0.191992,0.365699,0.348284,0.000000,3.063364
0.050000,4.939953,4.403593,0.210712,0.383113,0.348284,0.000000,3.054571
0.050000,4.920444,4.405387,0.230303,0.400527,0.348284,0.000000,3.045166
0.050000,4.900088,4.407459,0.250765,0.417941,0.348284,-0.000000,3.035115
0.050000,4.878889,4.409840,0.272097,0.435356,0.348284,0.000000,3.024383
0.050000,4.856853,4.412562,0.294300,0.452770,0.348284,-0.000000,3.012931
0.050000,4.833989,4.415661,0.317374,0.470184,0.348284,-0.000000,3.000721
0.050000,4.810303,4.419177,0.341319,0.487598,0.348284,0.000000,2.987707
0.050000,4.785809,4.423150,0.366134,0.505013,0.348284,0.000000,2.973845
0.050000,4.760516,4.427624,0.391820,0.522427,0.348284,-0.000000,2.959085
0.050000,4.734439,4.432648,0.418377,0.539841,0.348284,-0.000000,2.943378
0.050000,4.707595,4.438272,0.445804,0.557255,0.348284,0.000000,2.926669
0.050000,4.680003,4.444551,0.474102,0.574669,0.348284,-0.000000,2.908906
0.050000,4.651684,4.451544,0.503271,0.592084,0.348284,0.000000,2.890032
0.050000,4.622668,4.459310,0.533311,0.609498,0.348284,0.000000,2.869992
0.050000,4.592980,4.467917,0.564221,0.626912,0.348284,-0.000000,2.848732
0.050000,4.562658,4.477432,0.596002,0.644326,0.348284,0.000000,2.826200
0.050000,4.531740,4.487928,0.628654,0.661741,0.348284,0.000000,2.802349
0.050000,4.500271,4.499478,0.662176,0.679155,0.348284,0.000000,2.777141
0.050000,4.468303,4.512161,0.696569,0.696569,0.348284,0.000000,2.750545
0.050000,4.435893,4.526055,0.731833,0.713983,0.348284,0.000000,2.722543
0.050000,4.403106,4.541239,0.767967,0.731397,0.348284,0.000000,2.693135
0.050000,4.370010,4.557793,0.804973,0.748812,0.348284,0.000000,2.662340
0.050000,4.336687,4.575794,0.842848,0.766226,0.348284,0.000000,2.630202
0.050000,4.303220,4.595315,0.881595,0.783640,0.348284,-0.000000,2.596791
0.050000,4.269699,4.616428,0.921212,0.801054,0.348284,0.000000,2.562208
0.050000,4.236220,4.639193,0.961701,0.818469,0.348284,-0.000000,2.526585
0.050000,4.202883,4.663667,1.003059,0.835883,0.348284,-0.000000,2.490087
0.050000,4.169787,4.689893,1.045289,0.853297,0.348284,0.000000,2.452908
0.050000,4.137035,4.717905,1.088389,0.870711,0.348284,-0.000000,2.415270
0.050000,4.104723,4.747724,1.132360,0.888125,0.348284,-0.000000,2.377414
0.050000,4.072947,4.779359,1.177202,0.905540,0.348284,0.000000,2.339598
0.050000,4.041791,4.812806,1.222914,0.922954,0.348284,-0.000000,2.302082
0.050000,4.011333,4.848048,1.269497,0.940368,0.348284,0.000000,2.265126
0.050000,3.981640,4.885061,1.316951,0.957782,0.348284,0.000000,2.228976
0.050000,3.952764,4.923806,1.365275,0.975197,0.348284,-0.000000,2.193859
0.050000,3.924746,4.964240,1.414470,0.992611,0.348284,0.000000,2.159979
0.050000,3.897613,5.006313,1.464536,1.010025,0.348284,0.000000,2.127511
0.050000,3.871378,5.049972,1.515473,1.027439,0.348284,-0.000000,2.096600
0.050000,3.846043,5.095160,1.567280,1.044853,0.348284,0.000000,2.067362
0.050000,3.821595,5.141819,1.619958,1.062268,0.348284,-0.000000,2.039887
0.050000,3.798011,5.189893,1.673507,1.079682,0.348284,-0.000000,2.014239
0.050000,3.775258,5.239326,1.727926,1.097096,0.348284,0.000000,1.990460
0.050000,3.753294,5.290065,1.783217,1.114510,0.348284,0.000000,1.968578
0.050000,3.732066,5.342059,1.839378,1.131925,0.348284,-0.000000,1.948608
0.050000,3.711518,5.395259,1.896409,1.149339,0.348284,0.000000,1.930555
0.050000,3.691581,5.449620,1.954311,1.166753,0.348284,0.000000,1.914420
0.050000,3.672184,5.505100,2.013084,1.184167,0.348284,-0.000000,1.900203
0.050000,3.653248,5.561657,2.072728,1.201582,0.348284,0.000000,1.887906
