dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.144773,4.704999,0.000435,0.017414,0.348284,6.965690,3.143346
0.050000,5.144924,4.705000,0.000587,0.003037,-0.287541,-12.716508,3.142856
0.050000,5.145178,4.705000,0.000841,0.005068,0.040610,6.563014,3.142039
0.050000,5.143671,4.705000,0.002347,0.030131,0.501258,9.212968,3.140892
0.050000,5.140212,4.705005,0.005806,0.069177,0.780934,5.593521,3.139412
0.050000,5.135987,4.705018,0.010031,0.084506,0.306569,-9.487296,3.137595
0.050000,5.130997,4.705044,0.015022,0.099807,0.306033,-0.010721,3.135435
0.050000,5.125244,4.705086,0.020774,0.115056,0.304979,-0.021079,3.132925
0.050000,5.118733,4.705152,0.027286,0.130227,0.303402,-0.031540,3.130058
0.050000,5.111463,4.705248,0.034557,0.145416,0.303790,0.007760,3.126826
0.050000,5.103440,4.705381,0.042581,0.160483,0.301345,-0.048906,3.123218
0.050000,5.094667,4.705559,0.051356,0.175502,0.300370,-0.019508,3.119225
0.050000,5.085147,4.705793,0.060878,0.190442,0.298813,-0.031130,3.114832
0.050000,5.074888,4.706092,0.071142,0.205279,0.296729,-0.041689,3.110028
0.050000,5.063890,4.706468,0.082146,0.220087,0.296154,-0.011500,3.104795
0.050000,5.052163,4.706933,0.093882,0.234722,0.292711,-0.068852,3.099118
0.050000,5.039713,4.707501,0.106346,0.249268,0.290914,-0.035946,3.092978
0.050000,5.026546,4.708185,0.119530,0.263692,0.288492,-0.048440,3.086356
0.050000,5.012672,4.709001,0.133428,0.277961,0.285365,-0.062536,3.079229
0.050000,4.998097,4.709967,0.148035,0.292127,0.283318,-0.040939,3.071573
0.050000,4.982835,4.711101,0.163339,0.306085,0.279164,-0.083087,3.063364
0.050000,4.966895,4.712420,0.179334,0.319892,0.276149,-0.060288,3.054571
0.050000,4.950290,4.713947,0.196009,0.333507,0.272300,-0.076988,3.045166
0.050000,4.933034,4.715704,0.213354,0.346900,0.267848,-0.089032,3.035115
0.050000,4.915141,4.717713,0.231360,0.360115,0.264301,-0.070939,3.024383
0.050000,4.896628,4.720000,0.250013,0.373064,0.258980,-0.106420,3.012931
0.050000,4.877515,4.722590,0.269301,0.385755,0.253818,-0.103253,3.000721
0.050000,4.857820,4.725514,0.289212,0.398222,0.249354,-0.089277,2.987707
0.050000,4.837567,4.728798,0.309729,0.410351,0.242577,-0.135545,2.973845
0.050000,4.816779,4.732475,0.330840,0.422207,0.237128,-0.108980,2.959085
0.050000,4.795484,4.736578,0.352527,0.433743,0.230708,-0.128395,2.943378
0.050000,4.773709,4.741140,0.374774,0.444948,0.224111,-0.131934,2.926669
0.050000,4.751486,4.746197,0.397565,0.455819,0.217407,-0.134088,2.908906
0.050000,4.728848,4.751786,0.420883,0.466354,0.210698,-0.134181,2.890032
0.050000,4.705833,4.757946,0.444709,0.476520,0.203322,-0.147519,2.869992
0.050000,4.682475,4.764718,0.469028,0.486383,0.197258,-0.121283,2.848732
0.050000,4.658817,4.772141,0.493824,0.495917,0.190682,-0.131513,2.826200
0.050000,4.634900,4.780260,0.519081,0.505149,0.184655,-0.120549,2.802349
0.050000,4.610767,4.789118,0.544788,0.514143,0.179866,-0.095777,2.777141
0.050000,4.586462,4.798759,0.570936,0.522945,0.176054,-0.076242,2.750545
0.050000,4.562030,4.809233,0.597518,0.531646,0.174020,-0.040674,2.722543
0.050000,4.537514,4.820585,0.624535,0.540337,0.173810,-0.004189,2.693135
0.050000,4.512956,4.832868,0.651993,0.549163,0.176526,0.054304,2.662340
0.050000,4.488398,4.846134,0.679905,0.558237,0.181472,0.098928,2.630202
0.050000,4.463877,4.860437,0.708293,0.567756,0.190389,0.178339,2.596791
0.050000,4.439427,4.875836,0.737188,0.577903,0.202927,0.250766,2.562208
0.050000,4.415079,4.892392,0.766631,0.588867,0.219286,0.327178,2.526585
