dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,6.281203,5.103414,0.000434,0.017348,0.346963,6.939265,1.570072
0.050000,6.281203,5.103236,0.000611,0.003550,-0.275961,-12.458479,1.570644
0.050000,6.281202,5.104764,0.002139,0.030549,0.539979,16.318801,1.571600
0.050000,6.281198,5.107384,0.004759,0.052400,0.437019,-2.059214,1.572942
0.050000,6.281188,5.110750,0.008125,0.067328,0.298569,-2.768990,1.574674
0.050000,6.281168,5.114862,0.012237,0.082230,0.298031,-0.010760,1.576801
0.050000,6.281133,5.119716,0.017091,0.097090,0.297208,-0.016468,1.579329
0.050000,6.281077,5.125311,0.022687,0.111909,0.296369,-0.016782,1.582265
0.050000,6.280994,5.131644,0.029020,0.126670,0.295217,-0.023027,1.585617
0.050000,6.280875,5.138712,0.036089,0.141376,0.294124,-0.021863,1.589396
0.050000,6.280714,5.146511,0.043890,0.156014,0.292757,-0.027348,1.593613
0.050000,6.280500,5.155037,0.052418,0.170568,0.291082,-0.033491,1.598280
0.050000,6.280222,5.164285,0.061670,0.185039,0.289426,-0.033118,1.603412
0.050000,6.279869,5.174249,0.071641,0.199415,0.287507,-0.038391,1.609022
0.050000,6.279428,5.184924,0.082325,0.213683,0.285376,-0.042607,1.615129
0.050000,6.278885,5.196303,0.093717,0.227837,0.283073,-0.046067,1.621752
0.050000,6.278226,5.208378,0.105810,0.241863,0.280522,-0.051017,1.628910
0.050000,6.277434,5.221141,0.118597,0.255749,0.277715,-0.056137,1.636626
0.050000,6.276493,5.234582,0.132072,0.269487,0.274770,-0.058915,1.644925
0.050000,6.275382,5.248692,0.146225,0.283059,0.271424,-0.066911,1.653833
0.050000,6.274082,5.263457,0.161047,0.296454,0.267914,-0.070205,1.663378
0.050000,6.272572,5.278867,0.176530,0.309662,0.264151,-0.075258,1.673592
0.050000,6.270830,5.294905,0.192663,0.322659,0.259935,-0.084319,1.684507
0.050000,6.268830,5.311557,0.209435,0.335437,0.255571,-0.087271,1.696159
0.050000,6.266548,5.328806,0.226834,0.347981,0.250875,-0.093919,1.708586
0.050000,6.263956,5.346632,0.244848,0.360271,0.245804,-0.101435,1.721829
0.050000,6.261026,5.365015,0.263463,0.372299,0.240566,-0.104755,1.735929
0.050000,6.257728,5.383932,0.282665,0.384042,0.234856,-0.114190,1.750934
0.050000,6.254031,5.403358,0.302439,0.395494,0.229039,-0.116353,1.766890
0.050000,6.249902,5.423266,0.322771,0.406636,0.222847,-0.123842,1.783846
0.050000,6.245306,5.443627,0.343644,0.417461,0.216497,-0.126992,1.801854
0.050000,6.240208,5.464409,0.365043,0.427967,0.210110,-0.127741,1.820966
0.050000,6.234571,5.485579,0.386950,0.438142,0.203505,-0.132093,1.841234
0.050000,6.228357,5.507099,0.409350,0.447999,0.197138,-0.127346,1.862711
0.050000,6.221526,5.528933,0.432227,0.457540,0.190826,-0.126246,1.885447
0.050000,6.214038,5.551038,0.455566,0.466789,0.184983,-0.116846,1.909489
0.050000,6.205851,5.573374,0.479355,0.475781,0.179826,-0.103158,1.934878
0.050000,6.196924,5.595897,0.503583,0.484551,0.175397,-0.088573,1.961651
0.050000,6.187211,5.618562,0.528241,0.493163,0.172239,-0.063152,1.989832
0.050000,6.176668,5.641323,0.553326,0.501692,0.170580,-0.033180,2.019436
0.050000,6.165249,5.664137,0.578837,0.510231,0.170786,0.004104,2.050460
0.050000,6.152906,5.686957,0.604782,0.518894,0.173258,0.049458,2.082884
0.050000,6.139590,5.709741,0.631172,0.527808,0.178288,0.100586,2.116669
0.050000,6.125248,5.732447,0.658028,0.537122,0.186282,0.159875,2.151749
0.050000,6.109826,5.755034,0.685378,0.546993,0.197409,0.222550,2.188034
0.050000,6.093269,5.777464,0.713257,0.557583,0.211804,0.287904,2.225409
0.050000,6.075516,5.799699,0.741710,0.569054,0.229429,0.352501,2.263732
0.050000,6.056507,5.821703,0.770788,0.581557,0.250057,0.412562,2.302836
0.050000,6.036179,5.843440,0.800549,0.595222,0.273297,0.464795,2.342533
0.050000,6.014468,5.864873,0.831056,0.610150,0.298554,0.505131,2.382621
0.050000,5.991313,5.885963,0.862376,0.626403,0.325074,0.530403,2.422885
0.050000,5.966654,5.906669,0.894577,0.644004,0.352005,0.538625,2.463107
0.050000,5.940435,5.926950,0.927723,0.662933,0.378595,0.531796,2.503076
0.050000,5.912609,5.946757,0.961879,0.683122,0.403768,0.503465,2.542585
0.050000,5.883134,5.966043,0.997103,0.704475,0.427066,0.465958,2.581449
0.050000,5.851980,5.984758,1.033446,0.726862,0.447735,0.413375,2.619500
0.050000,5.819125,6.002850,1.070953,0.750133,0.465418,0.353670,2.656596
0.050000,5.784560,6.020269,1.109659,0.774127,0.479890,0.289442,2.692620
0.050000,5.748283,6.036966,1.149594,0.798688,0.491219,0.226568,2.727481
0.050000,5.710305,6.052893,1.190777,0.823659,0.499406,0.163753,2.761113
0.050000,5.670643,6.068009,1.233221,0.848895,0.504720,0.106271,2.793473
0.050000,5.629323,6.082273,1.276935,0.874268,0.507476,0.055122,2.824539
0.050000,5.586375,6.095652,1.321918,0.899670,0.508038,0.011244,2.854306
0.050000,5.541836,6.108117,1.368168,0.925001,0.506615,-0.028463,2.882786
0.050000,5.495323,6.119838,1.416135,0.959341,0.686795,3.603595,2.900394
0.050000,5.440773,6.133195,1.472297,1.123233,3.277835,51.820795,2.902502
0.050000,5.385345,6.146644,1.529334,1.140731,0.349973,-58.557232,2.904586
0.050000,5.329037,6.160184,1.587246,1.158246,0.350299,0.006515,2.906644
0.050000,5.271850,6.173811,1.646035,1.175778,0.350629,0.006597,2.908671
0.050000,5.213781,6.187525,1.705701,1.193326,0.350964,0.006704,2.910667
0.050000,5.154830,6.201324,1.766246,1.210891,0.351303,0.006789,2.912627
0.050000,5.094996,6.215208,1.827669,1.228473,0.351648,0.006893,2.914550
0.050000,5.034278,6.229175,1.889973,1.246073,0.351996,0.006970,2.916432
0.050000,4.972675,6.243225,1.953157,1.263691,0.352350,0.007070,2.918270
0.050000,4.910187,6.257357,2.017224,1.281326,0.352708,0.007161,2.920062
0.050000,4.846813,6.271572,2.082173,1.298980,0.353070,0.007248,2.921805
0.050000,4.782552,6.285870,2.148005,1.316651,0.353437,0.007340,2.923496
0.050000,4.717403,6.300252,2.214722,1.334342,0.353809,0.007430,2.925132
0.050000,4.651367,6.314719,2.282325,1.352051,0.354185,0.007518,2.926709
0.050000,4.584442,6.329272,2.350814,1.369779,0.354565,0.007609,2.928225
0.050000,4.516628,6.343913,2.420190,1.387527,0.354950,0.007698,2.929677
0.050000,4.447925,6.358644,2.490455,1.405294,0.355340,0.007788,2.931061
0.050000,4.378332,6.373468,2.561609,1.423080,0.355733,0.007878,2.932374
0.050000,4.307849,6.388387,2.633653,1.440887,0.356132,0.007967,2.933613
0.050000,4.237161,6.403261,2.705889,1.444721,0.076677,-5.589086,2.934765
0.050000,4.167114,6.417920,2.777454,1.431286,-0.268704,-6.907638,2.935816
0.050000,4.097872,6.432338,2.848182,1.414558,-0.334547,-1.316842,2.936767
0.050000,4.029436,6.446524,2.918072,1.397811,-0.334942,-0.007905,2.937620
0.050000,3.961810,6.460485,2.987124,1.381045,-0.335332,-0.007813,2.938380
0.050000,3.894996,6.474229,3.055337,1.364259,-0.335718,-0.007714,2.939050
0.050000,3.828996,6.487762,3.122710,1.347454,-0.336099,-0.007619,2.939631
0.050000,3.763813,6.501091,3.189241,1.330630,-0.336475,-0.007521,2.940128
0.050000,3.699450,6.514222,3.254931,1.313788,-0.336846,-0.007424,2.940544
0.050000,3.635907,6.527160,3.319777,1.296927,-0.337213,-0.007326,2.940881
0.050000,3.573188,6.539912,3.383780,1.280048,-0.337574,-0.007227,2.941142
0.050000,3.511294,6.552481,3.446937,1.263152,-0.337930,-0.007130,2.941330
0.050000,3.450226,6.564872,3.509249,1.246238,-0.338282,-0.007031,2.941449
0.050000,3.389988,6.577091,3.570714,1.229306,-0.338629,-0.006934,2.941500
0.050000,3.330579,6.589139,3.631332,1.212358,-0.338970,-0.006835,2.941486
0.050000,3.272003,6.601022,3.691102,1.195392,-0.339307,-0.006738,2.941411
0.050000,3.214260,6.612741,3.750022,1.178410,-0.339639,-0.006640,2.941277
0.050000,3.157351,6.624301,3.808093,1.161412,-0.339967,-0.006543,2.941087
0.050000,3.101279,6.635704,3.865313,1.144398,-0.340289,-0.006446,2.940842
0.050000,3.048179,6.646511,3.919501,1.083770,-1.212546,-17.445150,2.941377
0.050000,2.994996,6.657207,3.973750,1.084967,0.023937,24.729665,2.945122
0.050000,2.943036,6.667418,4.026703,1.059073,-0.517887,-10.836489,2.950246
0.050000,2.892277,6.677087,4.078375,1.033437,-0.512708,0.103592,2.956705
0.050000,2.842700,6.686166,4.128777,1.008029,-0.508173,0.090707,2.964465
0.050000,2.794290,6.694613,4.177918,0.982820,-0.504167,0.080106,2.973492
0.050000,2.747036,6.702389,4.225808,0.957796,-0.500494,0.073473,2.983758
0.050000,2.700928,6.709462,4.272455,0.932942,-0.497075,0.068367,2.995234
0.050000,2.655960,6.715806,4.317867,0.908254,-0.493754,0.066425,3.007893
0.050000,2.612129,6.721399,4.362054,0.883735,-0.490387,0.067341,3.021709
0.050000,2.569431,6.726225,4.405024,0.859392,-0.486865,0.070431,3.036653
0.050000,2.527866,6.730271,4.446786,0.835242,-0.483004,0.077235,3.052694
0.050000,2.487432,6.733532,4.487351,0.811304,-0.478759,0.084893,3.069798
0.050000,2.448129,6.736006,4.526731,0.787607,-0.473938,0.096414,3.087925
0.050000,2.409958,6.737696,4.564940,0.764183,-0.468481,0.109136,3.107033
0.050000,2.372915,6.738610,4.601994,0.741070,-0.462262,0.124391,3.127070
0.050000,2.337000,6.738760,4.637910,0.718311,-0.455177,0.141694,3.147979
0.050000,2.302208,6.738165,4.672707,0.695947,-0.447267,0.158203,3.169698
0.050000,2.268532,6.736843,4.706408,0.674027,-0.438404,0.177270,3.192154
0.050000,2.235966,6.734821,4.739038,0.652594,-0.428664,0.194793,3.215268
0.050000,2.204496,6.732127,4.770622,0.631691,-0.418059,0.212094,3.238956
0.050000,2.174111,6.728791,4.801190,0.611356,-0.406690,0.227384,3.263126
0.050000,2.144794,6.724848,4.830771,0.591623,-0.394667,0.240465,3.287680
0.050000,2.116526,6.720332,4.859397,0.572516,-0.382141,0.250513,3.312518
0.050000,2.089288,6.715281,4.887100,0.554051,-0.369297,0.256889,3.337536
0.050000,2.063057,6.709733,4.913912,0.536235,-0.356331,0.259313,3.362630
0.050000,2.037808,6.703728,4.939865,0.519062,-0.343445,0.257726,3.387695
0.050000,2.013517,6.697304,4.964991,0.502519,-0.330865,0.251588,3.412631
